t,x,y,fh,fv,r,s,frame:
0,119,314,1,0,0,0,0
1,119,314,1,0,0,0,0
2,119,314,1,0,0,0,0
3,119,314,1,0,0,0,0
4,119,314,1,0,0,0,0
5,119,314,1,0,0,0,0
6,119,314,1,0,0,0,0
7,119,314,1,0,0,0,0
8,119,314,1,0,0,0,0
9,120,314,1,0,0,0,0
10,123,314,1,0,0,1,0
11,128,313,1,0,0,2,0
12,132,313,1,0,0,3,0
13,136,313,1,0,0,4,0
14,140,313,1,0,0,5,0
15,141,313,1,0,0,6,0
16,141,313,1,0,0,7,0
17,141,313,1,0,0,8,0
18,141,313,1,0,0,9,0
19,141,313,1,0,0,10,0
20,141,313,1,0,0,11,0
21,144,313,1,0,0,12,0
22,154,315,1,0,0,13,0
23,157,315,1,0,0,14,0
24,169,316,1,0,0,15,0
25,172,317,1,0,0,16,0
26,176,317,1,0,0,17,0
27,178,317,1,0,0,18,0
28,189,319,1,0,0,19,0
29,191,319,1,0,0,20,0
30,192,319,1,0,0,21,0
31,194,319,1,0,0,22,0
32,199,319,1,0,0,23,0
33,204,319,1,0,0,24,0
34,211,319,1,0,0,25,0
35,218,319,1,0,0,26,0
36,226,319,1,0,0,27,0
37,234,319,1,0,0,28,0
38,242,319,1,0,0,29,0
39,247,319,1,0,0,30,0
40,256,319,1,0,0,31,0
41,263,319,1,0,0,32,0
42,270,319,1,0,0,33,0
43,273,319,1,0,0,34,0
44,276,319,1,0,0,35,0
45,280,319,1,0,0,36,0
46,285,318,1,0,0,37,0
47,288,318,1,0,0,38,0
48,292,317,1,0,0,39,0
49,295,316,1,0,0,40,0
50,295,316,1,0,0,41,0
51,295,316,1,0,0,42,0
52,297,316,1,0,0,43,0
53,300,314,1,0,0,44,0
54,302,314,1,0,0,45,0
55,304,313,1,0,0,46,0
56,305,313,1,0,0,47,0
57,305,313,1,0,0,48,0
58,305,313,1,0,0,49,0
59,305,313,1,0,0,50,0
60,305,313,1,0,0,51,0
61,305,313,1,0,0,52,0
62,305,313,1,0,0,53,0
63,305,313,1,0,0,54,0
64,305,313,1,0,0,55,0
65,305,313,1,0,0,55,0
66,305,313,1,0,0,55,0
67,305,313,1,0,0,55,0
68,305,313,1,0,0,55,0
69,305,313,1,0,0,55,0
70,305,313,1,0,0,55,0
71,305,313,1,0,0,55,0
72,305,313,1,0,0,55,0
73,305,313,1,0,0,55,0
74,305,313,1,0,0,55,0
75,305,313,1,0,0,55,0
76,305,313,1,0,0,55,0
77,305,313,1,0,0,55,0
78,305,313,1,0,0,55,0
79,305,313,1,0,0,55,0
80,305,313,1,0,0,55,0
81,305,313,1,0,0,55,0
82,305,313,1,0,0,55,0
83,305,313,1,0,0,55,0
84,305,313,1,0,0,55,0
85,305,313,1,0,0,55,0
86,305,313,1,0,0,55,0
87,305,313,1,0,0,55,0
88,305,313,1,0,0,55,0
89,305,313,1,0,0,55,0
90,305,313,1,0,0,55,0
91,305,313,1,0,0,55,0
92,305,313,1,0,0,55,0
93,305,313,1,0,0,55,0
94,305,313,1,0,0,55,0
95,305,313,1,0,0,55,0
96,305,313,1,0,0,55,0
97,305,313,1,0,0,55,0
98,305,313,1,0,0,55,0
99,305,313,1,0,0,55,0
100,305,313,1,0,0,55,0
101,305,313,1,0,0,55,0
102,305,313,1,0,0,55,0
103,305,313,1,0,0,55,0
104,305,313,1,0,0,55,0
105,305,313,1,0,0,55,0
106,305,313,1,0,0,55,0
107,305,313,1,0,0,55,0
108,305,313,1,0,0,55,0
109,305,313,1,0,0,55,0
110,305,313,1,0,0,55,0
111,305,313,1,0,0,55,0
112,305,313,1,0,0,55,0
113,305,313,1,0,0,55,0
114,305,313,1,0,0,55,0
115,305,313,1,0,0,55,0
116,305,309,1,0,0,55,0
117,305,307,1,0,0,55,0
118,305,299,1,0,0,55,0
119,305,293,1,0,0,55,0
120,305,289,1,0,0,55,0
121,305,289,1,0,0,55,0
122,306,283,1,0,0,55,0
123,306,283,1,0,0,55,0
124,306,283,1,0,0,55,0
125,306,289,1,0,0,55,0
126,306,297,1,0,0,55,0
127,305,304,1,0,0,55,0
128,305,310,1,0,0,55,0
129,305,310,1,0,0,55,0
130,305,311,1,0,0,55,0
131,305,311,1,0,0,55,0
132,305,311,1,0,0,55,0
133,305,306,1,0,0,55,0
134,305,298,1,0,0,55,0
135,306,287,1,0,0,55,0
136,306,278,1,0,0,55,0
137,306,272,1,0,0,55,0
138,306,272,1,0,0,55,0
139,307,272,1,0,0,55,0
140,307,272,1,0,0,55,0
141,307,276,1,0,0,55,0
142,311,311,1,0,0,55,0
143,311,317,1,0,0,55,0
144,311,319,1,0,0,55,0
145,311,319,1,0,0,55,0
146,311,319,1,0,0,55,0
147,311,314,1,0,0,55,0
148,311,309,1,0,0,55,0
149,311,304,1,0,0,55,0
150,311,302,1,0,0,55,0
151,311,300,1,0,0,55,0
152,311,299,1,0,0,55,0
153,311,299,1,0,0,55,0
154,310,306,1,0,0,55,0
155,310,315,1,0,0,55,0
156,310,322,1,0,0,55,0
157,310,326,1,0,0,55,0
158,310,328,1,0,0,55,0
159,310,328,1,0,0,55,0
160,310,328,1,0,0,55,0
161,308,315,1,0,0,55,0
162,306,303,1,0,0,55,0
163,305,296,1,0,0,55,0
164,304,290,1,0,0,55,0
165,304,290,1,0,0,55,0
166,304,290,1,0,0,55,0
167,304,291,1,0,0,55,0
168,303,298,1,0,0,55,0
169,303,307,1,0,0,55,0
170,303,315,1,0,0,55,0
171,303,321,1,0,0,55,0
172,303,321,1,0,0,55,0
173,303,321,1,0,0,55,0
174,303,321,1,0,0,55,0
175,303,319,1,0,0,55,0
176,303,306,1,0,0,55,0
177,303,292,1,0,0,55,0
178,303,285,1,0,0,55,0
179,303,283,1,0,0,55,0
180,303,283,1,0,0,55,0
181,303,283,1,0,0,55,0
182,304,288,1,0,0,55,0
183,305,294,1,0,0,55,0
184,305,300,1,0,0,55,0
185,305,306,1,0,0,55,0
186,305,310,1,0,0,55,0
187,306,312,1,0,0,55,0
188,306,312,1,0,0,55,0
189,306,312,1,0,0,55,0
190,306,312,1,0,0,55,0
191,306,312,1,0,0,55,0
192,306,312,1,0,0,55,0
193,306,312,1,0,0,55,0
194,306,312,1,0,0,55,0
195,306,312,1,0,0,55,0
196,306,312,1,0,0,55,0
197,306,312,1,0,0,55,0
198,306,312,1,0,0,55,0
199,306,312,1,0,0,55,0
200,306,312,1,0,0,55,0
201,306,312,1,0,0,55,0
202,306,312,1,0,0,55,0
203,306,312,1,0,0,55,0
204,306,312,1,0,0,55,0
205,306,312,1,0,0,55,0
206,306,312,1,0,0,55,0
207,306,312,1,0,0,55,0
208,306,312,1,0,0,55,0
209,306,312,1,0,0,55,0
210,306,312,1,0,0,55,0
211,306,312,1,0,0,55,0
212,306,312,1,0,0,55,0
213,306,312,1,0,0,55,0
214,306,312,1,0,0,55,0
215,306,312,1,0,0,55,0
216,306,312,1,0,0,55,0
217,306,312,1,0,0,55,0
218,306,312,1,0,0,55,0
219,306,312,1,0,0,55,0
220,306,312,1,0,0,55,0
221,306,312,1,0,0,55,0
222,306,312,1,0,0,55,0
223,306,312,1,0,0,55,0
224,306,312,1,0,0,55,0
225,306,312,1,0,0,55,0
226,306,312,1,0,0,55,0
227,306,312,1,0,0,55,0
228,306,312,1,0,0,55,0
