t,x,y,fh,fv,r,s,frame:
0,137,24,0,0,78,-72,0
1,137,24,0,0,78,-72,0
2,137,24,0,0,78,-72,0
3,137,24,0,0,78,-72,0
4,137,24,0,0,78,-72,0
5,137,24,0,0,78,-72,0
6,137,24,0,0,78,-72,0
7,137,24,0,0,78,-72,0
8,137,24,0,0,78,-72,0
9,137,24,0,0,78,-72,0
10,137,24,0,0,78,-72,0
11,137,24,0,0,78,-72,0
12,137,24,0,0,78,-72,0
13,137,24,0,0,78,-72,0
14,137,24,0,0,78,-72,0
15,137,24,0,0,78,-72,0
16,137,24,0,0,78,-72,0
17,137,24,0,0,78,-72,0
18,137,24,0,0,78,-72,0
19,137,24,0,0,78,-72,0
20,137,24,0,0,78,-72,0
21,137,24,0,0,78,-72,0
22,137,24,0,0,78,-72,0
23,137,24,0,0,78,-72,0
24,137,24,0,0,78,-72,0
25,137,24,0,0,78,-72,0
26,137,24,0,0,78,-72,0
27,137,24,0,0,78,-72,0
28,137,24,0,0,78,-72,0
29,137,24,0,0,78,-72,0
30,137,24,0,0,78,-72,0
31,137,24,0,0,78,-72,0
32,137,24,0,0,78,-72,0
33,137,24,0,0,78,-72,0
34,137,24,0,0,78,-72,0
35,137,24,0,0,78,-72,0
36,137,24,0,0,78,-72,0
37,137,24,0,0,78,-72,0
38,137,24,0,0,78,-72,0
39,137,24,0,0,78,-72,0
40,137,24,0,0,78,-72,0
41,137,24,0,0,78,-72,0
42,137,24,0,0,78,-72,0
43,137,24,0,0,78,-72,0
44,137,24,0,0,78,-72,0
45,137,24,0,0,78,-72,0
46,137,24,0,0,78,-72,0
47,137,24,0,0,78,-72,0
48,137,24,0,0,78,-72,0
49,137,24,0,0,78,-72,0
50,137,24,0,0,78,-72,0
51,137,24,0,0,78,-72,0
52,137,24,0,0,78,-72,0
53,137,24,0,0,78,-72,0
54,137,24,0,0,78,-72,0
55,137,24,0,0,78,-72,0
56,-108,194,0,0,-84,-63,0
57,-108,194,0,0,-84,-63,0
58,-108,194,0,0,-84,-63,0
59,-108,194,0,0,-84,-63,0
60,-108,194,0,0,-84,-63,0
61,-108,194,0,0,-84,-63,0
62,-108,194,0,0,-84,-63,0
63,-108,194,0,0,-84,-63,0
64,-108,194,0,0,-84,-63,0
65,-108,194,0,0,-84,-63,0
66,-108,194,0,0,-84,-63,0
67,-108,194,0,0,-84,-63,0
68,-108,194,0,0,-84,-63,0
69,-108,194,0,0,-84,-63,0
70,-108,194,0,0,-84,-63,0
71,-108,194,0,0,-84,-63,0
72,-108,194,0,0,-84,-63,0
73,-108,194,0,0,-84,-63,0
74,-108,194,0,0,-84,-63,0
75,-108,194,0,0,-84,-63,0
76,-108,194,0,0,-84,-63,0
77,-108,194,0,0,-84,-63,0
78,-108,194,0,0,-84,-63,0
79,-108,194,0,0,-84,-63,0
80,-108,194,0,0,-84,-63,0
81,-107,194,0,0,-84,-63,0
82,-107,194,0,0,-84,-63,0
83,-107,194,0,0,-84,-63,0
84,-107,194,0,0,-84,-63,0
85,-107,194,0,0,-84,-63,0
86,-107,194,0,0,-84,-63,0
87,-107,194,0,0,-84,-63,0
88,-107,194,0,0,-84,-63,0
89,-107,194,0,0,-84,-63,0
90,-107,194,0,0,-84,-63,0
91,-107,194,0,0,-84,-63,0
92,-107,194,0,0,-84,-63,0
93,-107,194,0,0,-84,-63,0
94,-107,194,0,0,-84,-63,0
95,-107,194,0,0,-84,-63,0
96,-107,194,0,0,-84,-63,0
97,-107,194,0,0,-84,-63,0
98,-107,194,0,0,-84,-63,0
99,-107,194,0,0,-84,-63,0
100,-107,194,0,0,-84,-63,0
101,-107,194,0,0,-84,-63,0
102,-107,194,0,0,-84,-63,0
103,-107,194,0,0,-84,-63,0
104,-107,194,0,0,-84,-63,0
105,-107,194,0,0,-84,-63,0
106,-107,194,0,0,-84,-63,0
107,-107,194,0,0,-84,-63,0
108,-107,194,0,0,-84,-63,0
109,-107,194,0,0,-84,-63,0
110,-107,194,0,0,-84,-63,0
111,-107,194,0,0,-84,-63,0
112,-107,194,0,0,-84,-63,0
113,-107,194,0,0,-84,-63,0
114,-107,194,0,0,-84,-63,0
115,267,106,0,0,26,-63,1
116,267,106,0,0,26,-63,1
117,267,106,0,0,26,-63,1
118,267,106,0,0,26,-63,1
119,267,106,0,0,26,-63,1
120,267,106,0,0,26,-63,1
121,267,106,0,0,26,-63,1
122,267,106,0,0,26,-63,1
123,267,106,0,0,26,-63,1
124,267,106,0,0,26,-63,1
125,267,106,0,0,26,-63,1
126,267,106,0,0,26,-63,1
127,267,106,0,0,26,-63,1
128,267,106,0,0,26,-63,1
129,267,106,0,0,26,-63,1
130,267,106,0,0,26,-63,1
131,267,106,0,0,26,-63,1
132,267,106,0,0,26,-63,1
133,267,106,0,0,26,-63,1
134,267,106,0,0,26,-63,1
135,267,106,0,0,26,-63,1
136,267,106,0,0,26,-63,1
137,267,106,0,0,26,-63,1
138,267,106,0,0,26,-63,1
139,267,106,0,0,26,-63,1
140,267,106,0,0,26,-63,1
141,267,106,0,0,26,-63,1
142,267,106,0,0,26,-63,1
143,267,106,0,0,26,-63,1
144,267,106,0,0,26,-63,1
145,267,106,0,0,26,-63,1
146,267,106,0,0,26,-63,1
147,267,106,0,0,26,-63,1
148,267,106,0,0,26,-63,1
149,267,106,0,0,26,-63,1
150,267,106,0,0,26,-63,1
151,267,106,0,0,26,-63,1
152,267,106,0,0,26,-63,1
153,267,106,0,0,26,-63,1
154,267,106,0,0,26,-63,1
155,267,106,0,0,26,-63,1
156,267,106,0,0,26,-63,1
157,267,106,0,0,26,-63,1
158,267,106,0,0,26,-63,1
159,267,106,0,0,26,-63,1
160,267,106,0,0,26,-63,1
161,267,106,0,0,26,-63,1
162,267,106,0,0,26,-63,1
163,267,106,0,0,26,-63,1
164,267,106,0,0,26,-63,1
165,267,106,0,0,26,-63,1
166,267,106,0,0,26,-63,1
167,267,106,0,0,26,-63,1
168,267,106,0,0,26,-63,1
169,267,106,0,0,26,-63,1
170,267,106,0,0,26,-63,1
171,267,106,0,0,26,-63,1
172,267,106,0,0,26,-63,1
173,267,106,0,0,26,-63,1
174,267,106,0,0,26,-63,1
175,267,106,0,0,26,-63,1
176,267,106,0,0,26,-63,1
177,267,106,0,0,26,-63,1
178,267,106,0,0,26,-63,1
179,267,106,0,0,26,-63,1
180,267,106,0,0,26,-63,1
181,267,106,0,0,26,-63,1
182,267,106,0,0,26,-63,1
183,267,106,0,0,26,-63,1
184,267,106,0,0,26,-63,1
185,267,106,0,0,26,-63,1
186,267,106,0,0,26,-63,1
187,267,106,0,0,26,-63,1
188,267,106,0,0,26,-63,1
189,267,106,0,0,26,-63,1
190,267,106,0,0,26,-63,1
191,267,106,0,0,26,-63,1
192,267,106,0,0,26,-63,1
193,267,106,0,0,26,-63,1
194,267,106,0,0,26,-63,1
195,267,106,0,0,26,-63,1
196,267,106,0,0,26,-63,1
197,267,106,0,0,26,-63,1
198,267,106,0,0,26,-63,1
199,267,106,0,0,26,-63,1
200,267,106,0,0,26,-63,1
201,267,106,0,0,26,-63,1
202,267,106,0,0,26,-63,1
203,267,106,0,0,26,-63,1
204,267,106,0,0,26,-63,1
205,267,106,0,0,26,-63,1
206,267,106,0,0,26,-63,1
207,267,106,0,0,26,-63,1
208,267,106,0,0,26,-63,1
209,267,106,0,0,26,-63,1
210,267,106,0,0,26,-63,1
211,267,106,0,0,26,-63,1
212,267,106,0,0,26,-63,1
213,267,106,0,0,26,-63,1
214,267,106,0,0,26,-63,1
215,267,106,0,0,26,-63,1
216,267,106,0,0,26,-63,1
217,267,106,0,0,26,-63,1
218,-479,94,0,0,101,-63,0
219,-479,94,0,0,101,-63,0
220,-479,94,0,0,101,-63,0
221,-479,94,0,0,101,-63,0
222,-479,94,0,0,101,-63,0
223,-479,94,0,0,101,-63,0
224,-479,94,0,0,101,-63,0
225,-479,94,0,0,101,-63,0
226,-479,94,0,0,101,-63,0
227,-479,94,0,0,101,-63,0
228,-479,94,0,0,101,-63,0
229,-479,94,0,0,101,-63,0
230,-479,94,0,0,101,-63,0
231,-479,94,0,0,101,-63,0
232,-479,94,0,0,101,-63,0
233,-479,94,0,0,101,-63,0
234,-479,94,0,0,101,-63,0
235,-479,94,0,0,101,-63,0
236,-479,94,0,0,101,-63,0
237,-479,94,0,0,101,-63,0
238,-479,94,0,0,101,-63,0
239,-479,94,0,0,101,-63,0
240,-479,94,0,0,101,-63,0
241,-479,94,0,0,101,-63,0
242,-479,94,0,0,101,-63,0
243,-479,94,0,0,101,-63,0
244,-479,94,0,0,101,-63,0
245,-479,94,0,0,101,-63,0
246,-479,94,0,0,101,-63,0
247,-479,94,0,0,101,-63,0
248,-479,94,0,0,101,-63,0
249,-479,94,0,0,101,-63,0
250,-479,94,0,0,101,-63,0
251,-479,94,0,0,101,-63,0
252,-479,94,0,0,101,-63,0
253,-479,94,0,0,101,-63,0
254,-479,94,0,0,101,-63,0
255,-479,94,0,0,101,-63,0
256,-479,94,0,0,101,-63,0
257,-479,94,0,0,101,-63,0
258,-479,94,0,0,101,-63,0
259,-479,94,0,0,101,-63,0
260,-479,94,0,0,101,-63,0
261,-479,94,0,0,101,-63,0
262,-479,94,0,0,101,-63,0
263,-479,94,0,0,101,-63,0
264,-479,94,0,0,101,-63,0
265,-479,94,0,0,101,-63,0
266,-479,94,0,0,101,-63,0
267,-479,94,0,0,101,-63,0
268,-479,94,0,0,101,-63,0
269,-479,94,0,0,101,-63,0
270,-479,94,0,0,101,-63,0
271,-479,94,0,0,101,-63,0
272,-479,94,0,0,101,-63,0
273,-479,94,0,0,101,-63,0
274,-479,94,0,0,101,-63,0
275,-479,94,0,0,101,-63,0
276,-479,94,0,0,101,-63,0
277,-479,94,0,0,101,-63,0
278,-479,94,0,0,101,-63,0
279,-479,94,0,0,101,-63,0
280,-479,94,0,0,101,-63,0
281,-479,94,0,0,101,-63,0
282,-479,94,0,0,101,-63,0
283,-479,94,0,0,101,-63,0
284,-479,94,0,0,101,-63,0
285,-479,94,0,0,101,-63,0
286,-479,94,0,0,101,-63,0
287,-479,94,0,0,101,-63,0
288,-479,94,0,0,101,-63,0
289,-479,94,0,0,101,-63,0
290,-479,94,0,0,101,-63,0
291,-479,94,0,0,101,-63,0
292,-479,94,0,0,101,-63,0
293,-479,94,0,0,101,-63,0
294,-479,94,0,0,101,-63,0
295,-479,94,0,0,101,-63,0
296,-479,94,0,0,101,-63,0
297,-479,94,0,0,101,-63,0
298,-479,94,0,0,101,-63,0
299,-479,94,0,0,101,-63,0
300,-479,94,0,0,101,-63,0
301,-479,94,0,0,101,-63,0
302,-479,94,0,0,101,-63,0
303,-479,94,0,0,101,-63,0
304,-479,94,0,0,101,-63,0
305,-479,94,0,0,101,-63,0
306,164,25,0,0,24,-63,1
307,164,25,0,0,24,-63,1
308,164,25,0,0,24,-63,1
309,164,25,0,0,24,-63,1
310,164,25,0,0,24,-63,1
311,164,25,0,0,24,-63,1
312,164,25,0,0,24,-63,1
313,164,25,0,0,24,-63,1
314,164,25,0,0,24,-63,1
315,164,25,0,0,24,-63,1
316,164,25,0,0,24,-63,1
317,164,25,0,0,24,-63,1
318,164,25,0,0,24,-63,1
