t,x,y,fh,fv,r,s,frame:
0,-42,129,1,0,0,0,0
1,-42,129,1,0,0,0,0
2,-42,129,1,0,0,0,0
3,-42,129,1,0,0,0,0
4,-42,129,1,0,0,0,0
5,-42,129,1,0,0,0,0
6,-42,129,1,0,0,0,0
7,-42,129,1,0,0,0,0
8,-42,129,1,0,0,0,0
9,-42,129,1,0,0,0,0
10,-42,129,1,0,0,0,0
11,-42,129,1,0,0,0,0
12,-42,129,1,0,0,0,0
13,-42,129,1,0,0,0,0
14,-42,129,1,0,0,0,0
15,-42,129,1,0,0,0,0
16,-42,129,1,0,0,0,0
17,-42,129,1,0,0,0,0
18,-42,129,1,0,0,0,0
19,-42,129,1,0,0,0,0
20,-42,129,1,0,0,0,0
21,-42,129,1,0,0,0,0
22,-42,129,1,0,0,0,0
23,-42,129,1,0,0,0,0
24,-42,129,1,0,0,0,0
25,-42,129,1,0,0,0,0
26,-42,129,1,0,0,0,0
27,-42,129,1,0,0,0,0
28,-42,129,1,0,0,0,0
29,-42,129,1,0,0,0,0
30,-42,129,1,0,0,0,0
31,-42,129,1,0,0,0,0
32,-42,129,1,0,0,0,0
33,-42,129,1,0,0,0,0
34,-42,129,1,0,0,0,0
35,-42,129,1,0,0,0,0
36,-42,129,1,0,0,0,0
37,-42,129,1,0,0,0,0
38,-42,129,1,0,0,0,0
39,-42,129,1,0,0,0,0
40,-42,129,1,0,0,0,0
41,-42,129,1,0,0,0,0
42,-42,129,1,0,0,0,0
43,-42,129,1,0,0,0,0
44,-42,129,1,0,0,0,0
45,-42,129,1,0,0,0,0
46,-42,129,1,0,0,0,0
47,-42,129,1,0,0,0,0
48,-42,129,1,0,0,0,0
49,-42,129,1,0,0,0,0
50,-42,129,1,0,0,0,0
51,-42,129,1,0,0,0,0
52,-42,129,1,0,0,0,0
53,-42,129,1,0,0,0,0
54,-42,129,1,0,0,0,0
55,-42,129,1,0,0,0,0
56,-42,129,1,0,0,0,0
57,-42,129,1,0,0,0,0
58,-42,129,1,0,0,0,0
59,-42,129,1,0,0,0,0
60,-42,129,1,0,0,0,0
61,-42,129,1,0,0,0,0
62,-42,129,1,0,0,0,0
63,-42,129,1,0,0,0,0
