t,x,y,fh,fv,r,s,frame:
0,18,36,0,0,0,65,0
1,18,36,0,0,0,65,0
2,18,36,0,0,0,65,0
3,18,36,0,0,0,65,0
4,18,36,0,0,0,65,0
5,18,36,0,0,0,65,0
6,18,36,0,0,0,65,0
7,18,36,0,0,0,65,0
8,15,35,0,0,0,65,0
9,12,34,0,0,0,65,0
10,8,33,0,0,0,65,0
11,6,33,0,0,0,65,0
12,4,32,0,0,0,65,0
13,4,32,0,0,0,65,0
14,4,32,0,0,0,65,0
15,4,32,0,0,0,65,0
16,4,32,0,0,0,65,0
17,2,33,0,0,0,65,0
18,-1,33,0,0,0,65,0
19,-3,34,0,0,0,65,0
20,-4,35,0,0,0,65,0
21,-6,35,0,0,0,65,0
22,-9,36,0,0,0,65,0
23,-10,36,0,0,0,65,0
24,-12,36,0,0,0,65,0
25,-14,36,0,0,0,65,0
26,-15,36,0,0,0,65,0
27,-17,36,0,0,0,65,0
28,-18,36,0,0,0,65,0
29,-19,36,0,0,0,65,0
30,-21,36,0,0,0,65,0
31,-24,35,0,0,0,65,0
32,-25,34,0,0,0,65,0
33,-27,33,0,0,0,65,0
34,-27,32,0,0,0,65,0
35,-27,32,0,0,0,65,0
36,-27,32,0,0,0,65,0
37,-27,32,0,0,0,65,0
38,-27,32,0,0,0,65,0
39,-28,31,0,0,0,65,0
40,-28,30,0,0,0,65,0
41,-28,30,0,0,0,65,0
42,-28,29,0,0,0,65,0
43,-28,28,0,0,0,65,0
44,-29,28,0,0,0,65,0
45,-29,26,0,0,0,65,0
46,-29,25,0,0,0,65,0
47,-29,24,0,0,0,65,0
48,-29,24,0,0,0,65,0
49,-29,23,0,0,0,65,0
50,-29,23,0,0,0,65,0
51,-29,23,0,0,0,65,0
52,-29,23,0,0,0,65,0
53,-29,23,0,0,0,65,0
54,-29,23,0,0,0,65,0
55,-29,23,0,0,0,65,0
56,-28,23,0,0,0,65,0
57,-26,22,0,0,0,65,0
58,-25,22,0,0,0,65,0
59,-22,21,0,0,0,65,0
60,-20,20,0,0,0,65,0
61,-20,20,0,0,0,65,0
62,-19,20,0,0,0,65,0
63,-19,20,0,0,0,65,0
64,-19,20,0,0,0,65,0
65,-19,20,0,0,0,65,0
66,-18,20,0,0,0,65,0
67,-17,20,0,0,0,65,0
68,-16,21,0,0,0,65,0
69,-15,21,0,0,0,65,0
70,-15,22,0,0,0,65,0
71,-14,22,0,0,0,65,0
72,-14,22,0,0,0,65,0
73,-14,22,0,0,0,65,0
74,-14,22,0,0,0,65,0
75,-14,22,0,0,0,65,0
76,-13,22,0,0,0,65,0
77,-11,22,0,0,0,65,0
78,-5,23,0,0,0,65,0
79,-3,23,0,0,0,65,0
80,4,25,0,0,0,65,0
81,8,26,0,0,0,65,0
82,10,27,0,0,0,65,0
83,12,28,0,0,0,65,0
84,13,28,0,0,0,65,0
85,13,28,0,0,0,65,0
86,13,28,0,0,0,65,0
87,15,31,0,0,0,65,0
88,18,33,0,0,0,65,0
89,20,34,0,0,0,65,0
90,22,36,0,0,0,65,0
91,24,38,0,0,0,65,0
92,26,39,0,0,0,65,0
93,28,42,0,0,0,65,0
94,30,42,0,0,0,65,0
95,31,43,0,0,0,65,0
96,31,43,0,0,0,65,0
97,32,44,0,0,0,65,0
98,33,44,0,0,0,65,0
99,35,44,0,0,0,65,0
100,35,45,0,0,0,65,0
101,36,45,0,0,0,65,0
102,36,45,0,0,0,65,0
103,37,45,0,0,0,65,0
104,41,43,0,0,0,65,0
105,45,39,0,0,0,65,0
106,50,35,0,0,0,65,0
107,55,32,0,0,0,65,0
108,58,30,0,0,0,65,0
109,59,29,0,0,0,65,0
110,59,28,0,0,0,65,0
111,60,28,0,0,0,65,0
112,60,28,0,0,0,65,0
113,60,28,0,0,0,65,0
114,60,28,0,0,0,65,0
115,60,28,0,0,0,65,0
116,60,27,0,0,0,65,0
117,60,25,0,0,0,65,0
118,61,23,0,0,0,65,0
119,61,21,0,0,0,65,0
120,61,19,0,0,0,65,0
121,61,18,0,0,0,65,0
122,61,16,0,0,0,65,0
123,61,15,0,0,0,65,0
124,61,15,0,0,0,65,0
125,61,13,0,0,0,65,0
126,59,11,0,0,0,65,0
127,59,10,0,0,0,65,0
128,58,8,0,0,0,65,0
129,57,7,0,0,0,65,0
130,57,7,0,0,0,65,0
131,57,7,0,0,0,65,0
132,57,7,0,0,0,65,0
133,56,7,0,0,0,65,0
134,55,7,0,0,0,65,0
135,55,7,0,0,0,65,0
136,54,7,0,0,0,65,0
137,53,7,0,0,0,65,0
138,53,7,0,0,0,65,0
139,52,7,0,0,0,65,0
140,51,7,0,0,0,65,0
141,50,7,0,0,0,65,0
142,48,9,0,0,0,65,0
143,47,11,0,0,0,65,0
144,46,13,0,0,0,65,0
145,46,15,0,0,0,65,0
146,45,15,0,0,0,65,0
147,45,15,0,0,0,65,0
148,45,15,0,0,0,65,0
149,45,16,0,0,0,65,0
150,44,18,0,0,0,65,0
151,43,19,0,0,0,65,0
152,43,20,0,0,0,65,0
153,42,21,0,0,0,65,0
154,41,22,0,0,0,65,0
155,40,23,0,0,0,65,0
156,38,25,0,0,0,65,0
157,37,26,0,0,0,65,0
158,36,26,0,0,0,65,0
159,33,28,0,0,0,65,0
160,31,29,0,0,0,65,0
161,30,30,0,0,0,65,0
162,28,31,0,0,0,65,0
163,28,31,0,0,0,65,0
164,26,32,0,0,0,65,0
165,24,32,0,0,0,65,0
166,23,33,0,0,0,65,0
167,22,34,0,0,0,65,0
168,21,34,0,0,0,65,0
169,19,35,0,0,0,65,0
170,18,36,0,0,0,65,0
171,17,37,0,0,0,65,0
172,15,38,0,0,0,65,0
173,15,39,0,0,0,65,0
174,15,39,0,0,0,65,0
175,15,39,0,0,0,65,0
176,15,39,0,0,0,65,0
177,13,40,0,0,0,65,0
178,11,41,0,0,0,65,0
179,8,42,0,0,0,65,0
180,6,42,0,0,0,65,0
181,3,43,0,0,0,65,0
182,1,44,0,0,0,65,0
183,-2,45,0,0,0,65,0
184,-4,45,0,0,0,65,0
185,-7,45,0,0,0,65,0
186,-8,45,0,0,0,65,0
187,-10,45,0,0,0,65,0
188,-12,45,0,0,0,65,0
189,-12,45,0,0,0,65,0
190,-12,45,0,0,0,65,0
191,-12,46,0,0,0,65,0
192,-12,46,0,0,0,65,0
193,-13,46,0,0,0,65,0
194,-16,46,0,0,0,65,0
195,-17,46,0,0,0,65,0
196,-17,46,0,0,0,65,0
197,-17,46,0,0,0,65,0
198,-17,46,0,0,0,65,0
199,-17,46,0,0,0,65,0
200,-18,44,0,0,0,65,0
201,-18,44,0,0,0,65,0
202,-18,42,0,0,0,65,0
203,-19,42,0,0,0,65,0
204,-19,40,0,0,0,65,0
205,-20,38,0,0,0,65,0
206,-20,37,0,0,0,65,0
207,-20,35,0,0,0,65,0
208,-20,34,0,0,0,65,0
209,-19,33,0,0,0,65,0
210,-18,32,0,0,0,65,0
211,-17,32,0,0,0,65,0
212,-16,31,0,0,0,65,0
213,-14,30,0,0,0,65,0
214,-12,29,0,0,0,65,0
215,-11,29,0,0,0,65,0
216,-10,29,0,0,0,65,0
217,-10,29,0,0,0,65,0
218,-10,29,0,0,0,65,0
219,-8,29,0,0,0,65,0
220,-6,29,0,0,0,65,0
221,-5,29,0,0,0,65,0
222,-4,29,0,0,0,65,0
223,-4,29,0,0,0,65,0
224,-4,29,0,0,0,65,0
225,-3,29,0,0,0,65,0
226,-2,29,0,0,0,65,0
227,-1,30,0,0,0,65,0
228,0,30,0,0,0,65,0
229,2,32,0,0,0,65,0
230,3,33,0,0,0,65,0
231,3,34,0,0,0,65,0
232,4,34,0,0,0,65,0
233,4,35,0,0,0,65,0
234,5,35,0,0,0,65,0
235,6,35,0,0,0,65,0
236,8,36,0,0,0,65,0
237,9,36,0,0,0,65,0
238,10,37,0,0,0,65,0
239,11,37,0,0,0,65,0
240,12,37,0,0,0,65,0
241,13,37,0,0,0,65,0
242,15,37,0,0,0,65,0
243,17,37,0,0,0,65,0
244,19,37,0,0,0,65,0
245,21,37,0,0,0,65,0
246,22,37,0,0,0,65,0
247,23,36,0,0,0,65,0
248,23,36,0,0,0,65,0
249,24,35,0,0,0,65,0
250,24,34,0,0,0,65,0
251,25,32,0,0,0,65,0
252,25,30,0,0,0,65,0
253,25,29,0,0,0,65,0
254,25,27,0,0,0,65,0
255,25,26,0,0,0,65,0
256,25,25,0,0,0,65,0
257,25,24,0,0,0,65,0
