t,x,y,fh,fv,r,s,frame:
0,-172,147,0,0,18,-64,0
1,-172,147,0,0,18,-64,0
2,-172,147,0,0,18,-64,0
3,-172,147,0,0,18,-64,0
4,-172,147,0,0,18,-64,0
5,-172,147,0,0,18,-64,0
6,-172,147,0,0,18,-64,0
7,-172,144,0,0,18,-64,0
8,-173,140,0,0,18,-64,0
9,-174,137,0,0,18,-64,0
10,-175,134,0,0,18,-64,0
11,-177,130,0,0,18,-64,0
12,-180,126,0,0,18,-64,0
13,-182,121,0,0,18,-64,0
14,-185,116,0,0,18,-64,0
15,-187,112,0,0,18,-64,0
16,-189,108,0,0,18,-64,0
17,-190,104,0,0,18,-64,0
18,-193,100,0,0,18,-64,0
19,-194,97,0,0,18,-64,0
20,-195,95,0,0,18,-64,0
21,-197,90,0,0,18,-64,0
22,-199,88,0,0,18,-64,0
23,-200,86,0,0,18,-64,0
24,-201,84,0,0,18,-64,0
25,-202,83,0,0,18,-64,0
26,-203,81,0,0,18,-64,0
27,-204,80,0,0,18,-64,0
28,-204,80,0,0,18,-64,0
29,-205,80,0,0,18,-64,0
30,-205,80,0,0,18,-64,0
31,-205,79,0,0,18,-64,0
32,-207,78,0,0,18,-64,0
33,-210,77,0,0,18,-64,0
34,-211,77,0,0,18,-64,0
35,-212,77,0,0,18,-64,0
36,-212,76,0,0,18,-64,0
37,-213,76,0,0,18,-64,0
38,-213,76,0,0,18,-64,0
39,-213,76,0,0,18,-64,0
40,-215,76,0,0,18,-64,0
41,-220,77,0,0,18,-64,0
42,-221,77,0,0,18,-64,0
43,-223,78,0,0,18,-64,0
44,-224,78,0,0,18,-64,0
45,-224,78,0,0,18,-64,0
46,-225,79,0,0,18,-64,0
47,-225,79,0,0,18,-64,0
48,-226,81,0,0,18,-64,0
49,-226,81,0,0,18,-64,0
50,-227,82,0,0,18,-64,0
51,-227,82,0,0,18,-64,0
52,-227,83,0,0,18,-64,0
53,-228,84,0,0,18,-64,0
54,-228,86,0,0,18,-64,0
55,-229,88,0,0,18,-64,0
56,-229,90,0,0,18,-64,0
57,-230,92,0,0,18,-64,0
58,-231,96,0,0,18,-64,0
59,-232,99,0,0,18,-64,0
60,-233,101,0,0,18,-64,0
61,-234,103,0,0,18,-64,0
62,-235,105,0,0,18,-64,0
63,-236,107,0,0,18,-64,0
64,-237,109,0,0,18,-64,0
65,-238,111,0,0,18,-64,0
66,-239,114,0,0,18,-64,0
67,-239,115,0,0,18,-64,0
68,-240,117,0,0,18,-64,0
69,-241,119,0,0,18,-64,0
70,-242,121,0,0,18,-64,0
71,-243,123,0,0,18,-64,0
72,-244,125,0,0,18,-64,0
73,-244,126,0,0,18,-64,0
74,-244,126,0,0,18,-64,0
75,-244,127,0,0,18,-64,0
76,-244,130,0,0,18,-64,0
77,-244,133,0,0,18,-64,0
78,-244,135,0,0,18,-64,0
79,-245,136,0,0,18,-64,0
80,-245,137,0,0,18,-64,0
81,-245,137,0,0,18,-64,0
82,-245,137,0,0,18,-64,0
83,-245,137,0,0,18,-64,0
84,-245,137,0,0,18,-64,0
85,-245,137,0,0,18,-64,0
86,-245,137,0,0,18,-64,0
87,-245,137,0,0,18,-64,0
88,-245,137,0,0,18,-64,0
