t,x,y,fh,fv,r,s,frame:
0,-625,137,0,0,0,-36,0
1,-625,137,0,0,0,-36,0
2,-625,137,0,0,0,-36,0
3,-625,137,0,0,0,-36,0
4,-625,137,0,0,0,-36,0
5,-621,135,0,0,0,-36,0
6,-613,131,0,0,0,-36,0
7,-608,128,0,0,0,-36,0
8,-593,122,0,0,0,-36,0
9,-589,121,0,0,0,-36,0
10,-583,119,0,0,0,-36,0
11,-581,119,0,0,0,-36,0
12,-581,119,0,0,0,-36,0
13,-580,119,0,0,0,-36,0
14,-577,121,0,0,0,-36,0
15,-569,127,0,0,0,-36,0
16,-563,132,0,0,0,-36,0
17,-558,135,0,0,0,-36,0
18,-556,137,0,0,0,-36,0
19,-555,137,0,0,0,-36,0
20,-554,137,0,0,0,-36,0
21,-553,137,0,0,0,-36,0
22,-548,136,0,0,0,-36,0
23,-539,132,0,0,0,-36,0
24,-531,129,0,0,0,-36,0
25,-524,125,0,0,0,-36,0
26,-516,122,0,0,0,-36,0
27,-508,121,0,0,0,-36,0
28,-503,120,0,0,0,-36,0
29,-497,120,0,0,0,-36,0
30,-493,120,0,0,0,-36,0
31,-493,120,0,0,0,-36,0
32,-492,120,0,0,0,-36,0
33,-488,125,0,0,0,-36,0
34,-483,131,0,0,0,-36,0
35,-477,136,0,0,0,-36,0
36,-467,143,0,0,0,-36,0
37,-465,144,0,0,0,-36,0
38,-464,144,0,0,0,-36,0
39,-464,144,0,0,0,-36,0
40,-462,144,0,0,0,-36,0
41,-456,141,0,0,0,-36,0
42,-449,137,0,0,0,-36,0
43,-441,133,0,0,0,-36,0
44,-436,130,0,0,0,-36,0
45,-433,129,0,0,0,-36,0
46,-431,128,0,0,0,-36,0
47,-430,128,0,0,0,-36,0
48,-429,128,0,0,0,-36,0
49,-428,129,0,0,0,-36,0
50,-425,132,0,0,0,-36,0
51,-422,135,0,0,0,-36,0
52,-420,137,0,0,0,-36,0
53,-418,139,0,0,0,-36,0
54,-417,140,0,0,0,-36,0
55,-416,140,0,0,0,-36,0
56,-416,140,0,0,0,-36,0
57,-416,140,0,0,0,-36,0
58,-414,140,0,0,0,-36,0
59,-412,139,0,0,0,-36,0
60,-412,139,0,0,0,-36,0
61,-409,138,0,0,0,-36,0
62,-384,127,0,0,0,-36,0
63,-379,124,0,0,0,-36,0
64,-377,123,0,0,0,-36,0
65,-377,123,0,0,0,-36,0
66,-377,123,0,0,0,-36,0
67,-377,123,0,0,0,-36,0
68,-377,123,0,0,0,-36,0
69,-376,123,0,0,0,-36,0
70,-376,123,0,0,0,-36,0
71,-376,123,0,0,0,-36,0
72,-376,123,0,0,0,-36,0
73,-376,123,0,0,0,-36,0
74,-376,123,0,0,0,-36,0
75,-376,123,0,0,0,-36,0
76,-376,123,0,0,0,-36,0
77,-376,123,0,0,0,-36,0
78,-376,123,0,0,0,-36,0
79,-376,123,0,0,0,-36,0
80,-376,123,0,0,0,-36,0
81,-376,123,0,0,0,-36,0
82,-376,123,0,0,0,-36,0
83,-376,123,0,0,0,-36,0
84,-376,123,0,0,0,-36,0
85,-376,123,0,0,0,-36,0
86,-376,123,0,0,0,-36,0
87,-376,123,0,0,0,-36,0
88,-376,123,0,0,0,-36,0
89,-376,123,0,0,0,-36,0
90,-376,123,0,0,0,-36,0
91,-376,123,0,0,0,-36,0
92,-376,123,0,0,0,-36,0
93,-376,123,0,0,0,-36,0
94,-376,123,0,0,0,-36,0
95,-376,123,0,0,0,-36,0
96,-376,123,0,0,0,-36,0
97,-376,123,0,0,0,-36,0
98,-376,123,0,0,0,-36,0
99,-376,123,0,0,0,-36,0
100,-376,123,0,0,0,-36,0
101,-376,123,0,0,0,-36,0
102,-376,123,0,0,0,-36,0
103,-376,123,0,0,0,-36,0
104,-376,123,0,0,0,-36,0
105,-376,123,0,0,0,-36,0
106,-376,123,0,0,0,-36,0
107,-376,123,0,0,0,-36,0
108,-376,123,0,0,0,-36,0
109,-376,123,0,0,0,-36,0
110,-376,123,0,0,0,-36,0
111,-376,123,0,0,0,-36,0
112,-376,123,0,0,0,-36,0
113,-376,123,0,0,0,-36,0
114,-376,123,0,0,0,-36,0
115,-376,123,0,0,0,-36,0
116,-376,123,0,0,0,-36,0
117,-376,123,0,0,0,-36,0
118,-376,123,0,0,0,-36,0
119,-376,123,0,0,0,-36,0
120,-376,123,0,0,0,-36,0
121,-376,123,0,0,0,-36,0
122,-376,123,0,0,0,-36,0
123,-376,123,0,0,0,-36,0
124,-376,123,0,0,0,-36,0
125,-376,123,0,0,0,-36,0
126,-376,123,0,0,0,-36,0
127,-376,123,0,0,0,-36,0
128,-376,123,0,0,0,-36,0
129,-376,123,0,0,0,-36,0
130,-376,123,0,0,0,-36,0
131,-376,123,0,0,0,-36,0
132,-376,123,0,0,0,-36,0
133,-376,123,0,0,0,-36,0
134,-376,123,0,0,0,-36,0
135,-376,123,0,0,0,-36,0
136,-376,123,0,0,0,-36,0
137,-376,123,0,0,0,-36,0
138,-376,123,0,0,0,-36,0
139,-376,123,0,0,0,-36,0
140,-376,123,0,0,0,-36,0
141,-376,123,0,0,0,-36,0
142,-376,123,0,0,0,-36,0
143,-376,123,0,0,0,-36,0
144,-376,123,0,0,0,-36,0
145,-376,123,0,0,0,-36,0
146,-376,123,0,0,0,-36,0
147,-376,123,0,0,0,-36,0
148,-376,123,0,0,0,-36,0
149,-376,123,0,0,0,-36,0
150,-376,123,0,0,0,-36,0
151,-376,123,0,0,0,-36,0
152,-376,123,0,0,0,-36,0
153,-376,123,0,0,0,-36,0
154,-376,123,0,0,0,-36,0
155,-376,123,0,0,0,-36,0
156,-376,123,0,0,0,-36,0
157,-376,123,0,0,0,-36,0
158,-376,123,0,0,0,-36,0
159,-376,123,0,0,0,-36,0
160,-376,123,0,0,0,-36,0
161,-376,123,0,0,0,-36,0
162,-376,123,0,0,0,-36,0
163,-376,123,0,0,0,-36,0
164,-376,123,0,0,0,-36,0
165,-376,123,0,0,0,-36,0
166,-376,123,0,0,0,-36,0
167,-376,123,0,0,0,-36,0
168,-376,123,0,0,0,-36,0
169,-376,123,0,0,0,-36,0
170,-376,123,0,0,0,-36,0
171,-376,123,0,0,0,-36,0
172,-376,123,0,0,0,-36,0
173,-376,123,0,0,0,-36,0
174,-376,123,0,0,0,-36,0
175,-376,123,0,0,0,-36,0
176,-376,123,0,0,0,-36,0
177,-376,123,0,0,0,-36,0
178,-376,123,0,0,0,-36,0
179,-376,123,0,0,0,-36,0
