t,x,y,fh,fv,r,s,frame:
0,81,-133,0,0,0,-87,0
1,81,-133,0,0,0,-87,0
2,81,-133,0,0,0,-87,0
3,81,-133,0,0,0,-87,0
4,82,-133,0,0,0,-87,0
5,82,-133,0,0,0,-87,0
6,82,-133,0,0,0,-87,0
7,82,-133,0,0,0,-87,0
8,82,-133,0,0,0,-87,0
9,82,-133,0,0,0,-87,0
10,82,-133,0,0,0,-87,0
11,82,-133,0,0,0,-87,0
12,83,-133,0,0,0,-87,0
13,83,-133,0,0,0,-87,0
14,83,-133,0,0,0,-87,0
15,83,-133,0,0,0,-87,0
16,83,-133,0,0,0,-87,0
17,83,-133,0,0,0,-87,0
18,84,-133,0,0,0,-87,0
19,84,-133,0,0,0,-87,0
20,84,-133,0,0,0,-87,0
21,85,-133,0,0,0,-87,0
22,85,-133,0,0,0,-87,0
23,85,-133,0,0,0,-87,0
24,85,-133,0,0,0,-87,0
25,85,-133,0,0,0,-87,0
26,85,-133,0,0,0,-87,0
27,85,-133,0,0,0,-87,0
28,85,-133,0,0,0,-87,0
29,85,-133,0,0,0,-87,0
30,86,-133,0,0,0,-87,0
31,86,-133,0,0,0,-87,0
32,86,-133,0,0,0,-87,0
33,86,-134,0,0,0,-87,0
34,87,-134,0,0,0,-87,0
35,87,-134,0,0,0,-87,0
36,87,-134,0,0,0,-87,0
37,87,-134,0,0,0,-87,0
38,87,-134,0,0,0,-87,0
39,87,-134,0,0,0,-87,0
40,88,-134,0,0,0,-87,0
41,88,-134,0,0,0,-87,0
42,88,-134,0,0,0,-87,0
43,88,-134,0,0,0,-87,0
44,88,-134,0,0,0,-87,0
45,89,-134,0,0,0,-87,0
46,89,-133,0,0,0,-87,0
47,89,-133,0,0,0,-87,0
48,89,-133,0,0,0,-87,0
49,89,-133,0,0,0,-87,0
50,89,-133,0,0,0,-87,0
51,89,-132,0,0,0,-87,0
52,89,-131,0,0,0,-87,0
53,89,-131,0,0,0,-87,0
54,89,-131,0,0,0,-87,0
55,89,-131,0,0,0,-87,0
56,89,-130,0,0,0,-87,0
57,89,-130,0,0,0,-87,0
58,88,-130,0,0,0,-87,0
59,88,-130,0,0,0,-87,0
60,88,-129,0,0,0,-87,0
61,88,-129,0,0,0,-87,0
62,87,-128,0,0,0,-87,0
63,87,-128,0,0,0,-87,0
64,87,-128,0,0,0,-87,0
65,86,-128,0,0,0,-87,0
66,86,-128,0,0,0,-87,0
67,85,-128,0,0,0,-87,0
68,85,-128,0,0,0,-87,0
69,84,-127,0,0,0,-87,0
70,83,-127,0,0,0,-87,0
71,83,-126,0,0,0,-87,0
72,83,-126,0,0,0,-87,0
73,82,-126,0,0,0,-87,0
74,82,-126,0,0,0,-87,0
75,82,-126,0,0,0,-87,0
76,81,-126,0,0,0,-87,0
77,81,-126,0,0,0,-87,0
78,81,-126,0,0,0,-87,0
79,81,-126,0,0,0,-87,0
80,81,-126,0,0,0,-87,0
81,80,-126,0,0,0,-87,0
82,80,-126,0,0,0,-87,0
83,79,-126,0,0,0,-87,0
84,79,-126,0,0,0,-87,0
85,79,-126,0,0,0,-87,0
86,78,-126,0,0,0,-87,0
87,78,-126,0,0,0,-87,0
88,78,-126,0,0,0,-87,0
89,77,-126,0,0,0,-87,0
90,77,-126,0,0,0,-87,0
91,76,-126,0,0,0,-87,0
92,76,-126,0,0,0,-87,0
93,75,-126,0,0,0,-87,0
94,75,-126,0,0,0,-87,0
95,75,-126,0,0,0,-87,0
96,75,-126,0,0,0,-87,0
97,74,-127,0,0,0,-87,0
98,74,-127,0,0,0,-87,0
99,74,-127,0,0,0,-87,0
100,74,-127,0,0,0,-87,0
101,73,-127,0,0,0,-87,0
102,73,-127,0,0,0,-87,0
103,73,-127,0,0,0,-87,0
104,73,-127,0,0,0,-87,0
105,73,-127,0,0,0,-87,0
106,73,-127,0,0,0,-87,0
107,73,-127,0,0,0,-87,0
108,72,-128,0,0,0,-87,0
109,72,-128,0,0,0,-87,0
110,72,-128,0,0,0,-87,0
111,72,-128,0,0,0,-87,0
112,72,-128,0,0,0,-87,0
113,72,-128,0,0,0,-87,0
114,72,-128,0,0,0,-87,0
115,72,-128,0,0,0,-87,0
116,71,-128,0,0,0,-87,0
117,71,-128,0,0,0,-87,0
118,71,-128,0,0,0,-87,0
