t,x,y,fh,fv,r,s,frame:
0,-282,138,0,0,0,-60,0
1,-282,138,0,0,0,-60,0
2,-282,138,0,0,0,-60,0
3,-282,138,0,0,0,-60,0
4,-282,138,0,0,0,-60,0
5,-282,138,0,0,0,-60,0
6,-282,138,0,0,0,-60,0
7,-282,138,0,0,0,-60,0
8,-282,138,0,0,0,-60,0
9,-282,138,0,0,0,-60,0
10,-282,138,0,0,0,-60,0
11,-282,138,0,0,0,-60,0
12,-282,138,0,0,0,-60,0
13,-282,138,0,0,0,-60,0
14,-282,138,0,0,0,-60,0
15,-282,138,0,0,0,-60,0
16,-282,138,0,0,0,-60,0
17,-282,138,0,0,0,-60,0
18,-282,138,0,0,0,-60,0
19,-282,138,0,0,0,-60,0
20,-282,138,0,0,0,-60,0
21,-281,137,0,0,0,-60,0
22,-277,135,0,0,0,-60,0
23,-272,132,0,0,0,-60,0
24,-266,129,0,0,0,-60,0
25,-260,128,0,0,0,-60,0
26,-259,128,0,0,0,-60,0
27,-258,128,0,0,0,-60,0
28,-258,129,0,0,0,-60,0
29,-257,133,0,0,0,-60,0
30,-256,137,0,0,0,-60,0
31,-253,143,0,0,0,-60,0
32,-250,147,0,0,0,-60,0
33,-249,148,0,0,0,-60,0
34,-249,148,0,0,0,-60,0
35,-249,148,0,0,0,-60,0
36,-249,148,0,0,0,-60,0
37,-246,146,0,0,0,-60,0
38,-243,143,0,0,0,-60,0
39,-238,140,0,0,0,-60,0
40,-235,139,0,0,0,-60,0
41,-234,139,0,0,0,-60,0
42,-234,139,0,0,0,-60,0
43,-234,139,0,0,0,-60,0
44,-232,143,0,0,0,-60,0
45,-230,147,0,0,0,-60,0
46,-226,151,0,0,0,-60,0
47,-222,155,0,0,0,-60,0
48,-217,157,0,0,0,-60,0
49,-213,159,0,0,0,-60,0
50,-206,159,0,0,0,-60,0
51,-199,159,0,0,0,-60,0
52,-191,155,0,0,0,-60,0
53,-186,152,0,0,0,-60,0
54,-182,149,0,0,0,-60,0
55,-181,147,0,0,0,-60,0
56,-181,147,0,0,0,-60,0
57,-181,147,0,0,0,-60,0
58,-181,147,0,0,0,-60,0
59,-181,147,0,0,0,-60,0
60,-180,147,0,0,0,-60,0
61,-180,148,0,0,0,-60,0
62,-180,148,0,0,0,-60,0
63,-180,149,0,0,0,-60,0
64,-180,149,0,0,0,-60,0
65,-180,149,0,0,0,-60,0
66,-180,149,0,0,0,-60,0
67,-180,149,0,0,0,-60,0
68,-180,149,0,0,0,-60,0
69,-180,149,0,0,0,-60,0
70,-180,149,0,0,0,-60,0
71,-180,148,0,0,-29,-60,0
72,-180,148,0,0,-29,-60,0
73,-180,148,0,0,-29,-60,0
74,-180,148,0,0,-29,-60,0
75,-180,148,0,0,-29,-60,0
76,-180,148,0,0,-29,-60,0
77,-180,148,0,0,-29,-60,0
78,-180,147,0,0,-29,-60,0
79,-179,141,0,0,-29,-60,0
80,-178,132,0,0,-29,-60,0
81,-175,121,0,0,-29,-60,0
82,-172,109,0,0,-29,-60,0
83,-169,96,0,0,-29,-60,0
84,-166,82,0,0,-29,-60,0
85,-163,71,0,0,-29,-60,0
86,-160,59,0,0,-29,-60,0
87,-156,50,0,0,-29,-60,0
88,-149,37,0,0,-29,-60,0
89,-144,27,0,0,-29,-60,0
90,-138,17,0,0,-29,-60,0
91,-134,12,0,0,-29,-60,0
92,-127,4,0,0,-29,-60,0
93,-121,-2,0,0,-29,-60,0
94,-120,-4,0,0,-29,-60,0
95,-119,-6,0,0,-29,-60,0
96,-116,-9,0,0,-29,-60,0
97,-113,-13,0,0,-29,-60,0
98,-107,-19,0,0,-29,-60,0
99,-102,-24,0,0,-29,-60,0
100,-97,-28,0,0,-29,-60,0
101,-90,-33,0,0,-29,-60,0
102,-84,-37,0,0,-29,-60,0
103,-78,-41,0,0,-29,-60,0
104,-71,-45,0,0,-29,-60,0
105,-66,-47,0,0,-29,-60,0
106,-59,-49,0,0,-29,-60,0
107,-53,-50,0,0,-29,-60,0
108,-45,-52,0,0,-29,-60,0
109,-35,-53,0,0,-29,-60,0
110,-28,-53,0,0,-29,-60,0
111,-13,-53,0,0,-29,-60,0
112,-3,-53,0,0,-29,-60,0
113,4,-53,0,0,-29,-60,0
114,12,-53,0,0,-29,-60,0
115,21,-52,0,0,-29,-60,0
116,29,-51,0,0,-29,-60,0
117,37,-49,0,0,-29,-60,0
118,42,-48,0,0,-29,-60,0
119,50,-45,0,0,-29,-60,0
120,55,-44,0,0,-29,-60,0
121,59,-42,0,0,-29,-60,0
122,62,-40,0,0,-29,-60,0
123,65,-39,0,0,-29,-60,0
124,67,-37,0,0,-29,-60,0
125,69,-34,0,0,-29,-60,0
126,71,-32,0,0,-29,-60,0
127,74,-30,0,0,-29,-60,0
128,76,-26,0,0,-29,-60,0
129,80,-20,0,0,-29,-60,0
130,84,-15,0,0,-29,-60,0
131,87,-11,0,0,-29,-60,0
132,90,-5,0,0,-29,-60,0
133,93,-1,0,0,-29,-60,0
134,96,5,0,0,-29,-60,0
135,99,11,0,0,-29,-60,0
136,102,16,0,0,-29,-60,0
137,105,22,0,0,-29,-60,0
138,108,26,0,0,-29,-60,0
139,110,30,0,0,-29,-60,0
140,111,33,0,0,-29,-60,0
141,113,37,0,0,-29,-60,0
142,114,41,0,0,-29,-60,0
143,115,44,0,0,-29,-60,0
144,116,47,0,0,-29,-60,0
145,117,49,0,0,-29,-60,0
146,119,53,0,0,-29,-60,0
147,120,55,0,0,-29,-60,0
148,120,56,0,0,-29,-60,0
149,120,56,0,0,-29,-60,0
150,121,56,0,0,-29,-60,0
151,121,57,0,0,-29,-60,0
152,121,57,0,0,-29,-60,0
153,121,58,0,0,-29,-60,0
154,121,58,0,0,-29,-60,0
155,121,58,0,0,-29,-60,0
156,121,58,0,0,-29,-60,0
157,121,58,0,0,-29,-60,0
158,121,58,0,0,-29,-60,0
159,121,58,0,0,-29,-60,0
160,121,58,0,0,-29,-60,0
161,121,58,0,0,-29,-60,0
162,121,58,0,0,-29,-60,0
163,121,58,0,0,-29,-60,0
164,121,58,0,0,-29,-60,0
165,121,58,0,0,-29,-60,0
166,121,58,0,0,-29,-60,0
167,121,57,0,0,-29,-60,0
168,121,57,0,0,-29,-60,1
169,121,57,0,0,-29,-60,1
170,121,57,0,0,-29,-60,1
171,121,57,0,0,-29,-60,1
172,121,57,0,0,-29,-60,1
173,121,57,0,0,-29,-60,1
174,121,57,0,0,-29,-60,1
175,121,57,0,0,-29,-60,1
176,121,57,0,0,-29,-60,1
177,121,57,0,0,-29,-60,1
178,121,57,0,0,-29,-60,1
179,121,57,0,0,-29,-60,1
180,121,57,0,0,-29,-60,1
181,121,57,0,0,-29,-60,1
182,121,57,0,0,-29,-60,1
183,121,57,0,0,-29,-60,1
184,121,57,0,0,-29,-60,1
185,121,57,0,0,-29,-60,1
186,121,57,0,0,-29,-60,1
187,121,57,0,0,-29,-60,1
188,121,57,0,0,-29,-60,1
189,121,57,0,0,-29,-60,1
190,121,57,0,0,-29,-60,1
191,121,57,0,0,-29,-60,1
192,121,57,0,0,-29,-60,1
193,121,57,0,0,-29,-60,1
194,121,57,0,0,-29,-60,1
195,121,57,0,0,-29,-60,1
196,121,57,0,0,-29,-60,1
197,121,57,0,0,-29,-60,1
198,121,57,0,0,-29,-60,1
199,121,57,0,0,-29,-60,1
200,121,57,0,0,-29,-60,1
201,121,57,0,0,-29,-60,1
202,121,57,0,0,-29,-60,1
203,121,57,0,0,-29,-60,1
204,121,57,0,0,-29,-60,1
205,121,57,0,0,-29,-60,1
206,121,57,0,0,-29,-60,1
207,121,57,0,0,-29,-60,1
208,121,57,0,0,-29,-60,1
209,121,57,0,0,-29,-60,1
210,121,57,0,0,-29,-60,1
211,121,57,0,0,-29,-60,1
212,121,57,0,0,-29,-60,1
213,121,57,0,0,-29,-60,1
214,121,57,0,0,-29,-60,1
215,121,57,0,0,-29,-60,1
216,121,57,0,0,-29,-60,1
217,121,57,0,0,-29,-60,1
218,121,57,0,0,-29,-60,1
219,121,57,0,0,-29,-60,1
220,121,57,0,0,-29,-60,1
221,121,57,0,0,-29,-60,1
222,121,57,0,0,-29,-60,1
223,121,57,0,0,-29,-60,1
224,121,57,0,0,-29,-60,1
225,121,57,0,0,-29,-60,1
226,121,57,0,0,-29,-60,1
227,121,57,0,0,-29,-60,1
228,121,57,0,0,-29,-60,1
229,121,57,0,0,-29,-60,1
230,121,57,0,0,-29,-60,1
231,121,57,0,0,-29,-60,1
232,121,57,0,0,-29,-60,1
233,121,57,0,0,-29,-60,1
234,121,57,0,0,-29,-60,1
235,121,57,0,0,-29,-60,1
236,121,57,0,0,-29,-60,1
237,121,57,0,0,-29,-60,1
238,121,57,0,0,-29,-60,1
239,121,57,0,0,-29,-60,1
240,121,57,0,0,-29,-60,1
241,121,57,0,0,-29,-60,1
242,121,57,0,0,-29,-60,1
243,121,57,0,0,-29,-60,1
244,121,57,0,0,-29,-60,1
245,121,57,0,0,-29,-60,1
246,121,57,0,0,-29,-60,1
247,121,57,0,0,-29,-60,1
248,121,57,0,0,-29,-60,1
249,121,57,0,0,-29,-60,1
250,121,57,0,0,-29,-60,1
251,121,57,0,0,-29,-60,1
252,121,57,0,0,-29,-60,1
253,121,57,0,0,-29,-60,1
254,121,57,0,0,-29,-60,1
255,121,57,0,0,-29,-60,1
256,121,57,0,0,-29,-60,1
257,121,57,0,0,-29,-60,1
258,121,57,0,0,-29,-60,1
259,121,57,0,0,-29,-60,1
260,121,57,0,0,-29,-60,1
261,121,57,0,0,-29,-60,1
262,121,57,0,0,-29,-60,1
263,121,57,0,0,-29,-60,1
264,121,57,0,0,-29,-60,1
265,121,57,0,0,-29,-60,1
266,121,57,0,0,-29,-60,1
267,121,57,0,0,-29,-60,1
268,121,57,0,0,-29,-60,1
269,121,57,0,0,-29,-60,1
270,121,57,0,0,-29,-60,1
271,121,57,0,0,-29,-60,1
272,121,57,0,0,-29,-60,1
273,121,57,0,0,-29,-60,1
274,121,57,0,0,-29,-60,1
275,121,57,0,0,-29,-60,1
276,121,57,0,0,-29,-60,1
277,121,57,0,0,-29,-60,1
278,121,57,0,0,-29,-60,1
279,121,57,0,0,-29,-60,1
280,121,57,0,0,-29,-60,1
281,121,57,0,0,-29,-60,1
282,121,57,0,0,-29,-60,1
