t,x,y,fh,fv,r,s,frame:
0,179,210,0,0,0,-129,1
1,179,210,0,0,0,-129,1
2,179,210,0,0,0,-129,1
3,179,210,0,0,0,-129,1
4,179,210,0,0,0,-129,1
5,179,210,0,0,0,-129,1
6,179,210,0,0,0,-129,1
7,179,210,0,0,0,-129,1
8,179,210,0,0,0,-129,1
9,179,210,0,0,0,-129,1
10,179,210,0,0,0,-129,1
11,179,210,0,0,0,-129,1
12,179,210,0,0,0,-129,1
13,179,210,0,0,0,-129,1
14,179,210,0,0,0,-129,1
15,179,210,0,0,0,-129,1
16,179,210,0,0,0,-129,1
17,179,210,0,0,0,-129,1
18,179,210,0,0,0,-129,1
19,179,210,0,0,0,-129,1
20,179,210,0,0,0,-129,1
21,179,210,0,0,0,-129,1
22,179,210,0,0,0,-129,1
23,179,210,0,0,0,-129,1
24,179,210,0,0,0,-129,1
25,179,210,0,0,0,-129,1
26,179,210,0,0,0,-129,1
27,179,210,0,0,0,-129,1
28,179,210,0,0,0,-129,1
29,179,210,0,0,0,-129,1
30,179,210,0,0,0,-129,1
31,179,210,0,0,0,-129,1
32,179,210,0,0,0,-129,1
33,179,210,0,0,0,-129,1
34,179,210,0,0,0,-129,1
35,179,210,0,0,0,-129,1
36,179,210,0,0,0,-129,1
37,179,210,0,0,0,-129,1
38,179,210,0,0,0,-129,1
39,179,210,0,0,0,-129,1
40,179,210,0,0,0,-129,1
41,179,210,0,0,0,-129,1
42,179,210,0,0,0,-129,1
43,179,210,0,0,0,-129,1
44,179,210,0,0,0,-129,1
45,179,210,0,0,0,-129,1
46,179,210,0,0,0,-129,1
47,179,210,0,0,0,-129,1
48,179,210,0,0,0,-129,1
49,179,210,0,0,0,-129,1
50,179,210,0,0,0,-129,1
51,179,210,0,0,0,-129,1
52,179,210,0,0,0,-129,1
53,179,210,0,0,0,-129,1
54,179,210,0,0,0,-129,1
55,179,210,0,0,0,-129,1
56,179,210,0,0,0,-129,1
57,179,210,0,0,0,-129,1
58,179,210,0,0,0,-129,1
59,179,210,0,0,0,-129,1
60,179,210,0,0,0,-129,1
61,179,210,0,0,0,-129,1
62,179,210,0,0,0,-129,1
63,179,210,0,0,0,-129,1
64,179,210,0,0,0,-129,1
65,179,210,0,0,0,-129,1
66,179,210,0,0,0,-129,1
67,179,210,0,0,0,-129,1
68,179,210,0,0,0,-129,1
69,179,210,0,0,0,-129,1
70,179,210,0,0,0,-129,1
71,179,210,0,0,0,-129,1
72,179,210,0,0,0,-129,1
73,179,210,0,0,0,-129,1
74,179,210,0,0,0,-129,1
75,179,210,0,0,0,-129,1
76,179,210,0,0,0,-129,1
77,179,210,0,0,0,-129,1
78,179,210,0,0,0,-129,1
79,179,210,0,0,0,-129,1
80,179,210,0,0,0,-129,1
81,179,210,0,0,0,-129,1
82,179,210,0,0,0,-129,1
83,179,210,0,0,0,-129,1
84,179,210,0,0,0,-129,1
85,179,210,0,0,0,-129,1
86,179,210,0,0,0,-129,1
87,179,210,0,0,0,-129,1
88,179,210,0,0,0,-129,1
