t,x,y,fh,fv,r,s,frame:
0,-500,62,0,0,0,-67,0
1,-500,62,0,0,0,-67,0
2,-500,62,0,0,0,-67,0
3,-500,62,0,0,0,-67,0
4,-500,62,0,0,0,-67,0
5,-498,65,0,0,0,-67,0
6,-494,68,0,0,0,-67,0
7,-492,70,0,0,0,-67,0
8,-489,71,0,0,0,-67,0
9,-485,72,0,0,0,-67,0
10,-481,72,0,0,0,-67,0
11,-478,72,0,0,0,-67,0
12,-474,71,0,0,0,-67,0
13,-469,70,0,0,0,-67,0
14,-464,68,0,0,0,-67,0
15,-460,67,0,0,0,-67,0
16,-455,66,0,0,0,-67,0
17,-451,66,0,0,0,-67,0
18,-449,66,0,0,0,-67,0
19,-447,66,0,0,0,-67,0
20,-445,67,0,0,0,-67,0
21,-442,70,0,0,0,-67,0
22,-437,74,0,0,0,-67,0
23,-431,78,0,0,0,-67,0
24,-422,83,0,0,0,-67,0
25,-418,84,0,0,0,-67,0
26,-416,85,0,0,0,-67,0
27,-415,85,0,0,0,-67,0
28,-414,85,0,0,0,-67,0
29,-411,85,0,0,0,-67,0
30,-405,85,0,0,0,-67,0
31,-399,83,0,0,0,-67,0
32,-392,81,0,0,0,-67,0
33,-386,79,0,0,0,-67,0
34,-380,78,0,0,0,-67,0
35,-375,78,0,0,0,-67,0
36,-371,78,0,0,0,-67,0
37,-368,79,0,0,0,-67,0
38,-363,83,0,0,0,-67,0
39,-358,86,0,0,0,-67,0
40,-354,88,0,0,0,-67,0
41,-350,90,0,0,0,-67,0
42,-346,91,0,0,0,-67,0
43,-341,93,0,0,0,-67,0
44,-339,93,0,0,0,-67,0
45,-330,95,0,0,0,-67,0
46,-324,95,0,0,0,-67,0
47,-318,95,0,0,0,-67,0
48,-313,94,0,0,0,-67,0
49,-306,92,0,0,0,-67,0
50,-300,91,0,0,0,-67,0
51,-291,88,0,0,0,-67,0
52,-283,86,0,0,0,-67,0
53,-275,85,0,0,0,-67,0
54,-269,85,0,0,0,-67,0
55,-264,85,0,0,0,-67,0
56,-261,88,0,0,0,-67,0
57,-258,90,0,0,0,-67,0
58,-253,94,0,0,0,-67,0
59,-248,97,0,0,0,-67,0
60,-243,101,0,0,0,-67,0
61,-234,108,0,0,0,-67,0
62,-230,111,0,0,0,-67,0
63,-229,112,0,0,0,-67,0
64,-226,112,0,0,0,-67,0
65,-224,112,0,0,0,-67,0
66,-223,112,0,0,0,-67,0
67,-218,111,0,0,0,-67,0
68,-218,111,0,0,0,-67,0
69,-210,109,0,0,0,-67,0
70,-202,106,0,0,0,-67,0
71,-202,106,0,0,0,-67,0
72,-202,106,0,0,0,-67,0
73,-191,103,0,0,0,-67,0
74,-187,103,0,0,0,-67,0
75,-185,104,0,0,0,-67,0
76,-182,105,0,0,0,-67,0
77,-179,108,0,0,0,-67,0
78,-176,110,0,0,0,-67,0
79,-172,112,0,0,0,-67,0
80,-166,114,0,0,0,-67,0
81,-161,116,0,0,0,-67,0
82,-158,116,0,0,0,-67,0
83,-156,116,0,0,0,-67,0
84,-154,117,0,0,0,-67,0
85,-151,117,0,0,0,-67,0
86,-147,117,0,0,0,-67,0
87,-143,117,0,0,0,-67,0
88,-140,118,0,0,0,-67,0
89,-137,119,0,0,0,-67,0
90,-135,119,0,0,0,-67,0
91,-134,119,0,0,0,-67,0
92,-132,119,0,0,0,-67,0
93,-131,119,0,0,0,-67,0
94,-131,119,0,0,0,-67,0
95,-131,119,0,0,0,-67,0
96,-131,119,0,0,0,-67,0
97,-131,119,0,0,0,-67,0
98,-131,119,0,0,0,-67,0
99,-131,119,0,0,0,-67,0
100,-131,119,0,0,0,-67,0
101,-131,119,0,0,0,-67,0
102,-131,119,0,0,0,-67,0
103,-131,119,0,0,0,-67,0
104,-131,119,0,0,0,-67,0
105,-131,119,0,0,0,-67,0
