t,x,y,fh,fv,r,s,frame:
0,-8,-103,0,0,0,-98,0
1,-8,-103,0,0,0,-98,0
2,-8,-103,0,0,0,-98,0
3,-8,-103,0,0,0,-98,0
4,-8,-103,0,0,0,-98,0
5,-8,-103,0,0,0,-98,0
6,-8,-103,0,0,0,-98,0
7,-8,-103,0,0,0,-98,0
8,-8,-103,0,0,0,-98,0
9,-8,-103,0,0,0,-98,0
10,-8,-103,0,0,0,-98,0
11,-7,-102,0,0,0,-98,0
12,-7,-102,0,0,0,-98,0
13,-7,-102,0,0,0,-98,0
14,-6,-102,0,0,0,-98,0
15,-6,-101,0,0,0,-98,0
16,-6,-101,0,0,0,-98,0
17,-6,-101,0,0,0,-98,0
18,-5,-101,0,0,0,-98,0
19,-5,-100,0,0,0,-98,0
20,-5,-100,0,0,0,-98,0
21,-5,-100,0,0,0,-98,0
22,-5,-100,0,0,0,-98,0
23,-5,-100,0,0,0,-98,0
24,-4,-100,0,0,0,-98,0
25,-4,-100,0,0,0,-98,0
26,-4,-100,0,0,0,-98,0
27,-4,-100,0,0,0,-98,0
28,-3,-99,0,0,0,-98,0
29,-3,-99,0,0,0,-98,0
30,-3,-99,0,0,0,-98,0
31,-3,-99,0,0,0,-98,0
32,-2,-99,0,0,0,-98,0
33,-2,-98,0,0,0,-98,0
34,-1,-98,0,0,0,-98,0
35,-1,-98,0,0,0,-98,0
36,-1,-98,0,0,0,-98,0
37,0,-98,0,0,0,-98,0
38,0,-98,0,0,0,-98,0
39,0,-98,0,0,0,-98,0
40,1,-98,0,0,0,-98,0
41,1,-98,0,0,0,-98,0
42,1,-98,0,0,0,-98,0
43,1,-98,0,0,0,-98,0
44,2,-98,0,0,0,-98,0
45,2,-98,0,0,0,-98,0
46,3,-99,0,0,0,-98,0
47,3,-99,0,0,0,-98,0
48,4,-99,0,0,0,-98,0
49,4,-99,0,0,0,-98,0
50,4,-99,0,0,0,-98,0
51,4,-99,0,0,0,-98,0
52,4,-99,0,0,0,-98,0
53,4,-99,0,0,0,-98,0
54,4,-99,0,0,0,-98,0
55,4,-99,0,0,0,-98,0
56,4,-99,0,0,0,-98,0
57,5,-99,0,0,0,-98,0
58,5,-100,0,0,0,-98,0
59,6,-100,0,0,0,-98,0
60,6,-100,0,0,0,-98,0
61,6,-100,0,0,0,-98,0
62,6,-100,0,0,0,-98,0
63,6,-100,0,0,0,-98,0
64,6,-100,0,0,0,-98,0
65,6,-100,0,0,0,-98,0
66,6,-100,0,0,0,-98,0
67,6,-100,0,0,0,-98,0
68,7,-101,0,0,0,-98,0
69,7,-101,0,0,0,-98,0
70,7,-101,0,0,0,-98,0
71,8,-101,0,0,0,-98,0
72,8,-101,0,0,0,-98,0
73,8,-101,0,0,0,-98,0
74,8,-101,0,0,0,-98,0
75,8,-101,0,0,0,-98,0
76,8,-101,0,0,0,-98,0
77,8,-101,0,0,0,-98,0
78,8,-102,0,0,0,-98,0
79,9,-102,0,0,0,-98,0
80,9,-102,0,0,0,-98,0
81,9,-102,0,0,0,-98,0
82,9,-102,0,0,0,-98,0
83,9,-102,0,0,0,-98,0
84,9,-102,0,0,0,-98,0
85,9,-102,0,0,0,-98,0
86,9,-102,0,0,0,-98,0
87,10,-102,0,0,0,-98,0
88,10,-102,0,0,0,-98,0
89,10,-102,0,0,0,-98,0
90,10,-102,0,0,0,-98,0
91,10,-102,0,0,0,-98,0
92,10,-102,0,0,0,-98,0
93,10,-102,0,0,0,-98,0
94,10,-102,0,0,0,-98,0
95,10,-102,0,0,0,-98,0
96,10,-102,0,0,0,-98,0
97,10,-102,0,0,0,-98,0
98,10,-102,0,0,0,-98,0
99,10,-102,0,0,0,-98,0
100,10,-102,0,0,0,-98,0
101,10,-102,0,0,0,-98,0
102,10,-102,0,0,0,-98,0
103,10,-102,0,0,0,-98,0
104,10,-102,0,0,0,-98,0
105,10,-102,0,0,0,-98,0
106,10,-102,0,0,0,-98,0
107,10,-102,0,0,0,-98,0
108,10,-101,0,0,0,-98,0
109,10,-101,0,0,0,-98,0
110,10,-101,0,0,0,-98,0
111,10,-101,0,0,0,-98,0
112,10,-101,0,0,0,-98,0
113,10,-101,0,0,0,-98,0
114,10,-101,0,0,0,-98,0
115,10,-101,0,0,0,-98,0
116,10,-100,0,0,0,-98,0
117,10,-100,0,0,0,-98,0
118,10,-100,0,0,0,-98,0
119,10,-100,0,0,0,-98,0
120,10,-99,0,0,0,-98,0
121,10,-99,0,0,0,-98,0
122,10,-98,0,0,0,-98,0
123,10,-98,0,0,0,-98,0
124,10,-98,0,0,0,-98,0
125,10,-98,0,0,0,-98,0
126,10,-98,0,0,0,-98,0
127,9,-98,0,0,0,-98,0
128,9,-98,0,0,0,-98,0
129,9,-98,0,0,0,-98,0
130,9,-98,0,0,0,-98,0
131,9,-98,0,0,0,-98,0
132,8,-98,0,0,0,-98,0
133,8,-98,0,0,0,-98,0
134,8,-98,0,0,0,-98,0
135,8,-98,0,0,0,-98,0
136,8,-98,0,0,0,-98,0
137,7,-98,0,0,0,-98,0
138,7,-98,0,0,0,-98,0
139,7,-98,0,0,0,-98,0
140,7,-98,0,0,0,-98,0
141,7,-98,0,0,0,-98,0
142,7,-98,0,0,0,-98,0
143,6,-98,0,0,0,-98,0
144,6,-98,0,0,0,-98,0
145,5,-99,0,0,0,-98,0
146,5,-99,0,0,0,-98,0
147,5,-99,0,0,0,-98,0
148,5,-99,0,0,0,-98,0
149,5,-99,0,0,0,-98,0
150,5,-99,0,0,0,-98,0
151,5,-99,0,0,0,-98,0
152,5,-100,0,0,0,-98,0
153,5,-100,0,0,0,-98,0
154,5,-100,0,0,0,-98,0
