t,x,y,fh,fv,r,s,frame:
0,-571,24,0,0,23,-121,0
1,-571,24,0,0,23,-121,0
2,-571,24,0,0,23,-121,0
3,-571,24,0,0,23,-121,0
4,-571,24,0,0,23,-121,0
5,-571,24,0,0,23,-121,0
6,-571,24,0,0,23,-121,0
7,-571,24,0,0,23,-121,0
8,-571,24,0,0,23,-121,0
9,-571,24,0,0,23,-121,0
10,-571,24,0,0,23,-121,0
11,-571,24,0,0,23,-121,0
12,-571,24,0,0,23,-121,0
13,-571,24,0,0,23,-121,0
14,-571,24,0,0,23,-121,0
15,-571,24,0,0,23,-121,0
16,-571,24,0,0,23,-121,0
17,-571,24,0,0,23,-121,0
18,-571,24,0,0,23,-121,0
19,-571,24,0,0,23,-121,0
20,-571,24,0,0,23,-121,0
21,-571,24,0,0,23,-121,0
22,-571,24,0,0,23,-121,0
23,-571,24,0,0,23,-121,0
24,-571,24,0,0,23,-121,0
25,-571,24,0,0,23,-121,0
26,-571,24,0,0,23,-121,0
27,-571,24,0,0,23,-121,0
28,-571,24,0,0,23,-121,0
29,-571,24,0,0,-25,-121,0
30,-571,24,0,0,-25,-121,0
31,-571,24,0,0,-25,-121,0
32,-571,24,0,0,-25,-121,0
33,-571,24,0,0,-25,-121,0
34,-571,24,0,0,-25,-121,0
35,-571,24,0,0,-25,-121,0
36,-571,24,0,0,-25,-121,0
37,-571,24,0,0,-25,-121,0
38,-571,24,0,0,-25,-121,0
39,-571,24,0,0,-25,-121,0
40,-571,24,0,0,-25,-121,0
41,-571,24,0,0,-25,-121,0
42,-571,24,0,0,-25,-121,0
43,-571,24,0,0,-25,-121,0
44,-571,24,0,0,-25,-121,0
45,-571,24,0,0,-25,-121,0
46,-571,24,0,0,-25,-121,0
47,-571,24,0,0,-25,-121,0
48,-571,24,0,0,-25,-121,0
49,-571,24,0,0,-25,-121,0
50,-571,24,0,0,-25,-121,0
51,-571,24,0,0,-25,-121,0
52,-571,24,0,0,-25,-121,0
53,-571,24,0,0,-25,-121,0
54,-571,24,0,0,-25,-121,0
55,-571,24,0,0,-25,-121,0
56,-571,24,0,0,-25,-121,0
57,-571,24,0,0,-25,-121,0
58,-571,24,0,0,-25,-121,0
59,-571,24,0,0,-25,-121,0
60,-571,24,0,0,-25,-121,0
61,-571,24,0,0,-25,-121,0
62,-571,24,0,0,-25,-121,0
63,-571,24,0,0,-25,-121,0
64,-571,24,0,0,-25,-121,0
65,-571,24,0,0,-25,-121,0
