t,x,y,fh,fv,r,s,frame:
0,270,3,0,0,0,-89,0
1,270,3,0,0,0,-89,0
2,270,3,0,0,0,-89,0
3,270,3,0,0,0,-89,0
4,270,3,0,0,0,-89,0
5,270,3,0,0,0,-89,0
6,270,3,0,0,0,-89,0
7,270,3,0,0,0,-89,0
8,270,3,0,0,0,-89,0
9,271,3,0,0,0,-89,0
10,272,3,0,0,0,-89,0
11,273,3,0,0,0,-89,0
12,274,2,0,0,0,-89,0
13,274,2,0,0,0,-89,0
14,274,2,0,0,0,-89,0
15,275,2,0,0,0,-89,0
16,275,2,0,0,0,-89,0
17,275,2,0,0,0,-89,0
18,276,5,0,0,0,-89,0
19,277,7,0,0,0,-89,0
20,278,8,0,0,0,-89,0
21,278,8,0,0,0,-89,0
22,278,8,0,0,0,-89,0
23,278,8,0,0,0,-89,0
24,278,8,0,0,0,-89,0
25,278,8,0,0,0,-89,0
26,278,8,0,0,0,-89,0
27,279,8,0,0,0,-89,0
28,282,7,0,0,0,-89,0
29,283,6,0,0,0,-89,0
30,284,4,0,0,0,-89,0
31,285,3,0,0,0,-89,0
32,285,3,0,0,0,-89,0
33,285,2,0,0,0,-89,0
34,286,2,0,0,0,-89,0
35,286,2,0,0,0,-89,0
36,286,2,0,0,0,-89,0
37,287,3,0,0,0,-89,0
38,287,4,0,0,0,-89,0
39,287,5,0,0,0,-89,0
40,288,5,0,0,0,-89,0
41,288,5,0,0,0,-89,0
42,289,5,0,0,0,-89,0
43,290,6,0,0,0,-89,0
44,291,6,0,0,0,-89,0
45,293,6,0,0,0,-89,0
46,294,6,0,0,0,-89,0
47,297,5,0,0,0,-89,0
48,297,5,0,0,0,-89,0
49,298,4,0,0,0,-89,0
50,298,4,0,0,0,-89,0
51,299,4,0,0,0,-89,0
52,299,4,0,0,0,-89,0
53,299,4,0,0,0,-89,0
54,299,4,0,0,0,-89,0
55,299,4,0,0,0,-89,0
56,300,4,0,0,0,-89,0
57,300,4,0,0,0,-89,0
58,300,5,0,0,0,-89,0
59,300,5,0,0,0,-89,0
60,300,5,0,0,0,-89,0
61,300,5,0,0,0,-89,0
62,300,5,0,0,0,-89,0
63,302,5,0,0,0,-89,0
64,303,5,0,0,0,-89,0
65,304,5,0,0,0,-89,0
66,304,4,0,0,0,-89,0
67,304,4,0,0,0,-89,0
68,304,4,0,0,0,-89,0
69,304,4,0,0,0,-89,0
70,304,4,0,0,0,-89,0
71,304,4,0,0,0,-89,0
72,304,4,0,0,0,-89,0
73,304,4,0,0,0,-89,0
74,304,4,0,0,0,-89,0
75,304,4,0,0,0,-89,0
76,304,4,0,0,0,-89,0
77,304,4,0,0,0,-89,0
78,304,4,0,0,0,-89,0
79,304,4,0,0,0,-89,0
80,304,4,0,0,0,-89,0
81,304,4,0,0,0,-89,0
82,304,4,0,0,0,-89,0
83,304,4,0,0,0,-89,0
84,304,4,0,0,0,-89,0
85,304,4,0,0,0,-89,0
86,304,4,0,0,0,-89,0
87,304,4,0,0,0,-89,0
88,304,4,0,0,0,-89,0
89,304,4,0,0,0,-89,0
90,304,4,0,0,0,-89,0
91,304,4,0,0,0,-89,0
92,304,4,0,0,0,-89,0
93,304,4,0,0,0,-89,0
94,304,4,0,0,0,-89,0
95,304,4,0,0,0,-89,0
96,304,4,0,0,0,-89,0
97,304,4,0,0,0,-89,0
98,304,4,0,0,0,-89,0
99,304,4,0,0,0,-89,0
100,304,4,0,0,0,-89,0
101,304,4,0,0,0,-89,0
102,304,4,0,0,0,-89,0
103,304,4,0,0,0,-89,0
104,304,4,0,0,0,-89,0
105,304,4,0,0,0,-89,0
106,304,4,0,0,0,-89,0
107,304,4,0,0,0,-89,0
108,304,4,0,0,0,-89,0
109,304,4,0,0,0,-89,0
110,304,4,0,0,0,-89,0
111,304,4,1,0,0,-89,0
112,304,4,1,0,0,-89,0
113,304,4,1,0,0,-89,0
114,304,4,1,0,0,-89,0
115,304,4,1,0,0,-89,0
116,304,4,1,0,0,-89,0
117,304,4,1,0,0,-89,0
118,304,4,1,0,0,-89,0
119,304,4,1,0,0,-89,0
120,304,4,1,0,0,-89,0
121,304,4,1,0,0,-89,0
122,304,4,1,0,0,-89,0
123,304,4,1,0,0,-89,0
124,304,4,1,0,0,-89,0
125,304,4,1,0,0,-89,0
126,304,4,1,0,0,-89,0
127,304,4,1,0,0,-89,0
128,304,4,1,0,0,-89,0
129,304,4,1,0,0,-89,0
130,304,4,1,0,0,-89,0
131,304,4,1,0,0,-89,0
132,304,4,1,0,0,-89,0
133,304,4,1,0,0,-89,0
134,304,4,1,0,0,-89,0
135,304,4,1,0,0,-89,0
136,304,4,1,0,0,-89,0
137,304,4,1,0,0,-89,0
138,304,4,1,0,0,-89,0
139,304,4,1,0,0,-89,0
