t,x,y,fh,fv,r,s,frame:
0,9,201,1,0,0,19,0
1,8,202,1,0,0,19,0
2,8,202,1,0,0,19,0
3,8,202,1,0,0,19,0
4,8,202,1,0,0,19,0
5,8,202,1,0,0,19,0
6,8,202,1,0,0,19,0
7,8,202,1,0,0,19,0
8,8,202,1,0,0,19,0
9,8,202,1,0,0,19,0
10,8,202,1,0,0,19,0
11,8,202,1,0,0,19,0
12,8,202,1,0,0,19,0
13,8,201,1,0,0,19,0
14,7,200,1,0,0,19,0
15,5,200,1,0,0,19,0
16,5,199,1,0,0,19,0
17,3,198,1,0,0,19,0
18,3,197,1,0,0,19,0
19,2,197,1,0,0,19,0
20,1,197,1,0,0,19,0
21,1,197,1,0,0,19,0
22,1,197,1,0,0,19,0
23,0,197,1,0,0,19,0
24,0,197,1,0,0,19,0
25,-1,197,1,0,0,19,0
26,-2,197,1,0,0,19,0
27,-4,197,1,0,0,19,0
28,-6,198,1,0,0,19,0
29,-9,199,1,0,0,19,0
30,-12,202,1,0,0,19,0
31,-14,203,1,0,0,19,0
32,-17,205,1,0,0,19,0
33,-19,206,1,0,0,19,0
34,-20,207,1,0,0,19,0
35,-22,208,1,0,0,19,0
36,-25,209,1,0,0,19,0
37,-28,210,1,0,0,19,0
38,-30,210,1,0,0,19,0
39,-33,210,1,0,0,19,0
40,-36,210,1,0,0,19,0
41,-40,209,1,0,0,19,0
42,-44,207,1,0,0,19,0
43,-49,205,1,0,0,19,0
44,-54,202,1,0,0,19,0
45,-57,200,1,0,0,19,0
46,-60,199,1,0,0,19,0
47,-62,197,1,0,0,19,0
48,-62,197,1,0,0,19,0
49,-63,197,1,0,0,19,0
50,-63,197,1,0,0,19,0
51,-63,197,1,0,0,19,0
52,-63,197,1,0,0,19,0
53,-64,197,1,0,0,19,0
54,-65,197,1,0,0,19,0
55,-67,198,1,0,0,19,0
56,-69,199,1,0,0,19,0
57,-73,201,1,0,0,19,0
58,-76,204,1,0,0,19,0
59,-79,205,1,0,0,19,0
60,-82,207,1,0,0,19,0
61,-84,208,1,0,0,19,0
62,-86,210,1,0,0,19,0
63,-88,211,1,0,0,19,0
64,-89,212,1,0,0,19,0
65,-89,212,1,0,0,19,0
66,-89,212,1,0,0,19,0
67,-93,211,1,0,0,19,0
68,-97,210,1,0,0,19,0
69,-102,208,1,0,0,19,0
70,-107,206,1,0,0,19,0
71,-111,204,1,0,0,19,0
72,-116,202,1,0,0,19,0
73,-120,201,1,0,0,19,0
74,-122,199,1,0,0,19,0
75,-124,199,1,0,0,19,0
76,-126,198,1,0,0,19,0
77,-128,197,1,0,0,19,0
78,-129,197,1,0,0,19,0
79,-131,197,1,0,0,19,0
80,-132,197,1,0,0,19,0
81,-134,197,1,0,0,19,0
82,-137,198,1,0,0,19,0
83,-140,201,1,0,0,19,0
84,-144,203,1,0,0,19,0
85,-149,205,1,0,0,19,0
86,-152,207,1,0,0,19,0
87,-156,210,1,0,0,19,0
88,-160,211,1,0,0,19,0
89,-163,212,1,0,0,19,0
90,-166,213,1,0,0,19,0
91,-168,214,1,0,0,19,0
92,-170,214,1,0,0,19,0
93,-170,214,1,0,0,19,0
94,-170,214,1,0,0,19,0
95,-170,214,1,0,0,19,0
96,-173,212,1,0,0,19,0
97,-176,210,1,0,0,19,0
98,-179,206,1,0,0,19,0
99,-183,203,1,0,0,19,0
100,-188,199,1,0,0,19,0
101,-191,197,1,0,0,19,0
102,-192,197,1,0,0,19,0
103,-193,196,1,0,0,19,0
104,-193,196,1,0,0,19,0
105,-193,196,1,0,0,19,0
106,-193,196,1,0,0,19,0
107,-194,197,1,0,0,19,0
108,-198,200,1,0,0,19,0
109,-201,201,1,0,0,19,0
110,-205,203,1,0,0,19,0
111,-208,206,1,0,0,19,0
112,-212,208,1,0,0,19,0
113,-216,211,1,0,0,19,0
114,-219,213,1,0,0,19,0
115,-220,214,1,0,0,19,0
116,-220,214,1,0,0,19,0
117,-220,214,1,0,0,19,0
118,-220,214,1,0,0,19,0
119,-220,214,1,0,0,19,0
120,-220,214,1,0,0,19,0
121,-221,214,1,0,0,19,0
122,-223,212,1,0,0,19,0
123,-226,209,1,0,0,19,0
124,-228,207,1,0,0,19,0
125,-230,206,1,0,0,19,0
126,-231,205,1,0,0,19,0
127,-232,205,1,0,0,19,0
128,-232,205,1,0,0,19,0
129,-232,205,1,0,0,19,0
130,-232,205,1,0,0,19,0
131,-232,205,1,0,0,19,0
132,-232,205,1,0,0,19,0
133,-232,205,1,0,0,19,0
134,-232,205,1,0,0,19,0
135,-232,205,1,0,0,19,0
136,-232,205,1,0,0,19,0
137,-232,205,1,0,0,19,0
138,-232,205,1,0,0,19,0
139,-232,205,1,0,0,19,0
140,-232,205,1,0,0,19,0
141,-232,205,1,0,0,19,0
142,-232,205,1,0,0,19,0
143,-232,205,1,0,0,19,0
144,-232,205,1,0,0,19,0
145,-232,205,1,0,0,19,0
146,-232,205,1,0,0,19,0
147,-232,205,1,0,0,19,0
148,-232,205,1,0,0,19,0
149,-232,205,1,0,0,19,0
150,-232,205,1,0,0,19,0
151,-232,205,1,0,0,19,0
152,-232,205,1,0,0,19,0
153,-232,205,1,0,0,19,0
154,-232,205,1,0,0,19,0
155,-233,205,0,0,0,19,0
156,-233,205,0,0,0,19,0
157,-233,205,0,0,0,19,0
158,-233,205,0,0,0,19,0
159,-233,205,0,0,0,19,0
160,-233,205,0,0,0,19,0
161,-233,205,0,0,0,19,0
162,-233,205,0,0,0,19,0
163,-233,205,0,0,0,19,0
164,-233,205,0,0,0,19,0
165,-233,205,0,0,0,19,0
166,-233,205,0,0,0,19,0
167,-233,205,0,0,0,19,0
168,-233,205,0,0,0,19,0
169,-233,205,0,0,0,19,0
170,-233,205,0,0,0,19,0
171,-233,205,0,0,0,19,0
172,-233,205,0,0,0,19,0
173,-233,205,0,0,0,19,0
174,-233,205,0,0,0,19,0
175,-233,205,0,0,0,19,0
176,-233,205,0,0,0,19,0
177,-233,205,0,0,0,19,0
178,-233,205,0,0,0,19,0
179,-233,205,0,0,0,19,0
180,-233,205,0,0,0,19,0
181,-233,205,0,0,0,19,0
182,-233,205,0,0,0,19,0
183,-233,205,0,0,0,19,0
184,-233,205,0,0,0,19,0
185,-233,205,0,0,0,19,0
186,-233,205,0,0,0,19,0
187,-233,205,0,0,0,19,0
188,-233,205,0,0,0,19,0
189,-233,205,0,0,0,19,0
190,-233,205,0,0,0,19,0
191,-233,205,0,0,0,19,0
192,-233,205,0,0,0,19,0
193,-233,205,0,0,0,19,0
194,-233,205,0,0,0,19,0
195,-233,205,0,0,0,19,0
196,-233,205,0,0,0,19,0
197,-233,205,0,0,0,19,0
198,-233,205,0,0,0,19,0
199,-233,205,0,0,0,19,0
200,-233,205,0,0,0,19,0
201,-233,205,0,0,0,19,0
202,-233,205,0,0,0,19,0
203,-233,205,0,0,0,19,0
204,-233,205,0,0,0,19,0
205,-233,205,0,0,0,19,0
206,-233,205,0,0,0,19,0
