t,x,y,fh,fv,r,s,frame:
0,439,263,0,0,0,-73,0
1,439,263,0,0,0,-73,0
2,439,263,0,0,0,-73,0
3,439,263,0,0,0,-73,0
4,439,263,0,0,0,-73,0
5,439,263,0,0,0,-73,0
6,439,263,0,0,0,-73,0
7,439,263,0,0,0,-73,0
8,439,263,0,0,0,-73,0
9,439,263,0,0,0,-73,0
10,439,263,0,0,0,-73,0
11,439,263,0,0,0,-73,0
12,439,263,0,0,0,-73,0
13,439,263,0,0,0,-73,0
14,439,263,0,0,0,-73,0
15,439,263,0,0,0,-73,0
16,439,263,0,0,0,-73,0
17,439,263,0,0,0,-73,0
18,439,263,0,0,0,-73,0
19,439,263,0,0,0,-73,0
20,439,263,0,0,0,-73,0
21,439,263,0,0,0,-73,0
22,439,263,0,0,0,-73,0
23,439,263,0,0,0,-73,0
24,439,263,0,0,0,-73,0
25,439,263,0,0,0,-73,0
26,439,263,0,0,0,-73,0
27,439,263,0,0,0,-73,0
28,439,263,0,0,0,-73,0
29,439,263,0,0,0,-73,0
30,439,263,0,0,0,-73,0
31,439,263,0,0,0,-73,0
32,439,263,0,0,0,-73,0
33,439,263,0,0,0,-73,0
34,439,263,0,0,0,-73,0
35,439,263,0,0,0,-73,0
36,439,263,0,0,0,-73,0
37,439,263,0,0,0,-73,0
38,439,263,0,0,0,-73,0
39,439,263,0,0,0,-73,0
40,439,263,0,0,0,-73,0
41,439,263,0,0,0,-73,0
42,439,263,0,0,0,-73,0
43,439,263,0,0,0,-73,0
44,439,263,0,0,0,-73,0
45,439,263,0,0,0,-73,0
46,439,263,0,0,0,-73,0
47,439,263,0,0,0,-73,0
48,439,263,0,0,0,-73,0
49,439,263,0,0,0,-73,0
50,439,263,0,0,0,-73,0
51,439,263,0,0,0,-73,0
52,439,263,0,0,0,-73,0
53,439,263,0,0,0,-73,0
54,439,263,0,0,0,-73,0
55,439,263,0,0,0,-73,0
56,439,263,0,0,0,-73,0
57,439,263,0,0,0,-73,0
58,439,263,0,0,0,-73,0
59,439,263,0,0,0,-73,0
60,439,263,0,0,0,-73,0
61,439,263,0,0,0,-73,0
62,439,263,0,0,0,-73,0
63,439,263,0,0,0,-73,0
64,439,263,0,0,0,-73,0
65,439,263,0,0,0,-73,0
66,439,263,0,0,0,-73,0
67,439,263,0,0,0,-73,0
68,439,263,0,0,0,-73,0
69,439,263,0,0,0,-73,0
70,439,263,0,0,0,-73,0
71,439,263,0,0,0,-73,0
72,439,263,0,0,0,-73,0
73,439,263,0,0,0,-73,0
74,439,263,0,0,0,-73,0
75,439,263,0,0,0,-73,0
76,439,263,0,0,0,-73,0
77,439,263,0,0,0,-73,0
78,439,263,0,0,0,-73,0
79,439,263,0,0,0,-73,0
80,439,263,0,0,0,-73,0
81,439,263,0,0,0,-73,0
82,439,263,0,0,0,-73,0
83,439,263,0,0,0,-73,0
84,439,263,0,0,0,-73,0
85,439,263,0,0,0,-73,0
86,439,263,0,0,0,-73,0
87,439,263,0,0,0,-73,0
88,439,263,0,0,0,-73,0
89,439,263,0,0,0,-73,0
90,439,263,0,0,0,-73,0
91,439,263,0,0,0,-73,0
92,439,263,0,0,0,-73,0
93,439,263,0,0,0,-73,0
94,439,263,0,0,0,-73,0
95,439,263,0,0,0,-73,0
96,439,263,0,0,0,-73,0
97,439,263,0,0,0,-73,0
98,439,263,0,0,0,-73,0
99,439,263,0,0,0,-73,0
100,439,263,0,0,0,-73,0
101,439,263,0,0,0,-73,0
102,439,263,0,0,0,-73,0
103,439,263,0,0,0,-73,0
104,439,263,0,0,0,-73,0
105,439,263,0,0,0,-73,0
106,439,263,0,0,0,-73,0
107,439,263,0,0,0,-73,0
108,439,263,0,0,0,-73,0
109,439,263,0,0,0,-73,0
110,439,263,0,0,0,-73,0
111,439,263,0,0,0,-73,0
112,439,263,0,0,0,-73,0
113,439,263,0,0,0,-73,0
114,439,263,0,0,0,-73,0
115,439,263,0,0,0,-73,0
116,439,263,0,0,0,-73,0
117,439,263,0,0,0,-73,0
118,439,263,0,0,0,-73,0
119,439,263,0,0,0,-73,0
120,439,263,0,0,-1,-73,0
121,439,263,0,0,-1,-73,0
122,439,263,0,0,-1,-73,0
123,439,263,0,0,-1,-73,0
124,439,263,0,0,-1,-73,0
125,439,263,0,0,-1,-73,0
126,439,263,0,0,-1,-73,0
127,439,263,0,0,-1,-73,0
128,439,263,0,0,-1,-73,0
129,439,263,0,0,-1,-73,0
130,439,263,0,0,-1,-73,0
131,439,263,0,0,-1,-73,0
132,440,263,0,0,-1,-73,0
133,441,262,0,0,-1,-73,0
134,442,261,0,0,-1,-73,0
135,443,261,0,0,-1,-73,0
136,443,261,0,0,-1,-73,0
137,443,261,0,0,-1,-73,0
138,443,261,0,0,-1,-73,0
139,443,261,0,0,-1,-73,0
140,443,261,0,0,-1,-73,0
141,443,261,0,0,-1,-73,0
142,443,261,0,0,-1,-73,0
143,443,262,0,0,-1,-73,0
144,443,262,0,0,-1,-73,0
145,443,262,0,0,-1,-73,0
146,443,263,0,0,-1,-73,0
147,443,263,0,0,-1,-73,0
148,443,263,0,0,-1,-73,0
149,443,263,0,0,-1,-73,0
150,443,263,0,0,-1,-73,0
151,444,263,0,0,-1,-73,0
152,444,263,0,0,-1,-73,0
153,444,262,0,0,-1,-73,0
154,446,261,0,0,-1,-73,0
155,447,261,0,0,-1,-73,0
156,447,261,0,0,-1,-73,0
157,447,261,0,0,-1,-73,0
158,447,261,0,0,-1,-73,0
159,447,261,0,0,-1,-73,0
160,448,261,0,0,-1,-73,0
161,448,261,0,0,-1,-73,0
162,448,261,0,0,-1,-73,0
