t,x,y,fh,fv,r,s,frame:
0,435,265,1,0,0,-77,0
1,435,265,1,0,0,-77,0
2,435,265,1,0,0,-77,0
3,435,265,1,0,0,-77,0
4,435,265,1,0,0,-77,0
5,435,265,1,0,0,-77,0
6,435,265,1,0,0,-77,0
7,435,265,1,0,0,-77,0
8,435,265,1,0,0,-77,0
9,435,265,1,0,0,-77,0
10,435,265,1,0,0,-77,0
11,435,265,1,0,0,-77,0
12,435,265,1,0,0,-77,0
13,435,265,1,0,0,-77,0
14,435,265,1,0,0,-77,0
15,435,265,1,0,0,-77,0
16,435,265,1,0,0,-77,0
17,435,265,1,0,0,-77,0
18,435,265,1,0,0,-77,0
19,435,265,1,0,0,-77,0
20,433,265,1,0,0,-77,0
21,431,265,1,0,0,-77,0
22,429,266,1,0,0,-77,0
23,426,267,1,0,0,-77,0
24,423,268,1,0,0,-77,0
25,419,270,1,0,0,-77,0
26,416,270,1,0,0,-77,0
27,414,270,1,0,0,-77,0
28,414,271,1,0,0,-77,0
29,414,271,1,0,0,-77,0
30,412,270,1,0,0,-77,0
31,411,269,1,0,0,-77,0
32,408,266,1,0,0,-77,0
33,404,263,1,0,0,-77,0
34,400,260,1,0,0,-77,0
35,397,257,1,0,0,-77,0
36,396,257,1,0,0,-77,0
37,395,256,1,0,0,-77,0
38,395,256,1,0,0,-77,0
39,395,256,1,0,0,-77,0
40,394,257,1,0,0,-77,0
41,392,258,1,0,0,-77,0
42,387,262,1,0,0,-77,0
43,383,264,1,0,0,-77,0
44,380,266,1,0,0,-77,0
45,377,268,1,0,0,-77,0
46,375,269,1,0,0,-77,0
47,372,271,1,0,0,-77,0
48,371,271,1,0,0,-77,0
49,370,271,1,0,0,-77,0
50,369,271,1,0,0,-77,0
51,366,271,1,0,0,-77,0
52,362,268,1,0,0,-77,0
53,356,264,1,0,0,-77,0
54,345,259,1,0,0,-77,0
55,338,256,1,0,0,-77,0
56,330,252,1,0,0,-77,0
57,325,250,1,0,0,-77,0
58,322,250,1,0,0,-77,0
59,321,250,1,0,0,-77,0
60,320,250,1,0,0,-77,0
61,319,250,1,0,0,-77,0
62,317,252,1,0,0,-77,0
63,315,254,1,0,0,-77,0
64,312,256,1,0,0,-77,0
65,309,259,1,0,0,-77,0
66,306,261,1,0,0,-77,0
67,304,263,1,0,0,-77,0
68,300,265,1,0,0,-77,0
69,299,266,1,0,0,-77,0
70,297,267,1,0,0,-77,0
71,296,267,1,0,0,-77,0
72,296,267,1,0,0,-77,0
73,296,267,1,0,0,-77,0
74,295,267,1,0,0,-77,0
75,293,267,1,0,0,-77,0
76,289,265,1,0,0,-77,0
77,285,263,1,0,0,-77,0
78,280,262,1,0,0,-77,0
79,276,260,1,0,0,-77,0
80,273,259,1,0,0,-77,0
81,270,258,1,0,0,-77,0
82,268,258,1,0,0,-77,0
83,266,258,1,0,0,-77,0
84,264,258,1,0,0,-77,0
85,263,259,1,0,0,-77,0
86,261,259,1,0,0,-77,0
87,259,261,1,0,0,-77,0
88,256,263,1,0,0,-77,0
89,250,267,1,0,0,-77,0
90,247,269,1,0,0,-77,0
91,246,270,1,0,0,-77,0
92,243,271,1,0,0,-77,0
93,242,272,1,0,0,-77,0
94,242,272,1,0,0,-77,0
95,242,272,1,0,0,-77,0
96,242,272,1,0,0,-77,0
97,241,272,1,0,0,-77,0
98,238,268,1,0,0,-77,0
99,235,264,1,0,0,-77,0
100,232,262,1,0,0,-77,0
101,230,260,1,0,0,-77,0
102,228,259,1,0,0,-77,0
103,227,259,1,0,0,-77,0
104,227,259,1,0,0,-77,0
105,227,259,1,0,0,-77,0
106,227,259,1,0,0,-77,0
107,227,259,1,0,0,-77,0
108,227,259,1,0,0,-77,0
109,225,259,1,0,0,-77,0
110,222,261,1,0,0,-77,0
111,216,263,1,0,0,-77,0
112,214,264,1,0,0,-77,0
113,214,264,1,0,0,-77,0
114,214,264,1,0,0,-77,0
115,214,264,1,0,0,-77,0
116,214,264,1,0,0,-77,0
117,214,264,1,0,0,-77,0
118,214,264,1,0,0,-77,0
119,214,264,1,0,0,-77,0
120,214,264,1,0,0,-77,0
121,214,264,1,0,0,-77,0
122,214,264,1,0,0,-77,0
123,214,264,1,0,0,-77,0
124,214,264,1,0,0,-77,0
125,214,264,1,0,0,-77,0
126,214,264,1,0,0,-77,0
127,214,264,1,0,0,-77,0
128,214,264,1,0,0,-77,0
129,214,264,1,0,0,-77,0
130,214,264,1,0,0,-77,0
131,214,263,1,0,0,-77,0
132,214,260,1,0,0,-77,0
133,215,256,1,0,0,-77,0
134,215,251,1,0,0,-77,0
135,215,247,1,0,0,-77,0
136,215,244,1,0,0,-77,0
137,216,242,1,0,0,-77,0
138,216,240,1,0,0,-77,0
139,216,238,1,0,0,-77,0
140,217,236,1,0,0,-77,0
141,217,234,1,0,0,-77,0
142,217,233,1,0,0,-77,0
143,217,232,1,0,0,-77,0
144,217,232,1,0,0,-77,0
145,217,232,1,0,0,-77,0
146,217,232,1,0,0,-77,0
147,218,232,1,0,0,-77,0
148,218,233,1,0,0,-77,0
149,218,235,1,0,0,-77,0
150,217,238,1,0,0,-77,0
151,216,241,1,0,0,-77,0
152,215,243,1,0,0,-77,0
153,215,246,1,0,0,-77,0
154,214,249,1,0,0,-77,0
155,213,253,1,0,0,-77,0
156,211,258,1,0,0,-77,0
157,211,259,1,0,0,-77,0
158,209,261,1,0,0,-77,0
159,208,264,1,0,0,-77,0
160,208,264,1,0,0,-77,0
161,208,264,1,0,0,-77,0
162,208,264,1,0,0,-77,0
163,208,264,1,0,0,-77,0
164,207,264,1,0,0,-77,0
165,207,261,1,0,0,-77,0
166,207,259,1,0,0,-77,0
167,207,256,1,0,0,-77,0
168,207,252,1,0,0,-77,0
169,207,249,1,0,0,-77,0
170,207,247,1,0,0,-77,0
171,208,246,1,0,0,-77,0
172,208,246,1,0,0,-77,0
173,208,246,1,0,0,-77,0
174,208,246,1,0,0,-77,0
175,208,246,1,0,0,-77,0
176,208,246,1,0,0,-77,0
177,208,246,1,0,0,-77,0
178,208,246,1,0,0,-77,0
179,208,251,1,0,0,-77,0
180,208,254,1,0,0,-77,0
181,208,256,1,0,0,-77,0
182,208,258,1,0,0,-77,0
183,209,259,1,0,0,-77,0
184,209,261,1,0,0,-77,0
185,209,262,1,0,0,-77,0
186,209,262,1,0,0,-77,0
187,209,262,1,0,0,-77,0
188,209,262,1,0,0,-77,0
189,209,262,1,0,0,-77,0
190,209,262,1,0,0,-77,0
191,209,262,1,0,0,-77,0
192,209,262,1,0,0,-77,0
193,209,257,1,0,0,-77,0
194,209,256,1,0,0,-77,0
195,210,252,1,0,0,-77,0
196,211,248,1,0,0,-77,0
197,211,247,1,0,0,-77,0
198,211,247,1,0,0,-77,0
199,211,247,1,0,0,-77,0
200,211,247,1,0,0,-77,0
201,211,247,1,0,0,-77,0
202,211,247,1,0,0,-77,0
203,212,248,1,0,0,-77,0
204,212,248,1,0,0,-77,0
205,212,249,1,0,0,-77,0
206,212,250,1,0,0,-77,0
207,213,252,1,0,0,-77,0
208,213,253,1,0,0,-77,0
209,213,255,1,0,0,-77,0
210,214,255,1,0,0,-77,0
211,214,256,1,0,0,-77,0
212,214,256,1,0,0,-77,0
213,214,256,1,0,0,-77,0
214,214,256,1,0,0,-77,0
215,214,256,1,0,0,-77,0
216,214,256,1,0,0,-77,0
217,214,256,1,0,0,-77,0
218,214,256,1,0,0,-77,0
219,214,256,1,0,0,-77,0
220,214,256,1,0,0,-77,0
221,214,256,1,0,0,-77,0
222,214,256,1,0,0,-77,0
223,214,256,1,0,0,-77,0
224,214,256,1,0,0,-77,0
225,214,256,1,0,0,-77,0
226,214,256,1,0,0,-77,0
227,214,256,1,0,0,-77,0
228,214,256,1,0,0,-77,0
229,214,256,1,0,0,-77,0
230,214,256,1,0,0,-77,0
231,214,256,1,0,0,-77,0
232,214,256,1,0,0,-77,0
233,214,256,1,0,0,-77,0
234,214,256,1,0,0,-77,0
235,214,256,1,0,0,-77,0
236,214,256,1,0,0,-77,0
237,214,256,1,0,0,-77,0
238,214,256,1,0,0,-77,0
239,214,256,1,0,0,-77,0
240,214,256,1,0,0,-77,0
241,215,256,1,0,0,-77,0
242,218,255,1,0,0,-77,0
243,223,254,1,0,0,-77,0
244,226,253,1,0,0,-77,0
245,226,253,1,0,0,-77,0
246,227,253,1,0,0,-77,0
247,228,253,1,0,0,-77,0
248,228,253,1,0,0,-77,0
249,228,253,1,0,0,-77,0
250,228,253,1,0,0,-77,0
251,228,253,1,0,0,-77,0
252,228,253,1,0,0,-77,0
253,229,253,1,0,0,-77,0
254,230,254,1,0,0,-77,0
255,232,255,1,0,0,-77,0
256,234,256,1,0,0,-77,0
257,234,258,1,0,0,-77,0
258,235,258,1,0,0,-77,0
259,236,259,1,0,0,-77,0
260,237,259,1,0,0,-77,0
261,238,260,1,0,0,-77,0
262,238,261,1,0,0,-77,0
263,239,261,1,0,0,-77,0
264,239,261,1,0,0,-77,0
265,239,261,1,0,0,-77,0
266,239,261,1,0,0,-77,0
267,239,261,1,0,0,-77,0
268,239,261,1,0,0,-77,0
269,241,261,1,0,0,-77,0
270,243,260,1,0,0,-77,0
271,245,259,1,0,0,-77,0
272,248,258,1,0,0,-77,0
273,252,257,1,0,0,-77,0
274,255,256,1,0,0,-77,0
275,256,256,1,0,0,-77,0
276,259,256,1,0,0,-77,0
277,262,256,1,0,0,-77,0
278,265,255,1,0,0,-77,0
279,268,255,1,0,0,-77,0
280,269,256,1,0,0,-77,0
281,271,257,1,0,0,-77,0
282,274,259,1,0,0,-77,0
283,277,262,1,0,0,-77,0
284,282,264,1,0,0,-77,0
285,285,267,1,0,0,-77,0
286,288,269,1,0,0,-77,0
287,291,270,1,0,0,-77,0
288,293,270,1,0,0,-77,0
289,295,270,1,0,0,-77,0
290,297,269,1,0,0,-77,0
291,300,268,1,0,0,-77,0
292,304,266,1,0,0,-77,0
293,306,265,1,0,0,-77,0
294,312,263,1,0,0,-77,0
295,316,261,1,0,0,-77,0
296,319,261,1,0,0,-77,0
297,321,260,1,0,0,-77,0
298,322,260,1,0,0,-77,0
299,325,260,1,0,0,-77,0
300,328,260,1,0,0,-77,0
301,333,260,1,0,0,-77,0
302,336,260,1,0,0,-77,0
303,339,260,1,0,0,-77,0
304,344,263,1,0,0,-77,0
305,347,265,1,0,0,-77,0
306,351,267,1,0,0,-77,0
307,355,269,1,0,0,-77,0
308,357,272,1,0,0,-77,0
309,360,273,1,0,0,-77,0
310,362,275,1,0,0,-77,0
311,364,275,1,0,0,-77,0
312,366,276,1,0,0,-77,0
313,367,276,1,0,0,-77,0
314,367,276,1,0,0,-77,0
315,369,275,1,0,0,-77,0
316,372,274,1,0,0,-77,0
317,376,272,1,0,0,-77,0
318,381,271,1,0,0,-77,0
319,384,269,1,0,0,-77,0
320,386,269,1,0,0,-77,0
321,387,269,1,0,0,-77,0
322,387,269,1,0,0,-77,0
323,388,269,1,0,0,-77,0
324,388,269,1,0,0,-77,0
325,389,269,1,0,0,-77,0
326,391,269,1,0,0,-77,0
327,395,270,1,0,0,-77,0
328,397,270,1,0,0,-77,0
329,398,271,1,0,0,-77,0
330,399,271,1,0,0,-77,0
331,402,272,1,0,0,-77,0
332,402,273,1,0,0,-77,0
333,404,274,1,0,0,-77,0
334,404,275,1,0,0,-77,0
335,404,275,1,0,0,-77,0
336,405,276,1,0,0,-77,0
337,407,276,1,0,0,-77,0
338,408,276,1,0,0,-77,0
339,409,276,1,0,0,-77,0
340,410,276,1,0,0,-77,0
341,411,276,1,0,0,-77,0
342,412,276,1,0,0,-77,0
343,414,275,1,0,0,-77,0
344,416,274,1,0,0,-77,0
345,418,274,1,0,0,-77,0
346,419,273,1,0,0,-77,0
347,420,273,1,0,0,-77,0
348,420,273,1,0,0,-77,0
349,421,272,1,0,0,-77,0
350,422,272,1,0,0,-77,0
351,422,272,1,0,0,-77,0
352,423,272,1,0,0,-77,0
353,423,272,1,0,0,-77,0
354,424,272,1,0,0,-77,0
355,425,271,1,0,0,-77,0
356,426,271,1,0,0,-77,0
357,426,271,1,0,0,-77,0
358,426,271,1,0,0,-77,0
359,426,271,1,0,0,-77,0
360,427,270,1,0,0,-77,0
361,427,270,1,0,0,-77,0
362,427,269,1,0,0,-77,0
363,427,269,1,0,0,-77,0
364,427,269,1,0,0,-77,0
365,428,269,1,0,0,-77,0
366,429,269,1,0,0,-77,0
367,430,269,1,0,0,-77,0
368,430,269,1,0,0,-77,0
369,430,269,1,0,0,-77,0
370,430,269,1,0,0,-77,0
371,430,269,1,0,0,-77,0
372,430,269,1,0,0,-77,0
373,430,269,1,0,0,-77,0
374,430,269,1,0,0,-77,0
375,430,269,1,0,0,-77,0
376,430,269,1,0,0,-77,0
377,430,269,1,0,0,-77,0
378,430,269,1,0,0,-77,0
379,431,269,1,0,0,-77,0
380,431,269,1,0,0,-77,0
381,432,268,1,0,0,-77,0
