t,x,y,fh,fv,r,s,frame:
0,169,101,0,0,0,-111,1
1,169,101,0,0,0,-111,1
2,169,101,0,0,0,-111,1
3,169,101,0,0,0,-111,1
4,169,101,0,0,0,-111,1
5,169,101,0,0,0,-111,1
6,169,101,0,0,0,-111,1
7,169,101,0,0,0,-111,1
8,169,101,0,0,0,-111,1
9,169,101,0,0,0,-111,1
10,169,101,0,0,0,-111,1
11,169,101,0,0,0,-111,1
12,169,101,0,0,0,-111,1
13,169,101,0,0,0,-111,1
14,169,101,0,0,0,-111,1
15,169,101,0,0,0,-111,1
16,169,101,0,0,0,-111,1
17,169,101,0,0,0,-111,1
18,169,101,0,0,0,-111,1
19,169,101,0,0,0,-111,1
20,169,101,0,0,0,-111,1
21,169,101,0,0,0,-111,1
22,169,101,0,0,0,-111,1
23,169,101,0,0,0,-111,1
24,169,101,0,0,0,-111,1
25,169,101,0,0,0,-111,1
26,169,101,0,0,0,-111,1
27,169,101,0,0,0,-111,1
28,169,101,0,0,0,-111,1
29,169,101,0,0,0,-111,1
30,169,101,0,0,0,-111,1
31,169,101,0,0,0,-111,1
32,169,101,0,0,0,-111,1
33,169,101,0,0,0,-111,1
34,169,101,0,0,0,-111,1
35,169,101,0,0,0,-111,1
36,169,101,0,0,0,-111,1
37,169,101,0,0,0,-111,1
38,169,101,0,0,0,-111,1
39,169,101,0,0,0,-111,1
40,169,101,0,0,0,-111,1
41,169,101,0,0,0,-111,1
42,169,101,0,0,0,-111,1
43,169,101,0,0,0,-111,1
44,169,101,0,0,0,-111,1
45,169,101,0,0,0,-111,1
46,169,101,0,0,0,-111,1
47,169,101,0,0,0,-111,1
48,169,101,0,0,0,-111,1
49,169,101,0,0,0,-111,1
50,169,101,0,0,0,-111,1
51,169,101,0,0,0,-111,1
52,169,101,0,0,0,-111,1
53,169,101,0,0,0,-111,1
54,169,101,0,0,0,-111,1
55,169,101,0,0,0,-111,1
56,169,101,0,0,0,-111,1
57,169,101,0,0,0,-111,1
58,169,101,0,0,0,-111,1
59,169,101,0,0,0,-111,1
60,169,101,0,0,0,-111,1
61,169,101,0,0,0,-111,1
62,169,101,0,0,0,-111,1
63,169,101,0,0,0,-111,1
64,169,101,0,0,0,-111,1
65,169,101,0,0,0,-111,1
66,169,101,0,0,0,-111,1
67,169,101,0,0,0,-111,1
68,169,101,0,0,0,-111,1
69,169,101,0,0,0,-111,1
70,169,101,0,0,0,-111,1
71,169,101,0,0,0,-111,1
72,169,101,0,0,0,-111,1
73,169,101,0,0,0,-111,1
74,169,101,0,0,0,-111,1
75,169,101,0,0,0,-111,1
76,169,101,0,0,0,-111,1
77,169,101,0,0,0,-111,1
78,169,101,0,0,0,-111,1
79,169,101,0,0,0,-111,1
80,169,101,0,0,0,-111,1
81,169,101,0,0,0,-111,1
82,169,101,0,0,0,-111,1
83,169,101,0,0,0,-111,1
84,169,101,0,0,0,-111,1
85,169,101,0,0,0,-111,1
86,169,101,0,0,0,-111,1
87,169,101,0,0,0,-111,1
88,169,101,0,0,0,-111,1
89,169,101,0,0,0,-111,1
90,169,101,0,0,0,-111,1
91,169,101,0,0,0,-111,1
92,169,101,0,0,0,-111,1
93,169,101,0,0,0,-111,1
94,169,101,0,0,0,-111,1
95,169,101,0,0,0,-111,1
96,169,101,0,0,0,-111,1
97,169,101,0,0,0,-111,1
98,169,101,0,0,0,-111,1
99,169,101,0,0,0,-111,1
100,169,101,0,0,0,-111,1
101,169,101,0,0,0,-111,1
102,169,101,0,0,0,-111,1
103,169,101,0,0,0,-111,1
104,169,101,0,0,0,-111,1
105,169,101,0,0,0,-111,1
106,169,101,0,0,0,-111,1
107,169,101,0,0,0,-111,1
108,169,101,0,0,0,-111,1
109,169,101,0,0,0,-111,1
110,169,101,0,0,0,-111,0
111,169,101,0,0,0,-111,0
112,169,101,0,0,0,-111,0
113,169,101,0,0,0,-111,0
114,169,101,0,0,0,-111,0
115,169,101,0,0,0,-111,0
116,169,101,0,0,0,-111,0
117,169,101,0,0,0,-111,0
118,169,101,0,0,0,-111,0
119,169,101,0,0,0,-111,0
120,169,101,0,0,0,-111,0
121,169,101,0,0,0,-111,0
122,169,101,0,0,0,-111,0
123,169,101,0,0,0,-111,0
124,169,101,0,0,0,-111,0
125,169,101,0,0,0,-111,0
126,169,101,0,0,0,-111,0
127,169,101,0,0,0,-111,0
128,169,101,0,0,0,-111,0
129,169,101,0,0,0,-111,0
130,169,101,0,0,0,-111,0
131,169,101,0,0,0,-111,0
132,169,101,0,0,0,-111,0
133,169,101,0,0,0,-111,0
134,169,101,0,0,0,-111,0
135,169,101,0,0,0,-111,0
136,169,101,0,0,0,-111,0
137,169,101,0,0,0,-111,0
138,169,101,0,0,0,-111,0
139,169,101,0,0,0,-111,0
140,169,101,0,0,0,-111,0
141,169,101,0,0,0,-111,0
142,169,101,0,0,0,-111,0
143,169,101,0,0,0,-111,0
144,169,101,0,0,0,-111,0
145,169,101,0,0,0,-111,0
146,169,101,0,0,0,-111,0
147,169,101,0,0,0,-111,0
148,169,101,0,0,0,-111,0
149,169,101,0,0,0,-111,0
150,169,101,0,0,0,-111,0
151,169,101,0,0,0,-111,0
152,169,101,0,0,0,-111,0
153,169,101,0,0,0,-111,0
154,169,101,0,0,0,-111,0
155,169,101,0,0,0,-111,0
156,169,101,0,0,0,-111,0
157,169,101,0,0,0,-111,0
158,169,101,0,0,0,-111,0
159,169,101,0,0,0,-111,0
160,169,101,0,0,0,-111,0
161,169,101,0,0,0,-111,0
162,169,101,0,0,0,-111,0
163,169,101,0,0,0,-111,0
164,169,101,0,0,0,-111,0
165,169,101,0,0,0,-111,0
166,169,101,0,0,0,-111,0
167,169,101,0,0,0,-111,0
168,169,101,0,0,0,-111,0
169,169,101,0,0,0,-111,0
170,169,101,0,0,0,-111,0
171,169,101,0,0,0,-111,0
172,169,101,0,0,0,-111,0
173,169,101,0,0,0,-111,0
174,169,101,0,0,0,-111,0
175,169,101,0,0,0,-111,0
176,169,101,0,0,0,-111,0
177,169,101,0,0,0,-111,0
178,169,101,0,0,0,-111,0
179,169,101,0,0,0,-111,0
180,169,101,0,0,0,-111,0
181,169,101,0,0,0,-111,0
182,169,101,0,0,0,-111,0
183,169,101,0,0,0,-111,0
184,169,101,0,0,0,-111,0
185,169,101,0,0,0,-111,0
186,169,101,0,0,0,-111,0
187,169,101,0,0,0,-111,0
188,169,101,0,0,0,-111,0
189,169,101,0,0,0,-111,0
190,169,101,0,0,0,-111,0
191,169,101,0,0,0,-111,0
192,169,101,0,0,0,-111,0
193,169,101,0,0,0,-111,0
194,169,101,0,0,0,-111,0
195,169,101,0,0,0,-111,0
196,169,101,0,0,0,-111,0
197,169,101,0,0,0,-111,0
198,169,101,0,0,0,-111,0
199,169,101,0,0,0,-111,0
200,169,101,0,0,0,-111,0
201,169,101,0,0,0,-111,0
202,169,101,0,0,0,-111,0
203,169,101,0,0,0,-111,0
204,169,101,0,0,0,-111,0
205,169,101,0,0,0,-111,0
206,169,101,0,0,0,-111,0
207,169,101,0,0,0,-111,0
208,169,101,0,0,0,-111,0
209,169,101,0,0,0,-111,0
210,169,101,0,0,0,-111,0
211,169,101,0,0,0,-111,0
