t,x,y,fh,fv,r,s,frame:
0,-125,267,0,0,0,-77,0
1,-125,267,0,0,0,-77,0
2,-125,267,0,0,0,-77,0
3,-125,267,0,0,0,-77,0
4,-125,267,0,0,0,-77,0
5,-125,267,0,0,0,-77,0
6,-125,267,0,0,0,-77,0
7,-125,267,0,0,0,-77,0
8,-125,267,0,0,0,-77,0
9,-124,267,0,0,0,-77,0
10,-123,266,0,0,0,-77,0
11,-120,265,0,0,0,-77,0
12,-118,265,0,0,0,-77,0
13,-114,264,0,0,0,-77,0
14,-112,263,0,0,0,-77,0
15,-111,263,0,0,0,-77,0
16,-111,263,0,0,0,-77,0
17,-110,263,0,0,0,-77,0
18,-109,263,0,0,0,-77,0
19,-103,262,0,0,0,-77,0
20,-101,262,0,0,0,-77,0
21,-96,262,0,0,0,-77,0
22,-92,264,0,0,0,-77,0
23,-90,265,0,0,0,-77,0
24,-89,267,0,0,0,-77,0
25,-87,268,0,0,0,-77,0
26,-85,270,0,0,0,-77,0
27,-85,271,0,0,0,-77,0
28,-84,271,0,0,0,-77,0
29,-83,271,0,0,0,-77,0
30,-83,271,0,0,0,-77,0
31,-82,272,0,0,0,-77,0
32,-79,272,0,0,0,-77,0
33,-75,271,0,0,0,-77,0
34,-67,269,0,0,0,-77,0
35,-62,267,0,0,0,-77,0
36,-56,266,0,0,0,-77,0
37,-53,265,0,0,0,-77,0
38,-49,263,0,0,0,-77,0
39,-47,263,0,0,0,-77,0
40,-45,262,0,0,0,-77,0
41,-42,262,0,0,0,-77,0
42,-38,261,0,0,0,-77,0
43,-31,261,0,0,0,-77,0
44,-25,261,0,0,0,-77,0
45,-24,262,0,0,0,-77,0
46,-16,265,0,0,0,-77,0
47,-14,267,0,0,0,-77,0
48,-9,270,0,0,0,-77,0
49,-4,273,0,0,0,-77,0
50,2,276,0,0,0,-77,0
51,6,277,0,0,0,-77,0
52,10,278,0,0,0,-77,0
53,11,278,0,0,0,-77,0
54,14,278,0,0,0,-77,0
55,19,276,0,0,0,-77,0
56,30,273,0,0,0,-77,0
57,39,270,0,0,0,-77,0
58,44,268,0,0,0,-77,0
59,54,265,0,0,0,-77,0
60,61,263,0,0,0,-77,0
61,67,262,0,0,0,-77,0
62,70,262,0,0,0,-77,0
63,71,262,0,0,0,-77,0
64,72,262,0,0,0,-77,0
65,72,262,0,0,0,-77,0
66,74,263,0,0,0,-77,0
67,78,265,0,0,0,-77,0
68,85,268,0,0,0,-77,0
69,91,272,0,0,0,-77,0
70,97,275,0,0,0,-77,0
71,100,276,0,0,0,-77,0
72,101,277,0,0,0,-77,0
73,105,278,0,0,0,-77,0
74,110,279,0,0,0,-77,0
75,117,279,0,0,0,-77,0
76,124,279,0,0,0,-77,0
77,131,278,0,0,0,-77,0
78,142,275,0,0,0,-77,0
79,149,273,0,0,0,-77,0
80,156,271,0,0,0,-77,0
81,160,270,0,0,0,-77,0
82,170,268,0,0,0,-77,0
83,173,268,0,0,0,-77,0
84,174,268,0,0,0,-77,0
85,176,267,0,0,0,-77,0
86,178,267,0,0,0,-77,0
87,180,267,0,0,0,-77,0
88,181,267,0,0,0,-77,0
89,184,269,0,0,0,-77,0
90,189,272,0,0,0,-77,0
91,194,276,0,0,0,-77,0
92,197,277,0,0,0,-77,0
93,198,278,0,0,0,-77,0
94,201,278,0,0,0,-77,0
95,204,278,0,0,0,-77,0
96,207,278,0,0,0,-77,0
97,209,278,0,0,0,-77,0
98,213,276,0,0,0,-77,0
99,216,274,0,0,0,-77,0
100,219,272,0,0,0,-77,0
101,223,269,0,0,0,-77,0
102,227,268,0,0,0,-77,0
103,231,266,0,0,0,-77,0
104,234,265,0,0,0,-77,0
105,235,264,0,0,0,-77,0
106,237,264,0,0,0,-77,0
107,237,264,0,0,0,-77,0
108,237,264,0,0,0,-77,0
109,237,264,0,0,0,-77,0
110,237,264,0,0,0,-77,0
111,237,264,0,0,0,-77,0
112,237,264,0,0,0,-77,0
113,237,264,0,0,0,-77,0
114,237,264,0,0,0,-77,0
115,237,264,0,0,0,-77,0
116,237,264,0,0,0,-77,0
117,237,264,0,0,0,-77,0
118,237,264,0,0,0,-77,0
119,237,264,0,0,0,-77,0
120,237,264,0,0,0,-77,0
121,237,264,0,0,0,-77,0
122,237,264,0,0,0,-77,0
123,237,264,0,0,0,-77,0
124,237,264,0,0,0,-77,0
125,237,264,0,0,0,-77,0
126,237,264,0,0,0,-77,0
127,237,264,0,0,0,-77,0
128,237,264,0,0,0,-77,0
129,237,264,0,0,0,-77,0
130,237,264,0,0,0,-77,0
131,237,264,0,0,0,-77,0
132,237,264,0,0,0,-77,0
133,237,264,0,0,0,-77,0
134,237,264,0,0,0,-77,0
135,237,264,0,0,0,-77,0
136,237,264,0,0,0,-77,0
137,237,264,0,0,0,-77,0
138,237,264,0,0,0,-77,0
139,237,264,0,0,0,-77,0
140,237,264,0,0,0,-77,0
141,237,264,0,0,0,-77,0
142,237,264,0,0,0,-77,0
143,237,264,0,0,0,-77,0
144,237,264,0,0,0,-77,0
145,237,264,0,0,0,-77,0
146,237,264,0,0,0,-77,0
147,237,264,0,0,0,-77,0
148,237,264,0,0,0,-77,0
149,237,264,0,0,0,-77,0
150,237,264,0,0,0,-77,0
151,237,264,0,0,0,-77,0
152,237,264,0,0,0,-77,0
153,237,264,0,0,0,-77,0
154,237,264,0,0,0,-77,0
155,237,264,0,0,0,-77,0
156,237,264,0,0,0,-77,0
157,237,264,0,0,0,-77,0
158,237,264,0,0,0,-77,0
159,237,264,0,0,0,-77,0
160,237,264,0,0,0,-77,0
161,237,264,0,0,0,-77,0
162,237,264,0,0,0,-77,0
163,237,264,0,0,0,-77,0
164,237,264,0,0,0,-77,0
165,237,264,0,0,0,-77,0
166,237,264,0,0,0,-77,0
167,237,264,0,0,0,-77,0
168,237,264,0,0,0,-77,0
169,237,264,0,0,0,-77,0
170,237,264,0,0,0,-77,0
171,237,264,0,0,0,-77,0
172,237,264,0,0,0,-77,0
173,237,264,0,0,0,-77,0
174,237,264,0,0,0,-77,0
175,237,264,1,0,0,-77,0
176,237,264,1,0,0,-77,0
177,237,264,1,0,0,-77,0
178,237,264,1,0,0,-77,0
179,237,264,1,0,0,-77,0
180,237,264,1,0,0,-77,0
181,237,264,1,0,0,-77,0
182,237,264,1,0,0,-77,0
183,237,264,1,0,0,-77,0
184,237,264,1,0,0,-77,0
185,237,264,1,0,0,-77,0
186,237,264,1,0,0,-77,0
187,237,264,1,0,0,-77,0
188,237,264,1,0,0,-77,0
189,237,264,1,0,0,-77,0
190,237,264,1,0,0,-77,0
191,237,264,1,0,0,-77,0
192,237,264,1,0,0,-77,0
193,237,264,1,0,0,-77,0
194,237,264,1,0,0,-77,0
195,237,264,1,0,0,-77,0
196,237,264,1,0,0,-77,0
197,237,264,1,0,0,-77,0
198,237,264,1,0,0,-77,0
199,237,264,1,0,0,-77,0
200,237,264,1,0,0,-77,0
201,237,264,1,0,0,-77,0
202,237,264,1,0,0,-77,0
203,237,264,1,0,0,-77,0
204,237,264,1,0,0,-77,0
205,237,264,1,0,0,-77,0
206,237,264,1,0,0,-77,0
207,237,264,1,0,0,-77,0
208,237,264,1,0,0,-77,0
209,237,264,1,0,0,-77,0
210,237,264,1,0,0,-77,0
211,237,264,1,0,0,-77,0
212,237,264,1,0,0,-77,0
213,237,263,1,0,0,-77,0
214,236,261,1,0,0,-77,0
215,234,259,1,0,0,-77,0
216,230,254,1,0,0,-77,0
217,227,252,1,0,0,-77,0
