t,x,y,fh,fv,r,s,frame:
0,-566,20,0,0,21,-87,0
1,-566,20,0,0,21,-87,0
2,-566,20,0,0,21,-87,0
3,-566,20,0,0,21,-87,0
4,-566,20,0,0,21,-87,0
5,-566,20,0,0,21,-87,0
6,-566,20,0,0,21,-87,0
7,-566,20,0,0,21,-87,0
8,-566,20,0,0,21,-87,0
9,-566,20,0,0,21,-87,0
10,-566,20,0,0,21,-87,0
11,-566,20,0,0,21,-87,0
12,-566,20,0,0,21,-87,0
13,-566,20,0,0,21,-87,0
14,-566,20,0,0,21,-87,0
15,-566,20,0,0,21,-87,0
16,-566,20,0,0,21,-87,0
17,-566,20,0,0,21,-87,0
18,-566,20,0,0,21,-87,0
19,-566,20,0,0,21,-87,0
20,-566,20,0,0,21,-87,0
21,-566,20,0,0,21,-87,0
22,-566,20,0,0,21,-87,0
23,-566,20,0,0,21,-87,0
24,-566,20,0,0,21,-87,0
25,-566,20,0,0,21,-87,0
26,-566,20,0,0,21,-87,0
27,-566,20,0,0,21,-87,0
28,-566,20,0,0,21,-87,0
29,-566,20,0,0,21,-87,0
30,-566,20,0,0,21,-87,0
31,-566,20,0,0,21,-87,0
32,-566,20,0,0,21,-87,0
33,-566,20,0,0,21,-87,0
34,-566,20,0,0,21,-87,0
35,-566,20,0,0,21,-87,0
36,-566,20,0,0,21,-87,0
37,-566,20,0,0,21,-87,0
38,-566,20,0,0,21,-87,0
39,-566,20,0,0,21,-87,0
40,-566,20,0,0,21,-87,0
41,-566,20,0,0,21,-87,0
42,-566,20,0,0,21,-87,0
43,-566,20,0,0,21,-87,0
44,-566,20,0,0,21,-87,0
45,-566,20,0,0,21,-87,0
46,-566,20,0,0,21,-87,0
47,-566,20,0,0,21,-87,0
48,-566,20,0,0,21,-87,0
49,-566,20,0,0,21,-87,0
50,-566,20,0,0,21,-87,0
51,-566,20,0,0,21,-87,0
52,-566,20,0,0,21,-87,0
53,-552,20,0,0,-18,-87,0
54,-552,20,0,0,-18,-87,0
55,-552,20,0,0,-18,-87,0
56,-552,20,0,0,-18,-87,0
57,-552,20,0,0,-18,-87,0
58,-552,20,0,0,-18,-87,0
59,-552,20,0,0,-18,-87,0
60,-552,20,0,0,-18,-87,0
61,-552,20,0,0,-18,-87,0
62,-552,20,0,0,-18,-87,0
63,-552,20,0,0,-18,-87,0
64,-552,20,0,0,-18,-87,0
65,-552,20,0,0,-18,-87,0
66,-552,20,0,0,-18,-87,0
67,-552,20,0,0,-18,-87,0
68,-552,20,0,0,-18,-87,0
69,-552,20,0,0,-18,-87,0
70,-552,20,0,0,-18,-87,0
71,-552,20,0,0,-18,-87,0
72,-552,20,0,0,-18,-87,0
73,-552,20,0,0,-18,-87,0
74,-552,20,0,0,-18,-87,0
75,-552,20,0,0,-18,-87,0
76,-552,20,0,0,-18,-87,0
77,-552,20,0,0,-18,-87,0
78,-552,20,0,0,-18,-87,0
79,-552,20,0,0,-18,-87,0
80,-552,20,0,0,-18,-87,0
81,-552,20,0,0,-18,-87,0
82,-552,20,0,0,-18,-87,0
83,-552,20,0,0,-18,-87,0
84,-552,20,0,0,-18,-87,0
85,-552,20,0,0,-18,-87,0
86,-552,20,0,0,-18,-87,0
87,-552,20,0,0,-18,-87,0
88,-552,20,0,0,-18,-87,0
89,-552,20,0,0,-18,-87,0
90,-552,20,0,0,-18,-87,0
91,-552,20,0,0,-18,-87,0
92,-552,20,0,0,-18,-87,0
93,-552,20,0,0,-18,-87,0
94,-552,20,0,0,-18,-87,0
95,-552,20,0,0,-18,-87,0
96,-552,20,0,0,-18,-87,0
97,-552,20,0,0,-18,-87,0
98,-552,20,0,0,-18,-87,0
99,-552,20,0,0,-18,-87,0
100,-552,20,0,0,-18,-87,0
101,-552,20,0,0,-18,-87,0
102,-552,20,0,0,-18,-87,0
103,-552,20,0,0,-18,-87,0
104,-552,20,0,0,-18,-87,0
105,-552,20,0,0,-18,-87,0
106,-552,20,0,0,-18,-87,0
107,-552,20,0,0,-18,-87,0
108,-552,20,0,0,-18,-87,0
109,-552,20,0,0,-18,-87,0
110,-552,20,0,0,-18,-87,0
111,-552,20,0,0,-18,-87,0
112,-552,20,0,0,-18,-87,0
113,-552,20,0,0,-18,-87,0
114,-552,20,0,0,-18,-87,0
115,-552,20,0,0,-18,-87,0
116,-552,20,0,0,-18,-87,0
117,-563,22,0,0,14,-87,0
118,-563,22,0,0,14,-87,0
119,-563,22,0,0,14,-87,0
120,-563,22,0,0,14,-87,0
121,-563,22,0,0,14,-87,0
122,-563,22,0,0,14,-87,0
123,-563,22,0,0,14,-87,0
124,-563,22,0,0,14,-87,0
125,-563,22,0,0,14,-87,0
126,-563,22,0,0,14,-87,0
127,-563,22,0,0,14,-87,0
128,-563,22,0,0,14,-87,0
129,-563,22,0,0,14,-87,0
130,-563,22,0,0,14,-87,0
131,-563,22,0,0,14,-87,0
132,-563,22,0,0,14,-87,0
133,-563,22,0,0,14,-87,0
134,-563,22,0,0,14,-87,0
135,-563,22,0,0,14,-87,0
136,-563,22,0,0,14,-87,0
137,-563,22,0,0,14,-87,0
138,-563,22,0,0,14,-87,0
139,-563,22,0,0,14,-87,0
140,-563,22,0,0,14,-87,0
141,-563,22,0,0,14,-87,0
142,-563,22,0,0,14,-87,0
143,-563,22,0,0,14,-87,0
144,-563,22,0,0,14,-87,0
145,-563,22,0,0,14,-87,0
146,-563,22,0,0,14,-87,0
147,-563,22,0,0,14,-87,0
148,-563,22,0,0,14,-87,0
149,-563,22,0,0,14,-87,0
150,-563,22,0,0,14,-87,0
151,-563,22,0,0,14,-87,0
152,-563,22,0,0,14,-87,0
153,-563,22,0,0,14,-87,0
154,-563,22,0,0,14,-87,0
155,-563,22,0,0,14,-87,0
156,-563,22,0,0,14,-87,0
157,-563,22,0,0,14,-87,0
158,-563,22,0,0,14,-87,0
159,-563,22,0,0,14,-87,0
160,-563,22,0,0,14,-87,0
161,-563,22,0,0,14,-87,0
162,-563,22,0,0,14,-87,0
163,-563,22,0,0,14,-87,0
164,-563,22,0,0,14,-87,0
165,-563,22,0,0,14,-87,0
166,-563,22,0,0,14,-87,0
167,-563,22,0,0,14,-87,0
168,-563,22,0,0,14,-87,0
169,-563,22,0,0,14,-87,0
170,-563,22,0,0,14,-87,0
171,-563,22,0,0,14,-87,0
172,-563,22,0,0,14,-87,0
173,-563,22,0,0,14,-87,0
174,-563,22,0,0,14,-87,0
175,-563,22,0,0,14,-87,0
176,-563,22,0,0,14,-87,0
177,-563,22,0,0,14,-87,0
178,-563,22,0,0,14,-87,0
179,-563,22,0,0,14,-87,0
180,-548,22,0,0,-23,-87,0
181,-548,22,0,0,-23,-87,0
182,-548,22,0,0,-23,-87,0
183,-548,22,0,0,-23,-87,0
184,-548,22,0,0,-23,-87,0
185,-548,22,0,0,-23,-87,0
186,-548,22,0,0,-23,-87,0
187,-548,22,0,0,-23,-87,0
188,-548,22,0,0,-23,-87,0
189,-548,22,0,0,-23,-87,0
190,-548,22,0,0,-23,-87,0
191,-548,22,0,0,-23,-87,0
192,-548,22,0,0,-23,-87,0
193,-548,22,0,0,-23,-87,0
