t,x,y,fh,fv,r,s,frame:
0,-465,184,0,0,0,-72,0
1,-465,184,0,0,0,-72,0
2,-465,184,0,0,0,-72,0
3,-465,184,0,0,0,-72,0
4,-465,184,0,0,0,-72,0
5,-465,184,0,0,0,-72,0
6,-465,184,0,0,0,-72,0
7,-465,184,0,0,0,-72,0
8,-465,184,0,0,0,-72,0
9,-465,184,0,0,0,-72,0
10,-465,184,0,0,0,-72,0
11,-465,184,0,0,0,-72,0
12,-465,184,0,0,0,-72,0
13,-465,184,0,0,0,-72,0
14,-465,184,0,0,0,-72,0
15,-465,184,0,0,0,-72,0
16,-463,183,0,0,0,-72,0
17,-460,180,0,0,0,-72,0
18,-454,177,0,0,0,-72,0
19,-453,177,0,0,0,-72,0
20,-446,174,0,0,0,-72,0
21,-441,173,0,0,0,-72,0
22,-438,172,0,0,0,-72,0
23,-437,172,0,0,0,-72,0
24,-436,172,0,0,0,-72,0
25,-436,172,0,0,0,-72,0
26,-436,172,0,0,0,-72,0
27,-434,172,0,0,0,-72,0
28,-431,173,0,0,0,-72,0
29,-430,174,0,0,0,-72,0
30,-428,177,0,0,0,-72,0
31,-427,179,0,0,0,-72,0
32,-427,181,0,0,0,-72,0
33,-426,181,0,0,0,-72,0
34,-426,182,0,0,0,-72,0
35,-426,183,0,0,0,-72,0
36,-425,185,0,0,0,-72,0
37,-425,186,0,0,0,-72,0
38,-424,188,0,0,0,-72,0
39,-424,188,0,0,0,-72,0
40,-424,188,0,0,0,-72,0
41,-424,188,0,0,0,-72,0
42,-423,188,0,0,0,-72,0
43,-421,186,0,0,0,-72,0
44,-417,183,0,0,0,-72,0
45,-412,181,0,0,0,-72,0
46,-406,179,0,0,0,-72,0
47,-400,177,0,0,0,-72,0
48,-396,176,0,0,0,-72,0
49,-395,176,0,0,0,-72,0
50,-393,176,0,0,0,-72,0
51,-392,178,0,0,0,-72,0
52,-389,180,0,0,0,-72,0
53,-387,183,0,0,0,-72,0
54,-385,186,0,0,0,-72,0
55,-384,188,0,0,0,-72,0
56,-382,189,0,0,0,-72,0
57,-381,190,0,0,0,-72,0
58,-381,190,0,0,0,-72,0
59,-381,190,0,0,0,-72,0
60,-380,190,0,0,0,-72,0
61,-378,190,0,0,0,-72,0
62,-372,188,0,0,0,-72,0
63,-366,187,0,0,0,-72,0
64,-357,185,0,0,0,-72,0
65,-347,183,0,0,0,-72,0
66,-341,182,0,0,0,-72,0
67,-335,181,0,0,0,-72,0
68,-333,181,0,0,0,-72,0
69,-331,181,0,0,0,-72,0
70,-330,183,0,0,0,-72,0
71,-328,185,0,0,0,-72,0
72,-327,187,0,0,0,-72,0
73,-326,189,0,0,0,-72,0
74,-324,191,0,0,0,-72,0
75,-323,193,0,0,0,-72,0
76,-321,193,0,0,0,-72,0
77,-321,194,0,0,0,-72,0
78,-320,194,0,0,0,-72,0
79,-315,194,0,0,0,-72,0
80,-310,194,0,0,0,-72,0
81,-301,191,0,0,0,-72,0
82,-296,189,0,0,0,-72,0
83,-291,188,0,0,0,-72,0
84,-286,186,0,0,0,-72,0
85,-277,183,0,0,0,-72,0
86,-271,182,0,0,0,-72,0
87,-263,180,0,0,0,-72,0
88,-255,180,0,0,0,-72,0
89,-252,180,0,0,0,-72,0
90,-250,180,0,0,0,-72,0
91,-248,183,0,0,0,-72,0
92,-247,185,0,0,0,-72,0
93,-246,188,0,0,0,-72,0
94,-244,190,0,0,0,-72,0
95,-242,192,0,0,0,-72,0
96,-241,193,0,0,0,-72,0
97,-241,193,0,0,0,-72,0
98,-240,193,0,0,0,-72,0
99,-239,193,0,0,0,-72,0
100,-235,191,0,0,0,-72,0
101,-230,189,0,0,0,-72,0
102,-223,186,0,0,0,-72,0
103,-216,184,0,0,0,-72,0
104,-210,182,0,0,0,-72,0
105,-204,182,0,0,0,-72,0
106,-201,182,0,0,0,-72,0
107,-200,182,0,0,0,-72,0
108,-200,182,0,0,0,-72,0
109,-199,183,0,0,0,-72,0
110,-195,189,0,0,0,-72,0
111,-193,192,0,0,0,-72,0
112,-190,196,0,0,0,-72,0
113,-188,198,0,0,0,-72,0
114,-187,199,0,0,0,-72,0
115,-187,199,0,0,0,-72,0
116,-187,199,0,0,0,-72,0
117,-187,199,0,0,0,-72,0
118,-187,199,0,0,0,-72,0
119,-184,198,0,0,0,-72,0
120,-182,197,0,0,0,-72,0
121,-177,195,0,0,0,-72,0
122,-170,194,0,0,0,-72,0
123,-163,192,0,0,0,-72,0
124,-156,191,0,0,0,-72,0
125,-150,191,0,0,0,-72,0
126,-147,191,0,0,0,-72,0
127,-146,191,0,0,0,-72,0
128,-146,191,0,0,0,-72,0
129,-143,193,0,0,0,-72,0
130,-140,194,0,0,0,-72,0
131,-138,196,0,0,0,-72,0
132,-135,199,0,0,0,-72,0
133,-130,201,0,0,0,-73,0
134,-126,202,0,0,0,-74,0
135,-124,203,0,0,0,-75,0
136,-122,203,0,0,0,-76,0
137,-120,203,0,0,0,-77,0
138,-115,202,0,0,0,-78,0
139,-112,201,0,0,0,-79,0
140,-109,200,0,0,0,-80,0
141,-98,195,0,0,0,-81,0
142,-90,193,0,0,0,-82,0
143,-84,192,0,0,0,-82,0
144,-78,190,0,0,0,-82,0
145,-73,190,0,0,0,-82,0
146,-68,190,0,0,0,-82,0
147,-61,190,0,0,0,-82,0
148,-55,190,0,0,0,-82,0
149,-52,191,0,0,0,-82,0
150,-49,191,0,0,0,-82,0
151,-46,192,0,0,0,-82,0
152,-42,194,0,0,0,-83,0
153,-37,195,0,0,0,-84,0
154,-33,197,0,0,0,-85,0
155,-29,198,0,0,0,-86,0
156,-26,199,0,0,0,-87,0
157,-24,199,0,0,0,-88,0
158,-22,199,0,0,0,-89,0
159,-20,199,0,0,0,-90,0
160,-15,199,0,0,0,-91,0
161,-6,198,0,0,0,-91,0
162,1,197,0,0,0,-91,0
163,5,196,0,0,0,-91,0
164,14,195,0,0,0,-91,0
165,20,194,0,0,0,-91,0
166,26,194,0,0,0,-91,0
167,33,194,0,0,0,-91,0
168,40,194,0,0,0,-91,0
169,48,196,0,0,0,-92,0
170,54,196,0,0,0,-93,0
171,61,199,0,0,0,-94,0
172,70,202,0,0,0,-95,0
173,74,203,0,0,0,-96,0
174,78,204,0,0,0,-97,0
175,81,206,0,0,0,-98,0
176,82,206,0,0,0,-99,0
177,85,206,0,0,0,-100,0
178,85,206,0,0,0,-101,0
179,85,206,0,0,0,-102,0
180,86,206,0,0,0,-103,0
181,88,205,0,0,0,-104,0
182,93,204,0,0,0,-105,0
183,98,203,0,0,0,-106,0
184,103,201,0,0,0,-107,0
185,108,200,0,0,0,-108,0
186,112,200,0,0,0,-109,0
187,116,199,0,0,0,-110,0
188,120,199,0,0,0,-111,0
189,123,199,0,0,0,-112,0
190,124,199,0,0,0,-113,0
191,124,199,0,0,0,-114,0
192,124,199,0,0,0,-115,0
193,125,199,0,0,0,-116,0
194,129,201,0,0,0,-117,0
195,133,201,0,0,0,-118,0
196,138,203,0,0,0,-119,0
197,139,203,0,0,0,-120,0
198,143,204,0,0,0,-121,0
199,146,205,0,0,0,-122,0
200,151,206,0,0,0,-123,0
201,155,207,0,0,0,-124,0
202,159,208,0,0,0,-125,0
203,162,209,0,0,0,-126,0
204,163,209,0,0,0,-127,0
205,165,209,0,0,0,-128,0
206,166,209,0,0,0,-129,0
207,167,209,0,0,0,-130,0
208,168,209,0,0,0,-131,0
209,169,209,0,0,0,-132,0
210,169,209,0,0,0,-133,0
211,169,209,0,0,0,-134,0
212,170,209,0,0,0,-135,0
213,174,209,0,0,0,-136,0
214,180,207,0,0,0,-137,0
215,187,206,0,0,0,-138,0
216,195,205,0,0,0,-139,0
217,202,205,0,0,0,-140,0
218,209,205,0,0,0,-141,0
219,211,205,0,0,0,-142,0
220,213,205,0,0,0,-143,0
221,216,206,0,0,0,-144,0
222,219,207,0,0,0,-145,0
223,221,208,0,0,0,-146,0
224,223,209,0,0,0,-147,0
225,226,210,0,0,0,-148,0
226,230,210,0,0,0,-149,0
227,235,210,0,0,0,-150,0
228,242,210,0,0,0,-151,0
229,248,211,0,0,0,-152,0
230,252,211,0,0,0,-153,0
231,253,211,0,0,0,-154,0
232,255,211,0,0,0,-155,0
233,256,211,0,0,0,-156,0
234,258,212,0,0,0,-157,0
235,260,212,0,0,0,-158,0
236,265,214,0,0,0,-159,0
237,269,215,0,0,0,-160,0
238,272,216,0,0,0,-161,0
