t,x,y,fh,fv,r,s,frame:
0,-511,-66,0,0,0,0,0
1,-511,-66,0,0,0,0,0
2,-511,-66,0,0,0,0,0
3,-511,-66,0,0,0,0,0
4,-511,-66,0,0,0,0,0
5,-511,-66,0,0,0,0,0
6,-511,-66,0,0,0,0,0
7,-511,-66,0,0,0,0,0
8,-511,-66,0,0,0,0,0
9,-511,-66,0,0,0,0,0
10,-511,-66,0,0,0,0,0
11,-511,-66,0,0,0,0,0
12,-511,-66,0,0,0,0,0
13,-511,-66,0,0,0,0,0
14,-511,-66,0,0,0,0,0
15,-512,-66,0,0,0,0,0
16,-513,-66,0,0,0,0,0
17,-514,-67,0,0,0,0,0
18,-515,-67,0,0,0,0,0
19,-515,-67,0,0,0,0,0
20,-516,-67,0,0,0,0,0
21,-516,-67,0,0,0,0,0
22,-517,-67,0,0,0,0,0
23,-518,-66,0,0,0,0,0
24,-519,-65,0,0,0,0,0
25,-520,-65,0,0,0,0,0
26,-520,-64,0,0,0,0,0
27,-521,-64,0,0,0,0,0
28,-521,-64,0,0,0,0,0
29,-521,-63,0,0,0,0,0
30,-521,-63,0,0,0,0,0
31,-521,-63,0,0,0,0,0
32,-521,-63,0,0,0,0,0
33,-521,-63,0,0,0,0,0
34,-521,-63,0,0,0,0,0
35,-522,-63,0,0,0,0,0
36,-522,-63,0,0,0,0,0
37,-522,-63,0,0,0,0,0
38,-523,-63,0,0,0,0,0
39,-523,-62,0,0,0,0,0
40,-524,-61,0,0,0,0,0
41,-524,-61,0,0,0,0,0
42,-524,-61,0,0,0,0,0
43,-525,-61,0,0,0,0,0
44,-525,-60,0,0,0,0,0
45,-525,-60,0,0,0,0,0
46,-525,-60,0,0,0,0,0
47,-525,-60,0,0,0,0,0
48,-526,-60,0,0,0,0,0
49,-526,-60,0,0,0,0,0
50,-527,-60,0,0,0,0,0
51,-528,-60,0,0,0,0,0
52,-529,-60,0,0,0,0,0
53,-530,-61,0,0,0,0,0
54,-531,-61,0,0,0,0,0
55,-532,-62,0,0,0,0,0
56,-532,-62,0,0,0,0,0
57,-533,-62,0,0,0,0,0
58,-534,-63,0,0,0,0,0
59,-534,-63,0,0,0,0,0
60,-535,-63,0,0,0,0,0
61,-535,-63,0,0,0,0,0
62,-535,-63,0,0,0,0,0
63,-535,-63,0,0,0,0,0
64,-535,-63,0,0,0,0,0
65,-536,-63,0,0,0,0,0
66,-536,-64,0,0,0,0,0
67,-537,-64,0,0,0,0,0
68,-537,-64,0,0,0,0,0
69,-537,-65,0,0,0,0,0
70,-538,-65,0,0,0,0,0
71,-538,-65,0,0,0,0,0
72,-538,-65,0,0,0,0,0
73,-538,-65,0,0,0,0,0
74,-538,-65,0,0,0,0,0
75,-538,-65,0,0,0,0,0
