t,x,y,fh,fv,r,s,frame:
0,-410,334,1,0,0,-105,1
1,-410,334,1,0,0,-105,1
2,-410,334,1,0,0,-105,1
3,-410,334,1,0,0,-105,1
4,-410,334,1,0,0,-105,1
5,-410,334,1,0,0,-105,1
6,-410,334,1,0,0,-105,1
7,-410,334,1,0,0,-105,1
8,-410,334,1,0,0,-105,1
9,-410,334,1,0,0,-105,1
10,-410,334,1,0,0,-105,1
11,-410,334,1,0,0,-105,1
12,-410,334,1,0,0,-105,1
13,-410,334,1,0,0,-105,1
14,-410,334,1,0,0,-105,1
15,-410,334,1,0,0,-105,1
16,-410,334,1,0,0,-105,1
17,-410,334,1,0,0,-105,1
18,-410,334,1,0,0,-105,1
19,-410,334,1,0,0,-105,1
20,-410,334,1,0,0,-105,1
21,-410,334,1,0,0,-105,1
22,-410,334,1,0,0,-105,1
23,-410,334,1,0,0,-105,1
24,-410,334,1,0,0,-105,1
25,-410,334,1,0,0,-105,1
26,-410,334,1,0,0,-105,1
27,-410,334,1,0,0,-105,1
28,-410,334,1,0,0,-105,1
29,-410,334,1,0,0,-105,1
30,-410,334,1,0,0,-105,1
31,-410,334,1,0,0,-105,1
32,-410,334,1,0,0,-105,1
33,-410,334,1,0,0,-105,1
34,-410,334,1,0,0,-105,1
35,-410,334,1,0,0,-105,1
36,-410,334,1,0,0,-105,1
37,-410,334,1,0,0,-105,1
38,-410,334,1,0,0,-105,1
39,-410,334,1,0,0,-105,1
40,-410,334,1,0,0,-105,1
41,-410,334,1,0,0,-105,1
42,-410,334,1,0,0,-105,1
43,-410,334,1,0,0,-105,1
44,-410,334,1,0,0,-105,1
45,-410,334,1,0,0,-105,1
46,-410,334,1,0,0,-105,1
47,-410,334,1,0,0,-105,1
48,-410,334,1,0,0,-105,1
49,-410,334,1,0,0,-105,1
50,-410,334,1,0,0,-105,1
51,-410,334,1,0,0,-105,1
52,-410,334,1,0,0,-105,1
53,-410,334,1,0,0,-105,1
54,-410,334,1,0,0,-105,1
55,-410,334,1,0,0,-105,1
56,-410,334,1,0,0,-105,1
57,-410,334,1,0,0,-105,1
58,-410,334,1,0,0,-105,1
59,-410,334,1,0,0,-105,1
60,-410,334,1,0,0,-105,1
61,-410,334,1,0,0,-105,1
62,-410,334,1,0,0,-105,1
63,-410,334,1,0,0,-105,1
64,-410,334,1,0,0,-105,1
65,-410,334,1,0,0,-105,1
66,-410,334,1,0,0,-105,1
67,-410,334,1,0,0,-105,1
68,-410,334,1,0,0,-105,1
69,-410,334,1,0,0,-105,1
70,-410,334,1,0,0,-105,1
71,-410,334,1,0,0,-105,1
72,-410,334,1,0,0,-105,1
73,-410,334,1,0,0,-105,1
74,-410,334,1,0,0,-105,1
75,-410,334,1,0,0,-105,1
76,-410,334,1,0,0,-105,1
77,-410,334,1,0,0,-105,1
78,-410,334,1,0,0,-105,1
79,-410,334,1,0,0,-105,1
80,-410,334,1,0,0,-105,1
81,-410,334,1,0,0,-105,1
82,-410,334,1,0,0,-105,1
83,-410,334,1,0,0,-105,1
84,-410,334,1,0,0,-105,1
85,-410,334,1,0,0,-105,1
86,-410,334,1,0,0,-105,1
87,-410,334,1,0,0,-105,1
88,-410,334,1,0,0,-105,1
89,-410,334,1,0,0,-105,1
90,-410,334,1,0,0,-105,1
91,-410,334,1,0,0,-105,1
92,-410,334,1,0,0,-105,1
93,-410,334,1,0,0,-105,1
94,-410,334,1,0,0,-105,1
95,-410,334,1,0,0,-105,1
96,-410,334,1,0,0,-105,1
97,-410,334,1,0,0,-105,1
98,-410,334,1,0,0,-105,1
99,-410,334,1,0,0,-105,1
100,-410,334,1,0,0,-105,1
101,-410,334,1,0,0,-105,1
102,-410,334,1,0,0,-105,1
103,-410,334,1,0,0,-105,1
104,-410,334,1,0,0,-105,1
105,-410,334,1,0,0,-105,1
106,-410,334,1,0,0,-105,1
107,-410,334,1,0,0,-105,1
108,-410,334,1,0,0,-105,1
109,-410,334,1,0,0,-105,1
110,-410,334,1,0,0,-105,1
111,-410,334,1,0,0,-105,1
112,-410,334,1,0,0,-105,1
113,-410,334,1,0,0,-105,1
114,-410,334,1,0,0,-105,1
115,-410,334,1,0,0,-105,1
116,-410,334,1,0,0,-105,1
117,-410,334,1,0,0,-105,1
118,-410,334,1,0,0,-105,1
119,-410,334,1,0,0,-105,1
120,-410,334,1,0,0,-105,1
121,-410,334,1,0,0,-105,1
122,-410,334,1,0,0,-105,1
123,-410,334,1,0,0,-105,1
124,-410,334,1,0,0,-105,1
125,-410,334,1,0,0,-105,1
126,-410,334,1,0,0,-105,1
127,-410,334,1,0,0,-105,1
128,-410,334,1,0,0,-105,1
129,-410,334,1,0,0,-105,1
130,-410,334,1,0,0,-105,1
131,-410,334,1,0,0,-105,1
132,-410,334,1,0,0,-105,1
133,-410,334,1,0,0,-105,1
134,-410,334,1,0,0,-105,1
135,-410,334,1,0,0,-105,1
136,-410,334,1,0,0,-105,1
137,-410,334,1,0,0,-105,1
138,-410,334,1,0,0,-105,1
139,-410,334,1,0,0,-105,1
140,-410,334,1,0,0,-105,1
141,-410,334,1,0,0,-105,1
142,-410,334,1,0,0,-105,1
143,-410,334,1,0,0,-105,1
144,-410,334,1,0,0,-105,1
145,-410,334,1,0,0,-105,1
146,-410,334,1,0,0,-105,1
147,-410,334,1,0,0,-105,1
148,-410,334,1,0,0,-105,1
149,-410,334,1,0,0,-105,1
150,-410,334,1,0,0,-105,1
151,-410,334,1,0,0,-105,1
152,-410,334,1,0,0,-105,1
153,-410,334,1,0,0,-105,1
154,-410,334,1,0,0,-105,1
155,-410,334,1,0,0,-105,1
156,-410,334,1,0,0,-105,1
157,-410,334,1,0,0,-105,1
158,-410,334,1,0,0,-105,1
159,-410,334,1,0,0,-105,1
160,-410,334,1,0,0,-105,1
161,-410,334,1,0,0,-105,1
162,-410,334,1,0,0,-105,1
163,-410,334,1,0,0,-105,1
164,-410,334,1,0,0,-105,1
165,-410,334,1,0,0,-105,1
166,-410,334,1,0,0,-105,1
167,-410,334,1,0,0,-105,1
168,-410,334,1,0,0,-105,1
169,-429,342,1,0,0,-105,0
170,-429,342,1,0,0,-105,0
171,-429,342,1,0,0,-105,0
172,-429,342,1,0,0,-105,0
173,-429,342,1,0,0,-105,0
174,-429,342,1,0,0,-105,0
175,-429,342,1,0,0,-105,0
176,-429,342,1,0,0,-105,0
177,-428,342,1,0,0,-105,0
178,-423,340,1,0,0,-105,0
179,-417,337,1,0,0,-105,0
180,-412,335,1,0,0,-105,0
181,-405,332,1,0,0,-105,0
182,-398,328,1,0,0,-105,0
183,-397,328,1,0,0,-105,0
184,-394,326,1,0,0,-105,0
185,-390,324,1,0,0,-105,0
186,-385,322,1,0,0,-105,0
187,-377,319,1,0,0,-105,0
188,-368,316,1,0,0,-105,0
189,-363,313,1,0,0,-105,0
190,-357,311,1,0,0,-105,0
191,-351,309,1,0,0,-105,0
192,-345,307,1,0,0,-105,0
193,-339,305,1,0,0,-105,0
194,-333,303,1,0,0,-105,0
195,-327,301,1,0,0,-105,0
196,-319,298,1,0,0,-105,0
197,-312,296,1,0,0,-105,0
198,-306,294,1,0,0,-105,0
199,-298,291,1,0,0,-105,0
200,-292,289,1,0,0,-105,0
201,-286,287,1,0,0,-105,0
202,-279,285,1,0,0,-105,0
203,-272,284,1,0,0,-105,0
204,-265,281,1,0,0,-105,0
205,-254,278,1,0,0,-105,0
206,-251,277,1,0,0,-105,0
207,-244,275,1,0,0,-105,0
208,-232,272,1,0,0,-105,0
209,-224,271,1,0,0,-105,0
210,-215,269,1,0,0,-105,0
211,-209,268,1,0,0,-105,0
212,-203,267,1,0,0,-105,0
213,-196,266,1,0,0,-105,0
214,-189,265,1,0,0,-105,0
215,-182,265,1,0,0,-105,0
216,-174,264,1,0,0,-105,0
217,-167,263,1,0,0,-105,0
218,-162,263,1,0,0,-105,0
219,-157,262,1,0,0,-105,0
220,-153,262,1,0,0,-105,0
221,-147,262,1,0,0,-105,0
222,-136,261,1,0,0,-105,0
223,-130,261,1,0,0,-105,0
224,-127,261,1,0,0,-105,0
225,-122,260,1,0,0,-105,0
226,-120,260,1,0,0,-105,0
227,-116,260,1,0,0,-105,0
228,-112,260,1,0,0,-105,0
229,-109,260,1,0,0,-105,0
230,-108,260,1,0,0,-105,0
231,-107,260,1,0,0,-105,0
232,-106,260,1,0,0,-105,0
233,-105,260,1,0,0,-105,0
234,-103,260,1,0,0,-105,0
235,-100,260,1,0,0,-105,0
236,-98,260,1,0,0,-105,0
237,-96,260,1,0,0,-105,0
238,-95,260,1,0,0,-105,0
239,-95,260,1,0,0,-105,0
240,-94,260,1,0,0,-105,0
241,-92,260,1,0,0,-105,0
242,-91,260,1,0,0,-105,0
243,-89,260,1,0,0,-105,0
244,-86,260,1,0,0,-105,0
245,-84,260,1,0,0,-105,0
246,-83,260,1,0,0,-105,0
247,-82,260,1,0,0,-105,0
248,-81,260,1,0,0,-105,0
249,-79,260,1,0,0,-105,0
250,-77,260,1,0,0,-105,0
251,-76,260,1,0,0,-105,0
252,-74,260,1,0,0,-105,0
253,-73,260,1,0,0,-105,0
254,-72,260,1,0,0,-105,0
255,-71,260,1,0,0,-105,0
256,-70,260,1,0,0,-105,0
257,-70,260,1,0,0,-105,0
258,-69,260,1,0,0,-105,0
259,-69,260,1,0,0,-105,0
260,-69,260,1,0,0,-105,0
261,-68,260,1,0,0,-105,0
262,-68,260,1,0,0,-105,0
263,-68,260,1,0,0,-105,0
264,-68,260,1,0,0,-105,0
265,-68,260,1,0,0,-105,0
266,-68,260,1,0,0,-105,0
267,-68,260,1,0,0,-105,0
268,-68,260,1,0,0,-105,0
269,-68,260,1,0,0,-105,0
270,-68,260,1,0,0,-105,0
271,-68,260,1,0,0,-105,0
272,-68,260,1,0,0,-105,0
273,-68,260,1,0,0,-105,0
274,-68,260,1,0,0,-105,0
275,-68,260,1,0,0,-105,0
276,-68,260,1,0,0,-105,0
277,-68,260,1,0,0,-105,0
278,-68,260,1,0,0,-105,0
279,-68,260,1,0,0,-105,0
280,-68,260,1,0,0,-105,0
281,-68,260,1,0,0,-105,0
282,-68,260,1,0,0,-105,0
283,-68,260,1,0,0,-105,0
284,-68,260,1,0,0,-105,0
285,-68,260,1,0,0,-105,0
286,-68,260,1,0,0,-105,0
287,-68,260,1,0,0,-105,0
288,-68,260,1,0,0,-105,0
289,-68,260,1,0,0,-105,0
290,-68,260,1,0,0,-105,0
291,-68,260,1,0,0,-105,0
292,-68,260,1,0,0,-105,0
293,-68,260,1,0,0,-105,0
294,-68,260,1,0,0,-105,0
295,-68,260,1,0,0,-105,0
296,-68,260,1,0,0,-105,0
297,-68,260,1,0,0,-105,0
298,-68,260,1,0,0,-105,0
299,-68,260,1,0,0,-105,0
300,-68,260,1,0,0,-105,0
301,-68,260,1,0,0,-105,0
302,-68,260,1,0,0,-105,0
303,-68,260,1,0,0,-105,0
304,-68,260,1,0,0,-105,0
305,-69,260,1,0,0,-105,0
306,-69,260,1,0,0,-105,0
307,-69,260,1,0,0,-105,0
308,-69,260,1,0,0,-105,0
309,-69,260,1,0,0,-105,0
310,-69,260,1,0,0,-105,0
311,-69,260,1,0,0,-105,0
312,-69,260,1,0,0,-105,0
313,-69,260,1,0,0,-105,0
314,-69,260,1,0,0,-105,0
315,-69,260,1,0,0,-105,0
316,-69,260,1,0,0,-105,0
317,-69,260,1,0,0,-105,0
318,-69,260,1,0,0,-105,0
319,-69,260,1,0,0,-105,0
320,-69,260,1,0,0,-105,0
321,-69,260,1,0,0,-105,0
322,-69,260,1,0,0,-105,0
323,-69,260,1,0,0,-105,0
324,-69,260,1,0,0,-105,0
325,-69,260,1,0,0,-105,0
326,-69,260,1,0,0,-105,0
327,-69,260,1,0,0,-105,0
328,-69,260,1,0,0,-105,0
329,-69,260,1,0,0,-105,0
330,-69,260,1,0,0,-105,0
331,-69,260,1,0,0,-105,0
332,-69,260,1,0,0,-105,0
333,-69,260,1,0,0,-105,0
334,-69,260,1,0,0,-105,0
335,-69,260,1,0,0,-105,0
336,-69,260,1,0,0,-105,0
337,-69,260,1,0,0,-105,0
338,-69,260,1,0,0,-105,0
339,-69,260,1,0,0,-105,0
340,-69,260,1,0,0,-105,0
341,-69,260,1,0,0,-105,0
342,-69,260,1,0,0,-105,0
343,-69,260,1,0,0,-105,0
344,-69,260,1,0,0,-105,0
345,-69,260,1,0,0,-105,0
346,-69,260,1,0,0,-105,0
347,-69,260,1,0,0,-105,0
348,-69,260,1,0,0,-105,0
349,-69,260,1,0,0,-105,0
350,-69,260,1,0,0,-105,0
351,-69,260,1,0,0,-105,0
352,-69,260,1,0,0,-105,0
353,-69,260,1,0,0,-105,0
354,-69,260,1,0,0,-105,0
355,-69,260,1,0,0,-105,0
356,-69,260,1,0,0,-105,0
357,-69,260,1,0,0,-105,0
358,-69,260,1,0,0,-105,0
359,-69,260,1,0,0,-105,0
360,-69,260,1,0,0,-105,0
361,-69,260,1,0,0,-105,0
362,-69,260,1,0,0,-105,0
363,-69,260,1,0,0,-105,0
364,-69,260,1,0,0,-105,0
365,-69,260,1,0,0,-105,0
366,-69,260,1,0,0,-105,0
367,-69,260,1,0,0,-105,0
368,-69,260,1,0,0,-105,0
369,-69,260,1,0,0,-105,0
370,-69,260,1,0,0,-105,0
371,-69,260,1,0,0,-105,0
372,-69,260,1,0,0,-105,0
373,-69,260,1,0,0,-105,0
374,-69,260,1,0,0,-105,0
375,-69,260,1,0,0,-105,0
376,-69,260,1,0,0,-105,0
377,-69,260,1,0,0,-105,0
378,-69,260,1,0,0,-105,0
