t,x,y,fh,fv,r,s,frame:
0,-614,-128,0,0,44,-90,1
1,-614,-128,0,0,44,-90,1
2,-614,-128,0,0,44,-90,1
3,-614,-128,0,0,44,-90,1
4,-614,-128,0,0,44,-90,1
5,-614,-128,0,0,44,-90,1
6,-614,-128,0,0,44,-90,1
7,-614,-128,0,0,44,-90,1
8,-614,-128,0,0,44,-90,1
9,-614,-128,0,0,44,-90,1
10,-614,-128,0,0,44,-90,1
11,-614,-128,0,0,44,-90,1
12,-614,-128,0,0,44,-90,1
13,-614,-128,0,0,44,-90,1
14,-614,-128,0,0,44,-90,1
15,-614,-128,0,0,44,-90,1
16,-614,-128,0,0,44,-90,1
17,-614,-128,0,0,44,-90,1
18,-614,-128,0,0,44,-90,1
19,-614,-128,0,0,44,-90,1
20,-614,-128,0,0,44,-90,1
21,-614,-128,0,0,44,-90,1
22,-614,-128,0,0,44,-90,1
23,-614,-128,0,0,44,-90,1
24,-614,-128,0,0,44,-90,1
25,-614,-128,0,0,44,-90,1
26,-614,-128,0,0,44,-90,1
27,-614,-128,0,0,44,-90,1
28,-614,-128,0,0,44,-90,1
29,-614,-128,0,0,44,-90,1
30,-614,-128,0,0,44,-90,1
31,-614,-128,0,0,44,-90,1
32,-614,-128,0,0,44,-90,1
33,-614,-128,0,0,44,-90,1
34,-614,-128,0,0,44,-90,1
35,-614,-128,0,0,44,-90,1
36,-614,-128,0,0,44,-90,1
37,-614,-128,0,0,44,-90,1
38,-614,-128,0,0,44,-90,1
39,-614,-128,0,0,44,-90,1
40,-614,-128,0,0,44,-90,1
41,-614,-128,0,0,44,-90,1
42,-614,-128,0,0,44,-90,1
43,-614,-128,0,0,44,-90,1
44,-614,-128,0,0,44,-90,1
45,-614,-128,0,0,44,-90,1
46,-614,-128,0,0,44,-90,1
47,-614,-128,0,0,44,-90,1
48,-614,-128,0,0,44,-90,1
49,-614,-128,0,0,44,-90,1
50,-614,-128,0,0,44,-90,1
51,-614,-128,0,0,44,-90,1
52,-614,-128,0,0,44,-90,1
53,-614,-128,0,0,44,-90,1
54,-614,-128,0,0,44,-90,1
55,-614,-128,0,0,44,-90,1
56,-614,-128,0,0,44,-90,1
57,-614,-128,0,0,44,-90,1
58,-614,-128,0,0,44,-90,1
59,-614,-128,0,0,44,-90,1
60,-614,-128,0,0,44,-90,1
61,-614,-128,0,0,44,-90,1
62,-614,-128,0,0,44,-90,1
63,-614,-128,0,0,44,-90,1
64,-614,-128,0,0,44,-90,1
65,-614,-128,0,0,44,-90,1
66,-614,-128,0,0,44,-90,1
67,-614,-128,0,0,44,-90,1
68,-614,-128,0,0,44,-90,1
69,-614,-128,0,0,44,-90,1
70,-614,-128,0,0,44,-90,1
71,-614,-128,0,0,44,-90,1
72,-614,-128,0,0,44,-90,1
73,-614,-128,0,0,44,-90,1
74,-614,-128,0,0,44,-90,1
75,-614,-128,0,0,44,-90,1
76,-614,-128,0,0,44,-90,1
77,-614,-128,0,0,44,-90,1
78,-614,-128,0,0,44,-90,1
79,-614,-128,0,0,44,-90,1
80,-614,-128,0,0,44,-90,1
81,-614,-128,0,0,44,-90,1
82,-614,-128,0,0,44,-90,1
83,-614,-128,0,0,44,-90,1
84,-614,-128,0,0,44,-90,1
85,-614,-128,0,0,44,-90,1
86,-614,-128,0,0,44,-90,1
87,-614,-128,0,0,44,-90,1
88,-614,-128,0,0,44,-90,1
89,-614,-128,0,0,44,-90,1
90,-614,-128,0,0,44,-90,1
91,-614,-128,0,0,44,-90,1
92,-614,-128,0,0,44,-90,1
93,-614,-128,0,0,44,-90,1
94,-614,-128,0,0,44,-90,1
95,-614,-128,0,0,44,-90,1
96,-614,-128,0,0,44,-90,1
97,-614,-128,0,0,44,-90,1
98,-614,-128,0,0,44,-90,1
99,-614,-128,0,0,44,-90,1
100,-614,-128,0,0,44,-90,1
101,-614,-128,0,0,44,-90,1
102,-614,-128,0,0,44,-90,1
103,-614,-128,0,0,44,-90,1
104,-614,-128,0,0,44,-90,1
105,-614,-128,0,0,44,-90,1
106,-614,-128,0,0,44,-90,1
107,-614,-128,0,0,44,-90,1
108,-614,-128,0,0,44,-90,1
109,-614,-128,0,0,44,-90,1
110,-614,-128,0,0,44,-90,1
111,-614,-128,0,0,44,-90,1
112,-614,-128,0,0,44,-90,1
113,-614,-128,0,0,44,-90,1
114,-614,-128,0,0,44,-90,1
115,-614,-128,0,0,44,-90,1
116,-614,-128,0,0,44,-90,1
117,-614,-128,0,0,44,-90,1
118,-614,-128,0,0,44,-90,1
