t,x,y,fh,fv,r,s,frame:
0,415,338,0,0,0,-106,1
1,415,338,0,0,0,-106,1
2,415,338,0,0,0,-106,1
3,415,338,0,0,0,-106,1
4,415,338,0,0,0,-106,1
5,415,338,0,0,0,-106,1
6,415,338,0,0,0,-106,1
7,415,338,0,0,0,-106,1
8,415,338,0,0,0,-106,1
9,415,338,0,0,0,-106,1
10,415,338,0,0,0,-106,1
11,415,338,0,0,0,-106,1
12,415,338,0,0,0,-106,1
13,415,338,0,0,0,-106,1
14,415,338,0,0,0,-106,1
15,415,338,0,0,0,-106,1
16,415,338,0,0,0,-106,1
17,415,338,0,0,0,-106,1
18,415,338,0,0,0,-106,1
19,415,338,0,0,0,-106,1
20,415,338,0,0,0,-106,1
21,415,338,0,0,0,-106,1
22,415,338,0,0,0,-106,1
23,415,338,0,0,0,-106,1
24,415,338,0,0,0,-106,1
25,415,338,0,0,0,-106,1
26,415,338,0,0,0,-106,1
27,415,338,0,0,0,-106,1
28,415,338,0,0,0,-106,1
29,415,338,0,0,0,-106,1
30,415,338,0,0,0,-106,1
31,415,338,0,0,0,-106,1
32,415,338,0,0,0,-106,1
33,415,338,0,0,0,-106,1
34,415,338,0,0,0,-106,1
35,415,338,0,0,0,-106,1
36,415,338,0,0,0,-106,1
37,415,338,0,0,0,-106,1
38,415,338,0,0,0,-106,1
39,415,338,0,0,0,-106,1
40,415,338,0,0,0,-106,1
41,415,338,0,0,0,-106,1
42,415,338,0,0,0,-106,1
43,415,338,0,0,0,-106,1
44,415,338,0,0,0,-106,1
45,415,338,0,0,0,-106,1
46,415,338,0,0,0,-106,1
47,415,338,0,0,0,-106,1
48,415,338,0,0,0,-106,1
49,415,338,0,0,0,-106,1
50,415,338,0,0,0,-106,1
51,415,338,0,0,0,-106,1
52,415,338,0,0,0,-106,1
53,415,338,0,0,0,-106,1
54,415,338,0,0,0,-106,1
55,415,338,0,0,0,-106,1
56,415,338,0,0,0,-106,1
57,415,338,0,0,0,-106,1
58,415,338,0,0,0,-106,1
59,415,338,0,0,0,-106,1
60,415,338,0,0,0,-106,1
61,415,338,0,0,0,-106,1
62,415,338,0,0,0,-106,1
63,415,338,0,0,0,-106,1
64,415,338,0,0,0,-106,1
65,415,338,0,0,0,-106,1
66,415,338,0,0,0,-106,1
67,415,338,0,0,0,-106,1
68,415,338,0,0,0,-106,1
69,415,338,0,0,0,-106,1
70,415,338,0,0,0,-106,1
71,415,338,0,0,0,-106,1
72,415,338,0,0,0,-106,1
73,415,338,0,0,0,-106,1
74,415,338,0,0,0,-106,1
75,415,338,0,0,0,-106,1
76,415,338,0,0,0,-106,1
77,415,338,0,0,0,-106,1
78,415,338,0,0,0,-106,1
79,415,338,0,0,0,-106,1
80,415,338,0,0,0,-106,1
81,415,338,0,0,0,-106,1
82,415,338,0,0,0,-106,1
83,415,338,0,0,0,-106,1
84,415,338,0,0,0,-106,1
85,415,338,0,0,0,-106,1
86,415,338,0,0,0,-106,1
87,415,338,0,0,0,-106,1
88,415,338,0,0,0,-106,1
89,415,338,0,0,0,-106,1
90,415,338,0,0,0,-106,1
91,415,338,0,0,0,-106,1
92,415,338,0,0,0,-106,1
93,415,338,0,0,0,-106,1
94,415,338,0,0,0,-106,1
95,415,338,0,0,0,-106,1
96,415,338,0,0,0,-106,1
97,415,338,0,0,0,-106,1
98,415,338,0,0,0,-106,1
99,415,338,0,0,0,-106,1
100,415,338,0,0,0,-106,1
101,415,338,0,0,0,-106,1
102,415,338,0,0,0,-106,1
103,415,338,0,0,0,-106,1
104,415,338,0,0,0,-106,1
105,415,338,0,0,0,-106,1
106,415,338,0,0,0,-106,1
107,415,338,0,0,0,-106,1
108,415,338,0,0,0,-106,1
109,415,338,0,0,0,-106,1
110,415,338,0,0,0,-106,1
111,415,338,0,0,0,-106,1
112,415,338,0,0,0,-106,1
113,415,338,0,0,0,-106,1
114,415,338,0,0,0,-106,1
115,415,338,0,0,0,-106,1
116,415,338,0,0,0,-106,1
117,415,338,0,0,0,-106,1
118,415,338,0,0,0,-106,1
119,415,338,0,0,0,-106,1
120,415,338,0,0,0,-106,1
121,415,338,0,0,0,-106,1
122,415,338,0,0,0,-106,1
123,415,338,0,0,0,-106,1
124,415,338,0,0,0,-106,1
125,415,338,0,0,0,-106,1
126,415,338,0,0,0,-106,1
127,415,338,0,0,0,-106,1
128,415,338,0,0,0,-106,1
129,415,338,0,0,0,-106,1
130,415,338,0,0,0,-106,1
131,415,338,0,0,0,-106,1
132,415,338,0,0,0,-106,1
133,415,338,0,0,0,-106,1
134,415,338,0,0,0,-106,1
135,415,338,0,0,0,-106,1
136,415,338,0,0,0,-106,1
137,415,338,0,0,0,-106,1
138,415,338,0,0,0,-106,1
139,415,338,0,0,0,-106,1
140,415,338,0,0,0,-106,1
141,415,338,0,0,0,-106,1
142,415,338,0,0,0,-106,1
143,415,338,0,0,0,-106,1
144,415,338,0,0,0,-106,1
145,415,338,0,0,0,-106,1
146,415,338,0,0,0,-106,1
147,415,338,0,0,0,-106,1
148,415,338,0,0,0,-106,1
149,415,338,0,0,0,-106,1
150,415,338,0,0,0,-106,1
151,415,338,0,0,0,-106,1
152,415,338,0,0,0,-106,1
153,415,338,0,0,0,-106,1
154,415,338,0,0,0,-106,1
155,415,338,0,0,0,-106,1
156,415,338,0,0,0,-106,1
157,415,338,0,0,0,-106,1
158,415,338,0,0,0,-106,1
159,415,338,0,0,0,-106,1
160,415,338,0,0,0,-106,1
161,415,338,0,0,0,-106,1
162,415,338,0,0,0,-106,1
163,415,338,0,0,0,-106,1
164,415,338,0,0,0,-106,1
165,415,338,0,0,0,-106,0
166,415,338,0,0,0,-106,0
167,415,338,0,0,0,-106,0
168,415,338,0,0,0,-106,0
169,415,338,0,0,0,-106,0
170,415,338,0,0,0,-106,0
