t,x,y,fh,fv,r,s,frame:
0,610,-125,1,0,-44,-90,1
1,610,-125,1,0,-44,-90,1
2,610,-125,1,0,-44,-90,1
3,610,-125,1,0,-44,-90,1
4,610,-125,1,0,-44,-90,1
5,610,-125,1,0,-44,-90,1
6,610,-125,1,0,-44,-90,1
7,610,-125,1,0,-44,-90,1
8,610,-125,1,0,-44,-90,1
9,610,-125,1,0,-44,-90,1
10,610,-125,1,0,-44,-90,1
11,610,-125,1,0,-44,-90,1
12,610,-125,1,0,-44,-90,1
13,610,-125,1,0,-44,-90,1
14,610,-125,1,0,-44,-90,1
15,610,-125,1,0,-44,-90,1
16,610,-125,1,0,-44,-90,1
17,610,-125,1,0,-44,-90,1
18,610,-125,1,0,-44,-90,1
19,610,-125,1,0,-44,-90,1
20,610,-125,1,0,-44,-90,1
21,610,-125,1,0,-44,-90,1
22,610,-125,1,0,-44,-90,1
23,610,-125,1,0,-44,-90,1
24,610,-125,1,0,-44,-90,1
25,610,-125,1,0,-44,-90,1
26,610,-125,1,0,-44,-90,1
27,610,-125,1,0,-44,-90,1
28,610,-125,1,0,-44,-90,1
29,610,-125,1,0,-44,-90,1
30,610,-125,1,0,-44,-90,1
31,610,-125,1,0,-44,-90,1
32,610,-125,1,0,-44,-90,1
33,610,-125,1,0,-44,-90,1
34,610,-125,1,0,-44,-90,1
35,610,-125,1,0,-44,-90,1
36,610,-125,1,0,-44,-90,1
37,610,-125,1,0,-44,-90,1
38,610,-125,1,0,-44,-90,1
39,610,-125,1,0,-44,-90,1
40,610,-125,1,0,-44,-90,1
41,610,-125,1,0,-44,-90,1
42,610,-125,1,0,-44,-90,1
43,610,-125,1,0,-44,-90,1
44,610,-125,1,0,-44,-90,1
45,610,-125,1,0,-44,-90,1
46,610,-125,1,0,-44,-90,1
47,610,-125,1,0,-44,-90,1
48,610,-125,1,0,-44,-90,1
49,610,-125,1,0,-44,-90,1
50,610,-125,1,0,-44,-90,1
51,610,-125,1,0,-44,-90,1
52,610,-125,1,0,-44,-90,1
53,610,-125,1,0,-44,-90,1
54,610,-125,1,0,-44,-90,1
55,610,-125,1,0,-44,-90,1
56,610,-125,1,0,-44,-90,1
57,610,-125,1,0,-44,-90,1
58,610,-125,1,0,-44,-90,1
59,610,-125,1,0,-44,-90,1
60,610,-125,1,0,-44,-90,1
61,610,-125,1,0,-44,-90,1
62,610,-125,1,0,-44,-90,1
63,610,-125,1,0,-44,-90,1
64,610,-125,1,0,-44,-90,1
65,610,-125,1,0,-44,-90,1
66,610,-125,1,0,-44,-90,1
67,610,-125,1,0,-44,-90,1
68,610,-125,1,0,-44,-90,1
69,610,-125,1,0,-44,-90,1
70,610,-125,1,0,-44,-90,1
71,610,-125,1,0,-44,-90,1
72,610,-125,1,0,-44,-90,1
73,610,-125,1,0,-44,-90,1
74,610,-125,1,0,-44,-90,1
75,610,-125,1,0,-44,-90,1
76,610,-125,1,0,-44,-90,1
77,610,-125,1,0,-44,-90,1
78,610,-125,1,0,-44,-90,1
79,610,-125,1,0,-44,-90,1
80,610,-125,1,0,-44,-90,1
81,610,-125,1,0,-44,-90,1
82,610,-125,1,0,-44,-90,1
83,610,-125,1,0,-44,-90,1
84,610,-125,1,0,-44,-90,1
85,610,-125,1,0,-44,-90,1
86,610,-125,1,0,-44,-90,1
87,610,-125,1,0,-44,-90,1
88,610,-125,1,0,-44,-90,1
89,610,-125,1,0,-44,-90,1
90,610,-125,1,0,-44,-90,1
91,610,-125,1,0,-44,-90,1
92,610,-125,1,0,-44,-90,1
93,610,-125,1,0,-44,-90,1
94,610,-125,1,0,-44,-90,1
95,610,-125,1,0,-44,-90,1
96,610,-125,1,0,-44,-90,1
97,610,-125,1,0,-44,-90,1
98,610,-125,1,0,-44,-90,1
99,610,-125,1,0,-44,-90,1
100,610,-125,1,0,-44,-90,1
101,610,-125,1,0,-44,-90,1
102,610,-125,1,0,-44,-90,1
103,610,-125,1,0,-44,-90,1
104,610,-125,1,0,-44,-90,1
105,610,-125,1,0,-44,-90,1
106,610,-125,1,0,-44,-90,1
107,610,-125,1,0,-44,-90,1
108,610,-125,1,0,-44,-90,1
109,610,-125,1,0,-44,-90,1
110,610,-125,1,0,-44,-90,1
111,610,-125,1,0,-44,-90,1
112,610,-125,1,0,-44,-90,1
113,610,-125,1,0,-44,-90,1
114,610,-125,1,0,-44,-90,1
115,610,-125,1,0,-44,-90,1
116,610,-125,1,0,-44,-90,1
117,610,-125,1,0,-44,-90,1
118,610,-125,1,0,-44,-90,1
119,610,-125,1,0,-44,-90,1
120,610,-125,1,0,-44,-90,1
121,610,-125,1,0,-44,-90,1
122,610,-125,1,0,-44,-90,1
123,610,-125,1,0,-44,-90,1
124,610,-125,1,0,-44,-90,1
125,610,-125,1,0,-44,-90,1
126,610,-125,1,0,-44,-90,1
127,610,-125,1,0,-44,-90,1
