t,x,y,fh,fv,r,s,frame:
0,0,-181,0,0,0,-107,1
1,0,-181,0,0,0,-107,1
2,0,-181,0,0,0,-107,1
3,0,-181,0,0,0,-107,1
4,0,-181,0,0,0,-107,1
5,0,-181,0,0,0,-107,1
6,0,-181,0,0,0,-107,1
7,0,-181,0,0,0,-107,1
8,0,-181,0,0,0,-107,1
9,0,-181,0,0,0,-107,1
10,0,-181,0,0,0,-107,1
11,0,-181,0,0,0,-107,1
12,0,-181,0,0,0,-107,1
13,0,-181,0,0,0,-107,1
14,0,-181,0,0,0,-107,1
15,0,-181,0,0,0,-107,1
16,0,-181,0,0,0,-107,1
17,0,-181,0,0,0,-107,1
18,0,-181,0,0,0,-107,1
19,0,-181,0,0,0,-107,1
20,0,-181,0,0,0,-107,1
21,0,-181,0,0,0,-107,1
22,0,-181,0,0,0,-107,1
23,0,-181,0,0,0,-107,1
24,0,-181,0,0,0,-107,1
25,0,-181,0,0,0,-107,1
26,0,-181,0,0,0,-107,1
27,0,-181,0,0,0,-107,1
28,0,-181,0,0,0,-107,1
29,0,-181,0,0,0,-107,1
30,0,-181,0,0,0,-107,1
31,0,-181,0,0,0,-107,1
32,0,-181,0,0,0,-107,1
33,0,-181,0,0,0,-107,1
34,0,-181,0,0,0,-107,1
35,0,-181,0,0,0,-107,1
36,0,-181,0,0,0,-107,1
37,0,-181,0,0,0,-107,1
38,0,-181,0,0,0,-107,1
39,0,-181,0,0,0,-107,1
40,0,-181,0,0,0,-107,1
41,0,-181,0,0,0,-107,1
42,0,-181,0,0,0,-107,1
43,0,-181,0,0,0,-107,1
44,0,-181,0,0,0,-107,1
45,0,-181,0,0,0,-107,1
46,0,-181,0,0,0,-107,1
47,0,-181,0,0,0,-107,1
48,0,-181,0,0,0,-107,1
49,0,-181,0,0,0,-107,1
50,0,-181,0,0,0,-107,1
51,0,-181,0,0,0,-107,1
52,0,-181,0,0,0,-107,1
53,0,-181,0,0,0,-107,1
54,0,-181,0,0,0,-107,1
55,0,-181,0,0,0,-107,1
56,0,-181,0,0,0,-107,1
57,0,-181,0,0,0,-107,1
58,0,-181,0,0,0,-107,1
59,0,-181,0,0,0,-107,1
60,0,-181,0,0,0,-107,1
61,0,-181,0,0,0,-107,1
62,0,-181,0,0,0,-107,1
63,0,-181,0,0,0,-107,1
64,0,-181,0,0,0,-107,1
65,0,-181,0,0,0,-107,1
66,0,-181,0,0,0,-107,1
67,0,-181,0,0,0,-107,1
68,0,-181,0,0,0,-107,1
69,0,-181,0,0,0,-107,1
70,0,-181,0,0,0,-107,1
71,0,-181,0,0,0,-107,1
72,0,-181,0,0,0,-107,1
73,0,-181,0,0,0,-107,1
74,0,-181,0,0,0,-107,1
75,0,-181,0,0,0,-107,1
76,0,-181,0,0,0,-107,1
77,0,-181,0,0,0,-107,1
78,0,-181,0,0,0,-107,1
79,0,-181,0,0,0,-107,1
80,0,-181,0,0,0,-107,1
81,0,-181,0,0,0,-107,1
82,0,-181,0,0,0,-107,1
83,0,-181,0,0,0,-107,1
84,0,-181,0,0,0,-107,1
85,0,-181,0,0,0,-107,1
86,0,-181,0,0,0,-107,1
87,0,-181,0,0,0,-107,1
88,0,-181,0,0,0,-107,1
89,0,-181,0,0,0,-107,1
90,0,-181,0,0,0,-107,1
91,0,-181,0,0,0,-107,1
92,0,-181,0,0,0,-107,1
93,0,-181,0,0,0,-107,1
94,0,-181,0,0,0,-107,1
95,0,-181,0,0,0,-107,1
96,0,-181,0,0,0,-107,1
97,0,-181,0,0,0,-107,1
98,0,-181,0,0,0,-107,1
99,0,-181,0,0,0,-107,1
100,0,-181,0,0,0,-107,1
101,0,-181,0,0,0,-107,1
102,0,-181,0,0,0,-107,1
103,0,-181,0,0,0,-107,1
104,0,-181,0,0,0,-107,1
105,0,-181,0,0,0,-107,1
106,0,-181,0,0,0,-107,1
107,0,-181,0,0,0,-107,1
108,0,-181,0,0,0,-107,1
109,0,-181,0,0,0,-107,1
