t,x,y,fh,fv,r,s,frame:
0,268,256,0,0,0,-130,0
1,268,256,0,0,0,-130,0
2,268,256,0,0,0,-130,0
3,268,256,0,0,0,-130,0
4,268,256,0,0,0,-130,0
5,268,256,0,0,0,-130,0
6,268,256,0,0,0,-130,0
7,268,256,0,0,0,-130,0
8,268,256,0,0,0,-130,0
9,268,256,0,0,0,-130,0
10,268,256,0,0,0,-130,0
11,268,256,0,0,0,-130,0
12,268,255,0,0,0,-130,0
13,268,255,0,0,0,-130,0
14,268,255,0,0,0,-130,0
15,269,254,0,0,0,-130,0
16,269,253,0,0,0,-130,0
17,269,253,0,0,0,-130,0
18,269,252,0,0,0,-130,0
19,269,252,0,0,0,-130,0
20,269,251,0,0,0,-130,0
21,269,250,0,0,0,-130,0
22,269,247,0,0,0,-130,0
23,269,246,0,0,0,-130,0
24,269,244,0,0,0,-129,0
25,269,242,0,0,0,-128,0
26,269,240,0,0,0,-127,0
27,269,239,0,0,0,-126,0
28,269,238,0,0,0,-125,0
29,269,237,0,0,0,-124,0
30,269,237,0,0,0,-123,0
31,269,237,0,0,0,-122,0
32,269,237,0,0,0,-121,0
33,269,236,0,0,0,-120,0
34,269,235,0,0,0,-119,0
35,269,235,0,0,0,-118,0
36,269,233,0,0,0,-117,0
37,269,233,0,0,0,-116,0
38,269,233,0,0,0,-115,0
39,269,232,0,0,0,-114,0
40,269,231,0,0,0,-113,0
41,269,230,0,0,0,-112,0
42,269,229,0,0,0,-111,0
43,269,228,0,0,0,-110,0
44,269,227,0,0,0,-109,0
45,269,226,0,0,0,-108,0
46,269,225,0,0,0,-107,0
47,269,224,0,0,0,-106,0
48,269,223,0,0,0,-105,0
49,269,223,0,0,0,-104,0
50,269,222,0,0,0,-103,0
51,269,221,0,0,0,-102,0
52,269,221,0,0,0,-101,0
53,269,220,0,0,0,-100,0
54,269,219,0,0,0,-99,0
55,269,218,0,0,0,-98,0
56,269,217,0,0,0,-97,0
57,269,216,0,0,0,-96,0
58,269,215,0,0,0,-95,0
59,269,214,0,0,0,-94,0
60,269,214,0,0,0,-93,0
61,269,214,0,0,0,-92,0
62,269,213,0,0,0,-91,0
63,269,213,0,0,0,-90,0
64,269,212,0,0,0,-89,0
65,269,211,0,0,0,-88,0
66,269,209,0,0,0,-87,0
67,269,209,0,0,0,-86,0
68,269,208,0,0,0,-85,0
69,269,206,0,0,0,-84,0
70,269,205,0,0,0,-83,0
71,269,204,0,0,0,-82,0
72,269,204,0,0,0,-81,0
73,269,204,0,0,0,-80,0
74,269,203,0,0,0,-79,0
75,269,202,0,0,0,-78,0
76,269,202,0,0,0,-77,0
77,269,202,0,0,0,-76,0
78,269,200,0,0,0,-75,0
79,269,197,0,0,0,-74,0
80,269,195,0,0,0,-73,0
81,269,192,0,0,0,-72,0
82,269,189,0,0,0,-71,0
83,270,188,0,0,0,-70,0
84,270,186,0,0,0,-69,0
85,270,184,0,0,0,-68,0
86,270,183,0,0,0,-67,0
87,270,182,0,0,0,-66,0
88,270,180,0,0,0,-65,0
89,270,178,0,0,0,-64,0
90,271,177,0,0,0,-63,0
91,271,174,0,0,0,-62,0
92,271,173,0,0,0,-61,0
93,271,169,0,0,0,-60,0
94,271,167,0,0,0,-59,0
95,272,164,0,0,0,-58,0
96,272,162,0,0,0,-57,0
97,272,160,0,0,0,-56,0
98,272,158,0,0,0,-55,0
99,272,156,0,0,0,-54,0
100,272,155,0,0,0,-53,0
101,272,153,0,0,0,-52,0
102,272,152,0,0,0,-51,0
103,272,150,0,0,0,-50,0
104,272,147,0,0,0,-49,0
105,272,145,0,0,0,-48,0
106,272,144,0,0,0,-47,0
107,272,142,0,0,0,-46,0
108,272,140,0,0,0,-45,0
109,272,138,0,0,0,-44,0
110,272,136,0,0,0,-43,0
111,272,133,0,0,0,-42,0
112,272,133,0,0,0,-41,0
113,272,131,0,0,0,-40,0
114,272,129,0,0,0,-39,0
115,272,128,0,0,0,-38,0
116,272,127,0,0,0,-37,0
117,272,125,0,0,0,-36,0
118,272,123,0,0,0,-35,0
119,272,121,0,0,0,-34,0
120,272,119,0,0,0,-33,0
121,272,118,0,0,0,-32,0
122,272,115,0,0,0,-31,0
123,272,113,0,0,0,-30,0
124,272,111,0,0,0,-29,0
125,272,109,0,0,0,-28,0
126,272,107,0,0,0,-27,0
127,272,106,0,0,0,-26,0
128,272,104,0,0,0,-25,0
129,272,103,0,0,0,-24,0
130,272,102,0,0,0,-23,0
131,272,100,0,0,0,-22,0
132,272,99,0,0,0,-21,0
133,272,97,0,0,0,-20,0
134,272,96,0,0,0,-19,0
135,272,94,0,0,0,-18,0
136,272,92,0,0,0,-17,0
137,272,91,0,0,0,-16,0
138,272,89,0,0,0,-15,0
139,272,88,0,0,0,-14,0
140,272,87,0,0,0,-13,0
141,272,86,0,0,0,-12,0
142,272,86,0,0,0,-11,0
143,272,86,0,0,0,-10,0
144,272,85,0,0,0,-9,0
145,272,85,0,0,0,-9,0
146,272,83,0,0,0,-9,0
147,272,80,0,0,0,-9,0
148,272,77,0,0,0,-9,0
149,271,74,0,0,0,-9,0
150,271,73,0,0,0,-9,0
151,271,73,0,0,0,-9,0
152,271,73,0,0,0,-9,0
153,271,73,0,0,0,-9,0
154,271,73,0,0,0,-9,0
155,271,73,0,0,0,-9,0
156,271,73,0,0,0,-9,0
157,271,73,0,0,0,-9,0
158,271,72,0,0,0,-9,0
159,271,72,0,0,0,-9,0
160,271,71,0,0,0,-9,0
161,271,71,0,0,0,-9,0
162,271,71,0,0,0,-9,0
163,271,71,0,0,0,-9,0
164,271,71,0,0,0,-9,0
165,271,71,0,0,0,-9,0
166,271,71,0,0,0,-9,0
167,271,71,0,0,0,-9,0
168,271,71,0,0,0,-9,0
169,271,71,0,0,0,-9,0
170,271,71,0,0,0,-9,0
171,271,71,0,0,0,-9,0
172,271,71,0,0,0,-9,0
173,271,70,0,0,0,-9,0
174,271,69,0,0,0,-9,0
175,271,69,0,0,0,-9,0
176,271,69,0,0,0,-9,0
177,271,69,0,0,0,-9,0
178,271,69,0,0,0,-9,0
179,271,69,0,0,0,-9,0
180,271,69,0,0,0,-9,0
181,271,69,0,0,0,-9,0
182,271,69,0,0,0,-9,0
183,271,69,0,0,0,-9,0
184,271,69,0,0,0,-9,0
185,271,69,0,0,0,-9,0
186,271,69,0,0,0,-9,0
187,271,69,0,0,0,-9,0
188,271,69,0,0,0,-9,0
189,271,69,0,0,0,-9,0
190,271,69,0,0,0,-9,0
191,271,69,0,0,0,-9,0
192,271,69,0,0,0,-9,0
193,271,69,0,0,0,-9,0
194,271,69,0,0,0,-9,0
195,271,69,0,0,0,-9,0
196,271,69,0,0,0,-9,0
197,271,69,0,0,0,-9,0
198,271,68,0,0,0,-9,0
199,271,68,0,0,0,-9,0
200,271,68,0,0,0,-9,0
201,271,68,0,0,0,-9,0
202,271,68,0,0,0,-9,0
203,271,68,0,0,0,-9,0
204,271,68,0,0,0,-9,0
205,271,67,0,0,0,-9,0
206,271,67,0,0,0,-9,0
207,271,67,0,0,0,-9,0
208,271,67,0,0,0,-9,0
209,271,66,0,0,0,-9,0
210,272,66,0,0,0,-9,0
211,272,66,0,0,0,-9,0
212,272,66,0,0,0,-9,0
213,272,66,0,0,0,-9,0
214,272,66,0,0,0,-9,0
215,272,65,0,0,0,-9,0
216,272,65,0,0,0,-9,0
217,272,65,0,0,0,-9,0
218,272,65,0,0,0,-9,0
219,272,65,0,0,0,-9,0
220,272,65,0,0,0,-9,0
221,272,65,0,0,0,-9,0
222,272,65,0,0,0,-9,0
223,272,65,0,0,0,-9,0
224,272,65,0,0,0,-9,0
225,272,65,0,0,0,-9,0
226,272,65,0,0,0,-9,0
227,272,65,0,0,0,-9,0
228,272,65,0,0,0,-9,0
229,272,65,0,0,0,-9,0
230,272,65,0,0,0,-9,0
231,272,65,0,0,0,-9,0
232,272,65,0,0,0,-9,0
233,272,65,0,0,0,-9,0
234,272,65,0,0,0,-9,0
235,272,65,0,0,0,-9,0
236,272,65,0,0,0,-9,0
237,272,65,0,0,0,-9,0
238,272,65,0,0,0,-9,0
239,272,65,0,0,0,-9,0
240,272,65,0,0,0,-9,0
241,272,65,0,0,0,-9,0
242,272,65,0,0,0,-9,0
243,272,65,0,0,0,-9,0
244,272,65,0,0,0,-9,0
245,272,65,0,0,0,-9,0
246,272,65,0,0,0,-9,0
247,272,65,0,0,0,-9,0
248,272,65,0,0,0,-9,0
249,272,65,0,0,0,-9,0
250,272,65,0,0,0,-9,0
251,272,65,0,0,0,-9,0
252,272,65,0,0,0,-9,0
253,272,65,0,0,0,-9,0
254,272,65,0,0,0,-9,0
255,272,65,0,0,0,-9,0
256,272,65,0,0,0,-9,0
257,272,65,0,0,0,-9,0
258,272,65,0,0,0,-9,0
259,272,65,0,0,0,-9,0
260,272,65,0,0,0,-9,0
261,272,65,0,0,0,-9,0
262,272,65,0,0,0,-9,0
263,272,65,0,0,0,-9,0
264,272,65,0,0,0,-9,0
265,272,65,0,0,0,-9,0
266,272,65,0,0,0,-9,0
267,272,65,0,0,0,-9,0
268,272,65,0,0,0,-9,0
269,272,65,0,0,0,-9,0
270,272,65,0,0,0,-9,0
271,272,65,0,0,0,-9,0
272,272,65,0,0,0,-9,0
273,272,65,0,0,0,-9,0
274,272,65,0,0,0,-9,0
275,272,65,0,0,0,-9,0
276,272,65,0,0,0,-9,0
277,272,65,0,0,0,-9,0
278,272,65,0,0,0,-9,0
279,272,65,0,0,0,-9,0
280,272,65,0,0,0,-9,0
281,272,65,0,0,0,-9,0
282,272,65,0,0,0,-9,0
283,272,65,0,0,0,-9,0
