t,x,y,fh,fv,r,s,frame:
0,-327,-100,0,0,0,-89,0
1,-327,-100,0,0,0,-89,0
2,-327,-100,0,0,0,-89,0
3,-327,-100,0,0,0,-89,0
4,-327,-100,0,0,0,-89,0
5,-327,-100,0,0,0,-89,0
6,-327,-100,0,0,0,-89,0
7,-327,-100,0,0,0,-89,0
8,-327,-100,0,0,0,-89,0
9,-326,-100,0,0,0,-89,0
10,-326,-100,0,0,0,-89,0
11,-325,-100,0,0,0,-89,0
12,-325,-100,0,0,0,-89,0
13,-325,-100,0,0,0,-89,0
14,-325,-100,0,0,0,-89,0
15,-325,-100,0,0,0,-89,0
16,-325,-100,0,0,0,-89,0
17,-324,-100,0,0,0,-89,0
18,-324,-100,0,0,0,-89,0
19,-323,-100,0,0,0,-89,0
20,-323,-99,0,0,0,-89,0
21,-322,-99,0,0,0,-89,0
22,-322,-99,0,0,0,-89,0
23,-322,-99,0,0,0,-89,0
24,-322,-99,0,0,0,-89,0
25,-321,-99,0,0,0,-89,0
26,-321,-99,0,0,0,-89,0
27,-320,-99,0,0,0,-89,0
28,-319,-99,0,0,0,-89,0
29,-319,-99,0,0,0,-89,0
30,-319,-99,0,0,0,-89,0
31,-319,-99,0,0,0,-89,0
32,-319,-99,0,0,0,-89,0
33,-319,-99,0,0,0,-89,0
34,-318,-99,0,0,0,-89,0
35,-318,-99,0,0,0,-89,0
36,-318,-99,0,0,0,-89,0
37,-317,-99,0,0,0,-89,0
38,-317,-99,0,0,0,-89,0
39,-317,-99,0,0,0,-89,0
40,-316,-99,0,0,0,-89,0
41,-316,-99,0,0,0,-89,0
42,-315,-99,0,0,0,-89,0
43,-315,-99,0,0,0,-89,0
44,-315,-99,0,0,0,-89,0
45,-315,-99,0,0,0,-89,0
46,-314,-99,0,0,0,-89,0
47,-314,-99,0,0,0,-89,0
48,-313,-99,0,0,0,-89,0
49,-313,-99,0,0,0,-89,0
50,-313,-99,0,0,0,-89,0
51,-313,-100,0,0,0,-89,0
52,-313,-100,0,0,0,-89,0
53,-313,-100,0,0,0,-89,0
54,-313,-100,0,0,0,-89,0
55,-312,-100,0,0,0,-89,0
56,-311,-100,0,0,0,-89,0
57,-311,-100,0,0,0,-89,0
58,-311,-100,0,0,0,-89,0
59,-311,-100,0,0,0,-89,0
60,-311,-100,0,0,0,-89,0
61,-311,-100,0,0,0,-89,0
62,-311,-100,0,0,0,-89,0
63,-310,-100,0,0,0,-89,0
64,-310,-100,0,0,0,-89,0
65,-310,-100,0,0,0,-89,0
66,-310,-100,0,0,0,-89,0
67,-310,-100,0,0,0,-89,0
68,-310,-100,0,0,0,-89,0
69,-310,-100,0,0,0,-89,0
70,-310,-100,0,0,0,-89,0
71,-310,-101,0,0,0,-89,0
72,-310,-101,0,0,0,-89,0
73,-310,-101,0,0,0,-89,0
74,-309,-101,0,0,0,-89,0
75,-309,-101,0,0,0,-89,0
76,-309,-101,0,0,0,-89,0
77,-309,-102,0,0,0,-89,0
78,-309,-102,0,0,0,-89,0
79,-309,-102,0,0,0,-89,0
80,-309,-102,0,0,0,-89,0
81,-309,-102,0,0,0,-89,0
82,-309,-102,0,0,0,-89,0
83,-309,-102,0,0,0,-89,0
84,-309,-102,0,0,0,-89,0
85,-309,-102,0,0,0,-89,0
86,-309,-102,0,0,0,-89,0
87,-309,-102,0,0,0,-89,0
88,-309,-102,0,0,0,-89,0
89,-309,-102,0,0,0,-89,0
90,-309,-102,0,0,0,-89,0
91,-310,-103,0,0,0,-89,0
92,-310,-103,0,0,0,-89,0
93,-310,-103,0,0,0,-89,0
94,-310,-103,0,0,0,-89,0
95,-310,-103,0,0,0,-89,0
96,-310,-103,0,0,0,-89,0
97,-310,-103,0,0,0,-89,0
98,-310,-103,0,0,0,-89,0
99,-310,-103,0,0,0,-89,0
100,-310,-103,0,0,0,-89,0
101,-310,-103,0,0,0,-89,0
102,-311,-104,0,0,0,-89,0
103,-311,-104,0,0,0,-89,0
104,-311,-104,0,0,0,-89,0
105,-311,-104,0,0,0,-89,0
106,-311,-104,0,0,0,-89,0
107,-311,-104,0,0,0,-89,0
108,-311,-104,0,0,0,-89,0
109,-311,-104,0,0,0,-89,0
110,-311,-104,0,0,0,-89,0
111,-311,-104,0,0,0,-89,0
112,-311,-104,0,0,0,-89,0
113,-312,-104,0,0,0,-89,0
114,-312,-104,0,0,0,-89,0
115,-312,-104,0,0,0,-89,0
116,-312,-104,0,0,0,-89,0
117,-312,-104,0,0,0,-89,0
118,-312,-104,0,0,0,-89,0
119,-313,-104,0,0,0,-89,0
120,-313,-104,0,0,0,-89,0
121,-313,-104,0,0,0,-89,0
122,-313,-104,0,0,0,-89,0
123,-314,-104,0,0,0,-89,0
124,-314,-104,0,0,0,-89,0
125,-314,-104,0,0,0,-89,0
126,-314,-104,0,0,0,-89,0
127,-314,-103,0,0,0,-89,0
128,-314,-103,0,0,0,-89,0
129,-314,-103,0,0,0,-89,0
130,-315,-103,0,0,0,-89,0
131,-315,-103,0,0,0,-89,0
132,-315,-103,0,0,0,-89,0
133,-316,-103,0,0,0,-89,0
134,-316,-103,0,0,0,-89,0
135,-316,-103,0,0,0,-89,0
136,-316,-103,0,0,0,-89,0
137,-316,-102,0,0,0,-89,0
138,-317,-102,0,0,0,-89,0
139,-317,-102,0,0,0,-89,0
140,-317,-102,0,0,0,-89,0
141,-317,-102,0,0,0,-89,0
142,-318,-102,0,0,0,-89,0
143,-318,-102,0,0,0,-89,0
144,-319,-102,0,0,0,-89,0
145,-319,-102,0,0,0,-89,0
146,-319,-102,0,0,0,-89,0
147,-319,-102,0,0,0,-89,0
148,-319,-102,0,0,0,-89,0
149,-319,-101,0,0,0,-89,0
150,-320,-101,0,0,0,-89,0
151,-320,-101,0,0,0,-89,0
152,-320,-101,0,0,0,-89,0
153,-320,-100,0,0,0,-89,0
154,-321,-100,0,0,0,-89,0
155,-321,-100,0,0,0,-89,0
156,-321,-100,0,0,0,-89,0
157,-321,-100,0,0,0,-89,0
158,-322,-100,0,0,0,-89,0
159,-322,-100,0,0,0,-89,0
160,-323,-100,0,0,0,-89,0
161,-323,-100,0,0,0,-89,0
162,-323,-100,0,0,0,-89,0
163,-323,-100,0,0,0,-89,0
164,-323,-100,0,0,0,-89,0
165,-324,-100,0,0,0,-89,0
166,-324,-100,0,0,0,-89,0
167,-325,-100,0,0,0,-89,0
168,-325,-100,0,0,0,-89,0
169,-325,-100,0,0,0,-89,0
170,-326,-100,0,0,0,-89,0
171,-326,-100,0,0,0,-89,0
172,-326,-100,0,0,0,-89,0
173,-326,-100,0,0,0,-89,0
174,-326,-100,0,0,0,-89,0
175,-327,-100,0,0,0,-89,0
