t,x,y,fh,fv,r,s,frame:
0,-137,70,0,0,0,-41,0
1,-137,70,0,0,0,-41,0
2,-137,70,0,0,0,-41,0
3,-137,70,0,0,0,-41,0
4,-137,70,0,0,0,-41,0
5,-137,70,0,0,0,-41,0
6,-137,70,0,0,0,-41,0
7,-137,70,0,0,0,-41,0
8,-137,70,0,0,0,-41,0
9,-137,70,0,0,0,-41,0
10,-137,70,0,0,0,-41,0
11,-137,70,0,0,0,-41,0
12,-137,70,0,0,0,-41,0
13,-137,70,0,0,0,-41,0
14,-137,70,0,0,0,-41,0
15,-137,70,0,0,0,-41,0
16,-137,70,0,0,0,-41,0
17,-137,70,0,0,0,-41,0
18,-137,70,0,0,0,-41,0
19,-137,70,0,0,0,-41,0
20,-137,70,0,0,0,-41,0
21,-137,70,0,0,0,-41,0
22,-137,70,0,0,0,-41,0
23,-137,70,0,0,0,-41,0
24,-137,70,0,0,0,-41,0
25,-137,70,0,0,0,-41,0
26,-137,70,0,0,0,-41,0
27,-137,70,0,0,0,-41,0
28,-137,70,0,0,0,-41,0
29,-137,70,0,0,0,-41,0
30,-137,70,0,0,0,-41,0
31,-137,70,0,0,0,-41,0
32,-137,70,0,0,0,-41,0
33,-137,70,0,0,0,-41,0
34,-137,70,0,0,0,-41,0
35,-137,70,0,0,0,-41,0
36,-137,70,0,0,0,-41,0
37,-137,70,0,0,0,-41,0
38,-137,70,0,0,0,-41,0
39,-137,70,0,0,0,-41,0
40,-137,70,0,0,0,-41,0
41,-137,70,0,0,0,-41,0
42,-137,70,0,0,0,-41,0
43,-137,70,0,0,0,-41,0
44,-137,70,0,0,0,-41,0
45,-137,70,0,0,0,-41,0
46,-137,70,0,0,0,-41,0
47,-137,70,0,0,0,-41,0
48,-137,70,0,0,0,-41,0
49,-137,70,0,0,0,-41,0
50,-137,70,0,0,0,-41,0
51,-137,70,0,0,0,-41,0
52,-137,70,0,0,0,-41,0
53,-137,70,0,0,0,-41,0
54,-137,70,0,0,0,-41,0
55,-137,70,0,0,0,-41,0
56,-137,70,0,0,0,-41,0
57,-137,70,0,0,0,-41,0
58,-137,70,0,0,0,-41,0
59,-137,70,0,0,0,-41,0
60,-138,69,0,0,0,-41,0
61,-138,67,0,0,0,-41,0
62,-139,66,0,0,0,-41,0
63,-139,66,0,0,0,-41,0
64,-139,66,0,0,0,-41,0
65,-139,66,0,0,0,-41,0
66,-139,66,0,0,0,-41,0
67,-139,66,0,0,0,-41,0
68,-139,66,0,0,0,-41,0
69,-139,67,0,0,0,-41,0
70,-137,71,0,0,0,-41,0
71,-137,73,0,0,0,-41,0
72,-136,75,0,0,0,-41,0
73,-136,76,0,0,0,-41,0
74,-136,76,0,0,0,-41,0
75,-136,76,0,0,0,-41,0
76,-135,76,0,0,0,-41,0
77,-135,76,0,0,0,-41,0
78,-135,76,0,0,0,-41,0
79,-135,76,0,0,0,-41,0
80,-135,75,0,0,0,-41,0
81,-137,73,0,0,0,-41,0
82,-137,70,0,0,0,-41,0
83,-137,69,0,0,0,-41,0
84,-137,68,0,0,0,-41,0
85,-137,67,0,0,0,-41,0
86,-137,67,0,0,0,-41,0
87,-137,67,0,0,0,-41,0
88,-137,67,0,0,0,-41,0
89,-137,68,0,0,0,-41,0
90,-137,69,0,0,0,-41,0
91,-136,74,0,0,0,-41,0
92,-136,75,0,0,0,-41,0
93,-135,76,0,0,0,-41,0
94,-135,77,0,0,0,-41,0
95,-135,77,0,0,0,-41,0
96,-135,77,0,0,0,-41,0
97,-135,77,0,0,0,-41,0
98,-135,77,0,0,0,-41,0
99,-135,77,0,0,0,-41,0
100,-135,75,0,0,0,-41,0
101,-136,71,0,0,0,-41,0
102,-136,69,0,0,0,-41,0
103,-136,67,0,0,0,-41,0
104,-136,66,0,0,0,-41,0
105,-136,66,0,0,0,-41,0
106,-136,66,0,0,0,-41,0
107,-136,66,0,0,0,-41,0
108,-136,66,0,0,0,-41,0
109,-136,67,0,0,0,-41,0
110,-136,73,0,0,0,-41,0
111,-135,76,0,0,0,-41,0
112,-135,78,0,0,0,-41,0
113,-134,81,0,0,0,-41,0
114,-134,81,0,0,0,-41,0
115,-134,81,0,0,0,-41,0
116,-134,81,0,0,0,-41,0
117,-134,81,0,0,0,-41,0
118,-134,81,0,0,0,-41,0
119,-134,80,0,0,0,-41,0
120,-134,78,0,0,0,-41,0
121,-135,75,0,0,0,-41,0
122,-135,72,0,0,0,-41,0
123,-135,67,0,0,0,-41,0
124,-135,66,0,0,0,-41,0
125,-135,65,0,0,0,-41,0
126,-135,65,0,0,0,-41,0
127,-135,66,0,0,0,-41,0
128,-135,67,0,0,0,-41,0
129,-135,69,0,0,0,-41,0
130,-134,72,0,0,0,-41,0
131,-134,73,0,0,0,-41,0
132,-134,74,0,0,0,-41,0
133,-134,74,0,0,0,-41,0
134,-134,74,0,0,0,-41,0
135,-134,74,0,0,0,-41,0
136,-134,74,0,0,0,-41,0
137,-134,74,0,0,0,-41,0
138,-134,74,0,0,0,-41,0
139,-134,74,0,0,0,-41,0
140,-135,73,0,0,0,-41,0
141,-135,72,0,0,0,-41,0
142,-136,70,0,0,0,-41,0
143,-136,70,0,0,0,-41,0
144,-136,70,0,0,0,-41,0
145,-137,70,0,0,0,-41,0
146,-137,70,0,0,0,-41,0
147,-137,70,0,0,0,-41,0
148,-137,70,0,0,0,-41,0
149,-137,70,0,0,0,-41,0
150,-137,71,0,0,0,-41,0
151,-137,72,0,0,0,-41,0
152,-136,73,0,0,0,-41,0
153,-136,74,0,0,0,-41,0
154,-136,74,0,0,0,-41,0
155,-136,74,0,0,0,-41,0
156,-136,74,0,0,0,-41,0
157,-136,74,0,0,0,-41,0
158,-136,74,0,0,0,-41,0
159,-136,74,0,0,0,-41,0
160,-136,74,0,0,0,-41,0
161,-136,72,0,0,0,-41,0
162,-136,71,0,0,0,-41,0
163,-137,68,0,0,0,-41,0
164,-137,68,0,0,0,-41,0
165,-137,68,0,0,0,-41,0
166,-137,67,0,0,0,-41,0
167,-137,67,0,0,0,-41,0
168,-137,67,0,0,0,-41,0
169,-137,67,0,0,0,-41,0
170,-137,67,0,0,0,-41,0
171,-136,68,0,0,0,-41,0
172,-136,73,0,0,0,-41,0
173,-136,76,0,0,0,-41,0
174,-135,78,0,0,0,-41,0
175,-135,79,0,0,0,-41,0
176,-135,79,0,0,0,-41,0
177,-135,79,0,0,0,-41,0
178,-135,79,0,0,0,-41,0
179,-135,79,0,0,0,-41,0
180,-135,79,0,0,0,-41,0
181,-135,79,0,0,0,-41,0
182,-135,78,0,0,0,-41,0
183,-135,76,0,0,0,-41,0
184,-135,74,0,0,0,-41,0
185,-136,72,0,0,0,-41,0
186,-136,71,0,0,0,-41,0
187,-136,71,0,0,0,-41,0
188,-136,71,0,0,0,-41,0
189,-136,71,0,0,0,-41,0
190,-136,71,0,0,0,-41,0
191,-136,71,0,0,0,-41,0
192,-136,71,0,0,0,-41,0
193,-136,72,0,0,0,-41,0
194,-136,74,0,0,0,-41,0
195,-136,75,0,0,0,-41,0
196,-135,76,0,0,0,-41,0
197,-135,77,0,0,0,-41,0
198,-135,78,0,0,0,-41,0
199,-135,78,0,0,0,-41,0
200,-135,78,0,0,0,-41,0
201,-135,78,0,0,0,-41,0
202,-135,78,0,0,0,-41,0
203,-135,78,0,0,0,-41,0
204,-135,77,0,0,0,-41,0
205,-136,76,0,0,0,-41,0
206,-137,74,0,0,0,-41,0
207,-137,74,0,0,0,-41,0
208,-137,73,0,0,0,-41,0
209,-137,73,0,0,0,-41,0
210,-137,73,0,0,0,-41,0
211,-137,73,0,0,0,-41,0
212,-137,73,0,0,0,-41,0
213,-137,74,0,0,0,-41,0
214,-137,75,0,0,0,-41,0
215,-137,78,0,0,0,-41,0
216,-137,79,0,0,0,-41,0
217,-137,81,0,0,0,-41,0
218,-137,81,0,0,0,-41,0
219,-137,81,0,0,0,-41,0
220,-137,81,0,0,0,-41,0
221,-137,81,0,0,0,-41,0
222,-137,81,0,0,0,-41,0
223,-137,81,0,0,0,-41,0
224,-137,80,0,0,0,-41,0
225,-137,78,0,0,0,-41,0
226,-138,77,0,0,0,-41,0
227,-138,75,0,0,0,-41,0
228,-139,74,0,0,0,-41,0
229,-139,74,0,0,0,-41,0
230,-139,73,0,0,0,-41,0
231,-139,73,0,0,0,-41,0
232,-139,73,0,0,0,-41,0
233,-139,73,0,0,0,-41,0
234,-139,73,0,0,0,-41,0
235,-139,73,0,0,0,-41,0
236,-139,73,0,0,0,-41,0
237,-139,73,0,0,0,-41,0
238,-139,73,0,0,0,-41,0
239,-139,73,0,0,0,-41,0
240,-139,73,0,0,0,-41,0
241,-139,73,0,0,0,-41,0
