t,x,y,fh,fv,r,s,frame:
0,319,97,0,0,-19,4,0
1,319,96,0,0,-19,4,0
2,319,96,0,0,-19,4,0
3,319,96,0,0,-19,4,0
4,319,96,0,0,-18,4,0
5,319,96,0,0,-17,4,0
6,319,96,0,0,-16,4,0
7,319,95,0,0,-15,4,0
8,319,95,0,0,-14,4,0
9,319,95,0,0,-13,4,0
10,319,94,0,0,-12,4,0
11,316,93,0,0,-11,4,0
12,312,91,0,0,-10,4,0
13,303,88,0,0,-9,4,0
14,297,86,0,0,-8,4,0
15,292,85,0,0,-7,4,0
16,288,85,0,0,-6,4,0
17,283,85,0,0,-5,4,0
18,277,84,0,0,-4,4,0
19,273,84,0,0,-3,4,0
20,267,83,0,0,-2,4,0
21,259,83,0,0,-1,4,0
22,251,82,0,0,0,4,0
23,243,81,0,0,1,4,0
24,237,81,0,0,2,4,0
25,234,81,0,0,3,4,0
26,233,81,0,0,4,4,0
27,231,81,0,0,5,4,0
28,226,81,0,0,6,4,0
29,221,82,0,0,7,4,0
30,216,82,0,0,8,4,0
31,210,83,0,0,9,4,0
32,207,84,0,0,10,4,0
33,204,84,0,0,11,4,0
34,199,86,0,0,12,4,0
35,195,87,0,0,13,4,0
36,192,87,0,0,14,4,0
37,187,88,0,0,15,4,0
38,183,89,0,0,16,4,0
39,177,90,0,0,17,4,0
40,172,91,0,0,18,4,0
41,171,91,0,0,19,4,0
42,170,91,0,0,20,4,0
43,170,91,0,0,21,4,0
44,170,91,0,0,22,4,0
45,170,91,0,0,23,4,0
46,170,91,0,0,24,4,0
47,169,91,0,0,25,4,0
48,162,92,0,0,26,4,0
49,159,93,0,0,26,4,0
50,158,93,0,0,26,4,0
51,158,93,0,0,26,4,0
52,158,93,0,0,26,4,0
53,157,93,0,0,26,4,0
54,149,93,0,0,26,4,0
55,142,93,0,0,26,4,0
56,136,93,0,0,26,4,0
57,132,93,0,0,26,4,0
58,127,93,0,0,25,4,0
59,121,93,0,0,24,4,0
60,114,93,0,0,23,4,0
61,106,92,0,0,22,4,0
62,98,91,0,0,21,4,0
63,90,91,0,0,20,4,0
64,83,90,0,0,19,4,0
65,77,90,0,0,18,4,0
66,66,90,0,0,17,4,0
67,59,89,0,0,16,4,0
68,52,89,0,0,15,4,0
69,41,88,0,0,14,4,0
70,39,88,0,0,13,4,0
71,31,88,0,0,12,4,0
72,22,88,0,0,11,4,0
73,16,88,0,0,10,4,0
74,15,88,0,0,9,4,0
75,10,89,0,0,8,4,0
76,5,90,0,0,7,4,0
77,4,90,0,0,6,4,0
78,-2,91,0,0,5,4,0
79,-7,92,0,0,4,4,0
80,-9,93,0,0,3,4,0
81,-11,94,0,0,2,4,0
82,-17,96,0,0,1,4,0
83,-18,97,0,0,0,4,0
84,-19,98,0,0,-1,4,0
85,-19,98,0,0,-2,4,0
86,-20,98,0,0,-3,4,0
87,-20,98,0,0,-4,4,0
88,-22,98,0,0,-5,4,0
89,-22,98,0,0,-6,4,0
90,-22,98,0,0,-7,4,0
91,-22,98,0,0,-8,4,0
92,-23,98,0,0,-9,4,0
93,-25,99,0,0,-10,4,0
94,-28,100,0,0,-11,4,0
95,-30,101,0,0,-12,4,0
96,-30,101,0,0,-13,4,0
97,-31,101,0,0,-14,4,0
98,-31,101,0,0,-15,4,0
99,-33,102,0,0,-16,4,0
100,-36,103,0,0,-17,4,0
101,-38,104,0,0,-18,4,0
102,-38,104,0,0,-19,4,0
103,-39,104,0,0,-20,4,0
104,-40,104,0,0,-21,4,0
105,-44,105,0,0,-22,4,0
106,-47,105,0,0,-23,4,0
107,-48,105,0,0,-24,4,0
108,-56,106,0,0,-24,4,0
109,-58,106,0,0,-24,4,0
110,-68,108,0,0,-24,4,0
111,-76,108,0,0,-24,4,0
112,-83,109,0,0,-24,4,0
113,-92,109,0,0,-24,4,0
114,-98,109,0,0,-24,4,0
115,-102,109,0,0,-24,4,0
116,-104,109,0,0,-24,4,0
117,-106,109,0,0,-23,4,0
118,-108,109,0,0,-22,4,0
119,-112,109,0,0,-21,4,0
120,-116,109,0,0,-20,4,0
121,-121,109,0,0,-19,4,0
122,-127,109,0,0,-18,4,0
123,-137,109,0,0,-17,4,0
124,-144,109,0,0,-16,4,0
125,-152,108,0,0,-15,4,0
126,-160,108,0,0,-14,4,0
127,-166,108,0,0,-13,4,0
128,-170,108,0,0,-12,4,0
129,-172,108,0,0,-11,4,0
130,-181,108,0,0,-10,4,0
131,-194,108,0,0,-9,4,0
132,-200,108,0,0,-8,4,0
133,-206,109,0,0,-7,4,0
134,-211,109,0,0,-6,4,0
135,-214,109,0,0,-5,4,0
136,-218,109,0,0,-4,4,0
137,-218,109,0,0,-3,4,0
138,-218,109,0,0,-2,4,0
139,-232,111,0,0,-1,4,0
140,-235,111,0,0,0,4,0
141,-238,112,0,0,1,4,0
142,-238,112,0,0,2,4,0
143,-238,112,0,0,3,4,0
144,-262,114,0,0,4,4,0
145,-273,114,0,0,5,4,0
146,-278,115,0,0,6,4,0
147,-279,115,0,0,7,4,0
148,-281,115,0,0,8,4,0
149,-284,116,0,0,9,4,0
150,-290,116,0,0,10,4,0
151,-295,117,0,0,11,4,0
152,-299,117,0,0,12,4,0
153,-302,118,0,0,13,4,0
154,-307,119,0,0,14,4,0
155,-311,120,0,0,15,4,0
156,-314,120,0,0,16,4,0
157,-319,120,0,0,17,4,0
158,-320,121,0,0,18,4,0
159,-321,121,0,0,19,4,0
160,-321,121,0,0,20,4,0
161,-321,121,0,0,20,4,0
162,-321,121,0,0,20,4,0
163,-321,121,0,0,20,4,0
164,-321,121,0,0,20,4,0
165,-322,121,0,0,20,4,0
166,-326,121,0,0,20,4,0
167,-330,121,0,0,20,4,0
168,-333,121,0,0,20,4,0
169,-337,121,0,0,20,4,0
170,-339,121,0,0,20,4,0
171,-342,121,0,0,19,4,0
172,-345,121,0,0,18,4,0
173,-346,121,0,0,17,4,0
174,-349,121,0,0,16,4,0
175,-349,121,0,0,15,4,0
176,-350,121,0,0,14,4,0
177,-350,121,0,0,13,4,0
178,-354,121,0,0,12,4,0
179,-357,121,0,0,11,4,0
180,-359,121,0,0,10,4,0
181,-361,121,0,0,9,4,0
182,-362,121,0,0,8,4,0
183,-363,121,0,0,7,4,0
184,-364,121,0,0,6,4,0
185,-365,121,0,0,5,4,0
186,-366,121,0,0,4,4,0
187,-368,121,0,0,3,4,0
188,-371,120,0,0,2,4,0
189,-374,120,0,0,1,4,0
190,-378,120,0,0,0,4,0
191,-382,120,0,0,-1,4,0
192,-382,120,0,0,-2,4,0
193,-384,120,0,0,-3,4,0
194,-384,120,0,0,-4,4,0
195,-384,120,0,0,-4,4,0
196,-384,120,0,0,-4,4,0
197,-384,120,0,0,-4,4,0
198,-384,120,0,0,-4,4,0
199,-384,120,0,0,-4,4,0
200,-384,120,0,0,-4,4,0
201,-384,120,0,0,-4,4,0
202,-384,120,0,0,-4,4,0
203,-384,120,0,0,-4,4,0
204,-384,120,0,0,-4,4,0
205,-384,120,0,0,-4,4,0
206,-384,120,0,0,-4,4,0
207,-384,120,0,0,-4,4,0
208,-384,120,0,0,-4,4,0
209,-384,120,0,0,-4,4,0
210,-384,120,0,0,-4,4,0
211,-384,120,1,0,-4,4,0
212,-384,120,1,0,-4,4,0
213,-384,120,1,0,-4,4,0
214,-384,120,1,0,-4,4,0
215,-384,120,1,0,-3,4,0
216,-384,120,1,0,-2,4,0
217,-384,120,1,0,-1,4,0
218,-384,120,1,0,0,4,0
219,-384,120,1,0,1,4,0
220,-384,120,1,0,2,4,0
221,-384,120,1,0,3,4,0
222,-384,120,1,0,4,4,0
223,-384,120,1,0,5,4,0
224,-384,120,1,0,6,4,0
225,-384,120,1,0,7,4,0
226,-384,120,1,0,8,4,0
227,-384,120,1,0,9,4,0
228,-384,120,1,0,10,4,0
229,-384,120,1,0,10,4,0
230,-384,120,1,0,10,4,0
231,-384,120,1,0,10,4,0
232,-384,120,1,0,10,4,0
233,-384,120,1,0,10,4,0
234,-384,120,1,0,10,4,0
235,-384,120,1,0,10,4,0
236,-384,120,1,0,10,4,0
237,-383,120,1,0,9,4,0
238,-381,121,1,0,8,4,0
239,-376,121,1,0,7,4,0
240,-376,121,1,0,6,4,0
241,-376,121,1,0,5,4,0
242,-376,121,1,0,4,4,0
243,-376,121,1,0,3,4,0
244,-376,121,1,0,2,4,0
245,-359,121,1,0,1,4,0
246,-357,121,1,0,0,4,0
247,-354,121,1,0,-1,4,0
248,-352,121,1,0,-2,4,0
249,-352,121,1,0,-3,4,0
250,-352,121,1,0,-4,4,0
251,-352,121,1,0,-5,4,0
252,-351,121,1,0,-6,4,0
253,-342,121,1,0,-7,4,0
254,-335,122,1,0,-8,4,0
255,-330,123,1,0,-9,4,0
256,-325,123,1,0,-10,4,0
257,-320,123,1,0,-11,4,0
258,-317,123,1,0,-12,4,0
259,-315,123,1,0,-13,4,0
260,-311,123,1,0,-14,4,0
261,-304,124,1,0,-15,4,0
262,-293,125,1,0,-16,4,0
263,-285,125,1,0,-17,4,0
264,-278,125,1,0,-18,4,0
265,-272,125,1,0,-19,4,0
266,-264,126,1,0,-20,4,0
267,-258,126,1,0,-21,4,0
268,-251,126,1,0,-22,4,0
269,-250,126,1,0,-23,4,0
270,-250,126,1,0,-24,4,0
271,-246,126,1,0,-25,4,0
272,-243,126,1,0,-26,4,0
273,-233,126,1,0,-27,4,0
274,-227,126,1,0,-28,4,0
275,-223,126,1,0,-29,4,0
276,-221,126,1,0,-28,4,0
277,-218,126,1,0,-27,4,0
278,-214,126,1,0,-26,4,0
279,-210,126,1,0,-25,4,0
280,-207,126,1,0,-24,4,0
281,-205,126,1,0,-23,4,0
282,-201,126,1,0,-22,4,0
283,-196,126,1,0,-21,4,0
284,-191,125,1,0,-20,4,0
285,-185,125,1,0,-19,4,0
286,-180,125,1,0,-18,4,0
287,-175,124,1,0,-17,4,0
288,-174,124,1,0,-16,4,0
289,-171,124,1,0,-15,4,0
290,-167,124,1,0,-14,4,0
291,-163,124,1,0,-13,4,0
292,-160,124,1,0,-12,4,0
293,-157,124,1,0,-11,4,0
294,-154,124,1,0,-10,4,0
295,-151,124,1,0,-9,4,0
296,-147,124,1,0,-8,4,0
297,-142,124,1,0,-7,4,0
298,-142,124,1,0,-6,4,0
299,-140,124,1,0,-5,4,0
300,-113,122,1,0,-4,4,0
301,-106,122,1,0,-3,4,0
302,-100,122,1,0,-2,4,0
303,-98,122,1,0,-1,4,0
304,-97,122,1,0,0,4,0
305,-97,122,1,0,1,4,0
306,-96,122,1,0,2,4,0
307,-92,122,1,0,3,4,0
308,-83,122,1,0,4,4,0
309,-77,121,1,0,5,4,0
310,-73,120,1,0,6,4,0
311,-68,120,1,0,7,4,0
312,-61,118,1,0,8,4,0
313,-54,117,1,0,9,4,0
314,-48,117,1,0,10,4,0
315,-43,116,1,0,11,4,0
316,-41,115,1,0,12,4,0
317,-40,115,1,0,13,4,0
318,-40,115,1,0,14,4,0
319,-40,115,1,0,15,4,0
320,-40,115,1,0,16,4,0
321,-40,115,1,0,17,4,0
322,-40,115,1,0,18,4,0
323,-35,115,1,0,18,4,0
324,-29,115,1,0,18,4,0
325,-24,115,1,0,18,4,0
326,-18,115,1,0,18,4,0
327,-15,115,1,0,18,4,0
328,-14,115,1,0,18,4,0
329,-7,115,1,0,17,4,0
330,-5,115,1,0,16,4,0
331,2,115,1,0,15,4,0
332,10,115,1,0,14,4,0
333,16,115,1,0,13,4,0
334,21,115,1,0,12,4,0
335,27,114,1,0,11,4,0
336,31,114,1,0,10,4,0
337,34,114,1,0,9,4,0
338,36,114,1,0,8,4,0
339,38,114,1,0,7,4,0
340,41,114,1,0,6,4,0
341,44,114,1,0,5,4,0
342,49,113,1,0,4,4,0
343,53,113,1,0,3,4,0
344,58,112,1,0,2,4,0
345,64,112,1,0,1,4,0
346,71,112,1,0,0,4,0
347,72,112,1,0,-1,4,0
348,79,112,1,0,-2,4,0
349,81,112,1,0,-3,4,0
350,85,112,1,0,-4,4,0
351,88,111,1,0,-5,4,0
352,90,111,1,0,-6,4,0
353,93,111,1,0,-7,4,0
354,97,111,1,0,-8,4,0
355,102,111,1,0,-9,4,0
356,107,111,1,0,-10,4,0
357,111,111,1,0,-11,4,0
358,116,111,1,0,-12,4,0
359,120,111,1,0,-13,4,0
360,125,111,1,0,-14,4,0
361,129,111,1,0,-15,4,0
362,133,111,1,0,-16,4,0
363,135,110,1,0,-17,4,0
364,137,110,1,0,-18,4,0
365,148,109,1,0,-19,4,0
366,150,109,1,0,-20,4,0
367,154,108,1,0,-21,4,0
368,155,108,1,0,-22,4,0
369,159,107,1,0,-23,4,0
370,163,107,1,0,-24,4,0
371,166,106,1,0,-25,4,0
372,174,105,1,0,-26,4,0
373,178,104,1,0,-26,4,0
374,183,104,1,0,-25,4,0
375,188,103,1,0,-24,4,0
376,193,102,1,0,-23,4,0
377,196,102,1,0,-22,4,0
378,200,101,1,0,-21,4,0
379,201,101,1,0,-20,4,0
380,203,101,1,0,-19,4,0
381,208,100,1,0,-18,4,0
382,209,100,1,0,-17,4,0
383,211,100,1,0,-16,4,0
384,214,99,1,0,-15,4,0
385,216,99,1,0,-14,4,0
386,220,99,1,0,-13,4,0
387,225,98,1,0,-12,4,0
388,230,97,1,0,-11,4,0
389,233,97,1,0,-10,4,0
390,237,96,1,0,-9,4,0
391,242,96,1,0,-8,4,0
392,245,96,1,0,-7,4,0
393,248,95,1,0,-6,4,0
394,249,95,1,0,-5,4,0
395,251,95,1,0,-4,4,0
396,252,95,1,0,-3,4,0
397,253,95,1,0,-2,4,0
398,257,95,1,0,-1,4,0
399,260,94,1,0,0,4,0
400,263,94,1,0,1,4,0
401,267,94,1,0,2,4,0
402,271,94,1,0,3,4,0
403,274,93,1,0,4,4,0
404,278,93,1,0,5,4,0
405,283,93,1,0,6,4,0
406,286,93,1,0,7,4,0
407,288,93,1,0,8,4,0
408,291,93,1,0,9,4,0
409,294,93,1,0,9,4,0
410,297,93,1,0,8,4,0
411,300,93,1,0,7,4,0
412,303,93,1,0,6,4,0
413,311,93,1,0,5,4,0
414,315,93,1,0,4,4,0
415,318,93,1,0,3,4,0
416,318,93,1,0,2,4,0
417,320,93,1,0,1,4,0
418,323,92,1,0,0,4,0
419,323,92,1,0,-1,4,0
420,326,92,1,0,-2,4,0
421,327,92,1,0,-3,4,0
422,328,92,1,0,-4,4,0
423,328,92,1,0,-5,4,0
424,328,92,1,0,-5,4,0
425,328,92,1,0,-5,4,0
426,328,92,1,0,-5,4,0
427,328,92,1,0,-5,4,0
428,328,92,1,0,-5,4,0
429,328,92,1,0,-5,4,0
430,328,92,1,0,-5,4,0
431,328,92,1,0,-5,4,0
432,328,92,1,0,-5,4,0
433,328,92,1,0,-5,4,0
434,328,92,1,0,-5,4,0
435,328,92,1,0,-5,4,0
436,328,92,1,0,-5,4,0
437,328,92,1,0,-5,4,0
438,328,92,1,0,-5,4,0
439,328,92,1,0,-5,4,0
440,328,92,1,0,-5,4,0
441,328,92,1,0,-5,4,0
442,328,92,1,0,-5,4,0
443,328,92,1,0,-5,4,0
444,328,92,1,0,-5,4,0
445,328,92,1,0,-5,4,0
446,327,92,1,0,-5,4,0
