t,x,y,fh,fv,r,s,frame:
0,344,177,1,0,0,-210,1
1,344,177,1,0,0,-210,1
2,344,177,1,0,0,-210,1
3,344,177,1,0,0,-210,1
4,344,177,1,0,0,-210,1
5,344,177,1,0,0,-210,1
6,344,177,1,0,0,-210,1
7,344,177,1,0,0,-210,1
8,344,177,1,0,0,-210,1
9,344,177,1,0,0,-210,1
10,344,177,1,0,0,-210,1
11,344,177,1,0,0,-210,1
12,344,177,1,0,0,-210,1
13,344,177,1,0,0,-210,1
14,344,177,1,0,0,-210,1
15,344,177,1,0,0,-210,1
16,344,177,1,0,0,-210,1
17,344,177,1,0,0,-210,1
18,344,177,1,0,0,-210,1
19,344,177,1,0,0,-210,1
20,344,177,1,0,0,-210,1
21,344,177,1,0,0,-210,1
22,344,177,1,0,0,-210,1
23,344,177,1,0,0,-210,1
24,344,177,1,0,0,-210,1
25,344,177,1,0,0,-210,1
26,344,177,1,0,0,-210,1
27,344,177,1,0,0,-210,1
28,344,177,1,0,0,-210,1
29,344,177,1,0,0,-210,1
30,344,177,1,0,0,-210,1
31,344,177,1,0,0,-210,1
32,344,177,1,0,0,-210,1
33,344,177,1,0,0,-210,1
34,344,177,1,0,0,-210,1
35,344,177,1,0,0,-210,1
36,344,177,1,0,0,-210,1
37,344,177,1,0,0,-210,1
38,344,177,1,0,0,-210,0
39,344,177,1,0,0,-210,0
40,344,177,1,0,0,-210,0
41,344,177,1,0,0,-210,0
42,344,177,1,0,0,-210,0
43,344,177,1,0,0,-210,0
44,344,177,1,0,0,-210,0
45,344,177,1,0,0,-210,0
46,344,177,1,0,0,-210,0
47,344,177,1,0,0,-209,0
48,344,177,1,0,0,-208,0
49,344,177,1,0,0,-207,0
50,344,177,1,0,0,-206,0
51,342,175,1,0,0,-205,0
52,340,172,1,0,0,-204,0
53,338,170,1,0,0,-203,0
54,337,168,1,0,0,-202,0
55,336,166,1,0,0,-201,0
56,335,165,1,0,0,-200,0
57,335,165,1,0,0,-199,0
58,334,164,1,0,0,-198,0
59,334,164,1,0,0,-197,0
60,333,163,1,0,0,-196,0
61,333,163,1,0,0,-195,0
62,332,162,1,0,0,-194,0
63,332,162,1,0,0,-193,0
64,332,162,1,0,0,-192,0
65,331,162,1,0,0,-191,0
66,331,162,1,0,0,-190,0
67,331,162,1,0,0,-189,0
68,331,162,1,0,0,-188,0
69,331,162,1,0,0,-187,0
70,331,162,1,0,0,-186,0
71,330,162,1,0,0,-185,0
72,328,162,1,0,0,-184,0
73,326,162,1,0,0,-183,0
74,323,164,1,0,0,-182,0
75,322,166,1,0,0,-181,0
76,320,167,1,0,0,-180,0
77,318,169,1,0,0,-179,0
78,317,170,1,0,0,-178,0
79,315,172,1,0,0,-177,0
80,313,173,1,0,0,-176,0
81,311,175,1,0,0,-175,0
82,309,176,1,0,0,-174,0
83,308,177,1,0,0,-173,0
84,307,177,1,0,0,-172,0
85,306,178,1,0,0,-171,0
86,305,178,1,0,0,-170,0
87,305,178,1,0,0,-169,0
88,304,178,1,0,0,-168,0
89,304,178,1,0,0,-167,0
90,304,178,1,0,0,-166,0
91,304,178,1,0,0,-165,0
92,302,177,1,0,0,-164,0
93,300,176,1,0,0,-163,0
94,299,174,1,0,0,-162,0
95,297,172,1,0,0,-161,0
96,296,171,1,0,0,-160,0
97,295,169,1,0,0,-159,0
98,293,167,1,0,0,-158,0
99,292,166,1,0,0,-157,0
100,290,164,1,0,0,-156,0
101,289,163,1,0,0,-155,0
102,287,162,1,0,0,-154,0
103,286,161,1,0,0,-153,0
104,282,159,1,0,0,-152,0
105,279,158,1,0,0,-151,0
106,276,157,1,0,0,-150,0
107,272,155,1,0,0,-149,0
108,268,154,1,0,0,-148,0
109,265,154,1,0,0,-147,0
110,262,153,1,0,0,-146,0
111,261,153,1,0,0,-145,0
112,260,153,1,0,0,-144,0
113,258,153,1,0,0,-143,0
114,257,153,1,0,0,-142,0
115,254,153,1,0,0,-141,0
116,252,154,1,0,0,-140,0
117,248,155,1,0,0,-139,0
118,246,157,1,0,0,-138,0
119,242,158,1,0,0,-137,0
120,238,160,1,0,0,-136,0
121,231,164,1,0,0,-135,0
122,228,165,1,0,0,-134,0
123,225,167,1,0,0,-133,0
124,224,168,1,0,0,-132,0
125,222,169,1,0,0,-131,0
126,220,170,1,0,0,-130,0
127,218,170,1,0,0,-129,0
128,217,170,1,0,0,-128,0
129,216,170,1,0,0,-127,0
130,216,170,1,0,0,-126,0
131,215,170,1,0,0,-125,0
132,213,170,1,0,0,-124,0
133,209,168,1,0,0,-123,0
134,205,166,1,0,0,-122,0
135,201,164,1,0,0,-121,0
136,197,162,1,0,0,-120,0
137,192,160,1,0,0,-119,0
138,188,158,1,0,0,-118,0
139,183,155,1,0,0,-117,0
140,180,154,1,0,0,-116,0
141,177,153,1,0,0,-115,0
142,175,152,1,0,0,-114,0
143,173,151,1,0,0,-113,0
144,171,151,1,0,0,-112,0
145,168,150,1,0,0,-111,0
146,166,149,1,0,0,-110,0
147,164,149,1,0,0,-109,0
148,162,148,1,0,0,-108,0
149,159,148,1,0,0,-107,0
150,157,147,1,0,0,-106,0
151,154,146,1,0,0,-105,0
152,152,146,1,0,0,-104,0
153,149,146,1,0,0,-103,0
154,146,146,1,0,0,-102,0
155,143,146,1,0,0,-101,0
156,140,147,1,0,0,-100,0
157,137,148,1,0,0,-99,0
158,134,150,1,0,0,-98,0
159,132,150,1,0,0,-97,0
160,126,152,1,0,0,-96,0
161,124,153,1,0,0,-95,0
162,122,153,1,0,0,-94,0
163,120,154,1,0,0,-93,0
164,118,154,1,0,0,-92,0
165,115,155,1,0,0,-91,0
166,114,155,1,0,0,-90,0
