t,x,y,fh,fv,r,s,frame:
0,0,1,0,0,0,-112,0
1,0,1,0,0,0,-112,0
2,0,1,0,0,0,-112,0
3,0,1,0,0,0,-112,0
4,0,1,0,0,0,-112,0
5,0,1,0,0,0,-112,0
6,0,1,0,0,0,-112,0
7,0,1,0,0,0,-112,0
8,0,1,0,0,0,-112,0
9,0,1,0,0,0,-112,0
10,0,1,0,0,0,-112,0
11,0,1,0,0,0,-112,0
12,0,1,0,0,0,-112,0
13,0,1,0,0,0,-112,0
14,0,1,0,0,0,-112,0
15,0,1,0,0,0,-112,0
16,-1,1,0,0,0,-112,0
17,-1,1,0,0,0,-112,0
18,-1,1,0,0,0,-112,0
19,-2,1,0,0,0,-112,0
20,-2,1,0,0,0,-112,0
21,-2,1,0,0,0,-112,0
22,-3,1,0,0,0,-112,0
23,-3,1,0,0,0,-112,0
24,-3,1,0,0,0,-112,0
25,-3,1,0,0,0,-112,0
26,-3,1,0,0,0,-112,0
27,-3,1,0,0,0,-112,0
28,-4,1,0,0,0,-112,0
29,-4,1,0,0,0,-112,0
30,-5,1,0,0,0,-112,0
31,-5,1,0,0,0,-112,0
32,-5,1,0,0,0,-112,0
33,-5,1,0,0,0,-112,0
34,-5,1,0,0,0,-112,0
35,-5,1,0,0,0,-112,0
36,-5,1,0,0,0,-112,0
37,-5,1,0,0,0,-112,0
38,-5,1,0,0,0,-112,0
39,-5,1,0,0,0,-112,0
40,-5,1,0,0,0,-112,0
41,-5,1,0,0,0,-112,0
42,-5,1,0,0,0,-112,0
43,-5,1,0,0,0,-112,0
44,-5,0,0,0,0,-112,0
45,-5,0,0,0,0,-112,0
46,-5,0,0,0,0,-112,0
47,-5,0,0,0,0,-112,0
48,-5,0,0,0,0,-112,0
49,-5,0,0,0,0,-112,0
50,-5,0,0,0,0,-112,0
51,-5,0,0,0,0,-112,0
52,-5,0,0,0,0,-112,0
53,-5,0,0,0,0,-112,0
54,-5,0,0,0,0,-112,0
55,-5,0,0,0,0,-112,0
56,-5,0,0,0,0,-112,0
57,-5,0,0,0,0,-112,0
58,-5,0,0,0,0,-112,0
59,-5,0,0,0,0,-112,0
60,-5,0,0,0,0,-112,0
61,-5,0,0,0,0,-112,0
62,-4,0,0,0,0,-112,0
63,-4,-1,0,0,0,-112,0
64,-4,-1,0,0,0,-112,0
65,-3,-1,0,0,0,-112,0
66,-3,-1,0,0,0,-112,0
67,-3,-1,0,0,0,-112,0
68,-3,-1,0,0,0,-112,0
69,-2,-1,0,0,0,-112,0
70,-2,-1,0,0,0,-112,0
71,-2,-1,0,0,0,-112,0
72,-2,-1,0,0,0,-112,0
73,-2,-1,0,0,0,-112,0
74,-2,-1,0,0,0,-112,0
75,-2,-1,0,0,0,-112,0
76,-2,-1,0,0,0,-112,0
77,-2,-1,0,0,0,-112,0
78,-2,-1,0,0,0,-112,0
79,-2,-1,0,0,0,-112,0
80,-1,-1,0,0,0,-112,0
81,-1,-1,0,0,0,-112,0
82,-1,-1,0,0,0,-112,0
83,-1,-1,0,0,0,-112,0
84,-1,0,0,0,0,-112,0
85,-1,0,0,0,0,-112,0
86,0,0,0,0,0,-112,0
87,0,0,0,0,0,-112,0
88,0,0,0,0,0,-112,0
89,1,0,0,0,0,-112,0
90,1,0,0,0,0,-112,0
91,1,0,0,0,0,-112,0
92,2,0,0,0,0,-112,0
93,2,0,0,0,0,-112,0
94,2,0,0,0,0,-112,0
95,3,0,0,0,0,-112,0
96,3,0,0,0,0,-112,0
97,4,0,0,0,0,-112,0
98,4,0,0,0,0,-112,0
99,4,0,0,0,0,-112,0
100,4,0,0,0,0,-112,0
101,4,0,0,0,0,-112,0
102,5,0,0,0,0,-112,0
103,5,0,0,0,0,-112,0
104,5,0,0,0,0,-112,0
105,5,0,0,0,0,-112,0
106,5,0,0,0,0,-112,0
107,5,0,0,0,0,-112,0
108,6,0,0,0,0,-112,0
109,6,0,0,0,0,-112,0
110,6,0,0,0,0,-112,0
111,6,0,0,0,0,-112,0
112,6,0,0,0,0,-112,0
113,6,0,0,0,0,-112,0
114,6,0,0,0,0,-112,0
115,6,0,0,0,0,-112,0
116,6,0,0,0,0,-112,0
117,7,0,0,0,0,-112,0
118,7,0,0,0,0,-112,0
119,7,0,0,0,0,-112,0
