t,x,y,fh,fv,r,s,frame:
0,-4,0,0,0,0,0,0
1,-4,0,0,0,0,0,0
2,-4,0,0,0,0,0,0
3,-4,0,0,0,0,0,0
4,-4,0,0,0,0,0,0
5,-4,0,0,0,0,0,0
6,-4,0,0,0,0,0,0
7,-4,-1,0,0,0,0,0
8,-3,-2,0,0,0,0,0
9,-3,-3,0,0,0,0,0
10,-3,-3,0,0,0,0,0
11,-3,-4,0,0,0,0,0
12,-3,-6,0,0,0,0,0
13,-2,-7,0,0,0,0,0
14,-2,-8,0,0,0,0,0
15,-2,-9,0,0,0,0,0
16,-1,-9,0,0,0,0,0
17,-1,-10,0,0,0,0,0
18,-1,-10,0,0,0,0,0
19,-1,-10,0,0,0,0,0
20,-1,-10,0,0,0,0,0
21,-1,-10,0,0,0,0,0
22,-1,-10,0,0,0,0,0
23,-1,-10,0,0,0,0,0
24,0,-10,0,0,0,0,0
25,0,-10,0,0,0,0,0
26,1,-9,0,0,0,0,0
27,2,-6,0,0,0,0,0
28,2,-2,0,0,0,0,0
29,2,2,0,0,0,0,0
30,2,8,0,0,0,0,0
31,3,12,0,0,0,0,0
32,3,15,0,0,0,0,0
33,3,17,0,0,0,0,0
34,3,19,0,0,0,0,0
35,3,21,0,0,0,0,0
36,3,22,0,0,0,0,0
37,3,23,0,0,0,0,0
38,3,23,0,0,0,0,0
39,3,23,0,0,0,0,0
40,3,23,0,0,0,0,0
41,3,23,0,0,0,0,0
42,3,20,0,0,0,0,0
43,3,17,0,0,0,0,0
44,2,13,0,0,0,0,0
45,2,9,0,0,0,0,0
46,2,5,0,0,0,0,0
47,2,3,0,0,0,0,0
48,2,1,0,0,0,0,0
49,2,0,0,0,0,0,0
50,2,-3,0,0,0,0,0
51,2,-4,0,0,0,0,0
52,2,-4,0,0,0,0,0
53,2,-4,0,0,0,0,0
54,2,-4,0,0,0,0,0
55,2,-4,0,0,0,0,0
56,2,-4,0,0,0,0,0
57,2,-4,0,0,0,0,0
58,2,-4,0,0,0,0,0
59,2,-4,0,0,0,0,0
60,2,-4,0,0,0,0,0
61,2,-4,0,0,0,0,0
62,2,-3,0,0,0,0,0
63,2,-1,0,0,0,0,0
64,1,1,0,0,0,0,0
65,1,1,0,0,0,0,0
66,1,2,0,0,0,0,0
67,1,2,0,0,0,0,0
68,1,2,0,0,0,0,0
69,1,2,0,0,0,0,0
70,1,2,0,0,0,0,0
71,1,2,0,0,0,0,0
72,1,2,0,0,0,0,0
73,1,2,0,0,0,0,0
74,1,2,0,0,0,0,0
75,1,2,0,0,0,0,0
76,1,2,0,0,0,0,0
77,1,2,0,0,0,0,0
78,1,2,0,0,0,0,0
79,1,2,0,0,0,0,0
80,1,2,0,0,0,0,0
81,1,2,0,0,0,0,0
82,1,2,0,0,0,0,0
83,1,2,0,0,0,0,0
84,1,2,0,0,0,0,0
85,1,2,0,0,0,0,0
86,1,2,0,0,0,0,0
87,1,2,0,0,0,0,0
88,1,2,0,0,0,0,0
89,1,2,0,0,0,0,0
90,1,2,0,0,0,0,0
91,1,2,0,0,0,0,0
92,1,2,0,0,0,0,0
93,1,2,0,0,0,0,0
94,1,2,0,0,0,0,0
95,1,2,0,0,0,0,0
96,1,2,0,0,0,0,0
97,1,2,0,0,0,0,0
98,1,2,0,0,0,0,0
99,1,2,0,0,0,0,0
100,1,2,0,0,0,0,0
101,1,2,0,0,0,0,0
102,1,2,0,0,0,0,0
103,1,2,0,0,0,0,0
104,1,2,0,0,0,0,0
105,1,2,0,0,0,0,0
106,1,2,0,0,0,0,0
107,1,2,0,0,0,0,0
108,1,2,0,0,0,0,0
109,1,2,0,0,0,0,0
110,1,2,0,0,0,0,0
111,1,2,0,0,0,0,0
112,1,2,0,0,0,0,0
113,1,2,0,0,0,0,0
114,1,2,0,0,0,0,0
115,1,2,0,0,0,0,0
116,1,2,0,0,0,0,0
117,1,2,0,0,0,0,0
118,1,2,0,0,0,0,0
119,1,2,0,0,0,0,0
120,1,2,0,0,0,0,0
121,1,2,0,0,0,0,0
122,1,2,0,0,0,0,0
123,1,2,0,0,0,0,0
124,1,2,0,0,0,0,0
125,1,2,0,0,0,0,0
126,1,2,0,0,0,0,0
127,1,2,0,0,0,0,0
128,1,2,0,0,0,0,0
129,1,2,0,0,0,0,0
130,1,2,0,0,0,0,0
131,1,2,0,0,0,0,0
132,1,2,0,0,0,0,0
133,1,2,0,0,0,0,0
134,1,2,0,0,0,0,0
