t,x,y,fh,fv,r,s,frame:
0,459,75,0,0,0,-82,0
1,459,75,0,0,0,-82,0
2,459,75,0,0,0,-82,0
3,459,75,0,0,0,-82,0
4,459,75,0,0,0,-82,0
5,459,75,0,0,0,-82,0
6,459,75,0,0,0,-82,0
7,459,75,0,0,0,-82,0
8,459,75,0,0,0,-82,0
9,457,72,0,0,0,-82,0
10,455,70,0,0,0,-82,0
11,451,66,0,0,0,-82,0
12,448,64,0,0,0,-82,0
13,444,62,0,0,0,-82,0
14,442,61,0,0,0,-82,0
15,441,61,0,0,0,-82,0
16,439,61,0,0,0,-82,0
17,437,61,0,0,0,-82,0
18,435,61,0,0,0,-82,0
19,433,62,0,0,0,-82,0
20,429,67,0,0,0,-82,0
21,425,71,0,0,0,-82,0
22,421,75,0,0,0,-82,0
23,417,77,0,0,0,-82,0
24,415,79,0,0,0,-82,0
25,415,79,0,0,0,-82,0
26,415,79,0,0,0,-82,0
27,415,79,0,0,0,-82,0
28,415,79,0,0,0,-82,0
29,415,79,0,0,0,-82,0
30,415,79,0,0,0,-82,0
31,415,79,0,0,0,-82,0
32,413,78,0,0,0,-82,0
33,410,75,0,0,0,-82,0
34,407,72,0,0,0,-82,0
35,404,70,0,0,0,-82,0
36,403,69,0,0,0,-82,0
37,402,68,0,0,0,-82,0
38,401,68,0,0,0,-82,0
39,401,68,0,0,0,-82,0
40,401,68,0,0,0,-82,0
41,401,68,0,0,0,-82,0
42,399,69,0,0,0,-82,0
43,398,70,0,0,0,-82,0
44,397,70,0,0,0,-82,0
45,395,70,0,0,0,-82,0
46,392,71,0,0,0,-82,0
47,390,72,0,0,0,-82,0
48,389,73,0,0,0,-82,0
49,389,73,0,0,0,-82,0
50,388,73,0,0,0,-82,0
51,386,75,0,0,0,-82,0
52,383,77,0,0,0,-82,0
53,381,79,0,0,0,-82,0
54,380,80,0,0,0,-82,0
55,380,80,0,0,0,-82,0
56,380,80,0,0,0,-82,0
57,380,80,0,0,0,-82,0
58,380,80,0,0,0,-82,0
59,377,80,0,0,0,-82,0
60,375,78,0,0,0,-82,0
61,373,75,0,0,0,-82,0
62,371,71,0,0,0,-82,0
63,369,67,0,0,0,-82,0
64,367,63,0,0,0,-82,0
65,366,62,0,0,0,-82,0
66,365,60,0,0,0,-82,0
67,365,59,0,0,0,-82,0
68,364,58,0,0,0,-82,0
69,364,58,0,0,0,-82,0
70,364,58,0,0,0,-82,0
71,364,58,0,0,0,-82,0
72,364,58,0,0,0,-82,0
73,363,58,0,0,0,-82,0
74,361,58,0,0,0,-82,0
75,358,58,0,0,0,-82,0
76,355,60,0,0,0,-82,0
77,352,60,0,0,0,-82,0
78,350,61,0,0,0,-82,0
79,349,61,0,0,0,-82,0
80,348,62,0,0,0,-82,0
81,347,62,0,0,0,-82,0
82,345,64,0,0,0,-82,0
83,343,66,0,0,0,-82,0
84,341,68,0,0,0,-82,0
85,340,69,0,0,0,-82,0
86,339,69,0,0,0,-82,0
87,338,70,0,0,0,-82,0
88,338,71,0,0,0,-82,0
89,336,72,0,0,0,-82,0
90,336,72,0,0,0,-82,0
91,336,72,0,0,0,-82,0
92,336,72,0,0,0,-82,0
93,335,72,0,0,0,-82,0
94,334,73,0,0,0,-82,0
95,333,74,0,0,0,-82,0
96,332,74,0,0,0,-82,0
97,332,75,0,0,0,-82,0
98,331,75,0,0,0,-82,0
99,330,76,0,0,0,-82,0
100,330,76,0,0,0,-82,0
101,330,76,0,0,0,-82,0
102,330,76,0,0,0,-82,0
103,330,76,0,0,0,-82,0
104,330,76,0,0,0,-82,0
105,330,76,0,0,0,-82,0
106,330,76,0,0,0,-82,0
107,330,76,0,0,0,-82,0
108,330,76,0,0,0,-82,0
109,330,76,0,0,0,-82,0
110,330,76,0,0,0,-82,0
111,330,76,0,0,0,-82,0
112,330,76,0,0,0,-82,0
113,330,76,0,0,0,-82,0
