t,x,y,fh,fv,r,s,frame:
0,-8,-75,0,0,0,0,0
1,-8,-75,0,0,0,0,0
2,-8,-75,0,0,0,0,0
3,-8,-75,0,0,0,0,0
4,-8,-75,0,0,0,0,0
5,-8,-75,0,0,0,0,0
6,-8,-75,0,0,0,0,0
7,-8,-75,0,0,0,0,0
8,-8,-75,0,0,0,0,0
9,-8,-75,0,0,0,0,0
10,-8,-75,0,0,0,0,0
11,-8,-75,0,0,0,0,0
12,-8,-75,0,0,0,0,0
13,-8,-75,0,0,0,0,0
14,-8,-74,0,0,0,0,0
15,-8,-74,0,0,0,0,0
16,-8,-74,0,0,0,0,0
17,-8,-73,0,0,0,0,0
18,-7,-73,0,0,0,0,0
19,-7,-72,0,0,0,0,0
20,-7,-72,0,0,0,0,0
21,-7,-71,0,0,0,0,0
22,-7,-71,0,0,0,0,0
23,-7,-71,0,0,0,0,0
24,-7,-71,0,0,0,0,0
25,-7,-71,0,0,0,0,0
26,-7,-71,0,0,0,0,0
27,-7,-71,0,0,0,0,0
28,-7,-71,0,0,0,0,0
29,-7,-71,0,0,0,0,0
30,-7,-71,0,0,0,0,0
31,-7,-71,0,0,0,0,0
32,-7,-71,0,0,0,0,0
33,-7,-71,0,0,0,0,0
34,-7,-71,0,0,0,0,0
35,-7,-71,0,0,0,0,0
36,-6,-71,0,0,0,0,0
37,-6,-71,0,0,0,0,0
38,-6,-71,0,0,0,0,0
39,-6,-71,0,0,0,0,0
40,-6,-71,0,0,0,0,0
41,-6,-71,0,0,0,0,0
42,-6,-71,0,0,0,0,0
43,-6,-71,0,0,0,0,0
44,-6,-71,0,0,0,0,0
45,-6,-71,0,0,0,0,0
46,-6,-71,0,0,0,0,0
47,-6,-71,0,0,0,0,0
48,-6,-71,0,0,0,0,0
49,-6,-71,0,0,0,0,0
50,-6,-71,0,0,0,0,0
51,-6,-71,0,0,0,0,0
52,-6,-71,0,0,0,0,0
53,-6,-71,0,0,0,0,0
54,-6,-71,0,0,0,0,0
55,-6,-71,0,0,0,0,0
56,-6,-72,0,0,0,0,0
57,-6,-72,0,0,0,0,0
58,-6,-72,0,0,0,0,0
59,-5,-72,0,0,0,0,0
60,-5,-72,0,0,0,0,0
61,-5,-72,0,0,0,0,0
62,-5,-72,0,0,0,0,0
63,-5,-72,0,0,0,0,0
64,-5,-72,0,0,0,0,0
65,-5,-72,0,0,0,0,0
66,-5,-72,0,0,0,0,0
67,-5,-72,0,0,0,0,0
68,-5,-72,0,0,0,0,0
69,-5,-72,0,0,0,0,0
70,-5,-72,0,0,0,0,0
71,-5,-72,0,0,0,0,0
72,-5,-72,0,0,0,0,0
73,-5,-72,0,0,0,0,0
74,-5,-72,0,0,0,0,0
75,-5,-72,0,0,0,0,0
76,-4,-72,0,0,0,0,0
77,-4,-72,0,0,0,0,0
78,-4,-72,0,0,0,0,0
79,-4,-72,0,0,0,0,0
80,-4,-72,0,0,0,0,0
81,-4,-72,0,0,0,0,0
82,-4,-72,0,0,0,0,0
83,-4,-72,0,0,0,0,0
84,-4,-72,0,0,0,0,0
85,-4,-72,0,0,0,0,0
86,-4,-72,0,0,0,0,0
87,-4,-72,0,0,0,0,0
88,-3,-72,0,0,0,0,0
89,-3,-72,0,0,0,0,0
90,-3,-72,0,0,0,0,0
91,-3,-72,0,0,0,0,0
92,-3,-72,0,0,0,0,0
93,-3,-72,0,0,0,0,0
94,-3,-72,0,0,0,0,0
95,-3,-72,0,0,0,0,0
96,-3,-72,0,0,0,0,0
97,-3,-72,0,0,0,0,0
98,-3,-72,0,0,0,0,0
99,-3,-72,0,0,0,0,0
100,-3,-72,0,0,0,0,0
101,-3,-72,0,0,0,0,0
102,-3,-72,0,0,0,0,0
103,-3,-72,0,0,0,0,0
104,-3,-72,0,0,0,0,0
105,-3,-72,0,0,0,0,0
106,-3,-72,0,0,0,0,0
107,-3,-72,0,0,0,0,0
108,-3,-72,0,0,0,0,0
109,-3,-72,0,0,0,0,0
110,-3,-72,0,0,0,0,0
111,-3,-72,0,0,0,0,0
112,-3,-72,0,0,0,0,0
113,-3,-72,0,0,0,0,0
114,-3,-72,0,0,0,0,0
115,-3,-72,0,0,0,0,0
116,-3,-72,0,0,0,0,0
117,-3,-72,0,0,0,0,0
118,-3,-72,0,0,0,0,0
119,-2,-72,0,0,0,0,0
120,-2,-72,0,0,0,0,0
121,-2,-72,0,0,0,0,0
122,-2,-72,0,0,0,0,0
123,-2,-72,0,0,0,0,0
124,-2,-72,0,0,0,0,0
125,-2,-72,0,0,0,0,0
126,-2,-72,0,0,0,0,0
127,-2,-72,0,0,0,0,0
128,-2,-72,0,0,0,0,0
129,-1,-72,0,0,0,0,0
130,-1,-72,0,0,0,0,0
131,-1,-72,0,0,0,0,0
132,-1,-72,0,0,0,0,0
133,-1,-72,0,0,0,0,0
134,-1,-72,0,0,0,0,0
135,-1,-72,0,0,0,0,0
136,-1,-72,0,0,0,0,0
137,-1,-72,0,0,0,0,0
138,-1,-72,0,0,0,0,0
139,-1,-72,0,0,0,0,0
140,-1,-72,0,0,0,0,0
141,-1,-72,0,0,0,0,0
142,-1,-72,0,0,0,0,0
143,-1,-72,0,0,0,0,0
144,-1,-72,0,0,0,0,0
145,-1,-72,0,0,0,0,0
146,-1,-72,0,0,0,0,0
147,-1,-72,0,0,0,0,0
148,-1,-72,0,0,0,0,0
149,-1,-72,0,0,0,0,0
150,-1,-72,0,0,0,0,0
151,-1,-72,0,0,0,0,0
152,-1,-72,0,0,0,0,0
153,-1,-72,0,0,0,0,0
154,-1,-72,0,0,0,0,0
155,-1,-72,0,0,0,0,0
156,-1,-72,0,0,0,0,0
157,-1,-72,0,0,0,0,0
158,-1,-72,0,0,0,0,0
159,-1,-72,0,0,0,0,0
160,-1,-72,0,0,0,0,0
161,-1,-72,0,0,0,0,0
162,-1,-72,0,0,0,0,0
163,-1,-72,0,0,0,0,0
164,-1,-72,0,0,0,0,0
165,-1,-72,0,0,0,0,0
166,-2,-72,0,0,0,0,0
167,-2,-72,0,0,0,0,0
168,-2,-72,0,0,0,0,0
169,-2,-72,0,0,0,0,0
170,-2,-72,0,0,0,0,0
