t,x,y,fh,fv,r,s,frame:
0,-1,1,0,0,0,0,1
1,-1,1,0,0,0,0,1
2,-1,1,0,0,0,0,1
3,-1,1,0,0,0,0,1
4,-1,1,0,0,0,0,1
5,-1,1,0,0,0,0,1
6,-1,1,0,0,0,0,1
7,-1,1,0,0,0,0,1
8,-1,1,0,0,0,0,1
9,-1,1,0,0,0,0,1
10,-1,1,0,0,0,0,1
11,-1,1,0,0,0,0,1
12,-1,1,0,0,0,0,1
13,-1,1,0,0,0,0,1
14,-1,1,0,0,0,0,1
15,-1,1,0,0,0,0,1
16,-1,1,0,0,0,0,1
17,-1,1,0,0,0,0,0
18,-1,1,0,0,0,0,0
19,-1,1,0,0,0,0,0
20,-1,1,0,0,0,0,0
21,-1,1,0,0,0,0,0
22,-1,1,0,0,0,0,0
23,-1,1,0,0,0,0,0
24,-1,1,0,0,0,0,0
25,-1,1,0,0,0,0,0
26,-1,1,0,0,0,0,0
27,-1,1,0,0,0,0,0
28,-1,1,0,0,0,0,0
29,-1,1,0,0,0,0,0
30,-1,1,0,0,0,0,0
31,-1,1,0,0,0,0,0
32,-1,1,0,0,0,0,0
33,-1,1,0,0,0,0,0
34,-1,1,0,0,0,0,0
35,-1,1,0,0,0,0,0
