t,x,y,fh,fv,r,s,frame:
0,-2,0,0,0,0,0,0
1,-2,-1,0,0,0,0,0
2,-2,-1,0,0,0,0,0
3,-2,-1,0,0,0,0,0
4,-2,-1,0,0,0,0,0
5,-2,-1,0,0,0,0,0
6,-2,-1,0,0,0,0,0
7,-2,-1,0,0,0,0,0
8,-2,-1,0,0,0,0,0
9,-2,-1,0,0,0,0,0
10,-2,-1,0,0,0,0,0
11,-2,-1,0,0,0,0,0
12,-2,-1,0,0,0,0,0
13,-2,-1,0,0,0,0,0
14,-2,-1,0,0,0,0,0
15,-3,-1,0,0,0,0,0
16,-3,-1,0,0,0,0,0
17,-4,-1,0,0,0,0,0
18,-4,-1,0,0,0,0,0
19,-4,-1,0,0,0,0,0
20,-4,-1,0,0,0,0,0
21,-5,0,0,0,0,0,0
22,-5,0,0,0,0,0,0
23,-5,0,0,0,0,0,0
24,-6,0,0,0,0,0,0
25,-7,0,0,0,0,0,0
26,-7,0,0,0,0,0,0
27,-7,0,0,0,0,0,0
28,-7,0,0,0,0,0,0
29,-7,0,0,0,0,0,0
30,-7,0,0,0,0,0,0
31,-7,0,0,0,0,0,0
32,-7,0,0,0,0,0,0
33,-7,0,0,0,0,0,0
34,-7,0,0,0,0,0,0
35,-7,0,0,0,0,0,0
36,-7,0,0,0,0,0,0
37,-7,0,0,0,0,0,0
38,-6,0,0,0,0,0,0
39,-6,0,0,0,0,0,0
40,-6,0,0,0,0,0,0
41,-5,0,0,0,0,0,0
42,-5,1,0,0,0,0,0
43,-5,1,0,0,0,0,0
44,-4,1,0,0,0,0,0
45,-4,1,0,0,0,0,0
46,-4,1,0,0,0,0,0
47,-4,1,0,0,0,0,0
48,-4,1,0,0,0,0,0
49,-4,1,0,0,0,0,0
50,-4,1,0,0,0,0,0
51,-4,1,0,0,0,0,0
52,-4,1,0,0,0,0,0
53,-3,1,0,0,0,0,0
54,-3,1,0,0,0,0,0
55,-3,1,0,0,0,0,0
56,-3,1,0,0,0,0,0
57,-3,1,0,0,0,0,0
58,-3,1,0,0,0,0,0
59,-3,1,0,0,0,0,0
60,-3,1,0,0,0,0,0
61,-3,1,0,0,0,0,0
62,-3,1,0,0,0,0,0
63,-2,1,0,0,0,0,0
64,-2,1,0,0,0,0,0
65,-2,1,0,0,0,0,0
66,-2,1,0,0,0,0,0
67,-2,1,0,0,0,0,0
68,-2,1,0,0,0,0,0
69,-2,1,0,0,0,0,0
70,-1,1,0,0,0,0,0
71,-1,1,0,0,0,0,0
72,-1,1,0,0,0,0,0
73,-1,1,0,0,0,0,0
74,-1,1,0,0,0,0,0
75,-1,1,0,0,0,0,0
76,-1,1,0,0,0,0,0
77,-1,1,0,0,0,0,0
78,-1,1,0,0,0,0,0
79,-1,1,0,0,0,0,0
80,-1,1,0,0,0,0,0
81,-1,1,0,0,0,0,0
82,0,1,0,0,0,0,0
83,0,1,0,0,0,0,0
84,0,1,0,0,0,0,0
85,0,1,0,0,0,0,0
86,0,1,0,0,0,0,0
87,0,1,0,0,0,0,0
88,0,1,0,0,0,0,0
89,0,1,0,0,0,0,0
90,0,1,0,0,0,0,0
91,0,1,0,0,0,0,0
92,0,1,0,0,0,0,0
93,1,1,0,0,0,0,0
94,1,1,0,0,0,0,0
95,1,1,0,0,0,0,0
96,1,1,0,0,0,0,0
97,1,1,0,0,0,0,0
98,1,1,0,0,0,0,0
99,2,1,0,0,0,0,0
100,2,1,0,0,0,0,0
101,2,1,0,0,0,0,0
102,2,1,0,0,0,0,0
103,2,1,0,0,0,0,0
104,2,1,0,0,0,0,0
105,2,1,0,0,0,0,0
106,2,1,0,0,0,0,0
107,2,1,0,0,0,0,0
108,2,1,0,0,0,0,0
109,2,1,0,0,0,0,0
110,2,1,0,0,0,0,0
111,3,1,0,0,0,0,0
112,3,1,0,0,0,0,0
113,3,0,0,0,0,0,0
114,3,0,0,0,0,0,0
115,3,0,0,0,0,0,0
116,3,0,0,0,0,0,0
117,3,0,0,0,0,0,0
118,3,0,0,0,0,0,0
119,3,0,0,0,0,0,0
120,3,0,0,0,0,0,0
121,3,0,0,0,0,0,0
122,3,0,0,0,0,0,0
123,3,0,0,0,0,0,0
124,3,0,0,0,0,0,0
125,3,0,0,0,0,0,0
126,3,0,0,0,0,0,0
127,3,0,0,0,0,0,0
128,3,0,0,0,0,0,0
129,3,0,0,0,0,0,0
130,3,0,0,0,0,0,0
131,3,0,0,0,0,0,0
132,3,0,0,0,0,0,0
133,3,0,0,0,0,0,0
134,3,0,0,0,0,0,0
135,4,0,0,0,0,0,0
136,4,0,0,0,0,0,0
137,4,0,0,0,0,0,0
138,4,0,0,0,0,0,0
139,4,0,0,0,0,0,0
140,4,0,0,0,0,0,0
141,4,0,0,0,0,0,0
142,4,0,0,0,0,0,0
143,4,0,0,0,0,0,0
144,4,0,0,0,0,0,0
145,4,0,0,0,0,0,0
146,4,0,0,0,0,0,0
147,4,0,0,0,0,0,0
148,4,0,0,0,0,0,0
149,4,0,0,0,0,0,0
150,4,0,0,0,0,0,0
151,4,0,0,0,0,0,0
152,4,0,0,0,0,0,0
153,4,0,0,0,0,0,0
154,4,0,0,0,0,0,0
155,4,0,0,0,0,0,0
156,4,0,0,0,0,0,0
157,4,0,0,0,0,0,0
158,4,0,0,0,0,0,0
159,4,0,0,0,0,0,0
160,3,0,0,0,0,0,0
161,3,0,0,0,0,0,0
162,3,0,0,0,0,0,0
163,3,-1,0,0,0,0,0
164,2,-1,0,0,0,0,0
165,2,-1,0,0,0,0,0
