t,x,y,fh,fv,r,s,frame:
0,-328,109,0,0,0,-29,0
1,-328,109,0,0,0,-29,0
2,-328,109,0,0,0,-29,0
3,-328,109,0,0,0,-29,0
4,-328,109,0,0,0,-29,0
5,-328,109,0,0,0,-29,0
6,-328,109,0,0,0,-29,0
7,-328,109,0,0,0,-29,0
8,-328,109,0,0,0,-29,0
9,-328,109,0,0,0,-29,0
10,-328,109,0,0,0,-29,0
11,-328,109,0,0,0,-29,0
12,-328,109,0,0,0,-29,0
13,-328,109,0,0,0,-29,0
14,-328,109,0,0,0,-29,0
15,-328,109,0,0,0,-29,0
16,-328,109,0,0,0,-29,0
17,-328,109,0,0,0,-29,0
18,-328,109,0,0,0,-29,0
19,-328,109,0,0,0,-29,0
20,-328,109,0,0,0,-29,0
21,-328,109,0,0,0,-29,0
22,-328,109,0,0,0,-29,0
23,-328,109,0,0,0,-29,0
24,-328,109,0,0,0,-29,0
25,-328,109,0,0,0,-29,0
26,-328,109,0,0,0,-29,0
27,-328,109,0,0,0,-29,0
28,-328,109,0,0,0,-29,0
29,-328,109,0,0,0,-29,0
30,-328,109,0,0,0,-29,0
31,-328,109,0,0,0,-29,0
32,-328,109,0,0,0,-29,0
33,-328,109,0,0,0,-29,0
34,-328,109,0,0,0,-29,0
35,-328,109,0,0,0,-29,0
36,-328,109,0,0,0,-29,0
37,-328,109,0,0,0,-29,0
38,-328,109,0,0,0,-29,0
39,-328,109,0,0,0,-29,0
40,-271,110,1,0,0,-29,1
41,-271,110,1,0,0,-29,1
42,-271,110,1,0,0,-29,1
43,-271,110,1,0,0,-29,1
44,-271,110,1,0,0,-29,1
45,-271,110,1,0,0,-29,1
46,-271,110,1,0,0,-29,1
47,-271,110,1,0,0,-29,1
48,-271,110,1,0,0,-29,1
49,-271,110,1,0,0,-29,1
50,-271,110,1,0,0,-29,1
51,-271,110,1,0,0,-29,1
52,-271,110,1,0,0,-29,1
53,-271,110,1,0,0,-29,1
54,-271,110,1,0,0,-29,1
