t,x,y,fh,fv,r,s,frame:
0,-396,113,1,0,0,-30.0,1
1,-396,113,1,0,0,-30.0,1
2,-396,113,1,0,0,-30.0,1
3,-396,113,1,0,0,-30.0,1
4,-396,113,1,0,0,-30.0,1
5,-396,113,1,0,0,-30.0,1
6,-396,113,1,0,0,-30.0,1
7,-396,113,1,0,0,-30.0,1
8,-395,113,1,0,0,-30.0,1
9,-394,113,1,0,0,-30.0,1
10,-391,113,1,0,0,-30.0,1
11,-388,113,1,0,0,-30.0,1
12,-383,113,1,0,0,-30.0,1
13,-379,113,1,0,0,-30.0,1
14,-374,113,1,0,0,-30.0,1
15,-369,113,1,0,0,-30.0,1
16,-364,113,1,0,0,-30.0,1
17,-358,113,1,0,0,-30.0,1
18,-353,113,1,0,0,-30.0,1
19,-349,113,1,0,0,-30.0,1
20,-344,113,1,0,0,-30.0,1
21,-339,113,1,0,0,-30.0,1
22,-335,113,1,0,0,-30.0,1
23,-330,112,1,0,0,-30.0,1
24,-324,112,1,0,0,-30.0,1
25,-316,112,1,0,0,-30.0,1
26,-310,112,1,0,0,-30.0,1
27,-304,113,1,0,0,-30.0,1
28,-298,113,1,0,0,-30.0,1
29,-293,113,1,0,0,-30.0,1
30,-286,113,1,0,0,-30.0,1
31,-280,113,1,0,0,-30.0,1
32,-272,113,1,0,0,-30.0,1
33,-265,113,1,0,0,-30.0,1
34,-257,113,1,0,0,-30.0,1
35,-249,113,1,0,0,-30.0,1
36,-242,113,1,0,0,-30.0,1
37,-237,113,1,0,0,-30.0,1
38,-233,113,1,0,0,-30.0,1
39,-223,112,1,0,0,-30.0,1
40,-211,112,1,0,0,-30.0,1
38,-96,106,1,0,38,-30,2
39,-99,106,1,0,38,-30,2
40,-101,106,1,0,38,-30,2
41,-106,106,1,0,38,-30,2
42,-121,106,1,0,38,-30,2
43,-133,107,1,0,38,-30,2
44,-149,108,1,0,38,-30,2
45,-159,109,1,0,38,-30,2
46,-171,111,1,0,38,-30,2
47,-182,111,1,0,38,-30,2
48,-192,112,1,0,38,-30,2
49,-203,112,1,0,38,-30,2
50,-213,112,1,0,38,-30,2
51,-221,112,1,0,38,-30,2
