t,x,y,fh,fv,r,s,frame:
0,-332,110,0,0,0,-28,0
1,-332,110,0,0,0,-28,0
2,-332,110,0,0,0,-28,0
3,-332,110,0,0,0,-28,0
4,-332,110,0,0,0,-28,0
5,-332,110,0,0,0,-28,0
6,-332,110,0,0,0,-28,0
7,-332,110,0,0,0,-28,0
8,-332,110,0,0,0,-28,0
9,-332,110,0,0,0,-28,0
10,-332,110,0,0,0,-28,0
11,-332,110,0,0,0,-28,0
12,-332,110,0,0,0,-28,0
13,-332,110,0,0,0,-28,0
14,-332,110,0,0,0,-28,0
15,-332,110,0,0,0,-28,0
16,-332,110,0,0,0,-28,0
17,-332,110,0,0,0,-28,0
18,-332,110,0,0,0,-28,0
19,-332,110,0,0,0,-28,0
20,-332,110,0,0,0,-28,0
21,-332,110,0,0,0,-28,0
22,-332,110,0,0,0,-28,0
23,-332,110,0,0,0,-28,0
24,-332,110,0,0,0,-28,0
25,-332,110,0,0,0,-28,0
26,-332,110,0,0,0,-28,0
27,-332,110,0,0,0,-28,0
28,-332,110,0,0,0,-28,0
29,-332,110,0,0,0,-28,0
30,-332,110,0,0,0,-28,0
31,-332,110,0,0,0,-28,0
32,-332,110,0,0,0,-28,0
33,-332,110,0,0,0,-28,0
34,-332,110,0,0,0,-28,0
35,-332,110,0,0,1,-28,0
36,-332,110,0,0,2,-28,0
37,-332,110,0,0,3,-28,0
38,-332,110,0,0,4,-28,0
39,-334,110,0,0,5,-28,0
40,-336,110,0,0,6,-28,0
41,-337,110,0,0,7,-28,0
42,-338,110,0,0,8,-28,0
43,-338,110,0,0,9,-28,0
44,-339,110,0,0,10,-28,0
45,-339,110,0,0,11,-28,0
46,-340,110,0,0,12,-28,0
47,-341,110,0,0,13,-28,0
48,-342,110,0,0,14,-28,0
49,-343,110,0,0,15,-28,0
50,-343,110,0,0,16,-28,0
51,-343,111,0,0,17,-28,0
52,-343,111,0,0,18,-28,0
53,-343,111,0,0,19,-28,0
54,-344,111,0,0,20,-28,0
55,-344,111,0,0,21,-28,0
56,-346,112,0,0,22,-28,0
57,-348,112,0,0,23,-28,0
58,-350,112,0,0,24,-28,0
59,-352,113,0,0,25,-28,0
60,-352,114,0,0,26,-28,0
61,-352,114,0,0,27,-28,0
62,-352,114,0,0,28,-28,0
63,-353,114,0,0,29,-28,0
64,-354,115,0,0,30,-28,0
65,-356,116,0,0,31,-28,0
66,-360,118,0,0,32,-28,0
67,-364,120,0,0,33,-28,0
68,-368,122,0,0,34,-28,0
69,-371,124,0,0,35,-28,0
70,-372,125,0,0,36,-28,0
71,-373,126,0,0,37,-28,0
72,-375,127,0,0,38,-28,0
73,-377,129,0,0,39,-28,0
74,-381,131,0,0,40,-28,0
75,-384,133,0,0,41,-28,0
76,-388,136,0,0,42,-28,0
77,-392,140,0,0,43,-28,0
78,-394,141,0,0,44,-28,0
79,-395,141,0,0,45,-28,0
80,-395,142,0,0,46,-28,0
81,-396,142,0,0,47,-28,0
82,-396,142,0,0,48,-28,0
83,-397,144,0,0,49,-28,0
84,-399,145,0,0,50,-28,0
85,-401,147,0,0,51,-28,0
86,-402,148,0,0,52,-28,0
87,-403,149,0,0,53,-28,0
88,-405,151,0,0,54,-28,0
89,-406,154,0,0,55,-28,0
90,-407,156,0,0,56,-28,0
91,-408,157,0,0,57,-28,0
92,-410,160,0,0,58,-28,0
93,-412,162,0,0,59,-28,0
94,-413,165,0,0,60,-28,0
95,-415,168,0,0,61,-28,0
96,-416,170,0,0,62,-28,0
97,-417,172,0,0,63,-28,0
98,-418,173,0,0,64,-28,0
99,-418,175,0,0,65,-28,0
100,-420,178,0,0,66,-28,0
101,-422,181,0,0,67,-28,0
102,-423,184,0,0,68,-28,0
103,-424,186,0,0,69,-28,0
104,-425,189,0,0,70,-28,0
105,-426,192,0,0,71,-28,0
106,-427,195,0,0,72,-28,0
107,-428,198,0,0,73,-28,0
108,-428,201,0,0,74,-28,0
109,-429,203,0,0,75,-28,0
110,-429,205,0,0,76,-28,0
111,-430,207,0,0,77,-28,0
112,-431,210,0,0,78,-28,0
113,-432,212,0,0,79,-28,0
114,-433,215,0,0,80,-28,0
115,-434,217,0,0,81,-28,0
116,-436,221,0,0,82,-28,0
117,-437,225,0,0,83,-28,0
118,-437,226,0,0,84,-28,0
119,-438,227,0,0,85,-28,0
120,-438,229,0,0,86,-28,0
121,-439,231,0,0,87,-28,0
122,-439,232,0,0,88,-28,0
123,-439,234,0,0,89,-28,0
124,-441,236,0,0,90,-28,0
125,-442,239,0,0,91,-28,0
126,-443,241,0,0,92,-28,0
127,-444,244,0,0,93,-28,0
128,-445,245,0,0,94,-28,0
129,-445,245,0,0,94,-28,0
130,-445,245,0,0,94,-28,0
131,-445,245,0,0,94,-28,0
132,-445,245,0,0,94,-28,0
133,-445,245,0,0,94,-28,0
134,-445,245,0,0,94,-28,0
135,-445,245,0,0,94,-28,0
136,-445,245,0,0,94,-28,0
137,-445,245,0,0,94,-28,0
138,-445,245,0,0,94,-28,0
139,-445,245,0,0,94,-28,0
140,-445,245,0,0,94,-28,0
141,-445,245,0,0,94,-28,0
142,-445,245,0,0,94,-28,0
143,-445,245,0,0,94,-28,0
144,-446,245,0,0,94,-28,0
145,-446,245,0,0,94,-28,0
146,-446,245,0,0,94,-28,0
147,-446,245,0,0,94,-28,0
148,-446,245,0,0,94,-28,0
149,-446,245,0,0,94,-28,0
150,-446,245,0,0,94,-28,0
151,-446,245,0,0,94,-28,0
152,-446,245,0,0,94,-28,0
153,-446,245,0,0,94,-28,0
154,-446,245,0,0,94,-28,0
155,-446,245,0,0,94,-28,0
156,-446,245,0,0,94,-28,0
157,-446,245,0,0,94,-28,0
158,-446,245,0,0,94,-28,0
159,-446,245,0,0,94,-28,0
