t,x,y,fh,fv,r,s,frame:
0,-396,113,1,0,0,-30,1
1,-396,113,1,0,0,-30,1
2,-396,113,1,0,0,-30,1
3,-396,113,1,0,0,-30,1
4,-396,113,1,0,0,-30,1
5,-396,113,1,0,0,-30,1
6,-396,113,1,0,0,-30,1
7,-396,113,1,0,0,-30,1
8,-395,113,1,0,0,-30,1
9,-394,113,1,0,0,-30,1
10,-391,113,1,0,0,-30,1
11,-388,113,1,0,0,-30,1
12,-383,113,1,0,0,-30,1
13,-379,113,1,0,0,-30,1
14,-374,113,1,0,0,-30,1
15,-369,113,1,0,0,-30,1
16,-364,113,1,0,0,-30,1
17,-358,113,1,0,0,-30,1
18,-353,113,1,0,0,-30,1
19,-349,113,1,0,0,-30,1
20,-344,113,1,0,0,-30,1
21,-339,113,1,0,0,-30,1
22,-335,113,1,0,0,-30,1
23,-330,112,1,0,0,-30,1
24,-324,112,1,0,0,-30,1
25,-316,112,1,0,0,-30,1
26,-310,112,1,0,0,-30,1
27,-304,113,1,0,0,-30,1
28,-298,113,1,0,0,-30,1
29,-293,113,1,0,0,-30,1
30,-286,113,1,0,0,-30,1
31,-280,113,1,0,0,-30,1
32,-272,113,1,0,0,-30,1
33,-265,113,1,0,0,-30,1
34,-257,113,1,0,0,-30,1
35,-249,113,1,0,0,-30,1
36,-242,113,1,0,0,-30,1
37,-237,113,1,0,0,-30,1
38,-233,113,1,0,0,-30,1
39,-223,112,1,0,0,-30,1
40,-211,112,1,0,0,-30,1
41,-199,112,1,0,0,-30,1
42,-187,112,1,0,0,-30,1
43,-178,112,1,0,0,-30,1
44,-170,112,1,0,0,-30,1
45,-162,112,1,0,0,-30,1
46,-153,111,1,0,0,-30,1
47,-139,111,1,0,0,-30,1
48,-133,111,1,0,0,-30,1
49,-115,111,1,0,0,-30,1
50,-96,111,1,0,0,-30,1
51,-80,111,1,0,0,-30,1
52,-66,109,1,0,0,-30,1
53,-58,108,1,0,0,-30,1
54,-57,108,1,0,0,-30,1
55,-57,108,1,0,0,-30,1
56,-57,108,1,0,0,-30,1
57,-57,108,1,0,0,-30,1
58,-57,108,1,0,0,-30,1
59,-57,108,1,0,0,-30,1
60,-57,108,1,0,0,-30,1
61,-57,108,1,0,0,-30,1
62,-57,108,1,0,0,-30,1
63,-57,108,1,0,0,-30,1
64,-57,108,1,0,0,-30,1
65,-57,108,1,0,0,-30,1
66,-57,108,1,0,0,-30,1
67,-57,108,1,0,0,-30,1
68,-57,108,1,0,0,-30,1
69,-57,108,1,0,0,-30,1
70,-57,108,1,0,0,-30,1
71,-57,108,1,0,0,-30,1
72,-57,108,1,0,0,-30,1
73,-57,108,1,0,0,-30,1
74,-57,108,1,0,0,-30,1
75,-57,108,1,0,0,-30,1
76,-57,108,1,0,0,-30,1
77,-57,108,1,0,0,-30,1
78,-57,108,1,0,0,-30,1
79,-57,108,1,0,0,-30,1
80,-57,108,1,0,0,-30,1
81,-57,108,1,0,0,-30,1
82,-57,108,1,0,0,-30,1
83,-57,108,1,0,0,-30,1
84,-57,108,1,0,0,-30,1
85,-57,108,1,0,0,-30,1
86,-57,108,1,0,0,-30,1
87,-57,108,1,0,0,-30,1
88,-57,108,1,0,0,-30,1
89,-57,108,1,0,0,-30,1
90,-57,108,1,0,0,-30,1
91,-57,108,1,0,0,-30,1
92,-57,108,1,0,0,-30,1
93,-57,108,1,0,0,-30,1
94,-57,108,1,0,0,-30,1
95,-57,108,1,0,0,-30,1
96,-57,108,1,0,0,-30,1
97,-57,108,1,0,0,-30,1
98,-57,108,1,0,0,-30,1
99,-57,108,1,0,0,-30,1
100,-57,108,1,0,0,-30,1
101,-57,108,1,0,0,-30,1
102,-57,108,1,0,0,-30,1
103,-57,108,1,0,0,-30,1
104,-57,108,1,0,0,-30,1
105,-57,108,1,0,0,-30,1
106,-57,108,1,0,0,-30,1
107,-57,108,1,0,0,-30,1
108,-57,108,1,0,0,-30,1
109,-57,108,1,0,0,-30,1
110,-57,108,1,0,0,-30,1
111,-57,108,1,0,0,-30,1
112,-57,108,1,0,0,-30,1
113,-57,108,1,0,0,-30,1
114,-57,108,1,0,0,-30,1
115,-57,108,1,0,0,-30,1
116,-57,108,1,0,0,-30,1
117,-57,108,1,0,0,-30,1
118,-57,108,1,0,0,-30,1
119,-57,108,1,0,0,-30,1
120,-57,108,1,0,0,-30,1
121,-57,108,1,0,0,-30,1
122,-57,108,1,0,0,-30,1
123,-57,108,1,0,0,-30,1
124,-57,108,1,0,0,-30,1
125,-57,108,1,0,0,-30,1
126,-57,108,1,0,0,-30,1
127,-57,108,1,0,0,-30,1
128,-57,108,1,0,0,-30,1
129,-57,108,1,0,0,-30,1
130,-57,108,1,0,0,-30,1
131,-57,108,1,0,0,-30,1
132,-57,108,1,0,0,-30,1
133,-57,108,1,0,0,-30,1
134,-57,108,1,0,0,-30,1
135,-57,108,1,0,0,-30,1
136,-57,108,1,0,0,-30,1
137,-57,108,1,0,0,-30,1
138,-57,108,1,0,0,-30,1
139,-57,108,1,0,0,-30,1
140,-57,108,1,0,0,-30,1
141,-57,108,1,0,0,-30,1
142,-57,108,1,0,0,-30,1
143,-57,108,1,0,0,-30,1
144,-57,108,1,0,0,-30,1
145,-57,108,1,0,0,-30,1
146,-57,108,1,0,0,-30,1
147,-57,108,1,0,0,-30,1
148,-57,108,1,0,0,-30,1
149,-57,108,1,0,0,-30,1
150,-57,108,1,0,0,-30,1
151,-57,108,1,0,0,-30,1
152,-57,108,1,0,0,-30,1
153,-57,108,1,0,0,-30,1
154,-57,108,1,0,0,-30,1
155,-57,108,1,0,0,-30,1
156,-57,108,1,0,0,-30,1
157,-57,108,1,0,0,-30,1
158,-57,108,1,0,0,-30,1
159,-57,108,1,0,0,-30,1
160,-57,108,1,0,0,-30,1
161,-57,108,1,0,0,-30,1
162,-57,108,1,0,0,-30,1
163,-57,108,1,0,0,-30,1
164,-57,108,1,0,0,-30,1
165,-57,108,1,0,0,-30,1
166,-57,108,1,0,0,-30,1
167,-57,108,1,0,0,-30,1
168,-57,108,1,0,0,-30,1
169,-57,108,1,0,0,-30,1
170,-57,108,1,0,0,-30,1
171,-57,108,1,0,0,-30,1
172,-57,108,1,0,0,-30,1
173,-57,108,1,0,0,-30,1
