t,x,y,fh,fv,r,s,frame:
0,1,-159,0,0,0,-229,0
1,1,-159,0,0,0,-229,0
2,1,-159,0,0,0,-229,0
3,1,-159,0,0,0,-229,0
4,1,-159,0,0,0,-229,0
5,1,-159,0,0,0,-229,0
6,1,-159,0,0,0,-224,0
7,1,-159,0,0,0,-219,0
8,1,-159,0,0,0,-214,0
9,1,-159,0,0,0,-209,0
10,1,-159,0,0,0,-204,0
11,1,-159,0,0,0,-199,0
12,1,-159,0,0,0,-194,0
13,1,-159,0,0,0,-189,0
14,1,-159,0,0,0,-184,0
15,1,-159,0,0,0,-179,0
16,1,-159,0,0,0,-174,0
17,1,-159,0,0,0,-169,0
18,1,-159,0,0,0,-164,0
19,1,-159,0,0,0,-159,0
20,1,-159,0,0,0,-154,0
21,1,-159,0,0,0,-149,0
22,1,-159,0,0,0,-144,0
23,1,-159,0,0,0,-139,0
24,1,-159,0,0,0,-134,0
25,1,-159,0,0,0,-129,0
26,1,-159,0,0,0,-124,0
27,1,-159,0,0,0,-119,0
28,1,-159,0,0,0,-114,0
29,1,-159,0,0,0,-109,0
30,1,-159,0,0,0,-104,0
31,1,-159,0,0,0,-99,0
32,1,-159,0,0,0,-94,0
33,1,-159,0,0,0,-89,0
34,1,-159,0,0,0,-84,0
35,1,-159,0,0,0,-79,0
36,1,-159,0,0,0,-74,0
37,1,-159,0,0,0,-69,0
38,1,-159,0,0,0,-64,0
39,1,-159,0,0,0,-59,0
40,1,-159,0,0,0,-54,0
41,1,-159,0,0,0,-49,0
42,1,-159,0,0,0,-44,0
43,1,-159,0,0,0,-39,0
44,1,-159,0,0,0,-34,0
45,1,-159,0,0,0,-29,0
46,1,-159,0,0,0,-24,0
47,1,-159,0,0,0,-19,0
48,1,-159,0,0,0,-14,0
49,1,-159,0,0,0,-9,0
50,1,-159,0,0,0,-4,0
51,1,-159,0,0,0,1,0
52,1,-159,0,0,0,6,0
53,1,-159,0,0,0,11,0
54,1,-159,0,0,0,16,0
55,1,-159,0,0,0,21,0
56,1,-159,0,0,0,26,0
57,1,-159,0,0,0,31,0
58,1,-159,0,0,0,36,0
59,1,-159,0,0,0,41,0
60,1,-159,0,0,0,46,0
61,1,-159,0,0,0,51,0
62,1,-159,0,0,0,56,0
63,1,-159,0,0,0,61,0
64,1,-159,0,0,0,66,0
65,1,-159,0,0,0,71,0
66,1,-159,0,0,0,76,0
67,1,-159,0,0,0,81,0
68,1,-159,0,0,0,76,0
69,1,-159,0,0,0,71,0
70,1,-159,0,0,0,66,0
71,1,-159,0,0,0,61,0
72,1,-159,0,0,0,56,0
73,1,-159,0,0,0,51,0
74,1,-159,0,0,0,46,0
75,1,-159,0,0,0,41,0
76,1,-159,0,0,0,36,0
77,1,-159,0,0,0,31,0
78,1,-159,0,0,0,26,0
79,1,-159,0,0,0,21,0
80,1,-159,0,0,0,16,0
81,1,-159,0,0,0,11,0
82,1,-159,0,0,0,6,0
83,1,-159,0,0,0,1,0
84,1,-159,0,0,0,-4,0
85,1,-159,0,0,0,-9,0
86,1,-159,0,0,0,-14,0
87,1,-159,0,0,0,-19,0
88,1,-159,0,0,0,-24,0
89,1,-159,0,0,0,-29,0
90,1,-159,0,0,0,-34,0
91,1,-159,0,0,0,-39,0
92,1,-159,0,0,0,-44,0
93,1,-159,0,0,0,-49,0
94,1,-159,0,0,0,-54,0
95,1,-159,0,0,0,-59,0
96,1,-159,0,0,0,-64,0
97,1,-159,0,0,0,-69,0
98,1,-159,0,0,0,-74,0
99,1,-159,0,0,0,-79,0
100,1,-159,0,0,0,-84,0
101,1,-159,0,0,0,-89,0
102,1,-159,0,0,0,-94,0
103,1,-159,0,0,0,-99,0
104,1,-159,0,0,0,-104,0
105,1,-159,0,0,0,-109,0
106,1,-159,0,0,0,-114,0
107,1,-159,0,0,0,-119,0
108,1,-159,0,0,0,-124,0
