t,x,y,fh,fv,r,s,frame:
0,330,109,0,0,0,-29,0
1,330,109,0,0,0,-29,0
2,330,109,0,0,0,-29,0
3,330,109,0,0,0,-29,0
4,330,109,0,0,0,-29,0
5,330,109,0,0,0,-29,0
6,330,109,0,0,0,-29,0
7,330,109,0,0,0,-29,0
8,330,109,0,0,0,-29,0
9,330,109,0,0,0,-29,0
10,330,109,0,0,0,-29,0
11,330,109,0,0,0,-29,0
12,330,109,0,0,0,-29,0
13,330,109,0,0,0,-29,0
14,330,109,0,0,0,-29,0
15,330,109,0,0,0,-29,0
16,330,109,0,0,0,-29,0
17,330,109,0,0,0,-29,0
18,330,109,0,0,0,-29,0
19,330,109,0,0,0,-29,0
20,330,109,0,0,0,-29,0
21,330,109,0,0,0,-29,0
22,330,109,0,0,0,-29,0
23,330,109,0,0,0,-29,0
24,330,109,0,0,0,-29,0
25,330,109,0,0,0,-29,0
26,330,109,0,0,0,-29,0
27,330,109,0,0,0,-29,0
28,330,109,0,0,0,-29,0
29,330,109,0,0,0,-29,0
30,330,109,0,0,0,-29,0
31,330,109,0,0,0,-29,0
32,330,111,0,0,0,-29,0
33,330,111,0,0,0,-29,0
34,330,111,0,0,0,-29,0
35,330,111,0,0,0,-29,0
36,330,111,0,0,0,-29,0
37,330,111,0,0,0,-29,0
38,330,111,0,0,0,-29,0
39,330,111,0,0,0,-29,0
40,270,108,0,0,0,-29,1
41,270,108,0,0,0,-29,1
42,270,108,0,0,0,-29,1
43,270,108,0,0,0,-29,1
44,270,108,0,0,0,-29,1
45,270,108,0,0,0,-29,1
46,270,108,0,0,0,-29,1
47,270,108,0,0,0,-29,1
48,270,108,0,0,0,-29,1
49,270,108,0,0,0,-29,1
50,270,108,0,0,0,-29,1
51,270,108,0,0,0,-29,1
52,270,108,0,0,0,-29,1
53,270,108,0,0,0,-29,1
54,270,108,0,0,0,-29,1
55,270,108,0,0,0,-29,1
56,270,108,0,0,0,-29,1
57,270,108,0,0,0,-29,1
58,270,108,0,0,0,-29,1
59,270,108,0,0,0,-29,1
60,270,108,0,0,0,-29,1
61,270,108,0,0,0,-29,1
62,270,108,0,0,0,-29,1
63,270,108,0,0,0,-29,1
64,270,108,0,0,0,-29,1
65,270,108,0,0,0,-29,1
66,270,108,0,0,0,-29,1
67,270,108,0,0,0,-29,1
68,270,108,0,0,0,-29,1
69,270,108,0,0,0,-29,1
70,270,108,0,0,0,-29,1
71,270,108,0,0,0,-29,1
72,270,108,0,0,0,-29,1
73,270,108,0,0,0,-29,1
74,270,108,0,0,0,-29,1
75,270,108,0,0,0,-29,1
76,270,108,0,0,0,-29,1
77,270,108,0,0,0,-29,1
78,270,108,0,0,0,-29,1
79,270,108,0,0,0,-29,1
80,270,108,0,0,0,-29,1
81,270,108,0,0,0,-29,1
82,270,108,0,0,0,-29,1
83,270,108,0,0,0,-29,1
84,270,108,0,0,0,-29,1
85,270,108,0,0,0,-29,1
86,270,108,0,0,0,-29,1
87,270,108,0,0,0,-29,1
88,270,108,0,0,0,-29,1
89,270,108,0,0,0,-29,1
90,270,108,0,0,0,-29,1
91,270,108,0,0,0,-29,1
92,270,108,0,0,0,-29,1
93,270,108,0,0,0,-29,1
94,270,108,0,0,0,-29,1
95,270,108,0,0,0,-29,1
96,270,108,0,0,0,-29,1
97,270,108,0,0,0,-29,1
98,270,108,0,0,0,-29,1
99,270,108,0,0,0,-29,1
100,270,108,0,0,0,-29,1
101,270,108,0,0,0,-29,1
102,270,108,0,0,0,-29,1
103,270,108,0,0,0,-29,1
104,270,108,0,0,0,-29,1
105,270,108,0,0,0,-29,1
106,270,108,0,0,0,-29,1
107,270,108,0,0,0,-29,1
108,270,108,0,0,0,-29,1
109,270,108,0,0,0,-29,1
