t,x,y,fh,fv,r,s,frame:
0,425,112,0,0,0,-28.0,1
1,425,112,0,0,0,-28.0,1
2,425,112,0,0,0,-28.0,1
3,425,112,0,0,0,-28.0,1
4,425,112,0,0,0,-28.0,1
5,425,112,0,0,0,-28.0,1
6,424,112,0,0,0,-28.0,1
7,424,112,0,0,0,-28.0,1
8,423,112,0,0,0,-28.0,1
9,421,112,0,0,0,-28.0,1
10,420,112,0,0,0,-28.0,1
11,418,112,0,0,0,-28.0,1
12,414,113,0,0,0,-28.0,1
13,412,113,0,0,0,-28.0,1
14,409,113,0,0,0,-28.0,1
15,407,113,0,0,0,-28.0,1
16,405,114,0,0,0,-28.0,1
17,403,114,0,0,0,-28.0,1
18,399,114,0,0,0,-28.0,1
19,395,114,0,0,0,-28.0,1
20,391,114,0,0,0,-28.0,1
21,386,114,0,0,0,-28.0,1
22,381,115,0,0,0,-28.0,1
23,376,115,0,0,0,-28.0,1
24,370,115,0,0,0,-28.0,1
25,364,115,0,0,0,-28.0,1
26,357,115,0,0,0,-28.0,1
27,350,115,0,0,0,-28.0,1
28,344,115,0,0,0,-28.0,1
29,335,115,0,0,0,-28.0,1
30,327,115,0,0,0,-28.0,1
31,319,115,0,0,0,-28.0,1
32,309,115,0,0,0,-28.0,1
33,299,115,0,0,0,-28.0,1
34,288,115,0,0,0,-28.0,1
35,274,115,0,0,0,-28.0,1
36,262,115,0,0,0,-28.0,1
37,250,115,0,0,0,-28.0,1
38,240,115,0,0,0,-28.0,1
39,230,115,0,0,0,-28.0,1
40,220,115,0,0,0,-28.0,1
41,99,107,0,0,-31,-29,2
42,103,107,0,0,-31,-29,2
43,105,107,0,0,-31,-29,2
44,106,107,0,0,-31,-29,2
45,107,107,0,0,-31,-29,2
46,110,107,0,0,-31,-29,2
47,114,108,0,0,-31,-29,2
48,122,109,0,0,-31,-29,2
49,130,110,0,0,-31,-29,2
50,139,110,0,0,-31,-29,2
51,148,110,0,0,-31,-29,2
52,157,110,0,0,-31,-29,2
53,164,110,0,0,-31,-29,2
54,171,110,0,0,-31,-29,2
55,178,110,0,0,-31,-29,2
56,184,110,0,0,-31,-29,2
57,189,110,0,0,-31,-29,2
58,194,110,0,0,-31,-29,2
59,198,110,0,0,-31,-29,2
60,203,110,0,0,-31,-29,2
61,208,110,0,0,-31,-29,2
62,213,110,0,0,-31,-29,2
63,219,110,0,0,-31,-29,2
64,225,110,0,0,-31,-29,2
65,230,110,0,0,-31,-29,2
66,236,110,0,0,-31,-29,2
67,242,110,0,0,-31,-29,2
68,249,110,0,0,-31,-29,2
69,255,110,0,0,-31,-29,2
70,262,110,0,0,-31,-29,2
71,273,110,0,0,-31,-29,2
72,281,110,0,0,-31,-29,2
73,290,110,0,0,-31,-29,2
74,301,110,0,0,-31,-29,2
75,310,110,0,0,-31,-29,2
76,318,110,0,0,-31,-29,2
77,322,110,0,0,-31,-29,2
78,324,110,0,0,-31,-29,2
79,325,110,0,0,-31,-29,2
80,325,110,0,0,-31,-29,2
81,326,110,0,0,-31,-29,2
82,328,110,0,0,-31,-29,2
83,332,110,0,0,-31,-29,2
84,337,110,0,0,-31,-29,2
85,340,110,0,0,-31,-29,2
86,346,110,0,0,-31,-29,2
87,351,110,0,0,-31,-29,2
88,355,110,0,0,-31,-29,2
89,359,110,0,0,-31,-29,2
90,360,110,0,0,-31,-29,2
91,362,110,0,0,-31,-29,2
92,363,110,0,0,-31,-29,2
93,364,110,0,0,-31,-29,2
94,365,110,0,0,-31,-29,2
95,366,110,0,0,-31,-29,2
96,367,110,0,0,-31,-29,2
97,367,110,0,0,-31,-29,2
98,368,110,0,0,-31,-29,2
99,370,110,0,0,-31,-29,2
100,372,110,0,0,-31,-29,2
101,373,110,0,0,-31,-29,2
102,375,110,0,0,-31,-29,2
103,375,110,0,0,-31,-29,2
104,376,110,0,0,-31,-29,2
105,376,110,0,0,-31,-29,2
106,376,110,0,0,-31,-29,2
107,376,110,0,0,-31,-29,2
108,376,110,0,0,-31,-29,2
109,376,110,0,0,-31,-29,2
110,376,110,0,0,-31,-29,2
111,376,110,0,0,-31,-29,2
112,376,110,0,0,-31,-29,2
113,376,110,0,0,-31,-29,2
114,376,110,0,0,-31,-29,2
115,376,110,0,0,-31,-29,2
116,376,110,0,0,-31,-29,2
117,376,110,0,0,-31,-29,2
118,376,110,0,0,-31,-29,2
119,376,110,0,0,-31,-29,2
120,376,110,0,0,-31,-29,2
121,376,110,0,0,-31,-29,2
122,376,110,0,0,-31,-29,2
123,376,110,0,0,-31,-29,2
124,376,110,0,0,-31,-29,2
125,376,110,0,0,-31,-29,2
126,376,110,0,0,-31,-29,2
127,376,110,0,0,-31,-29,2
128,376,110,0,0,-31,-29,2
129,376,110,0,0,-31,-29,2
130,376,110,0,0,-31,-29,2
131,376,110,0,0,-31,-29,2
132,376,110,0,0,-31,-29,2
133,376,110,0,0,-31,-29,2
134,376,110,0,0,-31,-29,2
135,376,110,0,0,-31,-29,2
136,376,110,0,0,-31,-29,2
137,376,110,0,0,-31,-29,2
138,376,110,0,0,-31,-29,2
139,376,110,0,0,-31,-29,2
140,376,110,0,0,-31,-29,2
141,376,110,0,0,-31,-29,2
142,376,110,0,0,-31,-29,2
143,376,110,0,0,-31,-29,2
144,376,110,0,0,-31,-29,2
145,376,110,0,0,-31,-29,2
146,376,110,0,0,-31,-29,2
147,376,110,0,0,-31,-29,2
148,376,110,0,0,-31,-29,2
149,376,110,0,0,-31,-29,2
150,376,110,0,0,-31,-29,2
151,376,110,0,0,-31,-29,2
152,376,110,0,0,-31,-29,2
153,376,110,0,0,-31,-29,2
154,376,110,0,0,-31,-29,2
155,376,110,0,0,-31,-29,2
156,376,110,0,0,-31,-29,2
157,376,110,0,0,-31,-29,2
158,376,110,0,0,-31,-29,2
159,376,110,0,0,-31,-29,2
160,376,110,0,0,-31,-29,2
161,376,110,0,0,-31,-29,2
162,376,110,0,0,-31,-29,2
163,376,110,0,0,-31,-29,2
164,376,110,0,0,-31,-29,2
165,376,110,0,0,-31,-29,2
166,376,110,0,0,-31,-29,2
167,376,110,0,0,-31,-29,2
168,376,110,0,0,-31,-29,2
169,376,110,0,0,-31,-29,2
170,376,110,0,0,-31,-29,2
172,376,110,0,0,-31,-29,2
173,376,110,0,0,-31,-29,2
174,376,110,0,0,-31,-29,2
175,376,110,0,0,-31,-29,2
176,376,110,0,0,-31,-29,2
177,376,110,0,0,-31,-29,2
178,376,110,0,0,-31,-29,2
179,376,110,0,0,-31,-29,2
180,376,110,0,0,-31,-29,2
181,376,110,0,0,-31,-29,2
182,376,110,0,0,-31,-29,2
183,376,110,0,0,-31,-29,2
184,376,110,0,0,-31,-29,2
185,376,110,0,0,-31,-29,2
186,376,110,0,0,-31,-29,2
187,376,110,0,0,-31,-29,2
188,376,110,0,0,-31,-29,2
189,376,110,0,0,-31,-29,2
190,376,110,0,0,-31,-29,2
191,376,110,0,0,-31,-29,2
192,376,110,0,0,-31,-29,2
193,376,110,0,0,-31,-29,2
194,376,110,0,0,-31,-29,2
195,376,110,0,0,-31,-29,2
196,376,110,0,0,-31,-29,2
197,376,110,0,0,-31,-29,2
198,376,110,0,0,-31,-29,2
199,376,110,0,0,-31,-29,2
200,376,110,0,0,-31,-29,2
201,376,110,0,0,-31,-29,2
202,376,110,0,0,-31,-29,2
203,376,110,0,0,-31,-29,2
204,376,110,0,0,-31,-29,2
205,376,110,0,0,-31,-29,2
206,376,110,0,0,-31,-29,2
207,376,110,0,0,-31,-29,2
208,376,110,0,0,-31,-29,2
209,376,110,0,0,-31,-29,2
210,376,110,0,0,-31,-29,2
211,376,110,0,0,-31,-29,2
212,376,110,0,0,-31,-29,2
213,376,110,0,0,-31,-29,2
214,376,110,0,0,-31,-29,2
215,376,110,0,0,-31,-29,2
216,376,110,0,0,-31,-29,2
217,376,110,0,0,-31,-29,2
218,376,110,0,0,-31,-29,2
219,376,110,0,0,-31,-29,2
220,376,110,0,0,-31,-29,2
221,376,110,0,0,-31,-29,2
222,376,110,0,0,-31,-29,2
223,376,110,0,0,-31,-29,2
224,376,110,0,0,-31,-29,2
