t,x,y,fh,fv,r,s,frame:
0,0,0,0,0,0,-93,0
1,0,0,0,0,0,-93,0
2,0,0,0,0,0,-93,0
3,0,0,0,0,0,-93,0
4,0,0,0,0,0,-93,0
5,0,0,0,0,0,-93,0
6,0,0,0,0,0,-93,0
7,0,0,0,0,0,-93,0
8,0,0,0,0,0,-93,0
9,0,0,0,0,0,-93,0
10,0,0,0,0,0,-93,0
11,0,0,0,0,0,-93,0
12,0,0,0,0,0,-93,0
13,0,0,0,0,0,-93,0
14,1,0,0,0,0,-93,0
15,1,0,0,0,0,-93,0
16,1,0,0,0,0,-93,0
17,1,0,0,0,0,-93,0
18,1,0,0,0,0,-93,0
19,1,0,0,0,0,-93,0
20,1,0,0,0,0,-93,0
21,1,0,0,0,0,-93,0
22,2,1,0,0,0,-93,0
23,2,1,0,0,0,-93,0
24,2,1,0,0,0,-93,0
25,2,1,0,0,0,-93,0
26,3,2,0,0,0,-93,0
27,3,2,0,0,0,-93,0
28,3,2,0,0,0,-93,0
29,4,2,0,0,0,-93,0
30,4,3,0,0,0,-93,0
31,4,3,0,0,0,-93,0
32,4,3,0,0,0,-93,0
33,4,3,0,0,0,-93,0
34,4,3,0,0,0,-93,0
35,4,3,0,0,0,-93,0
36,4,3,0,0,0,-93,0
37,4,3,0,0,0,-93,0
38,4,3,0,0,0,-93,0
39,4,3,0,0,0,-93,0
40,4,3,0,0,0,-93,0
41,4,3,0,0,0,-93,0
42,4,3,0,0,0,-93,0
43,4,3,0,0,0,-93,0
44,4,3,0,0,0,-93,0
45,4,3,0,0,0,-93,0
46,4,3,0,0,0,-93,0
47,4,3,0,0,0,-93,0
48,4,3,0,0,0,-93,0
49,4,3,0,0,0,-93,0
50,4,3,0,0,0,-93,0
51,4,3,0,0,0,-93,0
52,3,4,0,0,0,-93,0
53,3,4,0,0,0,-93,0
54,3,4,0,0,0,-93,0
55,3,4,0,0,0,-93,0
56,2,4,0,0,0,-93,0
57,2,4,0,0,0,-93,0
58,2,4,0,0,0,-93,0
59,2,4,0,0,0,-93,0
