t,x,y,fh,fv,r,s,frame:
0,-329,107,0,0,0,-27,0
1,-329,107,0,0,0,-27,0
2,-328,107,0,0,0,-27,0
3,-328,107,0,0,0,-27,0
4,-328,107,0,0,0,-27,0
5,-328,107,0,0,0,-27,0
6,-328,107,0,0,0,-27,0
7,-328,107,0,0,0,-27,0
8,-328,107,0,0,0,-27,0
9,-328,107,0,0,0,-27,0
10,-328,107,0,0,0,-27,0
11,-328,107,0,0,0,-27,0
12,-327,107,0,0,0,-27,0
13,-327,107,0,0,0,-27,0
14,-327,107,0,0,0,-27,0
15,-327,107,0,0,0,-27,0
16,-327,108,0,0,0,-27,0
17,-326,108,0,0,0,-27,0
18,-326,108,0,0,0,-27,0
19,-326,108,0,0,0,-27,0
20,-325,108,0,0,0,-27,0
21,-325,108,0,0,0,-27,0
22,-321,108,0,0,0,-27,0
23,-320,108,0,0,0,-27,0
24,-319,108,0,0,0,-27,0
25,-317,109,0,0,0,-27,0
26,-315,109,0,0,0,-27,0
27,-314,109,0,0,0,-27,0
28,-312,110,0,0,0,-27,0
29,-310,110,0,0,0,-27,0
30,-308,111,0,0,0,-27,0
31,-306,111,0,0,0,-27,0
32,-305,111,0,0,0,-27,0
33,-305,111,0,0,0,-27,0
34,-304,111,0,0,0,-27,0
35,-301,112,0,0,0,-27,0
36,-300,113,0,0,0,-27,0
37,-298,113,0,0,0,-27,0
38,-298,113,0,0,0,-27,0
39,-296,113,0,0,0,-27,0
40,-294,113,0,0,0,-27,0
41,-291,113,0,0,0,-27,0
42,-290,113,0,0,0,-27,0
43,-289,114,0,0,0,-27,0
44,-287,114,0,0,0,-27,0
45,-284,114,0,0,0,-27,0
46,-282,114,0,0,0,-27,0
47,-279,114,0,0,0,-27,0
48,-277,114,0,0,0,-27,0
49,-276,115,0,0,0,-27,0
50,-276,115,0,0,0,-27,0
51,-276,115,0,0,0,-27,0
52,-276,115,0,0,0,-27,0
53,-276,115,0,0,0,-27,0
54,-276,115,0,0,0,-27,0
55,-265,99,1,0,31,-27,1
56,-266,99,1,0,31,-27,1
57,-266,99,1,0,31,-27,1
58,-266,99,1,0,31,-27,1
59,-266,99,1,0,31,-27,1
60,-268,99,1,0,31,-27,1
61,-274,99,1,0,31,-27,1
62,-281,99,1,0,31,-27,1
63,-289,99,1,0,31,-27,1
64,-298,99,1,0,31,-27,1
65,-308,99,1,0,31,-27,1
66,-316,99,1,0,31,-27,1
67,-322,99,1,0,31,-27,1
68,-327,99,1,0,31,-27,1
69,-330,99,1,0,31,-27,1
70,-334,99,1,0,31,-27,1
71,-338,99,1,0,31,-27,1
72,-347,99,1,0,31,-27,1
73,-353,99,1,0,31,-27,1
74,-360,99,1,0,31,-27,1
75,-366,99,1,0,31,-27,1
76,-370,99,1,0,31,-27,1
77,-373,98,1,0,31,-27,1
78,-375,98,1,0,31,-27,1
79,-378,98,1,0,31,-27,1
80,-380,98,1,0,31,-27,1
81,-384,98,1,0,31,-27,1
82,-388,98,1,0,31,-27,1
83,-391,97,1,0,31,-27,1
84,-394,97,1,0,31,-27,1
85,-397,97,1,0,31,-27,1
86,-400,97,1,0,31,-27,1
87,-402,97,1,0,31,-27,1
88,-406,97,1,0,31,-27,1
89,-410,97,1,0,31,-27,1
90,-417,97,1,0,31,-27,1
91,-419,97,1,0,31,-27,1
92,-424,97,1,0,31,-27,1
93,-429,97,1,0,31,-27,1
94,-434,97,1,0,31,-27,1
95,-438,97,1,0,31,-27,1
96,-442,97,1,0,31,-27,1
97,-444,97,1,0,31,-27,1
98,-447,97,1,0,31,-27,1
99,-449,98,1,0,31,-27,1
100,-452,98,1,0,31,-27,1
101,-454,98,1,0,31,-27,1
102,-456,98,1,0,31,-27,1
103,-456,98,1,0,31,-27,1
104,-456,98,1,0,31,-27,1
105,-456,98,1,0,31,-27,1
106,-457,98,1,0,31,-27,1
107,-459,98,1,0,31,-27,1
108,-463,98,1,0,31,-27,1
109,-469,98,1,0,31,-27,1
110,-473,98,1,0,31,-27,1
111,-475,98,1,0,31,-27,1
112,-475,98,1,0,31,-27,1
113,-475,98,1,0,31,-27,1
114,-475,98,1,0,31,-27,1
115,-475,98,1,0,31,-27,1
116,-476,98,1,0,31,-27,1
117,-476,98,1,0,31,-27,1
118,-478,98,1,0,31,-27,1
119,-480,98,1,0,31,-27,1
120,-481,98,1,0,31,-27,1
121,-482,98,1,0,31,-27,1
122,-482,98,1,0,31,-27,1
123,-482,98,1,0,31,-27,1
124,-482,98,1,0,31,-27,1
125,-482,98,1,0,31,-27,1
126,-482,98,1,0,31,-27,1
127,-482,98,1,0,31,-27,1
128,-483,98,1,0,31,-27,1
129,-483,98,1,0,31,-27,1
130,-483,98,1,0,31,-27,1
131,-483,98,1,0,31,-27,1
132,-483,98,1,0,31,-27,1
133,-483,98,1,0,31,-27,1
134,-483,98,1,0,31,-27,1
135,-483,98,1,0,31,-27,1
136,-483,98,1,0,31,-27,1
137,-483,98,1,0,31,-27,1
138,-483,98,1,0,31,-27,1
139,-483,98,1,0,31,-27,1
140,-483,98,1,0,31,-27,1
141,-483,98,1,0,31,-27,1
142,-483,98,1,0,31,-27,1
143,-483,98,1,0,31,-27,1
144,-483,98,1,0,31,-27,1
145,-483,98,1,0,31,-27,1
146,-483,98,1,0,31,-27,1
147,-483,98,1,0,31,-27,1
148,-483,98,1,0,31,-27,1
149,-483,98,1,0,31,-27,1
150,-483,98,1,0,31,-27,1
151,-483,98,1,0,31,-27,1
152,-483,98,1,0,31,-27,1
153,-483,98,1,0,31,-27,1
154,-483,98,1,0,31,-27,1
155,-483,98,1,0,31,-27,1
156,-483,98,1,0,31,-27,1
157,-483,98,1,0,31,-27,1
158,-483,98,1,0,31,-27,1
159,-483,98,1,0,31,-27,1
160,-483,98,1,0,31,-27,1
161,-483,98,1,0,31,-27,1
162,-483,98,1,0,31,-27,1
163,-483,98,1,0,31,-27,1
164,-483,98,1,0,31,-27,1
165,-483,98,1,0,31,-27,1
166,-483,98,1,0,31,-27,1
167,-483,98,1,0,31,-27,1
168,-483,98,1,0,31,-27,1
169,-483,98,1,0,31,-27,1
170,-483,98,1,0,31,-27,1
171,-483,98,1,0,31,-27,1
172,-483,98,1,0,31,-27,1
173,-483,98,1,0,31,-27,1
174,-483,98,1,0,31,-27,1
175,-483,98,1,0,31,-27,1
176,-483,98,1,0,31,-27,1
177,-483,98,1,0,31,-27,1
178,-483,98,1,0,31,-27,1
179,-483,98,1,0,31,-27,1
180,-483,98,1,0,31,-27,1
181,-483,98,1,0,31,-27,1
182,-483,98,1,0,31,-27,1
183,-483,98,1,0,31,-27,1
184,-483,98,1,0,31,-27,1
185,-483,98,1,0,31,-27,1
186,-483,98,1,0,31,-27,1
187,-483,98,1,0,31,-27,1
188,-483,98,1,0,31,-27,1
189,-483,98,1,0,31,-27,1
190,-483,98,1,0,31,-27,1
191,-483,98,1,0,31,-27,1
192,-483,98,1,0,31,-27,1
193,-483,98,1,0,31,-27,1
194,-483,98,1,0,31,-27,1
195,-483,98,1,0,31,-27,1
196,-483,98,1,0,31,-27,1
197,-483,98,1,0,31,-27,1
198,-483,98,1,0,31,-27,1
199,-483,98,1,0,31,-27,1
200,-483,98,1,0,31,-27,1
201,-483,98,1,0,31,-27,1
202,-483,98,1,0,31,-27,1
203,-483,98,1,0,31,-27,1
204,-483,98,1,0,31,-27,1
205,-483,98,1,0,31,-27,1
206,-483,98,1,0,31,-27,1
207,-483,98,1,0,31,-27,1
208,-483,98,1,0,31,-27,1
209,-483,98,1,0,31,-27,1
210,-483,98,1,0,31,-27,1
211,-483,98,1,0,31,-27,1
212,-483,98,1,0,31,-27,1
213,-483,98,1,0,31,-27,1
214,-483,98,1,0,31,-27,1
215,-483,98,1,0,31,-27,1
216,-483,98,1,0,31,-27,1
217,-483,98,1,0,31,-27,1
218,-483,98,1,0,31,-27,1
219,-483,98,1,0,31,-27,1
220,-483,98,1,0,31,-27,1
221,-483,98,1,0,31,-27,1
222,-483,98,1,0,31,-27,1
223,-483,98,1,0,31,-27,1
