t,x,y,fh,fv,r,s,frame:
0,303,5,1,0,0,-66,0
1,303,5,1,0,0,-66,0
2,303,5,1,0,0,-66,0
3,303,5,1,0,0,-66,0
4,303,5,1,0,0,-66,0
5,303,5,1,0,0,-66,0
6,303,5,1,0,0,-66,0
7,303,5,1,0,0,-66,0
8,303,5,1,0,0,-66,0
9,303,5,1,0,0,-66,0
10,303,5,1,0,0,-66,0
11,303,5,1,0,0,-66,0
12,303,5,1,0,0,-66,0
13,303,5,1,0,0,-66,0
14,303,5,1,0,0,-66,0
15,303,5,1,0,0,-66,0
16,303,5,1,0,0,-66,0
17,303,5,1,0,0,-66,0
18,303,5,1,0,0,-66,0
19,303,5,1,0,0,-66,0
20,303,5,1,0,0,-66,0
21,303,5,1,0,0,-66,0
22,303,5,1,0,0,-66,0
23,303,5,1,0,0,-66,0
24,303,5,1,0,0,-66,0
25,303,5,1,0,0,-66,0
26,303,5,1,0,0,-66,0
27,303,5,1,0,0,-66,0
28,303,5,1,0,0,-66,0
29,303,5,1,0,0,-66,0
30,303,5,1,0,0,-66,0
31,303,5,1,0,0,-66,0
32,303,5,1,0,0,-66,0
33,303,5,1,0,0,-66,0
34,303,5,1,0,0,-66,0
35,303,5,1,0,0,-66,0
36,303,5,1,0,0,-66,0
37,303,5,1,0,0,-66,0
38,303,5,1,0,0,-66,0
39,303,5,1,0,0,-66,0
40,303,5,1,0,0,-66,0
41,303,5,1,0,0,-66,0
42,303,5,1,0,0,-66,0
43,303,5,1,0,0,-66,0
44,303,5,1,0,0,-66,0
45,303,5,1,0,0,-66,0
46,303,5,1,0,0,-66,0
47,303,5,1,0,0,-66,0
48,303,5,1,0,0,-66,0
49,303,5,1,0,0,-66,0
50,303,5,1,0,0,-66,0
51,303,5,1,0,0,-66,0
52,303,5,1,0,0,-66,0
53,303,5,1,0,0,-66,0
54,303,5,1,0,0,-66,0
55,303,5,1,0,0,-66,0
56,303,5,1,0,0,-66,0
57,303,5,1,0,0,-66,0
58,303,5,1,0,0,-66,0
59,303,5,1,0,0,-66,0
60,303,5,1,0,0,-66,0
61,303,5,1,0,0,-66,0
62,303,5,1,0,0,-66,0
63,303,5,1,0,0,-66,0
