t,x,y,fh,fv,r,s,frame:
0,476,-19,1,0,0,-63,0
1,476,-19,1,0,0,-63,0
2,476,-19,1,0,0,-63,0
3,476,-19,1,0,0,-63,0
4,476,-19,1,0,0,-63,0
5,476,-19,1,0,0,-63,0
6,476,-19,1,0,0,-63,0
7,476,-19,1,0,0,-63,0
8,476,-19,1,0,0,-63,0
9,476,-19,1,0,0,-63,0
10,476,-19,1,0,0,-63,0
11,476,-19,1,0,0,-63,0
12,476,-19,1,0,0,-63,0
13,476,-19,1,0,0,-63,0
14,476,-19,1,0,0,-63,0
15,476,-19,1,0,0,-63,0
16,476,-19,1,0,0,-63,0
17,476,-19,1,0,0,-63,0
18,476,-19,1,0,0,-63,0
19,476,-19,1,0,0,-63,0
20,476,-19,1,0,0,-63,0
21,476,-19,1,0,0,-63,0
22,476,-19,1,0,0,-63,0
23,476,-19,1,0,0,-63,0
24,476,-19,1,0,0,-63,0
25,476,-19,1,0,0,-63,0
26,476,-19,1,0,0,-63,0
27,476,-19,1,0,0,-63,0
28,476,-19,1,0,0,-63,0
29,476,-19,1,0,0,-63,0
30,476,-19,1,0,0,-63,0
31,476,-19,1,0,0,-63,0
32,476,-19,1,0,0,-63,0
33,476,-19,1,0,0,-63,0
34,476,-19,1,0,0,-63,0
35,476,-19,1,0,0,-63,0
36,476,-19,1,0,0,-63,0
37,476,-19,1,0,0,-63,0
38,476,-19,1,0,0,-63,0
39,476,-19,1,0,0,-63,0
40,476,-19,1,0,0,-63,0
41,476,-19,1,0,0,-63,0
42,476,-19,1,0,0,-63,0
43,476,-19,1,0,0,-63,0
44,476,-19,1,0,0,-63,0
45,476,-19,1,0,0,-63,0
46,476,-19,1,0,0,-63,0
47,476,-19,1,0,0,-63,0
48,476,-19,1,0,0,-63,0
49,476,-19,1,0,0,-63,0
50,476,-19,1,0,0,-63,0
51,476,-19,1,0,0,-63,0
52,476,-19,1,0,0,-63,0
53,476,-19,1,0,0,-63,0
54,476,-19,1,0,0,-63,0
55,476,-19,1,0,0,-63,0
56,476,-19,1,0,0,-63,0
57,476,-19,1,0,0,-63,0
58,476,-19,1,0,0,-63,0
59,476,-19,1,0,0,-63,0
60,476,-19,1,0,0,-63,0
61,476,-19,1,0,0,-63,0
62,476,-19,1,0,0,-63,0
63,476,-19,1,0,0,-63,0
64,476,-19,1,0,0,-63,0
65,476,-19,1,0,0,-63,0
66,476,-19,1,0,0,-63,0
67,476,-19,1,0,0,-63,0
68,476,-19,1,0,0,-63,0
69,476,-19,1,0,0,-63,0
70,476,-19,1,0,0,-63,0
71,476,-19,1,0,0,-63,0
72,476,-19,1,0,0,-63,0
73,476,-19,1,0,0,-63,0
74,476,-19,1,0,0,-63,0
75,476,-19,1,0,0,-63,0
76,476,-19,1,0,0,-63,0
77,476,-19,1,0,0,-63,0
78,476,-19,1,0,0,-63,0
79,476,-19,1,0,0,-63,0
80,476,-19,1,0,0,-63,0
81,476,-19,1,0,0,-63,0
82,476,-19,1,0,0,-63,0
83,476,-19,1,0,0,-63,0
84,476,-19,1,0,0,-63,0
85,476,-19,1,0,0,-63,0
86,476,-19,1,0,0,-63,0
87,476,-19,1,0,0,-63,0
88,476,-19,1,0,0,-63,0
89,476,-19,1,0,0,-63,0
90,476,-19,1,0,0,-63,0
91,476,-19,1,0,0,-63,0
92,476,-19,1,0,0,-63,0
93,476,-19,1,0,0,-63,0
94,476,-19,1,0,0,-63,0
95,476,-19,1,0,0,-63,0
96,476,-19,1,0,0,-63,0
97,476,-19,1,0,0,-63,0
98,476,-19,1,0,0,-63,0
99,476,-19,1,0,0,-63,0
100,476,-19,1,0,0,-63,0
101,476,-19,1,0,0,-63,0
102,476,-19,1,0,0,-63,0
103,476,-19,1,0,0,-63,0
104,476,-19,1,0,0,-63,0
105,476,-19,1,0,0,-63,0
106,476,-19,1,0,0,-63,0
107,476,-19,1,0,0,-63,0
108,476,-19,1,0,0,-63,0
109,476,-19,1,0,0,-63,0
110,476,-19,1,0,0,-63,0
111,476,-19,1,0,0,-63,0
112,476,-19,1,0,0,-63,0
113,476,-19,1,0,0,-63,0
114,476,-19,1,0,0,-63,0
115,476,-19,1,0,0,-63,0
116,476,-19,1,0,0,-63,0
117,476,-19,1,0,0,-63,0
118,476,-19,1,0,0,-63,0
119,476,-19,1,0,0,-63,0
120,476,-19,1,0,0,-63,0
121,476,-19,1,0,0,-63,0
122,476,-19,1,0,0,-63,0
123,476,-19,1,0,0,-63,0
124,476,-19,1,0,0,-63,0
125,476,-19,1,0,0,-63,0
126,476,-19,1,0,0,-63,0
127,476,-19,1,0,0,-63,0
128,476,-19,1,0,0,-63,0
129,476,-19,1,0,0,-63,0
130,476,-19,1,0,0,-63,0
131,476,-19,1,0,0,-63,0
132,476,-19,1,0,0,-63,0
133,476,-19,1,0,0,-63,0
134,476,-19,1,0,0,-63,0
135,476,-19,1,0,0,-63,0
136,476,-19,1,0,0,-63,0
137,476,-19,1,0,0,-63,0
138,476,-19,1,0,0,-63,0
139,476,-19,1,0,0,-63,0
140,476,-19,1,0,0,-63,0
141,476,-19,1,0,0,-63,0
142,476,-19,1,0,0,-63,0
143,476,-19,1,0,0,-63,0
144,476,-19,1,0,0,-63,0
145,476,-19,1,0,0,-63,0
146,476,-19,1,0,0,-63,0
147,476,-19,1,0,0,-63,0
148,476,-19,1,0,0,-63,0
149,476,-19,1,0,0,-63,0
150,476,-19,1,0,0,-63,0
151,476,-19,1,0,0,-63,0
152,476,-19,1,0,0,-63,0
153,476,-19,1,0,0,-63,0
154,476,-19,1,0,0,-63,0
155,476,-19,1,0,0,-63,0
156,476,-19,1,0,0,-63,0
157,476,-19,1,0,0,-63,0
158,476,-19,1,0,0,-63,0
159,476,-19,1,0,0,-63,0
160,476,-19,1,0,0,-63,0
161,476,-19,1,0,0,-63,0
162,476,-19,1,0,0,-63,0
163,476,-19,1,0,0,-63,0
164,476,-19,1,0,0,-63,0
165,476,-19,1,0,0,-63,0
166,476,-19,1,0,0,-63,0
167,476,-19,1,0,0,-63,0
168,476,-19,1,0,0,-63,0
169,476,-19,1,0,0,-63,0
170,476,-19,1,0,0,-63,0
171,476,-19,1,0,0,-63,0
172,476,-19,1,0,0,-63,0
173,476,-19,1,0,0,-63,0
174,476,-19,1,0,0,-63,0
175,476,-19,1,0,0,-63,0
176,476,-19,1,0,0,-63,0
177,476,-19,1,0,0,-63,0
178,476,-19,1,0,0,-63,0
179,476,-19,1,0,0,-63,0
180,476,-19,1,0,0,-63,0
181,476,-19,1,0,0,-63,0
182,476,-19,1,0,0,-63,0
183,476,-19,1,0,0,-63,0
184,476,-19,1,0,0,-63,0
185,476,-19,1,0,0,-63,0
186,476,-19,1,0,0,-63,0
187,476,-19,1,0,0,-63,0
188,476,-19,1,0,0,-63,0
189,476,-19,1,0,0,-63,0
190,476,-19,1,0,0,-63,0
191,476,-19,1,0,0,-63,0
192,476,-19,1,0,0,-63,0
193,476,-19,1,0,0,-63,0
194,476,-19,1,0,0,-63,0
195,476,-19,1,0,0,-63,0
196,476,-19,1,0,0,-63,0
197,476,-19,1,0,0,-63,0
198,476,-19,1,0,0,-63,0
199,476,-19,1,0,0,-63,0
200,476,-19,1,0,0,-63,0
201,476,-19,1,0,0,-63,0
202,476,-19,1,0,0,-63,0
203,476,-19,1,0,0,-63,0
204,476,-19,1,0,0,-63,0
205,476,-19,1,0,0,-63,0
206,476,-19,1,0,0,-63,0
207,476,-19,1,0,0,-63,0
208,476,-19,1,0,0,-63,0
209,476,-19,1,0,0,-63,0
210,476,-19,1,0,0,-63,0
211,476,-19,1,0,0,-63,0
212,476,-19,1,0,0,-63,0
213,476,-19,1,0,0,-63,0
214,476,-19,1,0,0,-63,0
215,476,-19,1,0,0,-63,0
216,476,-19,1,0,0,-63,0
217,476,-19,1,0,0,-63,0
218,476,-19,1,0,0,-63,0
219,476,-19,1,0,0,-63,0
220,476,-19,1,0,0,-63,0
221,476,-19,1,0,0,-63,0
222,476,-19,1,0,0,-63,0
223,476,-19,1,0,0,-63,0
224,476,-19,1,0,0,-63,0
225,476,-19,1,0,0,-63,0
226,476,-19,1,0,0,-63,0
227,476,-19,1,0,0,-63,0
228,476,-19,1,0,0,-63,0
229,476,-19,1,0,0,-63,0
230,476,-19,1,0,0,-63,0
231,476,-19,1,0,0,-63,0
232,476,-19,1,0,0,-63,0
233,476,-19,1,0,0,-63,0
234,476,-19,1,0,0,-63,0
235,476,-19,1,0,0,-63,0
236,476,-19,1,0,0,-63,0
237,476,-19,1,0,0,-63,0
238,476,-19,1,0,0,-63,0
239,476,-19,1,0,0,-63,0
240,476,-19,1,0,0,-63,0
241,476,-19,1,0,0,-63,0
242,476,-19,1,0,0,-63,0
243,476,-19,1,0,0,-63,0
244,476,-19,1,0,0,-63,0
245,476,-19,1,0,0,-63,0
246,476,-19,1,0,0,-63,0
247,476,-19,1,0,0,-63,0
248,476,-19,1,0,0,-63,0
249,476,-19,1,0,0,-63,0
250,476,-19,1,0,0,-63,0
251,476,-19,1,0,0,-63,0
252,476,-19,1,0,0,-63,0
253,476,-19,1,0,0,-63,0
254,476,-19,1,0,0,-63,0
255,476,-19,1,0,0,-63,0
256,476,-19,1,0,0,-63,0
257,476,-19,1,0,0,-63,0
258,476,-19,1,0,0,-63,0
259,476,-19,1,0,0,-63,0
260,476,-19,1,0,0,-63,0
261,476,-19,1,0,0,-63,0
262,476,-19,1,0,0,-63,0
263,476,-19,1,0,0,-63,0
264,476,-19,1,0,0,-63,0
265,476,-19,1,0,0,-63,0
266,476,-19,1,0,0,-63,0
267,476,-19,1,0,0,-63,0
268,476,-19,1,0,0,-63,0
269,476,-19,1,0,0,-63,0
270,476,-19,1,0,0,-63,0
271,476,-19,1,0,0,-63,0
272,476,-19,1,0,0,-63,0
273,476,-19,1,0,0,-63,0
274,476,-19,1,0,0,-63,0
275,476,-19,1,0,0,-63,0
276,476,-19,1,0,0,-63,0
277,476,-19,1,0,0,-63,0
278,476,-19,1,0,0,-63,0
279,476,-19,1,0,0,-63,0
280,476,-19,1,0,0,-63,0
281,476,-19,1,0,0,-63,0
282,476,-19,1,0,0,-63,0
283,476,-19,1,0,0,-63,0
284,476,-19,1,0,0,-63,0
285,476,-19,1,0,0,-63,0
286,476,-19,1,0,0,-63,0
287,476,-19,1,0,0,-63,0
288,476,-19,1,0,0,-63,0
289,476,-19,1,0,0,-63,0
290,476,-19,1,0,0,-63,0
291,476,-19,1,0,0,-63,0
292,476,-19,1,0,0,-63,0
293,476,-19,1,0,0,-63,0
294,476,-19,1,0,0,-63,0
295,476,-19,1,0,0,-63,0
296,476,-19,1,0,0,-63,0
297,476,-19,1,0,0,-63,0
298,476,-19,1,0,0,-63,0
299,476,-19,1,0,0,-63,0
300,476,-19,1,0,0,-63,0
301,476,-18,1,0,0,-63,0
302,476,-17,1,0,0,-63,0
303,476,-17,1,0,0,-63,0
304,476,-17,1,0,0,-63,0
305,476,-17,1,0,0,-63,0
306,476,-17,1,0,0,-63,0
307,476,-17,1,0,0,-63,0
308,476,-17,1,0,0,-63,0
309,476,-17,1,0,0,-63,0
310,476,-17,1,0,0,-63,0
311,476,-17,1,0,0,-63,0
312,476,-17,1,0,0,-63,0
