t,x,y,fh,fv,r,s,frame:
0,-371,-220,1,0,0,-101,0
1,-371,-220,1,0,0,-101,0
2,-371,-220,1,0,0,-101,0
3,-371,-220,1,0,0,-101,0
4,-371,-220,1,0,0,-101,0
5,-371,-220,1,0,0,-101,0
6,-371,-220,1,0,0,-101,0
7,-371,-220,1,0,0,-101,0
8,-371,-220,1,0,0,-101,0
9,-371,-220,1,0,0,-101,0
10,-371,-220,1,0,0,-101,0
11,-371,-220,1,0,0,-101,0
12,-371,-220,1,0,0,-101,0
13,-371,-220,1,0,0,-101,0
14,-371,-220,1,0,0,-101,0
15,-371,-220,1,0,0,-101,0
16,-371,-220,1,0,0,-101,0
17,-371,-220,1,0,0,-101,0
18,-371,-220,1,0,0,-101,0
19,-371,-220,1,0,0,-101,0
20,-371,-220,1,0,0,-101,0
21,-371,-220,1,0,0,-101,0
22,-371,-220,1,0,0,-101,0
23,-371,-220,1,0,0,-101,0
24,-371,-220,1,0,0,-101,0
25,-371,-220,1,0,0,-101,0
26,-371,-220,1,0,0,-101,0
27,-371,-220,1,0,0,-101,0
28,-371,-220,1,0,0,-101,0
29,-371,-220,1,0,0,-101,0
30,-371,-220,1,0,0,-101,0
31,-371,-220,1,0,0,-101,0
32,-371,-220,1,0,0,-101,0
33,-371,-220,1,0,0,-101,0
34,-371,-220,1,0,0,-101,0
35,-371,-220,1,0,0,-101,0
36,-371,-220,1,0,0,-101,0
37,-371,-220,1,0,0,-101,0
38,-371,-220,1,0,0,-101,0
39,-371,-220,1,0,0,-101,0
40,-371,-220,1,0,0,-101,0
41,-371,-220,1,0,0,-101,0
42,-371,-220,1,0,0,-101,0
43,-371,-220,1,0,0,-101,0
44,-371,-220,1,0,0,-101,0
45,-371,-220,1,0,0,-101,0
46,-371,-220,1,0,0,-101,0
47,-371,-220,1,0,0,-101,0
48,-371,-220,1,0,0,-101,0
49,-371,-220,1,0,0,-101,0
50,-371,-220,1,0,0,-101,0
51,-371,-220,1,0,0,-101,0
52,-371,-220,1,0,0,-101,0
53,-371,-220,1,0,0,-101,0
54,-371,-220,1,0,0,-101,0
55,-371,-220,1,0,0,-101,0
56,-371,-220,1,0,0,-101,0
57,-371,-220,1,0,0,-101,0
58,-371,-220,1,0,0,-101,0
59,-371,-220,1,0,0,-101,0
60,-371,-220,1,0,0,-101,0
61,-371,-220,1,0,0,-101,0
62,-371,-220,1,0,0,-101,0
63,-371,-220,1,0,0,-101,0
64,-371,-220,1,0,0,-101,0
65,-371,-220,1,0,0,-101,0
66,-371,-220,1,0,0,-101,0
67,-371,-220,1,0,0,-101,0
68,-371,-220,1,0,0,-101,0
69,-371,-220,1,0,0,-101,0
70,-371,-220,1,0,0,-101,0
71,-371,-220,1,0,0,-101,0
72,-371,-220,1,0,0,-101,0
73,-371,-220,1,0,0,-101,0
74,-371,-220,1,0,0,-101,0
75,-371,-220,1,0,0,-101,0
76,-371,-220,1,0,0,-101,0
77,-371,-220,1,0,0,-101,0
78,-371,-220,1,0,0,-101,0
79,-371,-220,1,0,0,-101,0
80,-371,-220,1,0,0,-101,0
81,-371,-220,1,0,0,-101,0
82,-371,-220,1,0,0,-101,0
83,-371,-220,1,0,0,-101,0
84,-371,-220,1,0,0,-101,0
85,-371,-220,1,0,0,-101,0
86,-371,-220,1,0,0,-101,0
87,-371,-220,1,0,0,-101,0
88,-371,-220,1,0,0,-101,0
89,-371,-220,1,0,0,-101,0
90,-371,-220,1,0,0,-101,0
91,-371,-220,1,0,0,-101,0
92,-371,-220,1,0,0,-101,0
93,-371,-220,1,0,0,-101,0
94,-371,-220,1,0,0,-101,0
95,-371,-220,1,0,0,-101,0
96,-371,-220,1,0,0,-101,0
97,-371,-220,1,0,0,-101,0
98,-371,-220,1,0,0,-101,0
99,-371,-220,1,0,0,-101,0
100,-371,-220,1,0,0,-101,0
101,-371,-220,1,0,0,-101,0
102,-371,-220,1,0,0,-101,0
103,-371,-220,1,0,0,-101,0
104,-371,-220,1,0,0,-101,0
105,-371,-220,1,0,0,-101,0
106,-371,-220,1,0,0,-101,0
107,-371,-220,1,0,0,-101,0
108,-371,-220,1,0,0,-101,0
109,-371,-220,1,0,0,-101,0
110,-371,-220,1,0,0,-101,0
111,-371,-220,1,0,0,-101,0
112,-371,-220,1,0,0,-101,0
113,-371,-220,1,0,0,-101,0
114,-371,-220,1,0,0,-101,0
115,-371,-220,1,0,0,-101,0
116,-371,-220,1,0,0,-101,0
117,-371,-220,1,0,0,-101,0
118,-371,-220,1,0,0,-101,0
119,-371,-220,1,0,0,-101,0
120,-371,-220,1,0,0,-101,0
121,-371,-220,1,0,0,-101,0
122,-371,-220,1,0,0,-101,0
123,-371,-220,1,0,0,-101,0
124,-371,-220,1,0,0,-101,0
125,-371,-220,1,0,0,-101,0
126,-371,-220,1,0,0,-101,0
127,-371,-220,1,0,0,-101,0
128,-371,-220,1,0,0,-101,0
129,-371,-220,1,0,0,-101,0
130,-371,-220,1,0,0,-101,0
131,-371,-220,1,0,0,-101,0
132,-371,-220,1,0,0,-101,0
133,-371,-220,1,0,0,-101,0
134,-371,-220,1,0,0,-101,0
135,-371,-220,1,0,0,-101,0
136,-371,-220,1,0,0,-101,0
137,-371,-220,1,0,0,-101,0
138,-371,-220,1,0,0,-101,0
139,-371,-220,1,0,0,-101,0
140,-371,-220,1,0,0,-101,0
141,-371,-220,1,0,0,-101,0
142,-371,-220,1,0,0,-101,0
143,-371,-220,1,0,0,-101,0
144,-371,-220,1,0,0,-101,0
145,-371,-220,1,0,0,-101,0
146,-371,-220,1,0,0,-101,0
147,-371,-220,1,0,0,-101,0
148,-371,-220,1,0,0,-101,0
149,-371,-220,1,0,0,-101,0
150,-371,-220,1,0,0,-101,0
151,-371,-220,1,0,0,-101,0
152,-371,-220,1,0,0,-101,0
153,-371,-220,1,0,0,-101,0
154,-371,-220,1,0,0,-101,0
155,-371,-220,1,0,0,-101,0
156,-371,-220,1,0,0,-101,0
157,-371,-220,1,0,0,-101,0
158,-371,-220,1,0,0,-101,0
159,-371,-220,1,0,0,-101,0
160,-371,-220,1,0,0,-101,0
161,-371,-220,1,0,0,-101,0
162,-371,-220,1,0,0,-101,0
163,-371,-220,1,0,0,-101,0
164,-371,-220,1,0,0,-101,0
165,-371,-220,1,0,0,-101,0
166,-371,-220,1,0,0,-101,0
167,-371,-220,1,0,0,-101,0
168,-371,-220,1,0,0,-101,0
169,-371,-220,1,0,0,-101,0
170,-371,-220,1,0,0,-101,0
171,-371,-220,1,0,0,-101,0
172,-371,-220,1,0,0,-101,0
173,-371,-220,1,0,0,-101,0
174,-371,-220,1,0,0,-101,0
175,-371,-220,1,0,0,-101,0
176,-371,-220,1,0,0,-101,0
177,-371,-220,1,0,0,-101,0
178,-371,-220,1,0,0,-101,0
179,-371,-220,1,0,0,-101,0
180,-371,-220,1,0,0,-101,0
181,-371,-220,1,0,0,-101,0
182,-371,-220,1,0,0,-101,0
183,-371,-220,1,0,0,-101,0
184,-371,-220,1,0,0,-101,0
185,-371,-220,1,0,0,-101,0
186,-371,-220,1,0,0,-101,0
187,-371,-220,1,0,0,-101,0
188,-371,-220,1,0,0,-101,0
189,-371,-220,1,0,0,-101,0
190,-371,-220,1,0,0,-101,0
191,-371,-220,1,0,0,-101,0
192,-371,-220,1,0,0,-101,0
193,-371,-220,1,0,0,-101,0
194,-371,-220,1,0,0,-101,0
195,-371,-220,1,0,0,-101,0
196,-371,-220,1,0,0,-101,0
197,-371,-220,1,0,0,-101,0
198,-371,-220,1,0,0,-101,0
199,-371,-220,1,0,0,-101,0
200,-371,-220,1,0,0,-101,0
201,-371,-220,1,0,0,-101,0
202,-371,-220,1,0,0,-101,0
203,-371,-220,1,0,0,-101,0
204,-371,-220,1,0,0,-101,0
205,-371,-220,1,0,0,-101,0
206,-371,-220,1,0,0,-101,0
207,-371,-220,1,0,0,-101,0
208,-371,-220,1,0,0,-101,0
209,-371,-220,1,0,0,-101,0
210,-371,-220,1,0,0,-101,0
211,-371,-220,1,0,0,-101,0
212,-371,-220,1,0,0,-101,0
213,-371,-220,1,0,0,-101,0
214,-371,-220,1,0,0,-101,0
215,-371,-220,1,0,0,-101,0
216,-371,-220,1,0,0,-101,0
217,-371,-220,1,0,0,-101,0
218,-371,-220,1,0,0,-101,0
219,-371,-220,1,0,0,-101,0
220,-371,-220,1,0,0,-101,0
221,-371,-220,1,0,0,-101,0
222,-371,-220,1,0,0,-101,0
223,-371,-220,1,0,0,-101,0
224,-371,-220,1,0,0,-101,0
225,-371,-220,1,0,0,-101,0
226,-371,-220,1,0,0,-101,0
227,-371,-220,1,0,0,-101,0
228,-371,-220,1,0,0,-101,0
229,-371,-220,1,0,0,-101,0
230,-371,-220,1,0,0,-101,0
231,-371,-220,1,0,0,-101,0
232,-371,-220,1,0,0,-101,0
233,-371,-220,1,0,0,-101,0
234,-371,-220,1,0,0,-101,0
235,-371,-220,1,0,0,-101,0
236,-371,-220,1,0,0,-101,0
237,-371,-220,1,0,0,-101,0
238,-371,-220,1,0,0,-101,0
239,-371,-220,1,0,0,-101,0
240,-371,-220,1,0,0,-101,0
241,-371,-220,1,0,0,-101,0
242,-371,-220,1,0,0,-101,0
243,-371,-220,1,0,0,-101,0
244,-371,-220,1,0,0,-101,0
245,-371,-220,1,0,0,-101,0
246,-371,-220,1,0,0,-101,0
247,-371,-220,1,0,0,-101,0
248,-371,-220,1,0,0,-101,0
249,-371,-220,1,0,0,-101,0
250,-371,-220,1,0,0,-101,0
251,-371,-220,1,0,0,-101,0
252,-371,-220,1,0,0,-101,0
253,-371,-220,1,0,0,-101,0
254,-371,-220,1,0,0,-101,0
255,-371,-220,1,0,0,-101,0
256,-371,-220,1,0,0,-101,0
257,-371,-220,1,0,0,-101,0
258,-371,-220,1,0,0,-101,0
259,-371,-220,1,0,0,-101,0
260,-371,-220,1,0,0,-101,0
261,-371,-220,1,0,0,-101,0
262,-371,-220,1,0,0,-101,0
263,-371,-220,1,0,0,-101,0
264,-371,-220,1,0,0,-101,0
265,-371,-220,0,0,0,-101,0
266,-371,-220,0,0,0,-101,0
267,-371,-220,0,0,0,-101,0
268,-371,-220,0,0,0,-101,0
269,-371,-220,0,0,0,-101,0
270,-371,-220,0,0,0,-101,0
271,-371,-220,0,0,0,-101,0
272,-371,-220,0,0,0,-101,0
273,-371,-220,0,0,0,-101,0
274,-371,-220,0,0,0,-101,0
275,-371,-220,0,0,0,-101,0
276,-371,-220,0,0,0,-101,0
277,-371,-220,0,0,0,-101,0
278,-371,-220,0,0,0,-101,0
279,-371,-220,0,0,0,-101,0
280,-371,-220,0,0,0,-101,0
281,-371,-220,0,0,0,-101,0
282,-371,-220,0,0,0,-101,0
283,-371,-220,0,0,0,-101,0
284,-371,-220,0,0,0,-101,0
285,-371,-220,0,0,0,-101,0
286,-371,-220,0,0,0,-101,0
287,-371,-220,0,0,0,-101,0
288,-371,-220,0,0,0,-101,0
289,-371,-220,0,0,0,-101,0
290,-371,-220,0,0,0,-101,0
291,-371,-220,0,0,0,-101,0
292,-371,-220,0,0,0,-101,0
293,-371,-220,0,0,0,-101,0
294,-371,-220,0,0,0,-101,0
295,-371,-220,0,0,0,-101,0
296,-371,-220,0,0,0,-101,0
297,-371,-220,0,0,0,-101,0
298,-371,-220,0,0,0,-101,0
299,-371,-220,0,0,0,-101,0
300,-371,-220,1,0,0,-101,0
301,-371,-220,1,0,0,-101,0
302,-371,-220,1,0,0,-101,0
303,-371,-220,1,0,0,-101,0
304,-371,-220,1,0,0,-101,0
305,-371,-220,1,0,0,-101,0
306,-371,-220,1,0,0,-101,0
307,-371,-220,1,0,0,-101,0
308,-371,-220,1,0,0,-101,0
309,-371,-220,1,0,0,-101,0
310,-371,-220,1,0,0,-101,0
311,-371,-220,1,0,0,-101,0
312,-371,-220,1,0,0,-101,0
313,-371,-220,1,0,0,-101,0
314,-371,-220,1,0,0,-101,0
315,-371,-220,1,0,0,-101,0
316,-371,-220,1,0,0,-101,0
317,-371,-220,1,0,0,-101,0
318,-371,-220,1,0,0,-101,0
319,-371,-220,1,0,0,-101,0
320,-371,-220,1,0,0,-101,0
321,-371,-220,1,0,0,-101,0
322,-371,-220,1,0,0,-101,0
323,-371,-220,1,0,0,-101,0
324,-371,-220,1,0,0,-101,0
325,-371,-220,1,0,0,-101,0
326,-371,-220,1,0,0,-101,0
327,-371,-220,1,0,0,-101,0
328,-371,-220,1,0,0,-101,0
329,-371,-220,1,0,0,-101,0
330,-371,-220,1,0,0,-101,0
331,-371,-220,1,0,0,-101,0
332,-371,-220,1,0,0,-101,0
333,-371,-220,1,0,0,-101,0
334,-371,-220,1,0,0,-101,0
335,-371,-220,1,0,0,-101,0
336,-371,-220,1,0,0,-101,0
337,-371,-220,1,0,0,-101,0
338,-371,-220,1,0,0,-101,0
339,-373,-218,1,0,0,-101,0
340,-375,-216,1,0,0,-101,0
341,-376,-214,1,0,0,-101,0
342,-376,-214,1,0,0,-101,0
343,-378,-213,1,0,0,-101,0
344,-378,-212,1,0,0,-101,0
345,-378,-212,1,0,0,-101,0
346,-379,-212,1,0,0,-101,0
347,-379,-212,1,0,0,-101,0
348,-379,-212,1,0,0,-101,0
349,-379,-212,1,0,0,-101,0
350,-379,-212,1,0,0,-101,0
351,-380,-212,1,0,0,-101,0
352,-382,-214,1,0,0,-101,0
353,-383,-215,1,0,0,-101,0
354,-386,-218,1,0,0,-101,0
355,-389,-219,1,0,0,-101,0
356,-392,-220,1,0,0,-101,0
357,-393,-221,1,0,0,-101,0
358,-393,-221,1,0,0,-101,0
359,-394,-220,1,0,0,-101,0
360,-395,-219,1,0,0,-101,0
361,-395,-218,1,0,0,-101,0
362,-396,-215,1,0,0,-101,0
363,-396,-214,1,0,0,-101,0
364,-396,-212,1,0,0,-101,0
365,-396,-209,1,0,0,-101,0
366,-396,-208,1,0,0,-101,0
367,-396,-208,1,0,0,-101,0
368,-396,-207,1,0,0,-101,0
369,-396,-207,1,0,0,-101,0
370,-396,-206,1,0,0,-101,0
371,-396,-206,1,0,0,-101,0
372,-396,-206,1,0,0,-101,0
373,-396,-206,1,0,0,-101,0
374,-396,-206,1,0,0,-101,0
375,-396,-206,1,0,0,-101,0
376,-396,-206,1,0,0,-101,0
377,-396,-206,1,0,0,-101,0
378,-396,-206,1,0,0,-101,0
379,-396,-206,1,0,0,-101,0
380,-396,-206,1,0,0,-101,0
381,-396,-206,1,0,0,-101,0
382,-397,-206,1,0,0,-101,0
383,-397,-206,1,0,0,-101,0
384,-397,-206,1,0,0,-101,0
385,-397,-206,1,0,0,-101,0
386,-397,-206,1,0,0,-101,0
387,-397,-206,1,0,0,-101,0
388,-397,-206,1,0,0,-101,0
389,-397,-206,1,0,0,-101,0
390,-397,-206,1,0,0,-101,0
391,-397,-206,1,0,0,-101,0
392,-397,-206,1,0,17,-101,0
393,-397,-206,1,0,17,-101,0
394,-397,-206,1,0,17,-101,0
395,-397,-206,1,0,17,-101,0
396,-397,-206,1,0,17,-101,0
397,-397,-206,1,0,17,-101,0
398,-397,-206,1,0,17,-101,0
399,-397,-206,1,0,17,-101,0
400,-397,-206,1,0,17,-101,0
401,-397,-206,1,0,17,-101,0
402,-397,-206,1,0,17,-101,0
403,-397,-206,1,0,17,-101,0
404,-398,-206,1,0,17,-101,0
405,-399,-207,1,0,17,-101,0
406,-402,-209,1,0,17,-101,0
407,-405,-210,1,0,17,-101,0
408,-407,-211,1,0,17,-101,0
409,-412,-211,1,0,17,-101,0
410,-413,-211,1,0,17,-101,0
411,-413,-211,1,0,17,-101,0
412,-416,-205,1,0,17,-101,0
413,-417,-202,1,0,17,-101,0
414,-418,-198,1,0,17,-101,0
415,-419,-196,1,0,17,-101,0
416,-419,-196,1,0,17,-101,0
417,-419,-196,1,0,17,-101,0
418,-419,-196,1,0,17,-101,0
419,-419,-196,1,0,17,-101,0
420,-419,-196,1,0,17,-101,0
421,-419,-196,1,0,17,-101,0
422,-419,-197,1,0,17,-101,0
423,-419,-198,1,0,17,-101,0
424,-419,-198,1,0,17,-101,0
425,-419,-200,1,0,17,-101,0
426,-420,-202,1,0,17,-101,0
427,-420,-204,1,0,17,-101,0
428,-421,-207,1,0,17,-101,0
429,-421,-208,1,0,17,-101,0
430,-421,-208,1,0,17,-101,0
431,-421,-208,1,0,17,-101,0
432,-421,-208,1,0,17,-101,0
433,-421,-208,1,0,17,-101,0
434,-421,-208,1,0,17,-101,0
435,-421,-207,1,0,17,-101,0
436,-421,-205,1,0,17,-101,0
437,-422,-202,1,0,17,-101,0
438,-422,-201,1,0,17,-101,0
