t,x,y,fh,fv,r,s,frame:
0,385,69,1,0,0,-59,0
1,385,69,1,0,0,-59,0
2,385,69,1,0,0,-59,0
3,385,69,1,0,0,-59,0
4,385,69,1,0,0,-59,0
5,385,69,1,0,0,-59,0
6,385,69,1,0,0,-59,0
7,385,69,1,0,0,-59,0
8,385,69,1,0,0,-59,0
9,385,69,1,0,0,-59,0
10,385,69,1,0,0,-59,0
11,385,69,1,0,0,-59,0
12,385,69,1,0,0,-59,0
13,385,69,1,0,0,-59,0
14,385,69,1,0,0,-59,0
15,385,69,1,0,0,-59,0
16,385,69,1,0,0,-59,0
17,385,69,1,0,0,-59,0
18,385,69,1,0,0,-59,0
19,385,69,1,0,0,-59,0
20,385,69,1,0,0,-59,0
21,385,69,1,0,0,-59,0
22,385,69,1,0,0,-59,0
23,385,69,1,0,0,-59,0
24,385,69,1,0,0,-59,0
25,385,69,1,0,0,-59,0
26,385,69,1,0,0,-59,0
27,385,69,1,0,0,-59,0
28,385,69,1,0,0,-59,0
29,385,69,1,0,0,-59,0
30,385,69,1,0,0,-59,0
31,385,69,1,0,0,-59,0
32,385,69,1,0,0,-59,0
33,385,69,1,0,0,-59,0
34,385,69,1,0,0,-59,0
35,385,69,1,0,0,-59,0
36,385,69,1,0,0,-59,0
37,385,69,1,0,0,-59,0
38,385,69,1,0,0,-59,0
39,385,69,1,0,0,-59,0
40,385,69,1,0,0,-59,0
41,385,69,1,0,0,-59,0
42,385,69,1,0,0,-59,0
43,385,69,1,0,0,-59,0
44,385,69,1,0,0,-59,0
45,385,69,1,0,0,-59,0
46,385,69,1,0,0,-59,0
47,385,69,1,0,0,-59,0
48,385,69,1,0,0,-59,0
49,385,69,1,0,0,-59,0
50,385,69,1,0,0,-59,0
51,385,69,1,0,0,-59,0
52,385,69,1,0,0,-59,0
53,385,69,1,0,0,-59,0
54,385,69,1,0,0,-59,0
55,385,69,1,0,0,-59,0
56,385,69,1,0,0,-59,0
57,385,69,1,0,0,-59,0
58,385,69,1,0,0,-59,0
59,385,69,1,0,0,-59,0
60,385,69,1,0,0,-59,0
61,385,69,1,0,0,-59,0
62,385,69,1,0,0,-59,0
63,385,69,1,0,0,-59,0
64,385,69,1,0,0,-59,0
65,385,69,1,0,0,-59,0
66,385,69,1,0,0,-59,0
67,385,69,1,0,0,-59,0
68,385,69,1,0,0,-59,0
69,385,69,1,0,0,-59,0
70,385,69,1,0,0,-59,0
71,385,69,1,0,0,-59,0
72,385,69,1,0,0,-59,0
73,385,69,1,0,0,-59,0
74,385,69,1,0,0,-59,0
75,385,69,1,0,0,-59,0
76,385,69,1,0,0,-59,0
77,385,69,1,0,0,-59,0
78,385,69,1,0,0,-59,0
79,385,69,1,0,0,-59,0
80,385,69,1,0,0,-59,0
81,385,69,1,0,0,-59,0
82,385,69,1,0,0,-59,0
83,385,69,1,0,0,-59,0
84,385,69,1,0,0,-59,0
85,385,69,1,0,0,-59,0
86,385,69,1,0,0,-59,0
87,385,69,1,0,0,-59,0
88,385,69,1,0,0,-59,0
89,385,69,1,0,0,-59,0
90,385,69,1,0,0,-59,0
91,385,69,1,0,0,-59,0
92,385,69,1,0,0,-59,0
93,385,69,1,0,0,-59,0
94,385,69,1,0,0,-59,0
95,385,69,1,0,0,-59,0
96,385,69,1,0,0,-59,0
97,385,69,1,0,0,-59,0
98,385,69,1,0,0,-59,0
99,385,69,1,0,0,-59,0
100,385,69,1,0,0,-59,0
101,385,69,1,0,0,-59,0
102,385,69,1,0,0,-59,0
103,385,69,1,0,0,-59,0
104,385,69,1,0,0,-59,0
105,385,69,1,0,0,-59,0
106,385,69,1,0,0,-59,0
107,385,69,1,0,0,-59,0
108,385,69,1,0,0,-59,0
109,385,69,1,0,0,-59,0
110,385,69,1,0,0,-59,0
111,385,69,1,0,0,-59,0
112,385,69,1,0,0,-59,0
113,385,69,1,0,0,-59,0
114,385,69,1,0,0,-59,0
115,385,69,1,0,0,-59,0
116,385,69,1,0,0,-59,0
117,385,69,1,0,0,-59,0
