t,x,y,fh,fv,r,s,frame:
0,-461,-249,0,0,0,-94,0
1,-461,-249,0,0,0,-94,0
2,-461,-249,0,0,0,-94,0
3,-461,-249,0,0,0,-94,0
4,-461,-249,0,0,0,-94,0
5,-461,-249,0,0,0,-94,0
6,-461,-249,0,0,0,-94,0
7,-461,-249,0,0,0,-94,0
8,-461,-249,0,0,0,-94,0
9,-461,-249,0,0,0,-94,0
10,-461,-249,0,0,0,-94,0
11,-461,-249,0,0,0,-94,0
12,-461,-249,0,0,0,-94,0
13,-461,-249,0,0,0,-94,0
14,-461,-249,0,0,0,-94,0
15,-461,-249,0,0,0,-94,0
16,-461,-249,0,0,0,-94,0
17,-461,-249,0,0,0,-94,0
18,-461,-249,0,0,0,-94,0
19,-461,-249,0,0,0,-94,0
20,-461,-249,0,0,0,-94,0
21,-461,-249,0,0,0,-94,0
22,-461,-249,0,0,0,-94,0
23,-461,-249,0,0,0,-94,0
24,-461,-249,0,0,0,-94,0
25,-461,-249,0,0,0,-94,0
26,-461,-249,0,0,0,-94,0
27,-461,-249,0,0,0,-94,0
28,-461,-249,0,0,0,-94,0
29,-461,-249,0,0,0,-94,0
30,-461,-249,0,0,0,-94,0
31,-461,-249,0,0,0,-94,0
32,-462,-250,0,0,0,-94,0
33,-462,-250,0,0,0,-94,0
34,-462,-251,0,0,0,-94,0
35,-463,-251,0,0,0,-94,0
36,-463,-251,0,0,0,-94,0
37,-463,-251,0,0,0,-94,0
38,-463,-251,0,0,0,-94,0
39,-463,-251,0,0,0,-94,0
40,-463,-251,0,0,0,-94,0
41,-463,-251,0,0,0,-94,0
42,-464,-251,0,0,0,-94,0
43,-464,-251,0,0,0,-94,0
44,-464,-251,0,0,0,-94,0
45,-464,-250,0,0,0,-94,0
46,-464,-250,0,0,0,-94,0
47,-464,-250,0,0,0,-94,0
48,-464,-250,0,0,0,-94,0
49,-465,-250,0,0,0,-94,0
50,-465,-250,0,0,0,-94,0
51,-465,-250,0,0,0,-94,0
52,-465,-250,0,0,0,-94,0
53,-466,-249,0,0,0,-94,0
54,-466,-249,0,0,0,-94,0
55,-466,-249,0,0,0,-94,0
56,-466,-249,0,0,0,-94,0
57,-466,-249,0,0,0,-94,0
58,-466,-249,0,0,0,-94,0
59,-466,-249,0,0,0,-94,0
60,-466,-249,0,0,0,-94,0
61,-466,-249,0,0,0,-94,0
62,-466,-249,0,0,0,-94,0
63,-466,-249,0,0,0,-94,0
64,-466,-249,0,0,0,-94,0
65,-466,-249,0,0,0,-94,0
66,-466,-249,0,0,0,-94,0
67,-467,-249,0,0,0,-94,0
68,-467,-249,0,0,0,-94,0
69,-467,-249,0,0,0,-94,0
70,-467,-249,0,0,0,-94,0
71,-468,-249,0,0,0,-94,0
72,-468,-249,0,0,0,-94,0
73,-468,-249,0,0,0,-94,0
74,-468,-249,0,0,0,-94,0
75,-468,-249,0,0,0,-94,0
76,-468,-249,0,0,0,-94,0
77,-468,-249,0,0,0,-94,0
78,-468,-249,0,0,0,-94,0
79,-468,-249,0,0,0,-94,0
80,-468,-249,0,0,0,-94,0
81,-468,-249,0,0,0,-94,0
82,-468,-249,0,0,0,-94,0
83,-468,-249,0,0,0,-94,0
84,-468,-249,0,0,0,-94,0
85,-468,-249,0,0,0,-94,0
86,-468,-249,0,0,0,-94,0
87,-468,-249,0,0,0,-94,0
88,-468,-249,0,0,0,-94,0
89,-468,-249,0,0,0,-94,0
90,-468,-249,0,0,0,-94,0
91,-468,-249,0,0,0,-94,0
