t,x,y,fh,fv,r,s,frame:
0,-462,164,0,0,0,-41,0
1,-462,164,0,0,0,-41,0
2,-462,164,0,0,0,-41,0
3,-462,164,0,0,0,-41,0
4,-462,164,0,0,0,-41,0
5,-460,164,0,0,0,-41,0
6,-457,162,0,0,0,-41,0
7,-454,160,0,0,0,-41,0
8,-449,156,0,0,0,-41,0
9,-444,153,0,0,0,-41,0
10,-435,148,0,0,0,-41,0
11,-424,145,0,0,0,-41,0
12,-415,143,0,0,0,-41,0
13,-404,141,0,0,0,-41,0
14,-403,141,0,0,0,-41,0
15,-401,141,0,0,0,-41,0
16,-400,141,0,0,0,-41,0
17,-399,141,0,0,0,-41,0
18,-396,142,0,0,0,-41,0
19,-390,144,0,0,0,-41,0
20,-382,146,0,0,0,-41,0
21,-375,147,0,0,0,-41,0
22,-367,149,0,0,0,-41,0
23,-359,151,0,0,0,-41,0
24,-349,155,0,0,0,-41,0
25,-346,158,0,0,0,-41,0
26,-340,160,0,0,0,-41,0
27,-336,163,0,0,0,-41,0
28,-333,164,0,0,0,-41,0
29,-331,166,0,0,0,-41,0
30,-327,168,0,0,0,-41,0
31,-323,171,0,0,0,-41,0
32,-318,173,0,0,0,-41,0
33,-315,174,0,0,0,-41,0
34,-311,175,0,0,0,-41,0
35,-309,177,0,0,0,-41,0
36,-306,177,0,0,0,-41,0
37,-305,178,0,0,0,-41,0
38,-303,178,0,0,0,-41,0
39,-300,179,0,0,0,-41,0
40,-297,180,0,0,0,-41,0
41,-293,180,0,0,0,-41,0
42,-289,180,0,0,0,-41,0
43,-285,180,0,0,0,-41,0
44,-281,179,0,0,0,-41,0
45,-271,177,0,0,0,-41,0
46,-267,175,0,0,0,-41,0
47,-260,173,0,0,0,-41,0
48,-251,170,0,0,0,-41,0
49,-238,165,0,0,0,-41,0
50,-231,164,0,0,0,-41,0
51,-223,161,0,0,0,-41,0
52,-216,159,0,0,0,-41,0
53,-212,158,0,0,0,-41,0
54,-209,158,0,0,0,-41,0
55,-206,158,0,0,0,-41,0
56,-204,158,0,0,0,-41,0
57,-201,158,0,0,0,-41,0
58,-199,158,0,0,0,-41,0
59,-198,159,0,0,0,-41,0
60,-196,161,0,0,0,-41,0
61,-193,163,0,0,0,-41,0
62,-192,163,0,0,0,-41,0
63,-190,165,0,0,0,-41,0
64,-188,165,0,0,0,-41,0
