t,x,y,fh,fv,r,s,frame:
0,-18,498,0,0,0,0,0
1,-18,498,0,0,0,0,0
2,-18,496,0,0,0,0,0
3,-17,493,0,0,0,0,0
4,-17,491,0,0,0,0,0
5,-16,489,0,0,0,0,0
6,-16,487,0,0,0,0,0
7,-15,484,0,0,0,0,0
8,-15,482,0,0,0,0,0
9,-14,480,0,0,0,0,0
10,-14,478,0,0,0,0,0
11,-14,477,0,0,0,0,0
12,-14,476,0,0,0,0,0
13,-13,475,0,0,0,0,0
14,-13,474,0,0,0,0,0
15,-13,473,0,0,0,0,0
16,-13,471,0,0,0,0,0
17,-13,470,0,0,0,0,0
18,-12,469,0,0,0,0,0
19,-12,467,0,0,0,0,0
20,-12,467,0,0,0,0,0
21,-11,465,0,0,0,0,0
22,-11,464,0,0,0,0,0
23,-11,463,0,0,0,0,0
24,-11,461,0,0,0,0,0
25,-10,460,0,0,0,0,0
26,-10,458,0,0,0,0,0
27,-9,457,0,0,0,0,0
28,-9,455,0,0,0,0,0
29,-8,453,0,0,0,0,0
30,-8,452,0,0,0,0,0
31,-8,450,0,0,0,0,0
32,-7,448,0,0,0,0,0
33,-7,446,0,0,0,0,0
34,-7,444,0,0,0,0,0
35,-7,442,0,0,0,0,0
36,-7,441,0,0,0,0,0
37,-7,440,0,0,0,0,0
38,-7,439,0,0,0,0,0
39,-7,438,0,0,0,0,0
40,-7,436,0,0,0,0,0
41,-7,435,0,0,0,0,0
42,-7,433,0,0,0,0,0
43,-7,432,0,0,0,0,0
44,-7,432,0,0,0,0,0
45,-8,431,0,0,0,0,0
46,-8,430,0,0,0,0,0
47,-8,429,0,0,0,0,0
48,-9,428,0,0,0,0,0
49,-10,427,0,0,0,0,0
50,-10,426,0,0,0,0,0
51,-10,426,0,0,0,0,0
52,-11,425,0,0,0,0,0
53,-11,423,0,0,0,0,0
54,-12,422,0,0,0,0,0
55,-13,420,0,0,0,0,0
56,-14,417,0,0,0,0,0
57,-14,416,0,0,0,0,0
58,-15,414,0,0,0,0,0
59,-15,412,0,0,0,0,0
60,-16,411,0,0,0,0,0
61,-16,409,0,0,0,0,0
62,-16,406,0,0,0,0,0
63,-16,406,0,0,0,0,0
64,-16,406,0,0,0,0,0
65,-17,405,0,0,0,0,0
66,-17,404,0,0,0,0,0
67,-17,401,0,0,0,0,0
68,-17,401,0,0,0,0,0
69,-17,399,0,0,0,0,0
70,-17,396,0,0,0,0,0
71,-17,393,0,0,0,0,0
72,-17,389,0,0,0,0,0
73,-17,387,0,0,0,0,0
74,-17,384,0,0,0,0,0
75,-17,382,0,0,0,0,0
76,-17,381,0,0,0,0,0
77,-17,380,0,0,0,0,0
78,-17,379,0,0,0,0,0
79,-17,378,0,0,0,0,0
80,-17,377,0,0,0,0,0
81,-17,377,0,0,0,0,0
82,-17,375,0,0,0,0,0
83,-17,373,0,0,0,0,0
84,-17,370,0,0,0,0,0
85,-17,368,0,0,0,0,0
86,-16,365,0,0,0,0,0
87,-16,363,0,0,0,0,0
88,-16,361,0,0,0,0,0
89,-15,359,0,0,0,0,0
90,-15,358,0,0,0,0,0
91,-15,356,0,0,0,0,0
92,-15,354,0,0,0,0,0
93,-14,353,0,0,0,0,0
94,-13,351,0,0,0,0,0
95,-13,348,0,0,0,0,0
96,-13,346,0,0,0,0,0
97,-12,345,0,0,0,0,0
98,-12,343,0,0,0,0,0
99,-12,342,0,0,0,0,0
100,-12,341,0,0,0,0,0
101,-12,339,0,0,0,0,0
102,-12,338,0,0,0,0,0
103,-11,336,0,0,0,0,0
104,-11,335,0,0,0,0,0
105,-11,332,0,0,0,0,0
106,-11,330,0,0,0,0,0
107,-11,330,0,0,0,0,0
108,-11,329,0,0,0,0,0
109,-11,329,0,0,0,0,0
110,-11,328,0,0,0,0,0
111,-11,328,0,0,0,0,0
112,-11,327,0,0,0,0,0
113,-11,326,0,0,0,0,0
114,-11,325,0,0,0,0,0
115,-11,322,0,0,0,0,0
116,-11,320,0,0,0,0,0
117,-12,319,0,0,0,0,0
118,-12,318,0,0,0,0,0
119,-12,317,0,0,0,0,0
120,-12,315,0,0,0,0,0
121,-12,314,0,0,0,0,0
122,-12,314,0,0,0,0,0
123,-12,314,0,0,0,0,0
124,-12,314,0,0,0,0,0
125,-12,313,0,0,0,0,0
126,-12,312,0,0,0,0,0
127,-13,312,0,0,0,0,0
128,-13,312,0,0,0,0,0
129,-13,312,0,0,0,0,0
130,-13,311,0,0,0,0,0
131,-14,311,0,0,0,0,0
132,-14,310,0,0,0,0,0
133,-14,309,0,0,0,0,0
134,-15,308,0,0,0,0,0
135,-15,307,0,0,0,0,0
136,-15,307,0,0,0,0,0
137,-15,307,0,0,0,0,0
138,-16,306,0,0,0,0,0
139,-16,306,0,0,0,0,0
140,-17,306,0,0,0,0,0
141,-17,305,0,0,0,0,0
142,-17,305,0,0,0,0,0
143,-17,304,0,0,0,0,0
144,-17,303,0,0,0,0,0
145,-18,300,0,0,0,0,0
146,-20,297,0,0,0,0,0
147,-21,296,0,0,0,0,0
148,-21,295,0,0,0,0,0
149,-22,293,0,0,0,0,0
150,-23,293,0,0,0,0,0
151,-23,293,0,0,0,0,0
152,-23,292,0,0,0,0,0
153,-23,291,0,0,0,0,0
154,-23,290,0,0,0,0,0
155,-24,287,0,0,0,0,0
156,-24,285,0,0,0,0,0
157,-24,283,0,0,0,0,0
158,-25,282,0,0,0,0,0
159,-25,280,0,0,0,0,0
160,-25,278,0,0,0,0,0
161,-25,276,0,0,0,0,0
162,-26,275,0,0,0,0,0
163,-26,274,0,0,0,0,0
164,-26,273,0,0,0,0,0
165,-26,273,0,0,0,0,0
166,-26,271,0,0,0,0,0
167,-26,269,0,0,0,0,0
168,-26,268,0,0,0,0,0
169,-26,267,0,0,0,0,0
170,-26,266,0,0,0,0,0
171,-26,265,0,0,0,0,0
172,-26,263,0,0,0,0,0
173,-26,261,0,0,0,0,0
174,-26,260,0,0,0,0,0
175,-26,258,0,0,0,0,0
176,-26,255,0,0,0,0,0
177,-26,252,0,0,0,0,0
178,-26,251,0,0,0,0,0
179,-26,250,0,0,0,0,0
180,-26,249,0,0,0,0,0
181,-26,246,0,0,0,0,0
182,-26,245,0,0,0,0,0
183,-26,244,0,0,0,0,0
184,-26,243,0,0,0,0,0
185,-26,242,0,0,0,0,0
186,-26,241,0,0,0,0,0
187,-26,240,0,0,0,0,0
188,-26,239,0,0,0,0,0
189,-26,237,0,0,0,0,0
190,-25,236,0,0,0,0,0
191,-25,235,0,0,0,0,0
192,-25,233,0,0,0,0,0
193,-25,231,0,0,0,0,0
194,-25,228,0,0,0,0,0
195,-24,226,0,0,0,0,0
196,-24,224,0,0,0,0,0
197,-24,223,0,0,0,0,0
198,-24,222,0,0,0,0,0
199,-24,221,0,0,0,0,0
200,-24,220,0,0,0,0,0
201,-23,217,0,0,0,0,0
202,-23,216,0,0,0,0,0
203,-23,214,0,0,0,0,0
204,-22,212,0,0,0,0,0
205,-22,209,0,0,0,0,0
206,-22,207,0,0,0,0,0
207,-22,206,0,0,0,0,0
208,-22,204,0,0,0,0,0
209,-22,203,0,0,0,0,0
210,-22,201,0,0,0,0,0
211,-22,199,0,0,0,0,0
212,-22,197,0,0,0,0,0
213,-22,195,0,0,0,0,0
214,-22,193,0,0,0,0,0
215,-22,192,0,0,0,0,0
216,-22,190,0,0,0,0,0
217,-22,188,0,0,0,0,0
218,-22,186,0,0,0,0,0
219,-23,183,0,0,0,0,0
220,-23,181,0,0,0,0,0
221,-24,180,0,0,0,0,0
222,-24,178,0,0,0,0,0
223,-24,176,0,0,0,0,0
224,-25,174,0,0,0,0,0
225,-26,169,0,0,0,0,0
226,-27,164,0,0,0,0,0
227,-28,158,0,0,0,0,0
228,-29,153,0,0,0,0,0
229,-30,146,0,0,0,0,0
230,-31,140,0,0,0,0,0
231,-32,133,0,0,0,0,0
232,-32,128,0,0,0,0,0
233,-33,123,0,0,0,0,0
234,-33,119,0,0,0,0,0
235,-33,117,0,0,0,0,0
236,-34,115,0,0,0,0,0
237,-34,114,0,0,0,0,0
238,-34,114,0,0,0,0,0
239,-34,114,0,0,0,0,0
240,-34,114,0,0,0,0,0
241,-34,114,0,0,0,0,0
242,-34,113,0,0,0,0,0
243,-34,112,0,0,0,0,0
244,-34,111,0,0,0,0,0
245,-34,109,0,0,0,0,0
246,-35,107,0,0,0,0,0
247,-35,104,0,0,0,0,0
248,-35,102,0,0,0,0,0
249,-35,100,0,0,0,0,0
250,-36,98,0,0,0,0,0
251,-36,96,0,0,0,0,0
252,-36,95,0,0,0,0,0
253,-36,93,0,0,0,0,0
254,-37,91,0,0,0,0,0
255,-37,89,0,0,0,0,0
256,-37,87,0,0,0,0,0
257,-37,86,0,0,0,0,0
258,-37,83,0,0,0,0,0
259,-37,80,0,0,0,0,0
260,-37,77,0,0,0,0,0
261,-37,74,0,0,0,0,0
262,-37,71,0,0,0,0,0
263,-37,68,0,0,0,0,0
264,-37,66,0,0,0,0,0
265,-37,64,0,0,0,0,0
266,-36,62,0,0,0,0,0
267,-36,61,0,0,0,0,0
268,-35,59,0,0,0,0,0
269,-34,57,0,0,0,0,0
270,-33,54,0,0,0,0,0
271,-32,52,0,0,0,0,0
272,-31,50,0,0,0,0,0
273,-30,48,0,0,0,0,0
274,-29,46,0,0,0,0,0
275,-29,44,0,0,0,0,0
276,-28,41,0,0,0,0,0
277,-27,38,0,0,0,0,0
278,-26,36,0,0,0,0,0
279,-26,34,0,0,0,0,0
280,-25,33,0,0,0,0,0
281,-25,32,0,0,0,0,0
282,-25,31,0,0,0,0,0
283,-25,31,0,0,0,0,0
284,-25,31,0,0,0,0,0
285,-25,31,0,0,0,0,0
286,-25,31,0,0,0,0,0
287,-25,31,0,0,0,0,0
288,-25,31,0,0,0,0,0
289,-25,31,0,0,0,0,0
290,-25,31,0,0,0,0,0
291,-25,31,0,0,0,0,0
292,-25,31,0,0,0,0,0
293,-25,30,0,0,0,0,0
294,-25,30,0,0,0,0,0
295,-25,29,0,0,0,0,0
296,-25,28,0,0,0,0,0
297,-25,28,0,0,0,0,0
298,-25,28,0,0,0,0,0
299,-25,28,0,0,0,0,0
300,-25,27,0,0,0,0,0
301,-25,27,0,0,0,0,0
302,-25,27,0,0,0,0,0
303,-25,27,0,0,0,0,0
304,-26,27,0,0,0,0,0
305,-26,25,0,0,0,0,0
306,-26,25,0,0,0,0,0
307,-27,25,0,0,0,0,0
308,-27,24,0,0,0,1,0
309,-27,24,0,0,0,2,0
310,-27,24,0,0,0,3,0
311,-27,24,0,0,0,4,0
312,-27,24,0,0,0,5,0
313,-28,24,0,0,0,6,0
314,-28,24,0,0,0,7,0
315,-28,24,0,0,0,8,0
316,-28,24,0,0,0,9,0
317,-28,24,0,0,0,10,0
318,-28,24,0,0,0,11,0
319,-28,24,0,0,0,12,0
320,-28,24,0,0,0,13,0
321,-28,24,0,0,0,14,0
322,-28,24,0,0,0,15,0
323,-28,24,0,0,0,16,0
324,-28,24,0,0,0,17,0
325,-28,24,0,0,0,18,0
326,-28,24,0,0,0,19,0
327,-28,24,0,0,0,20,0
328,-28,24,0,0,0,21,0
329,-28,24,0,0,0,22,0
330,-28,24,0,0,0,23,0
331,-28,24,0,0,0,24,0
332,-28,24,0,0,0,25,0
333,-28,24,0,0,0,26,0
334,-28,24,0,0,0,27,0
335,-28,24,0,0,0,28,0
336,-28,24,0,0,0,29,0
337,-28,24,0,0,0,30,0
338,-28,24,0,0,0,31,0
339,-28,24,0,0,0,32,0
340,-28,23,0,0,0,33,0
341,-28,23,0,0,0,34,0
342,-28,23,0,0,0,34,0
