t,x,y,fh,fv,r,s,frame:
0,1,-12,0,0,0,0,0
1,1,-12,0,0,0,0,0
2,1,-12,0,0,0,0,0
3,1,-12,0,0,0,0,0
4,1,-12,0,0,0,0,0
5,1,-12,0,0,0,0,0
6,1,-12,0,0,0,0,0
7,1,-12,0,0,0,0,0
8,1,-12,0,0,0,0,0
9,1,-12,0,0,0,0,0
10,4,-11,0,0,0,0,0
11,7,-11,0,0,0,0,0
12,12,-11,0,0,0,0,0
13,13,-11,0,0,0,0,0
14,16,-11,0,0,0,0,0
15,18,-11,0,0,0,0,0
16,21,-11,0,0,0,0,0
17,23,-11,0,0,0,0,0
18,26,-12,0,0,0,0,0
19,29,-12,0,0,0,0,0
20,30,-13,0,0,0,0,0
21,32,-14,0,0,0,0,0
22,34,-16,0,0,0,0,0
23,36,-18,0,0,0,0,0
24,37,-19,0,0,0,0,0
25,37,-20,0,0,0,0,0
26,38,-20,0,0,0,0,0
27,39,-22,0,0,0,0,0
28,40,-22,0,0,0,0,0
29,40,-23,0,0,0,0,0
30,40,-23,0,0,0,0,0
31,41,-25,0,0,0,0,0
32,41,-26,0,0,0,0,0
33,43,-28,0,0,0,0,0
34,43,-29,0,0,0,0,0
35,44,-30,0,0,0,0,0
36,44,-31,0,0,0,0,0
37,44,-31,0,0,0,0,0
38,44,-31,0,0,0,0,0
39,44,-31,0,0,0,0,0
40,44,-31,0,0,0,0,0
41,44,-31,0,0,0,0,0
42,44,-31,0,0,0,0,0
43,45,-31,0,0,0,0,0
44,45,-31,0,0,0,0,0
45,45,-31,0,0,0,0,0
46,45,-31,0,0,0,0,0
47,45,-31,0,0,0,0,0
48,45,-31,0,0,0,0,0
49,45,-31,0,0,0,0,0
50,45,-31,0,0,0,0,0
51,45,-31,0,0,0,0,0
52,45,-31,0,0,0,0,0
53,45,-31,0,0,0,0,0
54,45,-31,0,0,0,0,0
55,45,-31,0,0,0,0,0
56,45,-31,0,0,0,0,0
57,45,-31,0,0,14,0,0
58,45,-31,0,0,14,0,0
59,45,-31,0,0,14,0,0
60,45,-31,0,0,14,0,0
61,45,-31,0,0,14,0,0
62,46,-31,0,0,14,0,0
63,48,-32,0,0,14,0,0
64,50,-34,0,0,14,0,0
65,52,-36,0,0,14,0,0
66,54,-38,0,0,14,0,0
67,55,-41,0,0,14,0,0
68,55,-45,0,0,14,0,0
69,55,-46,0,0,14,0,0
70,55,-48,0,0,14,0,0
71,55,-49,0,0,14,0,0
72,55,-51,0,0,14,0,0
73,55,-52,0,0,14,0,0
74,53,-54,0,0,14,0,0
75,51,-56,0,0,14,0,0
76,48,-57,0,0,14,0,0
77,47,-58,0,0,14,0,0
78,46,-59,0,0,14,0,0
79,45,-60,0,0,14,0,0
80,45,-60,0,0,14,0,0
81,44,-60,0,0,14,0,0
82,42,-60,0,0,14,0,0
83,41,-60,0,0,14,0,0
84,39,-60,0,0,14,0,0
85,38,-61,0,0,14,0,0
86,36,-61,0,0,14,0,0
87,34,-61,0,0,14,0,0
88,31,-60,0,0,14,0,0
89,28,-59,0,0,14,0,0
90,26,-59,0,0,14,0,0
91,25,-59,0,0,14,0,0
92,24,-58,0,0,14,0,0
93,24,-58,0,0,14,0,0
94,24,-58,0,0,14,0,0
95,24,-58,0,0,14,0,0
96,24,-58,0,0,14,0,0
97,24,-58,0,0,14,0,0
98,23,-57,0,0,14,0,0
99,22,-56,0,0,14,0,0
100,22,-56,0,0,14,0,0
101,22,-56,0,0,14,0,0
102,22,-56,0,0,14,0,0
103,22,-56,0,0,14,0,0
104,22,-56,0,0,14,0,0
105,22,-56,0,0,14,0,0
106,22,-56,0,0,14,0,0
107,22,-56,0,0,14,0,0
