t,x,y,fh,fv,r,s,frame:
0,5,4,0,0,0,0,0
1,5,4,0,0,0,0,0
2,5,4,0,0,0,0,0
3,5,4,0,0,0,0,0
4,5,4,0,0,0,0,0
5,5,4,0,0,0,0,0
6,5,4,0,0,0,0,0
7,5,4,0,0,0,0,0
8,5,4,0,0,0,0,0
9,5,4,0,0,0,0,0
10,5,4,0,0,0,0,0
11,5,4,0,0,0,0,0
12,5,4,0,0,0,0,0
13,5,4,0,0,0,0,0
14,5,4,0,0,0,0,0
15,5,4,0,0,0,0,0
16,5,2,0,0,0,0,0
17,8,-1,0,0,0,0,0
18,14,-7,0,0,0,0,0
19,21,-12,0,0,0,0,0
20,25,-16,0,0,0,0,0
21,33,-22,0,0,0,0,0
22,41,-25,0,0,0,0,0
23,49,-28,0,0,0,0,0
24,58,-31,0,0,0,0,0
25,66,-33,0,0,0,0,0
26,74,-35,0,0,0,0,0
27,78,-37,0,0,0,0,0
28,80,-37,0,0,0,0,0
29,80,-37,0,0,0,0,0
30,80,-37,0,0,0,0,0
31,80,-37,0,0,0,0,0
32,80,-37,0,0,0,0,0
33,80,-37,0,0,0,0,0
34,80,-37,0,0,0,0,0
35,80,-37,0,0,0,0,0
36,80,-37,0,0,0,0,0
37,80,-37,0,0,0,0,0
38,80,-37,0,0,0,0,0
39,80,-37,0,0,0,0,0
40,80,-38,0,0,0,0,0
41,80,-38,0,0,0,0,0
42,80,-38,0,0,0,0,0
43,80,-38,0,0,0,0,0
44,80,-38,0,0,0,0,0
45,80,-38,0,0,0,0,0
46,80,-38,0,0,0,0,0
47,80,-38,0,0,0,0,0
48,80,-38,0,0,0,0,0
49,80,-38,0,0,0,0,0
50,80,-38,0,0,0,0,0
51,80,-38,0,0,0,0,0
52,80,-37,0,0,0,0,0
53,79,-35,0,0,0,0,0
54,79,-33,0,0,0,0,0
55,78,-30,0,0,0,0,0
56,77,-27,0,0,0,0,0
57,77,-25,0,0,0,0,0
58,76,-23,0,0,0,0,0
59,76,-22,0,0,0,0,0
60,75,-20,0,0,0,0,0
61,74,-17,0,0,0,0,0
62,73,-14,0,0,0,0,0
63,72,-13,0,0,0,0,0
64,71,-11,0,0,0,0,0
65,71,-9,0,0,0,0,0
66,70,-7,0,0,0,0,0
67,68,-5,0,0,0,0,0
68,67,-3,0,0,0,0,0
69,65,0,0,0,0,0,0
70,62,4,0,0,0,0,0
71,60,7,0,0,0,0,0
72,58,9,0,0,0,0,0
73,56,11,0,0,0,0,0
74,53,14,0,0,0,0,0
75,49,17,0,0,0,0,0
76,47,19,0,0,0,0,0
77,43,21,0,0,0,0,0
78,39,23,0,0,0,0,0
79,37,24,0,0,0,0,0
80,36,25,0,0,0,0,0
81,34,25,0,0,0,0,0
82,32,27,0,0,0,0,0
83,27,28,0,0,0,0,0
84,21,29,0,0,0,0,0
85,15,29,0,0,0,0,0
86,15,29,0,0,0,0,0
87,14,29,0,0,0,0,0
88,13,29,0,0,0,0,0
89,10,29,0,0,0,0,0
90,4,29,0,0,0,0,0
91,1,29,0,0,0,0,0
92,-2,29,0,0,0,0,0
93,-4,29,0,0,0,0,0
94,-4,29,0,0,0,0,0
95,-5,29,0,0,0,0,0
96,-5,29,0,0,0,0,0
97,-7,28,0,0,0,0,0
98,-10,27,0,0,0,0,0
99,-12,25,0,0,0,0,0
100,-12,25,0,0,0,0,0
101,-12,25,0,0,0,0,0
102,-13,25,0,0,0,0,0
103,-14,24,0,0,0,0,0
104,-15,23,0,0,0,0,0
105,-15,22,0,0,0,0,0
106,-16,20,0,0,0,0,0
107,-16,17,0,0,0,0,0
108,-17,15,0,0,0,0,0
109,-17,13,0,0,0,0,0
110,-17,12,0,0,0,0,0
111,-17,10,0,0,0,0,0
112,-15,7,0,0,0,0,0
113,-14,5,0,0,0,0,0
114,-13,3,0,0,0,0,0
115,-12,2,0,0,0,0,0
116,-11,1,0,0,0,0,0
117,-9,0,0,0,0,0,0
118,-9,0,0,0,0,0,0
119,-9,0,0,0,0,0,0
120,-9,-1,0,0,0,0,0
121,-9,-1,0,0,0,0,0
122,-8,-1,0,0,0,0,0
123,-8,-1,0,0,0,0,0
124,-8,-1,0,0,0,0,0
125,-8,-1,0,0,0,0,0
126,-8,-1,0,0,0,0,0
127,-8,-1,0,0,0,0,0
128,-8,-1,0,0,0,0,0
129,-8,-1,0,0,0,0,0
130,-8,-1,0,0,0,0,0
131,-8,-1,0,0,0,0,0
