t,x,y,fh,fv,r,s,frame:
0,-20,-7,0,0,0,0,0
1,-20,-7,0,0,0,0,0
2,-20,-7,0,0,0,0,0
3,-20,-7,0,0,0,0,0
4,-20,-7,0,0,0,0,0
5,-20,-7,0,0,0,0,0
6,-19,-7,0,0,-1,0,0
7,-18,-8,0,0,-2,0,0
8,-17,-9,0,0,-3,0,0
9,-16,-10,0,0,-4,0,0
10,-14,-11,0,0,-5,0,0
11,-13,-11,0,0,-6,0,0
12,-12,-12,0,0,-7,0,0
13,-10,-12,0,0,-8,0,0
14,-8,-12,0,0,-9,0,0
15,-6,-13,0,0,-10,0,0
16,-5,-13,0,0,-11,0,0
17,-3,-14,0,0,-12,0,0
18,-1,-14,0,0,-13,0,0
19,0,-15,0,0,-14,0,0
20,1,-15,0,0,-15,0,0
21,2,-15,0,0,-16,0,0
22,3,-15,0,0,-17,0,0
23,5,-15,0,0,-18,0,0
24,7,-15,0,0,-19,0,0
25,10,-15,0,0,-20,0,0
26,12,-14,0,0,-21,0,0
27,15,-12,0,0,-22,0,0
28,17,-11,0,0,-23,0,0
29,19,-10,0,0,-24,0,0
30,21,-9,0,0,-25,0,0
31,22,-8,0,0,-26,0,0
32,24,-6,0,0,-27,0,0
33,26,-3,0,0,-28,0,0
34,27,-2,0,0,-29,0,0
35,28,-1,0,0,-30,0,0
36,29,1,0,0,-31,0,0
37,30,4,0,0,-32,0,0
38,31,5,0,0,-33,0,0
39,31,7,0,0,-34,0,0
40,32,9,0,0,-35,0,0
41,32,11,0,0,-36,0,0
42,32,12,0,0,-37,0,0
43,31,14,0,0,-38,0,0
44,28,16,0,0,-39,0,0
45,27,18,0,0,-40,0,0
46,24,19,0,0,-41,0,0
47,23,20,0,0,-42,0,0
48,21,21,0,0,-43,0,0
49,20,21,0,0,-44,0,0
50,19,21,0,0,-45,0,0
51,17,21,0,0,-46,0,0
52,15,21,0,0,-47,0,0
53,13,21,0,0,-48,0,0
54,10,21,0,0,-49,0,0
55,7,21,0,0,-50,0,0
56,6,21,0,0,-51,0,0
57,5,21,0,0,-52,0,0
58,3,20,0,0,-53,0,0
59,0,20,0,0,-54,0,0
60,-2,19,0,0,-55,0,0
61,-4,18,0,0,-56,0,0
62,-6,17,0,0,-57,0,0
63,-11,15,0,0,-58,0,0
64,-14,13,0,0,-59,0,0
65,-17,11,0,0,-60,0,0
66,-18,10,0,0,-61,0,0
67,-19,8,0,0,-62,0,0
68,-20,6,0,0,-63,0,0
69,-20,4,0,0,-64,0,0
70,-20,3,0,0,-65,0,0
71,-20,2,0,0,-66,0,0
72,-20,1,0,0,-67,0,0
73,-20,-1,0,0,-68,0,0
74,-19,-1,0,0,-69,0,0
75,-19,-2,0,0,-70,0,0
76,-18,-3,0,0,-71,0,0
77,-18,-3,0,0,-72,0,0
78,-18,-3,0,0,-73,0,0
79,-18,-3,0,0,-74,0,0
80,-18,-3,0,0,-75,0,0
81,-18,-3,0,0,-76,0,0
82,-18,-3,0,0,-77,0,0
83,-18,-3,0,0,-78,0,0
84,-18,-3,0,0,-79,0,0
85,-18,-3,0,0,-80,0,0
86,-18,-3,0,0,-81,0,0
87,-18,-3,0,0,-82,0,0
88,-18,-3,0,0,-83,0,0
89,-18,-3,0,0,-84,0,0
90,-18,-3,0,0,-85,0,0
91,-18,-3,0,0,-86,0,0
92,-18,-3,0,0,-87,0,0
93,-18,-3,0,0,-87,0,0
94,-18,-3,0,0,-87,0,0
