t,x,y,fh,fv,r,s,frame:
0,13,18,0,0,0,0,0
1,13,18,0,0,0,0,0
2,11,18,0,0,0,0,0
3,4,18,0,0,0,0,0
4,-1,18,0,0,0,0,0
5,-7,17,0,0,0,0,0
6,-12,14,0,0,0,0,0
7,-17,9,1,0,0,0,0
8,-22,4,1,0,0,0,0
9,-25,-1,1,0,0,0,0
10,-27,-3,1,0,0,0,0
11,-27,-5,1,0,0,0,0
12,-27,-10,1,0,0,0,0
13,-25,-15,1,0,0,0,0
14,-18,-21,1,0,0,0,0
15,-9,-27,1,0,0,0,0
16,-1,-32,1,0,-1,0,0
17,3,-35,1,0,-2,0,0
18,5,-36,1,0,-3,0,0
19,5,-36,1,0,-4,0,0
20,5,-36,1,0,-5,0,0
21,7,-36,1,0,-6,0,0
22,26,-28,1,0,-7,0,0
23,39,-24,1,0,-8,0,0
24,53,-19,1,0,-9,0,0
25,61,-16,1,0,-10,0,0
26,63,-15,1,0,-11,0,0
27,63,-15,1,0,-12,0,0
28,63,-14,1,0,-13,0,0
29,63,-9,1,0,-14,0,0
30,63,-7,1,0,-15,0,0
31,61,-2,1,0,-16,0,0
32,59,3,1,0,-17,0,0
33,55,7,1,0,-18,0,0
34,51,12,1,0,-19,0,0
35,45,15,1,0,-20,0,0
36,40,17,1,0,-21,0,0
37,35,18,1,0,-22,0,0
38,30,20,1,0,-23,0,0
39,23,21,1,0,-24,0,0
40,11,23,1,0,-25,0,0
41,5,23,1,0,-26,0,0
42,-15,24,1,0,-27,0,0
43,-29,24,1,0,-28,0,0
44,-39,22,1,0,-29,0,0
45,-43,21,1,0,-30,0,0
46,-44,20,1,0,-31,0,0
47,-47,17,1,0,-32,0,0
48,-49,13,1,0,-33,0,0
49,-51,10,1,0,-34,0,0
50,-54,4,1,0,-35,0,0
51,-56,-2,1,0,-35,0,0
52,-58,-10,1,0,-35,0,0
53,-60,-17,1,0,-35,0,0
54,-60,-22,1,0,-35,0,0
55,-59,-27,1,0,-35,0,0
56,-55,-34,1,0,-35,0,0
57,-52,-38,1,0,-35,0,0
58,-49,-43,1,0,-35,0,0
59,-47,-47,1,0,-35,0,0
60,-44,-50,1,0,-35,0,0
61,-43,-52,1,0,-35,0,0
62,-40,-54,1,0,-35,0,0
63,-37,-57,1,0,-35,0,0
64,25,-93,1,0,-35,26,0
65,30,-88,1,0,-35,27,0
66,33,-83,1,0,-35,28,0
67,38,-77,1,0,-35,29,0
68,41,-70,1,0,-35,30,0
69,43,-66,1,0,-35,31,0
70,43,-61,1,0,-35,32,0
71,43,-55,1,0,-35,33,0
72,43,-46,1,0,-35,34,0
73,41,-30,1,0,-35,35,0
74,38,-19,1,0,-35,36,0
75,31,-7,1,0,-35,37,0
76,24,2,1,0,-35,38,0
77,16,9,1,0,-35,39,0
78,5,15,1,0,-35,40,0
79,-5,18,1,0,-35,41,0
80,-18,19,1,0,-35,42,0
81,-30,19,1,0,-35,43,0
82,-42,15,1,0,-35,44,0
83,-51,10,1,0,-35,45,0
84,-59,1,1,0,-35,46,0
85,-64,-11,1,0,-35,47,0
86,-69,-27,1,0,-35,48,0
87,-72,-40,1,0,-35,49,0
88,-72,-49,1,0,-35,50,0
89,-66,-57,1,0,-35,51,0
90,-53,-61,1,0,-35,52,0
91,-38,-62,1,0,-35,53,0
92,-22,-62,1,0,-35,54,0
93,5,-57,1,0,-35,55,0
94,21,-47,1,0,-35,56,0
95,28,-38,1,0,-35,57,0
96,29,-32,1,0,-35,58,0
97,29,-21,1,0,-35,59,0
98,26,-15,1,0,-35,60,0
99,18,-6,1,0,-35,61,0
100,7,1,1,0,-35,62,0
101,-5,3,1,0,-35,63,0
102,-17,3,1,0,-35,64,0
103,-30,-4,1,0,-35,65,0
104,-42,-16,1,0,-35,66,0
105,-53,-31,1,0,-35,67,0
106,-61,-44,1,0,-35,68,0
107,-64,-55,1,0,-35,69,0
108,-67,-64,1,0,-35,70,0
109,-67,-70,1,0,-35,71,0
110,-67,-73,1,0,-35,72,0
