t,x,y,fh,fv,r,s,frame:
0,446,-140,0,0,0,-74,0
1,446,-140,0,0,0,-74,0
2,446,-140,0,0,0,-74,0
3,446,-140,0,0,0,-74,0
4,446,-140,0,0,0,-74,0
5,446,-140,0,0,0,-74,0
6,446,-140,0,0,0,-74,0
7,446,-140,0,0,0,-74,0
8,446,-140,0,0,0,-74,0
9,446,-140,0,0,0,-74,0
10,446,-140,0,0,0,-74,0
11,446,-140,0,0,0,-74,0
12,446,-140,0,0,0,-74,0
13,446,-140,0,0,0,-74,0
14,445,-140,0,0,0,-74,0
15,445,-140,0,0,0,-74,0
16,445,-140,0,0,0,-74,0
17,445,-139,0,0,0,-74,0
18,444,-138,0,0,0,-74,0
19,444,-138,0,0,0,-74,0
20,444,-138,0,0,0,-74,0
21,444,-138,0,0,0,-74,0
22,444,-138,0,0,0,-74,0
23,444,-138,0,0,0,-74,0
24,443,-138,0,0,0,-74,0
25,443,-138,0,0,0,-74,0
26,442,-137,0,0,0,-74,0
27,442,-137,0,0,0,-74,0
28,442,-137,0,0,0,-74,0
29,442,-137,0,0,0,-74,0
30,442,-137,0,0,0,-74,0
31,441,-137,0,0,0,-74,0
32,441,-137,0,0,0,-74,0
33,441,-137,0,0,0,-74,0
34,440,-137,0,0,0,-74,0
35,440,-137,0,0,0,-74,0
36,440,-137,0,0,0,-74,0
37,440,-137,0,0,0,-74,0
38,440,-137,0,0,0,-74,0
39,439,-137,0,0,0,-74,0
40,439,-137,0,0,0,-74,0
41,439,-137,0,0,0,-74,0
42,438,-137,0,0,0,-74,0
43,438,-137,0,0,0,-74,0
44,438,-137,0,0,0,-74,0
45,438,-137,0,0,0,-74,0
46,438,-137,0,0,0,-74,0
47,438,-137,0,0,0,-74,0
48,438,-137,0,0,0,-74,0
49,437,-137,0,0,0,-74,0
50,436,-137,0,0,0,-74,0
51,436,-137,0,0,0,-74,0
52,436,-137,0,0,0,-74,0
53,436,-137,0,0,0,-74,0
54,436,-137,0,0,0,-74,0
55,436,-137,0,0,0,-74,0
56,436,-137,0,0,0,-74,0
57,436,-137,0,0,0,-74,0
58,435,-137,0,0,0,-74,0
59,434,-137,0,0,0,-74,0
60,434,-137,0,0,0,-74,0
61,434,-137,0,0,0,-74,0
62,434,-137,0,0,0,-74,0
63,434,-137,0,0,0,-74,0
64,434,-137,0,0,0,-74,0
65,434,-137,0,0,0,-74,0
66,433,-137,0,0,0,-74,0
67,433,-137,0,0,0,-74,0
68,433,-137,0,0,0,-74,0
69,433,-137,0,0,0,-74,0
70,433,-137,0,0,0,-74,0
71,433,-137,0,0,0,-74,0
72,433,-137,0,0,0,-74,0
73,433,-137,0,0,0,-74,0
74,433,-137,0,0,0,-74,0
75,433,-137,0,0,0,-74,0
76,433,-137,0,0,0,-74,0
77,433,-137,0,0,0,-74,0
78,433,-137,0,0,0,-74,0
79,433,-137,0,0,0,-74,0
80,433,-137,0,0,0,-74,0
81,433,-137,0,0,0,-74,0
82,433,-137,0,0,0,-74,0
83,433,-137,0,0,0,-74,0
84,433,-137,0,0,0,-74,0
85,433,-137,0,0,0,-74,0
86,433,-137,0,0,0,-74,0
87,433,-137,0,0,0,-74,0
88,433,-137,0,0,0,-74,0
89,433,-137,0,0,0,-74,0
90,432,-137,0,0,0,-74,0
91,432,-137,0,0,0,-74,0
92,432,-137,0,0,0,-74,0
93,432,-137,0,0,0,-74,0
