t,x,y,fh,fv,r,s,frame:
0,-510,180,0,0,18,13,0
1,-510,180,0,0,18,13,0
2,-510,180,0,0,18,13,0
3,-509,180,0,0,18,13,0
4,-509,180,0,0,18,13,0
5,-509,180,0,0,18,13,0
6,-509,180,0,0,17,13,0
7,-509,180,0,0,16,13,0
8,-509,180,0,0,15,13,0
9,-506,181,0,0,14,13,0
10,-501,184,0,0,13,13,0
11,-496,186,0,0,12,13,0
12,-492,188,0,0,11,13,0
13,-490,189,0,0,10,13,0
14,-488,191,0,0,9,13,0
15,-487,191,0,0,8,13,0
16,-487,191,0,0,7,13,0
17,-486,191,0,0,6,13,0
18,-486,192,0,0,5,13,0
19,-485,193,0,0,4,13,0
20,-484,193,0,0,3,13,0
21,-483,194,0,0,2,13,0
22,-482,195,0,0,1,13,0
23,-482,195,0,0,0,13,0
24,-482,195,0,0,-1,13,0
25,-482,195,0,0,-2,13,0
26,-482,195,0,0,-3,13,0
27,-482,195,0,0,-4,13,0
28,-482,195,0,0,-5,13,0
29,-482,195,0,0,-6,13,0
30,-482,195,0,0,-7,13,0
31,-482,195,0,0,-7,13,0
32,-482,195,0,0,-7,13,0
33,-482,197,0,0,-6,13,0
34,-482,198,0,0,-5,13,0
35,-482,198,0,0,-4,13,0
36,-482,200,0,0,-3,13,0
37,-482,200,0,0,-2,13,0
38,-482,202,0,0,-1,13,0
39,-482,202,0,0,0,13,0
40,-482,203,0,0,1,13,0
41,-482,204,0,0,2,13,0
42,-482,206,0,0,3,13,0
43,-482,208,0,0,4,13,0
44,-482,212,0,0,5,13,0
45,-482,214,0,0,6,13,0
46,-482,216,0,0,7,13,0
47,-482,217,0,0,8,13,0
48,-482,219,0,0,9,13,0
49,-482,221,0,0,10,13,0
50,-482,224,0,0,11,13,0
51,-482,227,0,0,12,13,0
52,-482,231,0,0,13,13,0
53,-482,236,0,0,14,13,0
54,-482,239,0,0,15,13,0
55,-482,243,0,0,16,13,0
56,-481,245,0,0,17,13,0
57,-481,249,0,0,18,13,0
58,-480,251,0,0,19,13,0
59,-480,254,0,0,19,13,0
60,-479,256,0,0,19,13,0
61,-479,258,0,0,19,13,0
62,-478,259,0,0,18,13,0
63,-478,261,0,0,17,13,0
64,-477,262,0,0,16,13,0
65,-476,264,0,0,15,13,0
66,-475,266,0,0,14,13,0
67,-475,267,0,0,13,13,0
68,-474,268,0,0,12,13,0
69,-474,270,0,0,11,13,0
70,-474,272,0,0,10,13,0
71,-473,274,0,0,9,13,0
72,-473,275,0,0,8,13,0
73,-472,277,0,0,7,13,0
74,-472,277,0,0,6,13,0
75,-472,278,0,0,5,13,0
76,-472,279,0,0,4,13,0
77,-471,280,0,0,3,13,0
78,-471,281,0,0,2,13,0
79,-471,283,0,0,1,13,0
80,-470,284,0,0,0,13,0
81,-470,286,0,0,-1,13,0
82,-470,287,0,0,-2,13,0
83,-469,289,0,0,-3,13,0
84,-468,292,0,0,-4,13,0
85,-465,297,0,0,-5,13,0
86,-464,301,0,0,-6,13,0
87,-462,304,0,0,-7,13,0
88,-461,306,0,0,-8,13,0
89,-461,307,0,0,-9,13,0
90,-461,307,0,0,-10,13,0
91,-461,307,0,0,-11,13,0
92,-460,309,0,0,-12,13,0
93,-460,310,0,0,-13,13,0
94,-459,310,0,0,-14,13,0
95,-459,311,0,0,-15,13,0
96,-459,312,0,0,-16,13,0
97,-459,313,0,0,-17,13,0
98,-458,313,0,0,-18,13,0
99,-458,315,0,0,-19,13,0
100,-457,318,0,0,-20,13,0
101,-457,321,0,0,-21,13,0
102,-456,323,0,0,-22,13,0
103,-456,323,0,0,-23,13,0
104,-456,323,0,0,-24,13,0
105,-456,323,0,0,-25,13,0
106,-456,323,0,0,-26,13,0
107,-456,323,0,0,-27,13,0
108,-456,323,0,0,-28,13,0
109,-456,323,0,0,-29,13,0
110,-456,323,0,0,-30,13,0
111,-456,323,0,0,-31,13,0
112,-456,323,0,0,-32,13,0
113,-456,323,0,0,-33,13,0
114,-456,323,0,0,-34,13,0
115,-456,323,0,0,-35,13,0
116,-456,323,0,0,-36,13,0
117,-456,323,0,0,-37,13,0
118,-456,323,0,0,-38,13,0
119,-456,323,0,0,-39,13,0
120,-456,323,0,0,-40,13,0
121,-456,323,0,0,-41,13,0
122,-456,323,0,0,-42,13,0
123,-456,323,0,0,-43,13,0
124,-456,323,0,0,-44,13,0
125,-456,323,0,0,-45,13,0
126,-456,323,0,0,-46,13,0
127,-456,323,0,0,-47,13,0
128,-456,323,0,0,-48,13,0
129,-456,323,0,0,-49,13,0
130,-456,323,0,0,-50,13,0
131,-456,323,0,0,-51,13,0
132,-456,323,0,0,-52,13,0
133,-456,323,0,0,-53,13,0
134,-456,323,0,0,-54,13,0
135,-456,323,0,0,-55,13,0
136,-456,323,0,0,-56,13,0
137,-456,323,0,0,-57,13,0
138,-456,323,0,0,-58,13,0
139,-456,323,0,0,-59,13,0
140,-456,323,0,0,-60,13,0
141,-456,323,0,0,-61,13,0
142,-456,323,0,0,-62,13,0
143,-456,323,0,0,-63,13,0
144,-456,323,0,0,-64,13,0
145,-456,323,0,0,-65,13,0
146,-456,323,0,0,-66,13,0
147,-456,323,0,0,-67,13,0
148,-456,323,0,0,-67,13,0
149,-456,323,0,0,-67,13,0
150,-456,323,0,0,-67,13,0
151,-456,323,0,0,-67,13,0
152,-456,323,0,0,-67,13,0
153,-456,323,0,0,-67,13,0
154,-456,323,0,0,-67,13,0
155,-456,323,0,0,-67,13,0
156,-456,323,0,0,-67,13,0
157,-456,323,0,0,-67,13,0
158,-456,323,0,0,-67,13,0
159,-456,323,0,0,-67,13,0
160,-456,323,0,0,-67,13,0
161,-456,323,0,0,-67,13,0
162,-456,323,0,0,-67,13,0
163,-456,323,0,0,-67,13,0
164,-456,323,0,0,-67,13,0
165,-456,323,0,0,-67,13,0
166,-456,323,0,0,-67,13,0
167,-456,323,0,0,-67,13,0
168,-456,323,0,0,-67,13,0
169,-456,323,0,0,-67,13,0
170,-456,323,0,0,-67,13,0
171,-456,323,0,0,-67,13,0
172,-456,323,0,0,-67,13,0
173,-456,323,0,0,-67,13,0
174,-456,323,0,0,-67,13,0
175,-456,323,0,0,-67,13,0
176,-456,323,0,0,-67,13,0
177,-456,323,0,0,-67,13,0
178,-456,323,0,0,-67,13,0
179,-456,323,0,0,-67,13,0
180,-456,323,0,0,-67,13,0
181,-456,323,0,0,-67,13,0
182,-456,323,0,0,-67,13,0
183,-456,323,0,0,-67,13,0
184,-456,323,0,0,-67,13,0
185,-456,323,0,0,-67,13,0
186,-456,323,0,0,-67,13,0
187,-456,323,0,0,-67,13,0
188,-456,323,0,0,-67,13,0
189,-456,323,0,0,-67,13,0
190,-456,323,0,0,-67,13,0
191,-456,323,0,0,-67,13,0
192,-456,323,0,0,-67,13,0
193,-456,323,0,0,-67,13,0
194,-456,323,0,0,-67,13,0
195,-456,323,0,0,-67,13,0
196,-456,323,0,0,-67,13,0
197,-456,323,0,0,-67,13,0
198,-456,323,0,0,-67,13,0
199,-456,323,0,0,-67,13,0
200,-456,323,0,0,-67,13,0
201,-456,323,0,0,-67,13,0
202,-456,323,0,0,-67,13,0
203,-456,323,0,0,-67,13,0
204,-456,323,0,0,-67,13,0
205,-456,323,0,0,-67,13,0
206,-456,323,0,0,-67,13,0
207,-456,323,0,0,-67,13,0
208,-456,323,0,0,-67,13,0
209,-456,323,0,0,-67,13,0
210,-456,323,0,0,-67,13,0
211,-456,323,0,0,-67,13,0
212,-456,323,0,0,-67,13,0
213,-456,323,0,0,-67,13,0
214,-456,323,0,0,-67,13,0
215,-456,323,0,0,-67,13,0
216,-456,323,0,0,-67,13,0
217,-456,323,0,0,-67,13,0
218,-456,323,0,0,-67,13,0
219,-456,323,0,0,-67,13,0
220,-456,323,0,0,-67,13,0
221,-456,323,0,0,-67,13,0
222,-456,323,0,0,-67,13,0
223,-456,323,0,0,-67,13,0
224,-456,323,0,0,-67,13,0
225,-456,323,0,0,-67,13,0
226,-456,323,0,0,-67,13,0
227,-456,323,0,0,-67,13,0
228,-456,323,0,0,-67,13,0
229,-456,323,0,0,-67,13,0
230,-456,323,0,0,-67,13,0
231,-456,323,0,0,-67,13,0
232,-456,323,0,0,-67,13,0
233,-456,323,0,0,-67,13,0
234,-456,323,0,0,-67,13,0
235,-456,323,0,0,-67,13,0
236,-456,323,0,0,-67,13,0
237,-456,323,0,0,-67,13,0
238,-456,323,0,0,-67,13,0
239,-456,323,0,0,-67,13,0
240,-456,323,0,0,-67,13,0
241,-456,323,0,0,-67,13,0
242,-456,323,0,0,-67,13,0
243,-456,323,0,0,-67,13,0
244,-456,323,0,0,-67,13,0
245,-456,323,0,0,-67,13,0
246,-456,323,0,0,-67,13,0
247,-456,323,0,0,-67,13,0
248,-456,323,0,0,-67,13,0
249,-456,323,0,0,-67,13,0
250,-456,323,0,0,-67,13,0
251,-456,323,0,0,-67,13,0
252,-456,323,0,0,-67,13,0
253,-456,323,0,0,-67,13,0
254,-456,323,0,0,-67,13,0
255,-456,323,0,0,-67,13,0
256,-456,323,0,0,-67,13,0
257,-456,323,0,0,-67,13,0
258,-456,323,0,0,-67,13,0
259,-456,323,0,0,-67,13,0
260,-456,323,0,0,-67,13,0
261,-456,323,0,0,-67,13,0
262,-456,323,0,0,-67,13,0
263,-456,323,0,0,-67,13,0
264,-456,323,0,0,-67,13,0
265,-456,323,0,0,-67,13,0
266,-456,323,0,0,-67,13,0
267,-456,323,0,0,-67,13,0
268,-456,323,0,0,-67,13,0
269,-456,323,0,0,-67,13,0
270,-456,323,0,0,-67,13,0
271,-456,323,0,0,-67,13,0
272,-456,323,0,0,-67,13,0
273,-456,323,0,0,-67,13,0
274,-456,323,0,0,-67,13,0
275,-456,323,0,0,-67,13,0
276,-456,323,0,0,-67,13,0
277,-456,323,0,0,-67,13,0
278,-456,323,0,0,-67,13,0
279,-456,323,0,0,-67,13,0
280,-456,323,0,0,-67,13,0
281,-456,323,0,0,-67,13,0
282,-456,323,0,0,-67,13,0
283,-456,323,0,0,-67,13,0
284,-456,323,0,0,-67,13,0
