t,x,y,fh,fv,r,s,frame:
0,-37,47,0,0,0,0,0
1,-37,47,0,0,0,0,0
2,-37,47,0,0,0,0,0
3,-37,47,0,0,0,0,0
4,-37,47,0,0,0,0,0
5,-37,47,0,0,0,0,0
6,-37,47,0,0,0,0,0
7,-37,47,0,0,0,1,0
8,-37,47,0,0,0,2,0
9,-37,47,0,0,0,3,0
10,-37,47,0,0,0,4,0
11,-37,47,0,0,0,5,0
12,-37,47,0,0,0,6,0
13,-37,47,0,0,0,7,0
14,-37,47,0,0,0,8,0
15,-37,47,0,0,0,9,0
16,-37,47,0,0,0,10,0
17,-37,47,0,0,0,11,0
18,-37,47,0,0,0,12,0
19,-37,47,0,0,0,13,0
20,-37,47,0,0,0,14,0
21,-37,47,0,0,0,15,0
22,-37,47,0,0,0,16,0
23,-37,47,0,0,0,17,0
24,-37,47,0,0,0,18,0
25,-37,47,0,0,0,19,0
26,-37,47,0,0,0,20,0
27,-37,47,0,0,0,21,0
28,-37,47,0,0,0,22,0
29,-37,47,0,0,0,23,0
30,-37,47,0,0,0,24,0
31,-37,47,0,0,0,25,0
32,-37,47,0,0,0,26,0
33,-37,47,0,0,0,27,0
34,-37,47,0,0,0,28,0
35,-37,47,0,0,0,29,0
36,-37,47,0,0,0,30,0
37,-37,47,0,0,0,31,0
38,-37,47,0,0,0,32,0
39,-37,47,0,0,0,33,0
40,-37,47,0,0,0,34,0
41,-37,47,0,0,0,35,0
42,-37,47,0,0,0,36,0
43,-37,47,0,0,0,37,0
44,-37,47,0,0,0,38,0
45,-37,47,0,0,0,39,0
46,-37,47,0,0,0,40,0
47,-37,47,0,0,0,41,0
48,-37,47,0,0,0,42,0
49,-37,47,0,0,0,43,0
50,-37,47,0,0,0,43,0
51,-37,47,0,0,0,43,0
52,-37,47,0,0,0,43,0
53,-37,47,0,0,0,43,0
54,-37,47,0,0,0,43,0
55,-37,47,0,0,0,43,0
56,-37,47,0,0,0,43,0
57,-37,47,0,0,0,43,0
58,-37,47,0,0,0,42,0
59,-37,47,0,0,0,41,0
60,-37,47,0,0,0,40,0
61,-37,47,0,0,0,39,0
62,-37,47,0,0,0,38,0
63,-37,47,0,0,0,37,0
64,-37,47,0,0,0,36,0
65,-37,47,0,0,0,35,0
66,-37,47,0,0,0,34,0
67,-37,47,0,0,0,33,0
68,-37,47,0,0,0,32,0
69,-37,47,0,0,0,31,0
70,-37,47,0,0,0,30,0
71,-37,47,0,0,0,29,0
72,-37,47,0,0,0,28,0
73,-37,47,0,0,0,27,0
74,-37,47,0,0,0,26,0
75,-37,47,0,0,0,25,0
76,-37,47,0,0,0,24,0
77,-37,47,0,0,0,23,0
78,-37,47,0,0,0,22,0
79,-37,47,0,0,0,21,0
80,-37,47,0,0,0,20,0
81,-37,47,0,0,0,19,0
82,-37,47,0,0,0,18,0
83,-37,47,0,0,0,17,0
84,-37,47,0,0,0,16,0
85,-37,47,0,0,0,15,0
86,-37,47,0,0,0,14,0
87,-37,47,0,0,0,13,0
88,-37,47,0,0,0,12,0
89,-37,47,0,0,0,11,0
90,-37,47,0,0,0,10,0
91,-37,47,0,0,0,9,0
92,-37,47,0,0,0,8,0
93,-37,47,0,0,0,7,0
94,-37,47,0,0,0,6,0
95,-37,47,0,0,0,5,0
96,-37,47,0,0,0,4,0
97,-37,47,0,0,0,3,0
98,-37,47,0,0,0,2,0
99,-37,47,0,0,0,1,0
100,-37,47,0,0,0,0,0
101,-37,47,0,0,0,-1,0
102,-37,47,0,0,0,-2,0
103,-37,47,0,0,0,-3,0
104,-37,47,0,0,0,-4,0
105,-37,47,0,0,0,-5,0
