t,x,y,fh,fv,r,s,frame:
0,-253,164,0,0,0,0,0
1,-253,164,0,0,0,0,0
2,-253,164,0,0,0,0,0
3,-253,164,0,0,0,0,0
4,-253,164,0,0,0,0,0
5,-253,164,0,0,0,0,0
6,-253,164,0,0,0,0,0
7,-253,164,0,0,0,0,0
8,-253,164,0,0,0,0,0
9,-253,163,0,0,0,0,0
10,-253,162,0,0,0,0,0
11,-253,161,0,0,0,0,0
12,-253,159,0,0,0,0,0
13,-253,159,0,0,0,0,0
14,-253,158,0,0,0,0,0
15,-253,158,0,0,0,0,0
16,-252,155,0,0,0,0,0
17,-252,154,0,0,0,0,0
18,-252,153,0,0,0,0,0
19,-251,151,0,0,0,0,0
20,-251,150,0,0,0,0,0
21,-250,149,0,0,0,0,0
22,-250,148,0,0,0,0,0
23,-249,147,0,0,0,0,0
24,-249,146,0,0,0,0,0
25,-248,145,0,0,0,0,0
26,-248,143,0,0,0,0,0
27,-247,141,0,0,0,0,0
28,-246,140,0,0,0,0,0
29,-245,139,0,0,0,0,0
30,-243,137,0,0,0,0,0
31,-242,136,0,0,0,0,0
32,-241,134,0,0,0,0,0
33,-240,132,0,0,0,0,0
34,-238,130,0,0,0,0,0
35,-238,129,0,0,0,0,0
36,-237,128,0,0,0,0,0
37,-235,127,0,0,0,0,0
38,-234,125,0,0,0,0,0
39,-233,124,0,0,0,0,0
40,-231,122,0,0,0,0,0
41,-230,120,0,0,0,0,0
42,-229,118,0,0,0,0,0
43,-227,116,0,0,0,0,0
44,-225,115,0,0,0,0,0
45,-224,114,0,0,0,0,0
46,-222,112,0,0,0,0,0
47,-221,111,0,0,0,0,0
48,-220,110,0,0,0,0,0
49,-218,108,0,0,0,0,0
50,-217,107,0,0,0,0,0
51,-215,105,0,0,0,1,0
52,-214,104,0,0,0,2,0
53,-212,102,0,0,0,3,0
54,-210,101,0,0,0,4,0
55,-208,99,0,0,0,5,0
56,-206,97,0,0,0,6,0
57,-205,96,0,0,0,7,0
58,-203,94,0,0,0,8,0
59,-202,93,0,0,0,9,0
60,-200,92,0,0,0,10,0
61,-199,91,0,0,0,11,0
62,-198,90,0,0,0,12,0
63,-197,90,0,0,0,13,0
64,-197,89,0,0,0,14,0
65,-196,89,0,0,0,15,0
66,-195,88,0,0,0,16,0
67,-194,87,0,0,0,17,0
68,-193,86,0,0,0,18,0
69,-191,85,0,0,0,19,0
70,-188,83,0,0,0,20,0
71,-185,82,0,0,0,21,0
72,-181,80,0,0,0,22,0
73,-178,79,0,0,0,23,0
74,-174,77,0,0,0,24,0
75,-171,76,0,0,0,25,0
76,-167,74,0,0,0,26,0
77,-164,72,0,0,0,27,0
78,-162,72,0,0,0,28,0
79,-160,71,0,0,0,29,0
80,-158,71,0,0,0,30,0
81,-157,71,0,0,0,31,0
82,-155,70,0,0,0,32,0
83,-153,70,0,0,0,33,0
84,-151,70,0,0,0,34,0
85,-148,70,0,0,0,35,0
86,-146,70,0,0,0,36,0
87,-143,70,0,0,0,37,0
88,-140,70,0,0,0,38,0
89,-137,70,0,0,0,39,0
90,-133,69,0,0,0,40,0
91,-128,69,0,0,0,41,0
92,-125,69,0,0,0,42,0
93,-121,68,0,0,0,43,0
