t,x,y,fh,fv,r,s,frame:
0,229,240,0,0,0,-117,0
1,229,240,0,0,0,-117,0
2,229,240,0,0,0,-117,0
3,229,240,0,0,0,-117,0
4,229,240,0,0,0,-117,0
5,229,240,0,0,0,-117,0
6,229,240,0,0,0,-117,0
7,229,240,0,0,0,-117,0
8,229,240,0,0,0,-117,0
9,229,240,0,0,0,-117,0
10,229,240,0,0,0,-117,0
11,229,240,0,0,0,-117,0
12,229,240,0,0,0,-117,0
13,229,240,0,0,0,-117,0
14,229,241,0,0,0,-117,0
15,228,243,0,0,0,-117,0
16,228,243,0,0,0,-117,0
17,228,243,0,0,0,-117,0
18,228,243,0,0,0,-117,0
19,228,243,0,0,0,-117,0
20,228,243,0,0,0,-117,0
21,228,243,0,0,0,-117,0
22,229,243,0,0,0,-117,0
23,229,242,0,0,0,-117,0
24,229,242,0,0,0,-117,0
25,229,242,0,0,0,-117,0
26,229,241,0,0,0,-117,0
27,229,241,0,0,0,-117,0
28,229,241,0,0,0,-117,0
29,229,241,0,0,0,-117,0
30,229,241,0,0,0,-117,0
31,229,241,0,0,0,-117,0
32,229,241,0,0,0,-117,0
33,229,242,0,0,0,-117,0
34,229,242,0,0,0,-117,0
35,229,242,0,0,0,-117,0
36,229,242,0,0,0,-117,0
37,229,242,0,0,0,-117,0
38,229,242,0,0,0,-117,0
39,229,242,0,0,0,-117,0
40,-352,94,1,0,0,-117,0
41,-352,94,1,0,0,-117,0
42,-352,94,1,0,0,-117,0
43,-352,94,1,0,0,-117,0
44,-352,95,1,0,0,-117,0
45,-352,95,1,0,0,-117,0
46,-352,95,1,0,0,-117,0
47,-352,95,1,0,0,-117,0
48,-352,95,1,0,0,-117,0
49,-352,95,1,0,0,-117,0
50,-352,95,1,0,0,-117,0
51,-352,95,1,0,0,-117,0
52,-351,95,1,0,0,-117,0
53,-351,95,1,0,0,-117,0
54,-351,95,1,0,0,-117,0
55,-351,95,1,0,0,-117,0
56,-351,95,1,0,0,-117,0
57,-351,95,1,0,0,-117,0
58,-351,96,1,0,0,-117,0
59,-351,98,1,0,0,-117,0
60,-351,99,1,0,0,-117,0
61,-351,100,1,0,0,-117,0
62,-351,100,1,0,0,-117,0
63,-351,100,1,0,0,-117,0
64,-351,100,1,0,0,-117,0
65,-351,100,1,0,0,-117,0
66,-351,100,1,0,0,-117,0
67,-351,100,1,0,0,-117,0
68,-351,100,1,0,0,-117,0
69,-351,100,1,0,0,-117,0
70,-351,100,1,0,0,-117,0
71,-351,100,1,0,0,-117,0
72,-351,100,1,0,0,-117,0
73,-351,100,1,0,0,-117,0
74,-351,100,1,0,0,-117,0
75,-351,100,1,0,0,-117,0
76,-351,100,1,0,0,-117,0
77,-351,100,1,0,0,-117,0
78,-351,100,1,0,0,-117,0
79,-351,100,1,0,0,-117,0
80,-351,100,1,0,0,-117,0
81,320,-85,0,0,0,-117,0
82,320,-85,0,0,0,-117,0
83,320,-85,0,0,0,-117,0
84,320,-85,0,0,0,-117,0
85,320,-85,0,0,0,-117,0
86,320,-85,0,0,0,-117,0
87,320,-85,0,0,0,-117,0
88,319,-84,0,0,0,-117,0
89,319,-82,0,0,0,-117,0
90,318,-79,0,0,0,-117,0
91,318,-78,0,0,0,-117,0
92,318,-78,0,0,0,-117,0
93,318,-77,0,0,0,-117,0
94,318,-77,0,0,0,-117,0
95,318,-78,0,0,0,-117,0
96,318,-78,0,0,0,-117,0
97,318,-78,0,0,0,-117,0
98,319,-79,0,0,0,-117,0
99,319,-80,0,0,0,-117,0
100,319,-80,0,0,0,-117,0
101,319,-80,0,0,0,-117,0
102,319,-80,0,0,0,-117,0
103,319,-80,0,0,0,-117,0
104,319,-80,0,0,0,-117,0
105,319,-80,0,0,0,-117,0
106,319,-80,0,0,0,-117,0
107,319,-80,0,0,0,-117,0
108,319,-80,0,0,0,-117,0
109,319,-80,0,0,0,-117,0
110,320,-80,0,0,0,-117,0
111,320,-80,0,0,0,-117,0
112,321,-81,0,0,0,-117,0
113,321,-82,0,0,0,-117,0
114,321,-82,0,0,0,-117,0
115,321,-82,0,0,0,-117,0
116,321,-82,0,0,0,-117,0
117,321,-81,0,0,0,-117,0
118,321,-81,0,0,0,-117,0
119,321,-81,0,0,0,-117,0
120,321,-81,0,0,0,-117,0
121,321,-81,0,0,0,-117,0
122,321,-81,0,0,0,-117,0
123,321,-81,0,0,0,-117,0
124,321,-81,0,0,0,-117,0
125,-360,-148,1,0,0,-117,0
126,-360,-148,1,0,0,-117,0
127,-360,-148,1,0,0,-117,0
128,-360,-148,1,0,0,-117,0
129,-360,-148,1,0,0,-117,0
130,-360,-147,1,0,0,-117,0
131,-360,-144,1,0,0,-117,0
132,-360,-142,1,0,0,-117,0
133,-360,-141,1,0,0,-117,0
134,-360,-141,1,0,0,-117,0
135,-360,-141,1,0,0,-117,0
136,-360,-141,1,0,0,-117,0
137,-360,-141,1,0,0,-117,0
138,-360,-141,1,0,0,-117,0
139,-360,-141,1,0,0,-117,0
140,-360,-143,1,0,0,-117,0
141,-360,-145,1,0,0,-117,0
142,-360,-146,1,0,0,-117,0
143,-360,-146,1,0,0,-117,0
144,-360,-146,1,0,0,-117,0
145,-360,-146,1,0,0,-117,0
146,-360,-146,1,0,0,-117,0
147,-360,-146,1,0,0,-117,0
148,-360,-145,1,0,0,-117,0
149,-360,-144,1,0,0,-117,0
150,-360,-143,1,0,0,-117,0
151,-360,-142,1,0,0,-117,0
152,-360,-142,1,0,0,-117,0
153,-360,-142,1,0,0,-117,0
154,-360,-142,1,0,0,-117,0
155,-360,-142,1,0,0,-117,0
156,-360,-142,1,0,0,-117,0
157,-360,-142,1,0,0,-117,0
158,-360,-142,1,0,0,-117,0
159,-360,-143,1,0,0,-117,0
160,-359,-145,1,0,0,-117,0
161,-358,-146,1,0,0,-117,0
162,-358,-148,1,0,0,-117,0
163,-358,-149,1,0,0,-117,0
164,-358,-149,1,0,0,-117,0
165,-358,-149,1,0,0,-117,0
166,-358,-149,1,0,0,-117,0
167,-358,-148,1,0,0,-117,0
168,-358,-147,1,0,0,-117,0
169,-358,-147,1,0,0,-117,0
170,-358,-147,1,0,0,-117,0
