t,x,y,fh,fv,r,s,frame:
0,-316,-157,0,0,0,-106,0
1,-316,-157,0,0,0,-106,0
2,-316,-157,0,0,0,-106,0
3,-316,-157,0,0,0,-106,0
4,-316,-157,0,0,0,-106,0
5,-316,-157,0,0,0,-106,0
6,-316,-157,0,0,0,-106,0
7,-316,-157,0,0,0,-106,0
8,-316,-157,0,0,0,-106,0
9,-316,-157,0,0,0,-106,0
10,-316,-157,0,0,0,-106,0
11,-316,-157,0,0,0,-106,0
12,-316,-157,0,0,0,-106,0
13,-316,-157,0,0,0,-106,0
14,-316,-157,0,0,0,-106,0
15,-315,-157,0,0,0,-106,0
16,-314,-154,0,0,0,-106,0
17,-313,-151,0,0,0,-106,0
18,-312,-149,0,0,0,-106,0
19,-312,-148,0,0,0,-106,0
20,-312,-148,0,0,0,-106,0
21,-312,-148,0,0,0,-106,0
22,-312,-148,0,0,0,-106,0
23,243,-160,0,0,0,-106,0
24,243,-160,0,0,0,-106,0
25,243,-160,0,0,0,-106,0
26,243,-159,0,0,0,-106,0
27,243,-159,0,0,0,-106,0
28,243,-159,0,0,0,-106,0
29,244,-159,0,0,0,-106,0
30,244,-159,0,0,0,-106,0
31,244,-159,0,0,0,-106,0
32,244,-159,0,0,0,-106,0
33,244,-159,0,0,0,-106,0
34,244,-159,0,0,0,-106,0
35,244,-159,0,0,0,-106,0
36,244,-159,0,0,0,-106,0
37,244,-159,0,0,0,-106,0
38,244,-159,0,0,0,-106,0
39,245,-158,0,0,0,-106,0
40,245,-158,0,0,0,-106,0
41,245,-158,0,0,0,-106,0
42,245,-158,0,0,0,-106,0
43,245,-158,0,0,0,-106,0
44,245,-158,0,0,0,-106,0
45,245,-158,0,0,0,-106,0
46,245,-158,0,0,0,-106,0
47,245,-158,0,0,0,-106,0
48,245,-158,0,0,0,-106,0
49,245,-158,0,0,0,-106,0
50,246,-157,0,0,0,-106,0
51,246,-157,0,0,0,-106,0
52,246,-157,0,0,0,-106,0
53,246,-157,0,0,0,-106,0
54,246,-157,0,0,0,-106,0
55,246,-157,0,0,0,-106,0
56,247,-157,0,0,0,-106,0
57,247,-157,0,0,0,-106,0
58,247,-157,0,0,0,-106,0
59,247,-157,0,0,0,-106,0
60,247,-157,0,0,0,-106,0
61,248,-157,0,0,0,-106,0
62,248,-158,0,0,0,-106,0
63,248,-158,0,0,0,-106,0
64,248,-158,0,0,0,-106,0
65,248,-158,0,0,0,-106,0
66,248,-158,0,0,0,-106,0
67,248,-158,0,0,0,-106,0
68,248,-158,0,0,0,-106,0
69,248,-158,0,0,0,-106,0
70,248,-158,0,0,0,-106,0
71,248,-158,0,0,0,-106,0
72,248,-159,0,0,0,-106,0
73,249,-159,0,0,0,-106,0
74,249,-159,0,0,0,-106,0
75,249,-159,0,0,0,-106,0
76,249,-159,0,0,0,-106,0
77,249,-159,0,0,0,-106,0
78,249,-159,0,0,0,-106,0
79,249,-159,0,0,0,-106,0
80,249,-159,0,0,0,-106,0
81,249,-159,0,0,0,-106,0
82,249,-159,0,0,0,-106,0
83,249,-159,0,0,0,-106,0
84,249,-159,0,0,0,-106,0
85,249,-160,0,0,0,-106,0
86,249,-160,0,0,0,-106,0
87,249,-160,0,0,0,-106,0
88,249,-160,0,0,0,-106,0
89,249,-160,0,0,0,-106,0
90,249,-160,0,0,0,-106,0
91,249,-160,0,0,0,-106,0
92,249,-160,0,0,0,-106,0
93,249,-160,0,0,0,-106,0
94,249,-160,0,0,0,-106,0
95,249,-160,0,0,0,-106,0
96,249,-160,0,0,0,-106,0
97,249,-160,0,0,0,-106,0
98,249,-160,0,0,0,-106,0
99,249,-160,0,0,0,-106,0
100,249,-160,0,0,0,-106,0
101,249,-160,0,0,0,-106,0
102,249,-160,0,0,0,-106,0
103,249,-160,0,0,0,-106,0
104,249,-160,0,0,0,-106,0
105,249,-160,0,0,0,-106,0
106,249,-160,0,0,0,-106,0
107,249,-160,0,0,0,-106,0
108,249,-160,0,0,0,-106,0
109,249,-160,0,0,0,-106,0
110,249,-160,0,0,0,-106,0
111,249,-160,0,0,0,-106,0
112,249,-160,0,0,0,-106,0
113,249,-160,0,0,0,-106,0
114,249,-160,0,0,0,-106,0
115,249,-160,0,0,0,-106,0
116,249,-160,0,0,0,-106,0
117,249,-160,0,0,0,-106,0
118,249,-160,0,0,0,-106,0
119,249,-160,0,0,0,-106,0
120,249,-160,0,0,0,-106,0
121,249,-160,0,0,0,-106,0
122,249,-160,0,0,0,-106,0
123,248,-160,0,0,0,-106,0
124,248,-160,0,0,0,-106,0
125,247,-159,0,0,0,-106,0
126,247,-159,0,0,0,-106,0
127,247,-159,0,0,0,-106,0
128,246,-159,0,0,0,-106,0
129,246,-158,0,0,0,-106,0
130,246,-158,0,0,0,-106,0
131,246,-158,0,0,0,-106,0
132,246,-158,0,0,0,-106,0
133,246,-158,0,0,0,-106,0
134,246,-158,0,0,0,-106,0
135,246,-158,0,0,0,-106,0
136,246,-158,0,0,0,-106,0
137,246,-158,0,0,0,-106,0
138,246,-158,0,0,0,-106,0
139,246,-158,0,0,0,-106,0
140,246,-158,0,0,0,-106,0
141,246,-158,0,0,0,-106,0
142,246,-158,0,0,0,-106,0
143,246,-158,0,0,0,-106,0
144,246,-158,0,0,0,-106,0
145,246,-158,0,0,0,-106,0
146,246,-158,0,0,0,-106,0
147,245,-158,0,0,0,-106,0
148,245,-159,0,0,0,-106,0
149,245,-159,0,0,0,-106,0
150,245,-159,0,0,0,-106,0
151,245,-159,0,0,0,-106,0
152,244,-159,0,0,0,-106,0
153,244,-159,0,0,0,-106,0
154,244,-159,0,0,0,-106,0
155,244,-159,0,0,0,-106,0
156,244,-159,0,0,0,-106,0
157,243,-160,0,0,0,-106,0
158,243,-160,0,0,0,-106,0
159,243,-160,0,0,0,-106,0
160,243,-160,0,0,0,-106,0
161,243,-160,0,0,0,-106,0
162,243,-160,0,0,0,-106,0
163,243,-160,0,0,0,-106,0
164,243,-160,0,0,0,-106,0
165,243,-160,0,0,0,-106,0
166,243,-160,0,0,0,-106,0
167,243,-160,0,0,0,-106,0
168,243,-160,0,0,0,-106,0
169,243,-160,0,0,0,-106,0
170,243,-160,0,0,0,-106,0
171,243,-160,0,0,0,-106,0
172,243,-160,0,0,0,-106,0
173,243,-160,0,0,0,-106,0
174,243,-160,0,0,0,-106,0
175,243,-160,0,0,0,-106,0
176,243,-160,0,0,0,-106,0
177,243,-161,0,0,0,-106,0
178,242,-161,0,0,0,-106,0
179,242,-161,0,0,0,-106,0
180,242,-161,0,0,0,-106,0
181,242,-161,0,0,0,-106,0
182,242,-161,0,0,0,-106,0
183,242,-161,0,0,0,-106,0
184,242,-161,0,0,0,-106,0
185,242,-161,0,0,0,-106,0
186,242,-162,0,0,0,-106,0
187,242,-162,0,0,0,-106,0
188,242,-162,0,0,0,-106,0
189,242,-162,0,0,0,-106,0
190,242,-162,0,0,0,-106,0
191,242,-162,0,0,0,-106,0
192,242,-162,0,0,0,-106,0
193,242,-162,0,0,0,-106,0
194,242,-162,0,0,0,-106,0
195,242,-162,0,0,0,-106,0
196,242,-162,0,0,0,-106,0
197,242,-162,0,0,0,-106,0
198,242,-162,0,0,0,-106,0
199,242,-162,0,0,0,-106,0
200,242,-162,0,0,0,-106,0
201,242,-162,0,0,0,-106,0
202,242,-162,0,0,0,-106,0
203,242,-162,0,0,0,-106,0
204,242,-162,0,0,0,-106,0
205,242,-162,0,0,0,-106,0
206,242,-162,0,0,0,-106,0
207,242,-162,0,0,0,-106,0
208,242,-162,0,0,0,-106,0
209,242,-162,0,0,0,-106,0
210,242,-162,0,0,0,-106,0
211,242,-162,0,0,0,-106,0
212,242,-162,0,0,0,-106,0
213,242,-162,0,0,0,-106,0
214,242,-162,0,0,0,-106,0
215,242,-162,0,0,0,-106,0
216,242,-162,0,0,0,-106,0
217,243,-162,0,0,0,-106,0
218,243,-162,0,0,0,-106,0
219,243,-161,0,0,0,-106,0
220,243,-161,0,0,0,-106,0
221,243,-161,0,0,0,-106,0
222,243,-161,0,0,0,-106,0
223,243,-161,0,0,0,-106,0
224,243,-161,0,0,0,-106,0
225,243,-161,0,0,0,-106,0
226,243,-161,0,0,0,-106,0
227,243,-161,0,0,0,-106,0
228,244,-161,0,0,0,-106,0
229,244,-161,0,0,0,-106,0
230,244,-161,0,0,0,-106,0
231,244,-161,0,0,0,-106,0
232,244,-161,0,0,0,-106,0
233,244,-161,0,0,0,-106,0
234,244,-161,0,0,0,-106,0
235,244,-161,0,0,0,-106,0
236,244,-161,0,0,0,-106,0
237,244,-161,0,0,0,-106,0
238,244,-161,0,0,0,-106,0
239,244,-161,0,0,0,-106,0
240,245,-161,0,0,0,-106,0
241,245,-161,0,0,0,-106,0
242,245,-161,0,0,0,-106,0
243,245,-161,0,0,0,-106,0
244,245,-161,0,0,0,-106,0
245,245,-161,0,0,0,-106,0
246,245,-161,0,0,0,-106,0
247,245,-161,0,0,0,-106,0
248,245,-161,0,0,0,-106,0
249,246,-161,0,0,0,-106,0
250,246,-162,0,0,0,-106,0
251,247,-162,0,0,0,-106,0
252,247,-162,0,0,0,-106,0
253,247,-163,0,0,0,-106,0
254,248,-163,0,0,0,-106,0
255,248,-163,0,0,0,-106,0
256,248,-163,0,0,0,-106,0
257,248,-163,0,0,0,-106,0
258,248,-163,0,0,0,-106,0
259,248,-163,0,0,0,-106,0
260,248,-163,0,0,0,-106,0
261,248,-163,0,0,0,-106,0
262,248,-163,0,0,0,-106,0
263,248,-163,0,0,0,-106,0
264,248,-163,0,0,0,-106,0
265,248,-163,0,0,0,-106,0
266,248,-163,0,0,0,-106,0
267,248,-163,0,0,0,-106,0
268,248,-163,0,0,0,-106,0
269,248,-163,0,0,0,-106,0
270,248,-163,0,0,0,-106,0
271,248,-163,0,0,0,-106,0
272,248,-163,0,0,0,-106,0
273,248,-163,0,0,0,-106,0
274,248,-163,0,0,0,-106,0
275,248,-163,0,0,0,-106,0
276,248,-163,0,0,0,-106,0
277,248,-163,0,0,0,-106,0
278,248,-163,0,0,0,-106,0
279,248,-163,0,0,0,-106,0
280,248,-163,0,0,0,-106,0
281,248,-163,0,0,0,-106,0
282,248,-163,0,0,0,-106,0
283,248,-163,0,0,0,-106,0
284,248,-163,0,0,0,-106,0
285,248,-163,0,0,0,-106,0
286,248,-163,0,0,0,-106,0
287,248,-163,0,0,0,-106,0
288,248,-163,0,0,0,-106,0
289,248,-163,0,0,0,-106,0
290,248,-163,0,0,0,-106,0
291,248,-163,0,0,0,-106,0
292,248,-163,0,0,0,-106,0
293,248,-163,0,0,0,-106,0
294,248,-163,0,0,0,-106,0
295,248,-163,0,0,0,-106,0
296,248,-163,0,0,0,-106,0
297,248,-163,0,0,0,-106,0
298,248,-163,0,0,0,-106,0
299,248,-163,0,0,0,-106,0
300,248,-163,0,0,0,-106,0
