t,x,y,fh,fv,r,s,frame:
0,226,51,0,0,0,-107,0
1,226,51,0,0,0,-107,0
2,226,51,0,0,0,-107,0
3,226,51,0,0,0,-107,0
4,226,51,0,0,0,-107,0
5,226,51,0,0,0,-107,0
6,227,51,0,0,0,-107,0
7,227,51,0,0,0,-107,0
8,227,51,0,0,0,-107,0
9,228,51,0,0,0,-107,0
10,228,51,0,0,0,-107,0
11,228,52,0,0,0,-107,0
12,228,52,0,0,0,-107,0
13,229,52,0,0,0,-107,0
14,229,53,0,0,0,-107,0
15,230,53,0,0,0,-107,0
16,230,53,0,0,0,-107,0
17,231,53,0,0,0,-107,0
18,231,53,0,0,0,-107,0
19,231,53,0,0,0,-107,0
20,231,53,0,0,0,-107,0
21,231,54,0,0,0,-107,0
22,231,54,0,0,0,-107,0
23,231,54,0,0,0,-107,0
24,231,54,0,0,0,-107,0
25,231,54,0,0,0,-107,0
26,232,54,0,0,0,-107,0
27,232,54,0,0,0,-107,0
28,232,54,0,0,0,-107,0
29,232,54,0,0,0,-107,0
30,232,54,0,0,0,-107,0
31,232,54,0,0,0,-107,0
32,233,54,0,0,0,-107,0
33,234,55,0,0,0,-107,0
34,234,55,0,0,0,-107,0
35,234,55,0,0,0,-107,0
36,235,55,0,0,0,-107,0
37,235,55,0,0,0,-107,0
38,235,55,0,0,0,-107,0
39,235,55,0,0,0,-107,0
40,235,56,0,0,0,-107,0
41,236,56,0,0,0,-107,0
42,237,56,0,0,0,-107,0
43,238,56,0,0,0,-107,0
44,238,56,0,0,0,-107,0
45,238,56,0,0,0,-107,0
46,238,56,0,0,0,-107,0
47,241,56,0,0,0,-107,0
48,242,56,0,0,0,-107,0
49,242,56,0,0,0,-107,0
50,242,56,0,0,0,-107,0
51,243,56,0,0,0,-107,0
52,244,56,0,0,0,-107,0
53,245,56,0,0,0,-107,0
54,245,56,0,0,0,-107,0
55,245,56,0,0,0,-107,0
56,246,56,0,0,0,-107,0
57,246,56,0,0,0,-107,0
58,247,55,0,0,0,-107,0
59,248,54,0,0,0,-107,0
60,250,53,0,0,0,-107,0
61,251,52,0,0,0,-107,0
62,253,51,0,0,0,-107,0
63,253,50,0,0,0,-107,0
64,253,50,0,0,0,-107,0
65,253,50,0,0,0,-107,0
66,253,50,0,0,0,-107,0
67,253,50,0,0,0,-107,0
68,253,50,0,0,0,-107,0
69,253,50,0,0,0,-107,0
70,253,50,0,0,0,-107,0
71,253,50,0,0,0,-107,0
72,253,50,0,0,0,-107,0
73,253,50,0,0,0,-107,0
74,253,50,0,0,0,-107,0
75,253,50,0,0,0,-107,0
76,253,50,0,0,0,-107,0
77,253,50,0,0,0,-107,0
78,253,50,0,0,0,-107,0
79,253,49,0,0,0,-107,0
80,253,49,0,0,0,-107,0
81,253,49,0,0,0,-107,0
82,253,49,0,0,0,-107,0
83,253,49,0,0,0,-107,0
84,253,49,0,0,0,-107,0
85,253,49,0,0,0,-107,0
86,253,49,0,0,0,-107,0
87,253,49,0,0,0,-107,0
88,253,49,0,0,0,-107,0
89,253,48,0,0,0,-107,0
90,253,48,0,0,0,-107,0
91,254,47,0,0,0,-107,0
92,254,47,0,0,0,-107,0
93,254,47,0,0,0,-107,0
94,254,47,0,0,0,-107,0
95,254,47,0,0,0,-107,0
96,254,47,0,0,0,-107,0
97,254,47,0,0,0,-107,0
98,254,47,0,0,0,-107,0
99,254,47,0,0,0,-107,0
100,254,47,0,0,0,-107,0
101,254,47,0,0,0,-107,0
102,254,47,0,0,0,-107,0
103,254,47,0,0,0,-107,0
104,254,47,0,0,0,-107,0
105,254,47,0,0,0,-107,0
106,254,47,0,0,0,-107,0
107,254,47,0,0,0,-107,0
108,254,47,0,0,0,-107,0
109,254,47,0,0,0,-107,0
110,254,47,0,0,0,-107,0
111,254,47,0,0,0,-107,0
112,254,47,0,0,0,-107,0
113,254,47,0,0,0,-107,0
114,254,47,0,0,0,-107,0
115,254,47,0,0,0,-107,0
116,254,47,0,0,0,-107,0
117,254,47,0,0,0,-107,0
118,254,47,0,0,0,-107,0
119,254,47,0,0,0,-107,0
120,254,47,0,0,0,-107,0
121,254,47,0,0,0,-107,0
122,254,47,0,0,0,-107,0
123,254,47,0,0,0,-107,0
124,254,47,0,0,0,-107,0
125,254,47,0,0,0,-107,0
126,254,47,0,0,0,-107,0
127,254,47,0,0,0,-107,0
128,254,47,0,0,0,-107,0
129,255,47,0,0,0,-107,0
130,255,47,0,0,0,-107,0
131,255,47,0,0,0,-107,0
132,255,47,0,0,0,-107,0
133,255,47,0,0,0,-107,0
134,255,47,0,0,0,-107,0
135,255,47,0,0,0,-107,0
136,255,47,0,0,0,-107,0
137,255,47,0,0,0,-107,0
138,255,47,0,0,0,-107,0
139,255,47,0,0,0,-107,0
140,255,47,0,0,0,-107,0
141,255,47,0,0,0,-107,0
142,255,47,0,0,0,-107,0
143,255,47,0,0,0,-107,0
144,255,47,0,0,0,-107,0
145,255,47,0,0,0,-107,0
146,255,47,0,0,0,-107,0
147,255,47,0,0,0,-107,0
148,255,48,0,0,0,-107,0
149,255,48,0,0,0,-107,0
150,255,48,0,0,0,-107,0
151,255,48,0,0,0,-107,0
152,255,48,0,0,0,-107,0
153,255,48,0,0,0,-107,0
154,255,48,0,0,0,-107,0
155,255,48,0,0,0,-107,0
156,255,48,0,0,0,-107,0
157,255,49,0,0,0,-107,0
158,255,49,0,0,0,-107,0
159,254,49,0,0,0,-107,0
160,254,49,0,0,0,-107,0
161,254,49,0,0,0,-107,0
162,254,49,0,0,0,-107,0
163,254,49,0,0,0,-107,0
164,254,50,0,0,0,-107,0
165,254,50,0,0,0,-107,0
166,253,50,0,0,0,-107,0
167,253,50,0,0,0,-107,0
168,253,50,0,0,0,-107,0
169,253,51,0,0,0,-107,0
170,253,51,0,0,0,-107,0
171,253,51,0,0,0,-107,0
172,253,51,0,0,0,-107,0
173,253,51,0,0,0,-107,0
174,253,51,0,0,0,-107,0
175,252,51,0,0,0,-107,0
176,251,51,0,0,0,-107,0
177,251,51,0,0,0,-107,0
178,250,51,0,0,0,-107,0
179,250,52,0,0,0,-107,0
180,249,52,0,0,0,-107,0
181,247,52,0,0,0,-107,0
182,246,52,0,0,0,-107,0
183,244,52,0,0,0,-107,0
184,243,53,0,0,0,-107,0
185,243,53,0,0,0,-107,0
186,242,53,0,0,0,-107,0
187,242,53,0,0,0,-107,0
188,242,53,0,0,0,-107,0
189,241,53,0,0,0,-107,0
190,240,53,0,0,0,-107,0
191,239,53,0,0,0,-107,0
192,238,53,0,0,0,-107,0
193,238,53,0,0,0,-107,0
194,238,53,0,0,0,-107,0
195,238,53,0,0,0,-107,0
196,237,53,0,0,0,-107,0
197,237,52,0,0,0,-107,0
198,236,52,0,0,0,-107,0
199,235,51,0,0,0,-107,0
200,235,51,1,0,0,-107,0
201,235,51,1,0,0,-107,0
202,235,51,1,0,0,-107,0
203,235,51,1,0,0,-107,0
204,234,51,1,0,0,-107,0
205,233,51,1,0,0,-107,0
206,233,50,1,0,0,-107,0
207,232,49,1,0,0,-107,0
208,231,49,1,0,0,-107,0
209,230,48,1,0,0,-107,0
210,229,48,1,0,0,-107,0
211,229,47,1,0,0,-107,0
212,229,47,1,0,0,-107,0
213,229,47,1,0,0,-107,0
214,229,47,1,0,0,-107,0
215,228,46,1,0,0,-107,0
216,227,46,1,0,0,-107,0
217,226,46,1,0,0,-107,0
218,225,45,1,0,0,-107,0
219,225,45,1,0,0,-107,0
220,225,45,1,0,0,-107,0
221,224,45,1,0,0,-107,0
222,224,45,1,0,0,-107,0
223,224,45,1,0,0,-107,0
224,224,45,1,0,0,-107,0
225,224,45,1,0,0,-107,0
226,224,45,1,0,0,-107,0
227,223,45,1,0,0,-107,0
228,223,45,1,0,0,-107,0
229,223,45,1,0,0,-107,0
230,223,45,1,0,0,-107,0
231,223,45,1,0,0,-107,0
232,223,45,1,0,0,-107,0
233,223,45,1,0,0,-107,0
234,223,45,1,0,0,-107,0
235,223,45,1,0,0,-107,0
236,223,45,1,0,0,-107,0
237,223,45,1,0,0,-107,0
238,223,45,1,0,0,-107,0
239,223,45,1,0,0,-107,0
240,223,45,1,0,0,-107,0
241,223,45,1,0,0,-107,0
242,223,45,1,0,0,-107,0
243,223,45,1,0,0,-107,0
244,223,45,1,0,0,-107,0
245,223,45,1,0,0,-107,0
246,223,45,1,0,0,-107,0
247,223,45,1,0,0,-107,0
248,223,45,1,0,0,-107,0
249,223,45,1,0,0,-107,0
250,223,45,1,0,0,-107,0
251,223,45,1,0,0,-107,0
252,223,45,1,0,0,-107,0
253,223,45,1,0,0,-107,0
254,223,45,1,0,0,-107,0
255,223,45,1,0,0,-107,0
256,223,45,1,0,0,-107,0
257,223,45,1,0,0,-107,0
258,223,45,1,0,0,-107,0
259,223,45,1,0,0,-107,0
260,223,45,1,0,0,-107,0
261,223,45,1,0,0,-107,0
262,223,45,1,0,0,-107,0
263,223,45,1,0,0,-107,0
264,223,45,1,0,0,-107,0
265,223,45,1,0,0,-107,0
266,223,45,1,0,0,-107,0
267,223,45,1,0,0,-107,0
268,223,45,1,0,0,-107,0
269,223,45,1,0,0,-107,0
270,223,45,1,0,0,-107,0
271,223,45,0,0,0,-107,0
272,223,45,0,0,0,-107,0
273,223,45,0,0,0,-107,0
274,223,45,0,0,0,-107,0
275,222,45,0,0,0,-107,0
276,222,45,0,0,0,-107,0
277,222,45,0,0,0,-107,0
278,222,45,0,0,0,-107,0
279,222,45,0,0,0,-107,0
280,222,45,0,0,0,-107,0
281,222,45,0,0,0,-107,0
282,222,45,0,0,0,-107,0
283,222,45,0,0,0,-107,0
284,222,45,0,0,0,-107,0
285,222,45,0,0,0,-107,0
286,223,45,0,0,0,-107,0
287,223,45,0,0,0,-107,0
288,223,46,0,0,0,-107,0
289,223,46,0,0,0,-107,0
290,224,47,0,0,0,-107,0
291,224,47,0,0,0,-107,0
292,225,48,0,0,0,-107,0
293,226,48,0,0,0,-107,0
294,226,49,0,0,0,-107,0
295,227,49,0,0,0,-107,0
296,227,49,0,0,0,-107,0
297,227,49,0,0,0,-107,0
298,227,49,0,0,0,-107,0
299,227,49,0,0,0,-107,0
300,227,49,0,0,0,-107,0
301,227,49,0,0,0,-107,0
302,228,49,0,0,0,-107,0
303,228,49,0,0,0,-107,0
304,228,49,0,0,0,-107,0
305,228,49,0,0,0,-107,0
306,228,50,0,0,0,-107,0
307,228,50,0,0,0,-107,0
308,228,50,0,0,0,-107,0
309,228,50,0,0,0,-107,0
310,229,50,0,0,0,-107,0
311,229,50,0,0,0,-107,0
312,229,50,0,0,0,-107,0
313,229,50,0,0,0,-107,0
314,229,50,0,0,0,-107,0
315,229,50,0,0,0,-107,0
316,229,49,0,0,0,-107,0
317,229,49,0,0,0,-107,0
318,230,49,0,0,0,-107,0
319,230,49,0,0,0,-107,0
320,230,49,0,0,0,-107,0
321,230,49,0,0,0,-107,0
322,230,49,0,0,0,-107,0
323,230,49,0,0,0,-107,0
324,230,49,0,0,0,-107,0
325,230,49,0,0,0,-107,0
326,231,48,0,0,0,-107,0
327,232,48,0,0,0,-107,0
328,233,47,0,0,0,-107,0
329,233,47,0,0,0,-107,0
330,233,47,0,0,0,-107,0
331,233,47,0,0,0,-107,0
332,233,47,0,0,0,-107,0
333,233,47,0,0,0,-107,0
334,234,47,0,0,0,-107,0
335,234,47,0,0,0,-107,0
336,234,47,0,0,0,-107,0
337,234,47,0,0,0,-107,0
338,234,47,0,0,0,-107,0
339,235,47,0,0,0,-107,0
340,236,46,0,0,0,-107,0
341,237,46,0,0,0,-107,0
342,237,46,0,0,0,-107,0
343,237,46,0,0,0,-107,0
344,237,46,0,0,0,-107,0
345,237,46,0,0,0,-107,0
346,237,46,0,0,0,-107,0
347,238,46,0,0,0,-107,0
348,238,45,0,0,0,-107,0
349,239,45,0,0,0,-107,0
350,240,45,0,0,0,-107,0
351,240,45,0,0,0,-107,0
352,240,45,0,0,0,-107,0
353,241,45,0,0,0,-107,0
354,241,45,0,0,0,-107,0
355,241,45,0,0,0,-107,0
356,241,45,0,0,0,-107,0
357,241,45,0,0,0,-107,0
358,241,45,0,0,0,-107,0
359,241,45,0,0,0,-107,0
360,242,45,0,0,0,-107,0
361,242,45,0,0,0,-107,0
362,242,45,0,0,0,-107,0
363,242,45,0,0,0,-107,0
364,242,45,0,0,0,-107,0
365,242,46,0,0,0,-107,0
366,242,46,0,0,0,-107,0
367,242,46,0,0,0,-107,0
368,243,46,0,0,0,-107,0
369,243,46,0,0,0,-107,0
370,243,46,0,0,0,-107,0
371,243,46,0,0,0,-107,0
372,243,47,0,0,0,-107,0
373,244,48,0,0,0,-107,0
374,245,48,0,0,0,-107,0
375,245,49,0,0,0,-107,0
376,245,49,0,0,0,-107,0
377,245,49,0,0,0,-107,0
378,245,49,0,0,0,-107,0
379,245,49,0,0,0,-107,0
380,245,49,0,0,0,-107,0
381,245,49,0,0,0,-107,0
382,245,49,0,0,0,-107,0
383,245,49,0,0,0,-107,0
384,245,49,0,0,0,-107,0
385,246,49,0,0,0,-107,0
386,246,49,0,0,0,-107,0
387,246,49,0,0,0,-107,0
